SampleID	Filename	old_name
HS00P003	HS00P003	S1d0
HS03P003	HS03P003	S1d3
HS10P003	HS10P003	S1d10
HS00P004	HS00P004	S3d0
HS03P004	HS03P004	S3d3
HS07P004	HS07P004	S3d7
HS03P005	HS03P005	S4d5
HS00P010	HS00P010	S2d0
HS03P010	HS03P010	S2d3
HS07P010	HS07P010	S2d7
HS00P011	HS00P011	S9d0
HS03P011	HS03P011	S9d3
HS07P011	HS07P011	S9d7
HS00P012	HS00P012	S5d0
HS03P012	HS03P012	S5d3
HS07P012	HS07P012	S5d7
IS00P013	IS00P013	S10d0
IS07P013	IS07P013	S10d7
HS00P014	HS00P014	S7d0
HS03P014	HS03P014	S7d3
HS07P014	HS07P014	S7d7
DS03P016	DS03P016	S6d3
DS07P016	DS07P016	S6d7
DS10P016	DS10P016	S6d10
DS03P017	DS03P017	S8d3
DS08P017	DS08P017	S8d8
HS00P019	HS00P019	S11d0
HS03P019	HS03P019	S11d3
HS07P019	HS07P019	S11d7
IS00P020	IS00P020	S12d0
IS03P020	IS03P020	S12d3
IS07P020	IS07P020	S12d7
HS03P024	HS03P024	S16d3
HS07P024	HS07P024	S16d7
HS00P025	HS00P025	S17d0
HS03P025	HS03P025	S17d3
HS07P025	HS07P025	S17d7
HS03P026	HS03P026	S18d3
HS07P026	HS07P026	S18d7
IS00P027	IS00P027	S19d0
IS03P027	IS03P027	S19d3
IS07P027	IS07P027	S19d7
HS00P029	HS00P029	S21d0
HS03P029	HS03P029	S21d3
HS07P029	HS07P029	S21d7
DS00P030	DS00P030	S22d0
DS03P030	DS03P030	S22d3
HS00P031	HS00P031	S23d0
HS03P031	HS03P031	S23d3
HS07P031	HS07P031	S23d7
IS00P033	IS00P033	S24d0
IS03P033	IS03P033	S24d3
IS07P033	IS07P033	S24d7
HS00P034	HS00P034	S25d0
HS03P034	HS03P034	S25d3
HS07P034	HS07P034	S25d7
HS03P035	HS03P035	S26d3
HS07P035	HS07P035	S26d7
HS00P036	HS00P036	S27d0
HS07P036	HS07P036	S27d7
DS00P037	DS00P037	S28d0
DS03P037	DS03P037	S28d3
DS07P037	DS07P037	S28d7
IS00P038	IS00P038	S29d0
IS03P038	IS03P038	S29d3
IS07P038	IS07P038	S29d7
IS00P039	IS00P039	S30d0
IS03P039	IS03P039	S30d3
IS07P039	IS07P039	S30d7
HS00P040	HS00P040	S31d0
HS03P040	HS03P040	S31d3
HS07P040	HS07P040	S31d7
HS00P041	HS00P041	S32d0
HS03P041	HS03P041	S32d3
HS07P041	HS07P041	S32d7
HS00P042	HS00P042	S33d0
HS03P042	HS03P042	S33d3
HS07P042	HS07P042	S33d7
IS00P043	IS00P043	S34d0
IS03P043	IS03P043	S34d3
IS07P043	IS07P043	S34d7
HS00P044	HS00P044	S35d0
HS03P044	HS03P044	S35d3
HS00P045	HS00P045	S36d0
HS03P045	HS03P045	S36d3
HS07P045	HS07P045	S36d7
HS00P046	HS00P046	S37d0
HS03P046	HS03P046	S37d3
HS07P046	HS07P046	S37d7
HS00P047	HS00P047	S38d0
HS03P047	HS03P047	S38d3
HS07P047	HS07P047	S38d7
HS00P048	HS00P048	S39d0
HS03P048	HS03P048	S39d3
HS07P048	HS07P048	S39d7
DS00P049	DS00P049	S40d0
DS03P049	DS03P049	S40d3
DS07P049	DS07P049	S40d7
DS10P049	DS10P049	S40d10
HS00P050	HS00P050	S41d0
HS03P050	HS03P050	S41d3
HS07P050	HS07P050	S41d7
HS00P051	HS00P051	S42d0
HS03P051	HS03P051	S42d3
HS07P051	HS07P051	S42d7
IS00P052	IS00P052	S43d0
IS03P052	IS03P052	S43d3
IS07P052	IS07P052	S43d7
IS00P053	IS00P053	S44d0
IS03P053	IS03P053	S44d3
IS07P053	IS07P053	S44d7
DS00P054	DS00P054	S45d0
DS03P054	DS03P054	S45d3
DS07P054	DS07P054	S45d7
DS10P054	DS10P054	S45d10
HS00P055	HS00P055	S46d0
HS03P055	HS03P055	S46d3
HS07P055	HS07P055	S46d7
HS00P056	HS00P056	S47d0
HS03P056	HS03P056	S47d3
HS07P056	HS07P056	S47d7
HS00P057	HS00P057	S48d0
HS03P057	HS03P057	S48d3
HS07P057	HS07P057	S48d7
HS00P058	HS00P058	S49d0
HS03P058	HS03P058	S49d3
HS07P058	HS07P058	S49d7
HS00P059	HS00P059	S50d0
HS03P059	HS03P059	S50d3
HS07P059	HS07P059	S50d7
DS00P060	DS00P060	S51d0
DS03P060	DS03P060	S51d3
DS07P060	DS07P060	S51d7
HS00P061	HS00P061	S52d0
HS03P061	HS03P061	S52d3
HS07P061	HS07P061	S52d7
IS00P062	IS00P062	S53d0
IS03P062	IS03P062	S53d3
IS07P062	IS07P062	S53d7
HS00P063	HS00P063	S54d0
HS03P063	HS03P063	S54d3
HS07P063	HS07P063	S54d7
HS00P064	HS00P064	S55d0
HS03P064	HS03P064	S55d3
HS07P064	HS07P064	S55d7
DS00P065	DS00P065	S56d0
DS03P065	DS03P065	S56d3
DS07P065	DS07P065	S56d7
HS03P066	HS03P066	S57d3
HS07P066	HS07P066	S57d7
HS03P067	HS03P067	S58d3
HS00P068	HS00P068	S59d0
HS03P068	HS03P068	S59d3
HS07P068	HS07P068	S59d7
IS00P069	IS00P069	S60d0
IS03P069	IS03P069	S60d3
IS07P069	IS07P069	S60d7
IS00P070	IS00P070	S61d0
IS03P070	IS03P070	S61d3
IS07P070	IS07P070	S61d7
HS00P071	HS00P071	S62d0
HS03P071	HS03P071	S62d3
HS07P071	HS07P071	S62d7
HS00P072	HS00P072	S63d0
HS03P072	HS03P072	S63d3
HS07P072	HS07P072	S63d7
HS00P073	HS00P073	S64d0
HS03P073	HS03P073	S64d3
HS07P073	HS07P073	S64d7
HS00P074	HS00P074	S65d0
HS03P074	HS03P074	S65d3
HS07P074	HS07P074	S65d7
HS00P075	HS00P075	S66d0
HS03P075	HS03P075	S66d3
HS07P075	HS07P075	S66d7
DS00P076	DS00P076	S67d0
DS03P076	DS03P076	S67d3
DS07P076	DS07P076	S67d7
HS00P077	HS00P077	S68d0
HS03P077	HS03P077	S68d3
HS07P077	HS07P077	S68d7
IS00P081	IS00P081	S70d0
IS03P081	IS03P081	S70d3
HS00P082	HS00P082	S71d0
IS03P082	IS03P082	S71d3
IS00P083	IS00P083	S72d0
IS03P083	IS03P083	S72d3
HG00P003	HE00P003	E1d0
HE03P003	HE03P003	E1d3
HE10P003	HE10P003	E1d10
HE03P004	HE03P004	E3d3
HE07P004	HE07P004	E3d7
HE03P005	HE03P005	E4d3
HG00P010	HE00P010	E2d0
HE03P010	HE03P010	E2d3
HE07P010	HE07P010	E2d7
HG00P011	HE00P011	E9d0
HE03P011	HE03P011	E9d3
HG00P012	HE00P012	E5d0
HE03P012	HE03P012	E5d3
HE07P012	HE07P012	E5d7
IG00P013	IE00P013	E10d0
IE03P013	IE03P013	E10d3
IE07P013	IE07P013	E10d7
HG00P014	HE00P014	E7d0
HE03P014	HE03P014	E7d3
DG00P016	DE00P016	E6d0
DE03P016	DE03P016	E6d3
DE07P016	DE07P016	E6d7
DE10P016	DE10P016	E6d10
DG00P017	DE00P017	E8d0
DE03P017	DE03P017	E8d3
DE08P017	DE08P017	E8d8
HE03P019	HE03P019	E11d3
HE07P019	HE07P019	E11d7
IG00P020	IE00P020	E12d0
IE03P020	IE03P020	E12d3
IE07P020	IE07P020	E12d7
HG00P021	HE00P021	E13d0
HE03P021	HE03P021	E13d3
HE07P021	HE07P021	E13d7
HG00P022	HE00P022	E14d0
HE03P022	HE03P022	E14d3
HE07P022	HE07P022	E14d7
HG00P023	HE00P023	E15d0
HE03P023	HE03P023	E15d3
HE07P023	HE07P023	E15d7
HG00P024	HE00P024	E16d0
HE03P024	HE03P024	E16d3
HE07P024	HE07P024	E16d7
HG00P025	HE00P025	E17d0
HE03P025	HE03P025	E17d3
HE07P025	HE07P025	E17d7
HG00P026	HE00P026	E18d0
HE02P026	HE02P026	E18d3
HE05P026	HE05P026	E18d7
IE03P027	IE03P027	E19d3
IE07P027	IE07P027	E19d7
HG00P028	HE00P028	E20d0
HE03P028	HE03P028	E20d3
HE07P028	HE07P028	E20d7
HG00P046	HE00P046	E37d0
HE03P046	HE03P046	E37d3
HE07P046	HE07P046	E37d7
HG00P047	HE00P047	E38d0
HE03P047	HE03P047	E38d3
HE07P047	HE07P047	E38d7
HG00P048	HE00P048	E39d0
HE03P048	HE03P048	E39d3
HE07P048	HE07P048	E39d7
DG00P049	DE00P049	E40d0
DE03P049	DE03P049	E40d3
DE07P049	DE07P049	E40d7
HE10P049	HE10P049	E40d10
HG00P050	HE00P050	E41d0
HE03P050	HE03P050	E41d3
HG00P051	HE00P051	E42d0
HE03P051	HE03P051	E42d3
HE07P051	HE07P051	E42d7
IG00P052	IE00P052	E43d0
IE03P052	IE03P052	E43d3
IE07P052	IE07P052	E43d7
IG00P053	IE00P053	E44d0
IE03P053	IE03P053	E44d3
IE07P053	IE07P053	E44d7
DG00P054	DE00P054	E45d0
DE03P054	DE03P054	E45d3
DE07P054	DE07P054	E45d7
HE10P054	HE10P054	E45d10
HG00P055	HE00P055	E46d0
HE03P055	HE03P055	E46d3
HE07P055	HE07P055	E46d7
HG00P056	HE00P056	E47d0
HE03P056	HE03P056	E47d3
HE07P056	HE07P056	E47d7
HE03P057	HE03P057	E48d3
HE07P057	HE07P057	E48d7
HG00P058	HE00P058	E49d0
HE03P058	HE03P058	E49d3
HE07P058	HE07P058	E49d7
HG00P059	HE00P059	E50d0
HE03P059	HE03P059	E50d3
HE07P059	HE07P059	E50d7
DG00P060	DE00P060	E51d0
DE03P060	DE03P060	E51d3
DE07P060	DE07P060	E51d7
HG00P061	HE00P061	E52d0
HE03P061	HE03P061	E52d3
HE07P061	HE07P061	E52d7
IG00P062	IE00P062	E53d0
IE03P062	IE03P062	E53d3
IE07P062	IE07P062	E53d7
HG00P063	HE00P063	E54d0
HE03P063	HE03P063	E54d3
HE07P063	HE07P063	E54d7
HG00P064	HE00P064	E55d0
HE03P064	HE03P064	E55d3
HE07P064	HE07P064	E55d7
DE03P065	DE03P065	E56d3
DE07P065	DE07P065	E56d7
HG00P066	HE00P066	E57d0
HE03P066	HE03P066	E57d3
HE07P066	HE07P066	E57d7
HE03P067	HE03P067	E58d3
HE03P068	HE03P068	E59d3
HE07P068	HE07P068	E59d7
IG00P069	IE00P069	E60d0
IE03P069	IE03P069	E60d3
IE07P069	IE07P069	E60d7
IG00P070	IE00P070	E61d0
IE03P070	IE03P070	E61d3
IE07P070	IE07P070	E61d7
HG00P071	HE00P071	E62d0
HE03P071	HE03P071	E62d3
HE07P071	HE07P071	E62d7
HG00P072	HE00P072	E63d0
HE03P072	HE03P072	E63d3
HE07P072	HE07P072	E63d7
HG00P073	HE00P073	E64d0
HE03P073	HE03P073	E64d3
HE07P073	HE07P073	E64d7
HG00P074	HE00P074	E65d0
HE03P074	HE03P074	E65d3
HE07P074	HE07P074	E65d7
HG00P075	HE00P075	E66d0
HE03P075	HE03P075	E66d3
HE07P075	HE07P075	E66d7
DG00P076	DE00P076	E67d0
DE03P076	DE03P076	E67d3
DE07P076	DE07P076	E67d7
HG00P077	HE00P077	E68d0
HE03P077	HE03P077	E68d3
HE07P077	HE07P077	E68d7
HG00P078	HE00P078	E69d0
HE03P078	HE03P078	E69d3
HE07P078	HE07P078	E69d7
DG00P081	DE00P081	E70d0
DE03P081	DE03P081	E70d3
HG00P082	HE00P082	E71d0
HE03P082	HE03P082	E71d3
DG00P083	DE00P083	E72d0
DE03P083	DE03P083	E72d3
HS00P93	HS00P93	C01d0
HS00P96	HS00P96	C02d0
HS00P109	HS00P109	C03d0
HS00P110	HS00P110	C04d0
HS00P118	HS00P118	C05d0
HS00P137	HS00P137	C06d0
HS00P142	HS00P142	C07d0
HS00P167	HS00P167	C08d0
HS00P176	HS00P176	C09d0
HS00P179	HS00P179	C10d0
HS00P192	HS00P192	C11d0
HS00P198	HS00P198	C12d0
HS00P201	HS00P201	C13d0
DS04P86	DS04P86	N01d4
DS05P114	DS05P114	N02d5
DS00P119	DS00P119	N03d0
DS00P138	DS00P138	N04d0
DS04P138	DS04P138	N04d4
DS00P140	DS00P140	N05d0
DS06P140	DS06P140	N05d6
DS00P166	DS00P166	N06d0
DS10P166	DS10P166	N06d10
DS00P172	DS00P172	N07d0
DS07P172	DS07P172	N07d7
DS00P180	DS00P180	N08d0
DS06P180	DS06P180	N08d6
DS00P191	DS00P191	N09d0
DS08P191	DS08P191	N09d8
DS00P193	DS00P193	N10d0
DS07P193	DS07P193	N10d7
DS00P194	DS00P194	N11d0
DS04P194	DS04P194	N11d4
DS00P196	DS00P196	N12d0
DS05P196	DS05P196	N12d5
DS03P237	DS03P237	E152
DS03P239	DS03P239	E154
DS03P245	DS03P245	E160
DS03P272	DS03P272	E187
DS03P279	DS03P279	E194
DS03P288	DS03P288	E203
DS03P295	DS03P295	320042_1
DS03P298	DS03P298	320042_2
DS03P312	DS03P312	320042_3
DS03P313	DS03P313	228
