OTUID	DGpre	DEmed	DEpost	DSpre	DSmed	DSpost	HGpre	HEmed	HEpost	HSpre	HSmed	HSpost	IGpre	IEmed	IEpost	ISpre	ISmed	ISpost
ASV_1	6.578482	12.356905	8.829765	2.09755	3.761186	5.671591	7.906458	8.899193	9.542334	6.543063	8.240069	6.212139	7.381837	7.329114	6.392426	7.600013	6.24205	4.609575
ASV_2	3.785982	5.650604	6.614955	1.609241	3.769068	2.552235	8.760376	10.301262	9.001014	4.544779	5.533423	5.95078	5.77268	5.44923	10.999741	10.825933	6.684536	8.522089
ASV_4	7.544019	5.572609	4.985898	1.58206	1.119712	3.536324	2.802431	3.522717	3.418782	1.739938	2.362824	3.930527	4.402854	5.316345	7.202068	2.978865	1.64612	3.377311
ASV_3	2.177437	2.167564	2.869221	1.949019	3.21641	2.843416	2.512727	3.321039	4.165925	1.116253	4.003093	3.140659	3.730504	3.121401	1.749492	2.808134	4.647351	4.881313
ASV_5	4.0643465	2.9437345	4.1129501	1.1588159	0.5918733	0.8093605	2.1546303	1.4074809	1.4925389	1.4957124	2.4206877	2.2787905	2.2697651	1.4844385	3.5074771	2.3896384	1.6320375	3.5116574
ASV_11	1.7438657	4.0913729	1.280421	2.2588001	1.4247195	1.2491906	1.7163274	1.0132016	0.5852058	1.7281958	1.7800551	0.7069092	0.7700602	0.9247632	0.5431326	2.826358	0.5240188	2.9316805
ASV_7	2.8120762	1.1542961	0.6577736	2.2835464	1.6130943	1.7641829	1.7741293	1.7915189	1.4162788	1.7391487	1.6051474	1.1055549	1.440619	3.0758943	0.8326493	0.4630984	1.0238739	1.2432216
ASV_6	0.4921283	1.1803971	0.5175462	0.9395186	1.0194413	0.9389835	1.3665568	1.5504474	2.0045689	1.0344785	1.5963333	1.2808198	3.0664501	3.3553217	1.3812064	3.2456922	5.2326068	3.2549365
ASV_8	0.4480428	0.4887318	1.4771901	1.6322933	0.8585836	1.2495911	0.5175754	1.1133514	1.3006508	1.4500181	1.625388	1.7272172	0.5831883	0.4788878	0.6241938	1.3736861	0.8090058	4.9954911
ASV_9	2.6060294	1.2496011	0.538603	1.4305169	1.1897103	1.195169	1.2227069	1.6719375	1.0548216	1.0511296	2.1734768	1.1855808	1.2090588	0.7372854	1.3935842	3.0657158	1.0720389	1.7826062
ASV_14	2.363707	1.5566984	1.1469791	1.2468475	0.6283392	2.3504145	1.0497725	0.9927315	0.6343342	1.9911064	1.3385899	1.1329457	0.7672945	0.7312931	1.111181	0.3515817	1.1096729	0.7912415
ASV_13	1.1755899	0.6385777	2.1716328	1.4015732	0.7183911	1.1220837	0.7690133	1.1482182	0.8525425	2.0196334	1.2494584	1.3724465	0.1764132	0.4081089	0.3426735	0.5309538	1.9978644	0.6476431
ASV_15	1.8186794	3.1858315	1.9256053	1.3288283	0.4001222	2.0768213	0.9418278	1.0212801	0.6933423	1.1474719	0.8051283	0.8370437	0.5011692	1.1921101	2.3147879	0.7489496	1.793467	1.1837176
ASV_18	0.5254848	0.3466007	1.0517424	0.8472475	1.9529261	2.596564	0.9033683	0.5072435	0.3966602	1.2908655	0.8149075	0.7136602	0.2248732	0.2450891	0.6604136	0.2036491	0.3770092	0.3099867
ASV_12	1.2316918	0.7002944	1.2806955	0.3370525	0.4669262	0.3044069	1.4391353	1.6225685	1.3020337	0.4747689	0.5135806	0.751295	0.6883583	0.9497325	0.7430791	0.7054645	1.5527268	0.7722608
ASV_22	0.3283764	0.230289	2.0261882	0.4934715	0.3307914	0.6971371	1.1910528	0.3255172	0.3333459	0.5531924	0.596885	2.2701364	0.6418684	0.5307851	1.0535663	3.0377453	0.3270556	0.5790961
ASV_25	0.7251714	0.7448455	0.7226421	0.816114	0.8565503	0.3350843	0.6487341	0.7740933	0.6679587	0.7619681	0.9694048	1.003302	0.5208219	1.0138646	1.0395911	0.9487808	1.0286827	1.0077667
ASV_23	0.6709992	0.8450154	0.3529763	0.5143164	0.643908	0.6407737	0.7455195	0.9492514	0.7680046	0.7367116	1.0307025	0.7453444	0.5085839	0.2938913	0.7863951	0.9994758	0.7125045	0.5089786
