OTUID	All	D	H	I
ASV_1	9.2306	12.356905	 8.899193	 7.329114
ASV_2	8.860687	 5.650604	10.301262	 5.449230
ASV_4	4.108396	5.572609	3.522717	5.316345
ASV_3	3.10714	2.167564	3.321039	3.121401
ASV_6	1.748814	1.180397	1.550447	3.355322
ASV_5	1.665373	2.943735	1.407481	1.484439
ASV_7	1.87259	1.154296	1.791519	3.075894
ASV_21	1.553369	0.9079819	1.8026763	1.0640591
ASV_12	1.378226	0.7002944	1.6225685	0.9497325
ASV_11	1.495274	4.0913729	1.0132016	0.9247632
ASV_9	1.47054	1.2496011	1.6719375	0.7372854
ASV_15	1.393559	3.185832	1.021280	1.192110
ASV_46	1.239802	1.6400564	0.8042365	2.9128982
ASV_17	1.042137	0.480721	1.131724	1.236992
ASV_14	1.046021	1.5566984	0.9927315	0.7312931
ASV_8	0.922328	0.4887318	1.1133514	0.4788878
ASV_13	0.960582	0.6385777	1.1482182	0.4081089
ASV_25	0.803646	0.7448455	0.7740933	1.0138646
ASV_23	0.838876	0.8450154	0.9492514	0.2938913
ASV_48	0.764283	1.7640278	0.4632822	1.1069462
ASV_20	0.699902	0.3324508	0.8601516	0.3320694
ASV_40	0.762802	0.4889072	0.9106716	0.3500710
ASV_113	0.688821	2.2224841	0.4264117	0.2426986
ASV_24	0.61352	0.21224328	0.82955165	0.01180165
ASV_31	0.619539	0.6140849	0.5263180	1.0801301
ASV_26	0.548255	0.4597056	0.5358511	0.7083419
ASV_43	0.489118	0.4309143	0.4778473	0.6095423
ASV_47	0.449092	0.3594974	0.2913528	1.3188672
ASV_66	0.483822	0.04650604	0.06545479	3.01534372
ASV_16	0.485078	0.4958514	0.5381475	0.2142457
ASV_65	0.545113	0.5184749	0.5865729	0.3729657
ASV_36	0.434345	0.8213768	0.3674943	0.3248331
ASV_27	0.477676	0.6860856	0.4427698	0.4133844
ASV_44	0.487248	0.4019227	0.5083796	0.4802206
ASV_37	0.418764	0.5699933	0.2959931	0.8471388
ASV_18	0.443975	0.3466007	0.5072435	0.2450891
ASV_50	0.419239	0.3151932	0.4867192	0.2073261
ASV_86	0.457998	0.07505576	0.62613484	0.06914177
ASV_32	0.488519	0.5608121	0.3350825	1.1551915
ASV_85	0.448593	0.1672901	0.5612080	0.2160614
ASV_138	0.397075	0.08257134	0.30321914	1.20844130
ASV_30	0.413648	0.2566214	0.4698094	0.3165139
ASV_100	0.418296	1.4099970	0.2185322	0.2764844
ASV_73	0.480507	0.8919569	0.3982421	0.4186691
ASV_55	0.386861	0.9077892	0.2930761	0.2580186
ASV_96	0.441101	0.03786767	0.61779362	0.03336447
ASV_74	0.403447	0.4055008	0.3365207	0.7274029
ASV_33	0.386341	0.4439102	0.4312795	0.1025038
ASV_56	0.420088	0.20042333	0.54023753	0.08147844
ASV_29	0.422612	0.3266585	0.4629750	0.3337917
ASV_63	0.369486	0.4240361	0.3446555	0.4291689
ASV_79	0.39248	0.3301546	0.3766177	0.5399280
ASV_58	0.321803	0.6855705	0.2693340	0.1683503
ASV_54	0.355059	0.3132978	0.3914696	0.2245420
ASV_35	0.379318	0.2531880	0.4524100	0.1648897
ASV_22	0.339537	0.2302890	0.3255172	0.5307851
ASV_60	0.334358	0.5197223	0.2896124	0.3439599
ASV_146	0.301856	0.1681687	0.3478510	0.2280321
ASV_51	0.36363	0.1399489	0.4193049	0.3438546
ASV_34	0.325044	0.2263525	0.3727340	0.2035855
ASV_77	0.277429	0.4173446	0.2240081	0.3804485
ASV_72	0.372223	0.05183684	0.50113011	0.10423453
ASV_130	0.272499	0.1204029	0.2728075	0.4421008
ASV_49	0.284369	0.2018316	0.2427227	0.5802465
ASV_93	0.267379	0.3982450	0.2698270	0.1082233
