OTUID	DGpre	DEmed	DEpost	DSpre	DSmed	DSpost	HGpre	HEmed	HEpost	HSpre	HSmed	HSpost	IGpre	IEmed	IEpost	ISpre	ISmed	ISpost
ASV_1	4529.625	8089	6088.625	1216.941	2491.192	3233.133	5081.636	5645.795	6671.714	3934.12	4555.452	3379.575	5341.286	5131.875	4008.375	3743.214	3521.857	2179.667
ASV_2	2558.625	3706.2222	4430.875	993.1765	2643.3846	1469	5751.8788	6400.641	5669.8857	2851.82	3504.3095	3637.1	4158.5714	3946.75	6318.5	6891.5714	3890.9286	4551.4167
ASV_4	5877.625	4336.4444	3585.5	747	583.9231	2024	1880.7576	2374.4359	2474.1143	1020.3	1285.619	1942.125	3280.7143	4054.375	5657.875	1341.7143	821.6429	1496.4167
ASV_3	1328.25	1297.333	2043.875	1197.176	1975.692	2076.067	1594.788	1850.846	2351.829	700.66	2213.714	1822.55	2682.286	1690	1300.5	1324.143	2301	2037.25
ASV_5	2974.5	2208	2935.5	701.6471	371.8077	422.2667	1583.5455	945.3846	1080.3143	886.86	1441.4524	1342.975	1658.8571	1092	2773	1467.1429	806.7857	1693
ASV_11	1046.375	2776.7778	833.875	1578.8235	1124.0769	833.6667	971.8182	556.3846	332.5143	1373.54	1378.1905	442.45	566.2857	579.75	355.625	1518.9286	333.3571	2450.75
ASV_7	1969	799.5556	418.75	1698.8824	1173.7692	1062.3333	996.1515	968.1026	822.6286	1208.2	1099.4524	655.15	1073.2857	2011.125	539	243.0714	711.0714	760.5
ASV_6	309.875	823.2222	324.75	442.2941	555.1923	477.8	836.6667	1004.1026	1444.2286	617.5	903.0952	642.125	2241.7143	2484.625	1020.875	1934.2857	2996.4286	1392.6667
ASV_8	290	308	982	1176.4706	630.3846	814.6667	340.8788	661.6667	779.3143	984.7	1171.0238	1229.85	427.1429	319	446.375	1039.1429	516.8571	3560.25
ASV_9	1514	817	324.5	967.5882	820.6923	760.0667	778.9091	970.9231	677.8571	732.8	1386.6429	676.7	876.8571	462.875	993.25	1410.7857	687.7857	838
ASV_14	1441.625	1098.3333	727.125	864.2353	446.1923	1644.2667	611	559.1282	370.1714	1433.64	1005.0714	685.6	552.1429	431	680.625	210.7143	793.9286	529
ASV_13	683.375	410.2222	1368	947.8235	525.0385	810.8667	448.2727	631.9487	405.3429	1488.56	886.119	896.225	125.7143	233.625	250.625	274.1429	1469.6429	346.1667
ASV_15	1074.375	2277.4444	1221.375	885.8235	283.5	1471.6	522.3636	567.1026	360.1143	780.24	576.5476	506.375	364	666.5	1357.5	407.3571	1359.7857	857.8333
ASV_18	371.625	213.2222	695.375	567.1765	1384.1923	1770.3333	675.0303	318.3333	214.0286	914.56	546.2381	438.875	162.1429	164.625	426.75	102.4286	256.7143	180.4167
ASV_12	834.625	479.3333	834.125	149.7647	184	205.6667	880.6667	1107.5897	904.7714	267.04	255.1429	336.65	525.2857	650.75	584.75	372.2857	1032.2857	339.0833
ASV_22	220.125	165.7778	1288.75	292.3529	217.8846	417.1333	877.0909	191.2308	229.9143	348.16	424.2619	1268.3	474.7143	408.625	801.25	1309.3571	216.2857	248
ASV_25	476.625	484.8889	456.625	469.7059	566.6538	205.1333	414.2121	489.1538	456.1429	471.3	528.9048	492.125	381.1429	645.125	803.625	415.4286	428.2143	406.8333
ASV_23	402	538	224.625	351.7647	434.4231	425.7333	498.5758	540.4872	493.9143	479.76	660.5	433.775	367.1429	195.25	551.25	478.9286	460	271.9167
