OTUID	D	H	I
ASV_1	3514	4789	3783
ASV_2	2372	4490	5028
ASV_4	2084	1773	2363
ASV_3	1704	1707	1871
ASV_5	1145	1194	1502
ASV_11	1308	877	1060
ASV_7	1224	971	799
ASV_6	501	886	2055
ASV_8	741	886	1168
ASV_9	858	875	908
ASV_14	942	821	526
ASV_13	747	841	528
ASV_15	1004	566	853
ASV_18	995	537	207
ASV_12	338	591	591
ASV_22	366	545	592
ASV_25	453	477	491
ASV_23	403	518	396
ASV_17	420	492	405
ASV_20	129	588	421
ASV_38	640	446	247
ASV_16	194	505	524
ASV_26	951	300	264
ASV_10	168	430	500
ASV_27	398	359	353
ASV_21	165	450	248
ASV_65	473	318	247
ASV_40	269	378	240
ASV_54	370	333	230
ASV_35	190	387	248
ASV_31	551	260	250
ASV_33	215	334	380
ASV_37	239	288	479
ASV_51	496	270	176
ASV_87	364	282	280
ASV_39	393	287	222
ASV_67	554	240	179
ASV_55	295	309	212
ASV_52	321	306	162
ASV_36	232	318	212
ASV_29	372	247	291
ASV_57	572	233	64
ASV_43	233	281	274
ASV_46	238	232	425
ASV_59	290	218	376
ASV_30	135	266	392
ASV_138	312	217	320
ASV_42	147	286	275
ASV_72	413	203	150
ASV_60	248	268	118
ASV_41	136	294	164
ASV_48	311	227	183
ASV_24	52	341	79
ASV_32	284	207	262
ASV_113	399	203	121
ASV_34	251	229	214
ASV_69	218	252	153
ASV_62	275	202	252
ASV_49	209	183	396
ASV_28	119	314	10
ASV_50	58	244	268
ASV_58	166	241	126
ASV_81	238	182	252
ASV_56	170	235	132
ASV_47	138	188	344
ASV_44	92	209	319
ASV_71	494	114	148
ASV_73	241	166	269
ASV_94	219	167	209
ASV_53	46	254	67
ASV_66	191	127	349
ASV_74	120	173	252
ASV_63	137	182	194
ASV_90	239	176	82
ASV_119	195	160	193
ASV_881	149	157	234
ASV_86	124	154	277
ASV_88	190	172	106
ASV_79	172	162	160
ASV_77	132	171	170
ASV_124	141	164	160
ASV_99	201	131	185
ASV_85	245	139	88
ASV_75	130	141	222
ASV_84	73	155	231
ASV_106	304	111	91
ASV_76	187	151	95
ASV_78	125	145	179
ASV_83	74	155	197
ASV_64	454	65	19
ASV_97	151	138	133
ASV_89	150	147	98
ASV_70	83	143	190
ASV_100	287	91	111
ASV_93	92	156	122
ASV_118	75	175	68
ASV_98	182	45	419
ASV_61	55	135	233
ASV_117	255	99	68
ASV_104	204	116	54
ASV_105	290	68	121
ASV_136	231	55	244
ASV_174	244	95	67
ASV_112	155	91	197
ASV_111	84	135	105
ASV_126	231	91	76
ASV_96	15	152	126
ASV_130	81	117	165
ASV_137	60	157	34
ASV_107	408	30	38
ASV_109	100	133	53
ASV_189	160	100	95
ASV_92	12	124	195
ASV_82	61	103	208
ASV_95	51	138	83
ASV_110	185	92	79
ASV_80	473	9	1
ASV_114	261	79	14
ASV_199	182	86	85
ASV_159	142	105	63
ASV_116	55	114	144
ASV_122	130	109	64
ASV_120	108	114	55
ASV_91	159	82	103
ASV_152	125	88	98
ASV_129	138	98	42
ASV_176	251	46	89
ASV_200	80	105	90
ASV_103	121	94	68
ASV_154	159	76	88
ASV_148	33	128	55
ASV_209	123	96	43
ASV_115	76	93	108
ASV_188	126	84	55
ASV_203	202	56	56
ASV_146	76	92	72
ASV_142	43	106	60
ASV_143	52	94	90
ASV_108	44	65	197
ASV_123	180	55	50
ASV_125	158	71	17
ASV_407	230	44	13
ASV_141	59	83	90
ASV_127	65	84	76
ASV_140	62	60	153
ASV_135	30	76	129
ASV_147	50	74	106
ASV_158	84	87	8
ASV_220	81	67	81
ASV_197	159	57	13
ASV_134	104	63	48
ASV_207	92	54	98
ASV_101	1	72	152
ASV_145	7	105	17
ASV_167	15	80	84
ASV_149	48	77	52
ASV_870	61	58	105
ASV_210	92	67	29
ASV_157	78	66	49
ASV_319	76	74	17
ASV_144	30	74	74
ASV_121	35	71	72
ASV_311	37	65	91
ASV_166	42	72	56
ASV_177	21	71	88
ASV_208	98	57	35
ASV_150	116	39	76
ASV_133	43	72	44
ASV_187	90	56	45
ASV_212	47	66	60
ASV_235	52	59	73
ASV_165	18	41	188
ASV_221	65	49	92
ASV_151	41	71	39
ASV_169	25	43	165
ASV_139	172	28	23
ASV_193	145	27	64
ASV_202	42	51	106
ASV_186	78	50	64
ASV_163	38	72	28
ASV_247	63	66	20
ASV_294	72	63	21
ASV_182	73	37	116
ASV_128	3	61	113
ASV_161	13	56	118
ASV_278	123	36	48
ASV_168	61	61	36
ASV_245	40	37	152
ASV_131	41	40	136
ASV_206	45	65	33
ASV_180	41	60	58
ASV_156	12	77	27
ASV_284	43	56	65
ASV_217	60	55	48
ASV_181	70	33	113
ASV_185	80	55	15
ASV_211	76	45	57
ASV_225	41	68	15
ASV_179	95	36	65
ASV_281	19	75	7
ASV_230	25	65	38
ASV_192	29	43	115
ASV_184	53	53	41
ASV_132	31	66	21
ASV_196	22	68	23
ASV_160	47	52	52
ASV_229	136	24	40
ASV_195	23	53	79
ASV_201	27	67	14
ASV_153	69	47	34
ASV_226	160	18	22
ASV_162	33	59	33
ASV_231	82	36	53
ASV_171	27	67	6
ASV_194	110	35	17
ASV_183	26	45	88
ASV_175	25	60	32
ASV_172	156	12	41
ASV_301	7	49	93
ASV_433	86	43	13
ASV_309	59	47	30
ASV_173	11	65	26
ASV_333	43	55	16
ASV_577	26	47	70
ASV_342	133	21	27
ASV_214	57	45	31
ASV_204	146	5	66
ASV_223	33	53	29
ASV_255	39	55	11
ASV_164	55	39	42
ASV_282	81	33	32
ASV_286	81	35	25
ASV_483	41	47	30
ASV_190	6	31	136
ASV_280	49	43	30
ASV_786	40	39	55
ASV_246	39	45	33
ASV_358	91	25	36
ASV_368	76	32	30
ASV_178	26	42	58
ASV_241	43	38	47
ASV_222	55	34	47
ASV_361	35	44	35
ASV_507	38	38	54
ASV_426	114	21	16
ASV_251	18	45	46
ASV_224	7	57	17
ASV_363	100	27	8
ASV_205	15	43	58
ASV_234	37	29	82
ASV_334	130	14	13
ASV_262	53	37	26
ASV_198	62	34	27
ASV_219	10	38	77
ASV_216	1	51	40
ASV_228	38	42	21
ASV_1119	94	25	15
ASV_276	62	30	35
ASV_269	32	37	48
ASV_793	57	35	20
ASV_472	73	29	21
ASV_303	102	21	12
ASV_273	85	18	41
ASV_297	63	24	47
ASV_488	22	34	62
ASV_237	6	50	21
ASV_218	43	35	25
ASV_299	22	35	53
ASV_341	33	38	25
ASV_264	122	12	6
ASV_350	53	33	15
ASV_615	58	34	3
ASV_244	31	35	35
ASV_256	49	32	24
ASV_355	11	50	3
ASV_324	21	36	41
ASV_265	28	28	62
ASV_259	36	34	29
ASV_232	55	29	23
ASV_215	38	36	15
ASV_260	2	49	13
ASV_570	62	30	9
ASV_456	95	16	12
ASV_409	68	23	19
ASV_242	12	28	73
ASV_252	9	33	57
ASV_388	34	33	24
ASV_293	4	32	68
ASV_238	48	23	44
ASV_313	46	33	7
ASV_250	38	31	23
ASV_345	22	27	58
ASV_249	36	31	26
ASV_338	20	37	26
ASV_292	22	38	16
ASV_285	35	29	31
ASV_233	87	16	10
ASV_556	24	36	17
ASV_257	25	24	61
ASV_491	49	23	32
ASV_270	69	21	14
ASV_227	15	34	34
ASV_754	57	25	11
ASV_307	113	5	13
ASV_314	22	32	29
ASV_462	47	26	19
ASV_320	75	18	15
ASV_335	43	29	14
ASV_392	36	33	7
ASV_258	20	38	7
ASV_310	49	20	35
ASV_283	47	19	43
ASV_1153	20	28	44
ASV_528	43	28	14
ASV_446	12	37	19
ASV_327	48	26	12
ASV_343	30	31	13
ASV_346	19	35	14
ASV_377	52	23	14
ASV_521	76	16	12
ASV_715	106	7	5
ASV_275	20	30	26
ASV_243	25	32	13
ASV_481	64	15	24
ASV_396	45	24	14
ASV_248	17	36	5
ASV_630	49	25	5
ASV_236	10	33	26
ASV_474	37	20	39
ASV_520	65	10	41
ASV_340	33	24	31
ASV_305	17	30	27
ASV_423	9	37	10
ASV_298	1	14	107
ASV_267	27	25	32
ASV_347	43	24	13
ASV_289	43	23	18
ASV_308	0	42	0
ASV_326	37	23	23
ASV_348	35	18	43
ASV_662	56	17	17
ASV_783	18	30	15
ASV_449	22	30	12
ASV_375	24	27	19
ASV_402	33	22	27
ASV_891	25	22	37
ASV_352	60	18	6
ASV_277	18	29	19
ASV_300	10	33	13
ASV_436	19	27	22
ASV_302	36	26	6
ASV_498	56	16	14
ASV_460	75	12	5
ASV_239	101	2	7
ASV_316	26	15	59
ASV_578	44	21	12
ASV_339	21	30	9
ASV_290	81	8	9
ASV_466	48	21	4
ASV_279	8	34	8
ASV_373	96	4	2
ASV_268	12	31	14
ASV_272	5	17	74
ASV_328	1	34	15
ASV_496	50	20	2
ASV_359	29	23	18
ASV_254	24	29	0
ASV_389	52	15	16
ASV_644	56	17	4
ASV_323	21	22	31
ASV_315	73	8	15
ASV_253	0	34	10
ASV_287	1	19	65
ASV_422	54	15	12
ASV_410	16	17	52
ASV_337	6	31	12
ASV_1044	20	23	25
ASV_329	15	30	4
ASV_533	54	16	6
ASV_390	21	25	11
ASV_438	32	20	17
ASV_1237	70	11	2
ASV_400	24	25	7
ASV_601	53	15	9
ASV_428	5	34	0
ASV_470	30	20	18
ASV_266	68	2	37
ASV_371	59	14	4
ASV_506	50	16	8
ASV_414	9	30	7
ASV_365	33	20	15
ASV_376	6	31	6
ASV_524	15	22	28
ASV_432	36	20	10
ASV_288	3	23	39
ASV_801	33	22	4
ASV_291	25	15	42
ASV_322	101	0	0
ASV_296	11	21	36
ASV_412	22	24	10
ASV_385	23	21	19
ASV_405	13	28	6
ASV_387	16	24	17
ASV_886	22	22	14
ASV_1133	42	18	2
ASV_317	14	25	14
ASV_360	31	21	7
ASV_325	24	17	31
ASV_529	34	16	20
ASV_372	5	30	7
ASV_885	15	19	32
ASV_306	19	21	19
ASV_394	37	18	7
ASV_1126	56	11	7
ASV_331	26	22	6
ASV_1219	30	19	9
ASV_263	0	0	122
ASV_399	22	22	9
ASV_590	24	21	6
ASV_304	31	19	5
ASV_475	31	20	2
ASV_945	24	16	23
ASV_495	37	14	16
ASV_594	17	18	26
ASV_403	31	16	12
ASV_567	10	25	9
ASV_546	20	18	21
ASV_439	19	21	11
ASV_761	40	15	6
ASV_452	28	17	16
ASV_437	39	14	8
ASV_398	32	17	8
ASV_391	2	29	1
ASV_1023	37	16	5
ASV_418	16	20	14
ASV_482	23	17	17
ASV_1199	14	20	19
ASV_321	11	5	76
ASV_471	41	14	4
ASV_685	49	10	7
ASV_395	50	9	9
ASV_381	13	10	53
ASV_356	21	17	15
ASV_1066	29	16	6
ASV_1072	17	14	30
ASV_312	52	8	8
ASV_485	10	24	4
ASV_353	14	20	12
ASV_330	7	25	1
ASV_419	19	13	31
ASV_357	29	14	14
ASV_351	46	9	7
ASV_295	70	2	5
ASV_589	5	24	5
ASV_930	35	12	11
ASV_378	18	17	16
ASV_545	10	21	8
ASV_440	6	22	12
ASV_383	2	9	64
ASV_427	9	18	21
ASV_382	26	11	26
ASV_374	11	17	20
ASV_604	37	11	8
ASV_366	3	24	5
ASV_458	17	16	16
ASV_397	4	22	11
ASV_635	37	10	10
ASV_494	21	16	11
ASV_454	22	12	25
ASV_349	46	7	9
ASV_430	3	12	47
ASV_522	29	11	17
ASV_420	18	12	27
ASV_1182	23	16	7
ASV_336	8	22	5
ASV_463	20	17	7
ASV_415	5	21	11
ASV_616	31	12	12
ASV_1084	7	20	9
ASV_384	6	21	8
ASV_996	39	11	4
ASV_1208	37	11	5
ASV_408	14	18	6
ASV_457	23	13	14
ASV_519	32	12	5
ASV_584	16	16	11
ASV_769	5	11	43
ASV_404	12	17	11
ASV_421	15	14	18
ASV_559	16	16	10
ASV_344	3	22	4
ASV_411	4	20	12
ASV_707	28	10	16
ASV_637	35	11	4
ASV_477	8	14	28
ASV_406	43	7	8
ASV_729	20	16	5
ASV_583	14	16	11
ASV_465	7	17	15
ASV_734	44	8	1
ASV_369	2	22	1
ASV_684	44	7	6
ASV_550	15	18	0
ASV_651	11	17	8
ASV_531	2	17	23
ASV_401	3	22	1
ASV_1000	11	17	10
ASV_512	31	11	3
ASV_530	7	18	12
ASV_592	6	18	11
ASV_688	18	16	3
ASV_744	18	13	12
ASV_653	10	18	3
ASV_459	4	17	14
ASV_416	2	22	0
ASV_833	14	17	2
ASV_490	10	17	7
ASV_587	33	10	2
ASV_657	11	17	6
ASV_425	22	9	22
ASV_772	40	7	5
ASV_469	7	19	2
ASV_525	12	7	41
ASV_379	51	4	2
ASV_639	3	20	5
ASV_431	14	7	40
ASV_489	29	8	14
ASV_668	22	12	8
ASV_370	19	9	23
ASV_693	20	13	9
ASV_934	18	15	5
ASV_455	19	13	9
ASV_442	63	0	0
ASV_730	15	15	6
ASV_557	27	10	6
ASV_571	26	12	2
ASV_624	18	12	12
ASV_979	21	13	4
ASV_464	6	15	13
ASV_518	9	16	6
ASV_503	15	15	4
ASV_467	8	17	4
ASV_386	0	14	26
ASV_362	2	18	6
ASV_549	5	17	6
ASV_526	11	16	4
ASV_393	3	16	13
ASV_501	3	19	3
ASV_561	11	16	3
ASV_989	9	16	6
ASV_842	43	5	2
ASV_473	10	11	21
ASV_595	48	3	1
ASV_950	3	18	4
ASV_535	30	8	8
ASV_739	19	10	12
ASV_1224	11	15	2
ASV_354	55	0	2
ASV_751	14	13	8
ASV_453	8	15	6
ASV_504	14	11	14
ASV_486	18	11	9
ASV_894	15	14	1
ASV_976	23	11	4
ASV_937	11	14	7
ASV_443	3	15	15
ASV_502	10	15	5
ASV_508	6	13	16
ASV_499	4	17	5
ASV_536	2	17	7
ASV_580	5	14	16
ASV_591	4	13	19
ASV_756	20	11	5
ASV_479	19	7	21
ASV_702	29	8	6
ASV_1118	12	14	4
ASV_447	7	14	11
ASV_659	13	8	24
ASV_511	4	18	0
ASV_904	31	5	12
ASV_922	38	5	3
ASV_538	4	7	41
ASV_619	7	14	9
ASV_1140	23	9	4
ASV_500	3	17	3
ASV_1082	8	9	26
ASV_555	11	11	13
ASV_451	7	9	26
ASV_480	21	4	26
ASV_753	35	5	2
ASV_461	42	2	5
ASV_574	5	12	16
ASV_652	20	10	2
ASV_767	7	14	3
ASV_1165	25	7	9
ASV_636	26	8	2
ASV_948	15	11	5
ASV_821	15	8	17
ASV_1090	19	10	3
ASV_527	8	14	5
ASV_655	16	11	3
ASV_663	19	8	8
ASV_1216	27	7	2
ASV_627	16	9	12
ASV_664	15	11	4
ASV_721	13	12	3
ASV_450	9	12	6
ASV_831	28	5	8
ASV_608	30	6	4
ASV_683	17	8	13
ASV_581	2	16	1
ASV_532	18	10	3
ASV_478	19	9	6
ASV_558	8	8	23
ASV_497	12	11	7
ASV_763	14	9	14
ASV_448	8	14	0
ASV_670	4	15	3
ASV_596	10	12	5
ASV_1209	10	8	22
ASV_542	18	7	12
ASV_698	6	10	19
ASV_417	0	16	3
ASV_724	19	8	9
ASV_516	36	3	5
ASV_847	18	10	4
ASV_1079	14	10	6
ASV_830	36	4	2
ASV_623	3	15	3
ASV_749	8	12	5
ASV_717	19	8	6
ASV_588	15	9	7
ASV_723	17	8	10
ASV_537	8	11	8
