OTUID	All	med	post	pre
ASV_1	7.083727	7.595478	7.157911	6.468415
ASV_2	6.547175	6.667982	7.072312	5.937582
ASV_4	3.087455	2.764254	3.965718	2.629833
ASV_3	3.00037	3.556662	3.471275	1.974518
ASV_5	1.920123	1.689616	2.191815	1.918189
ASV_11	1.455845	1.4701203	0.9937714	1.8632446
ASV_7	1.555951	1.656202	1.246583	1.731692
ASV_6	1.657408	1.918417	1.607853	1.423519
ASV_8	1.319237	1.112797	1.780613	1.118048
ASV_9	1.423771	1.591140	1.178969	1.468653
ASV_14	1.198969	1.062827	1.104542	1.430985
ASV_13	1.170471	1.108102	1.097070	1.304332
ASV_15	1.101252	1.067872	1.161261	1.082069
ASV_18	0.860584	0.8343691	0.8372463	0.9099745
ASV_12	0.882556	0.9610821	0.8953086	0.7868864
ASV_22	0.848783	0.4149462	1.2247187	0.9690070
ASV_25	0.813583	0.8868916	0.8027794	0.7450436
ASV_23	0.757437	0.8477047	0.6909174	0.7217197
ASV_17	0.73369	0.5727343	0.6275896	1.0029271
ASV_20	0.709129	0.8448953	0.5118299	0.7443673
ASV_38	0.665793	0.3672931	0.5184250	1.1199199
ASV_16	0.732162	0.9032118	0.7736425	0.5112364
ASV_26	0.653198	0.7052047	0.7553692	0.5041040
ASV_10	0.434631	0.4215653	0.2554859	0.6124784
ASV_27	0.536294	0.5547679	0.5814692	0.4752085
ASV_21	0.562421	0.9446539	0.3685537	0.3308571
ASV_65	0.533493	0.4697817	0.4336601	0.6929679
ASV_40	0.513482	0.4704290	0.6751926	0.4116181
ASV_54	0.505681	0.4255468	0.5578702	0.5436663
ASV_35	0.49023	0.3891783	0.6434447	0.4581816
ASV_31	0.492268	0.5999385	0.4389971	0.4258141
ASV_33	0.496719	0.4853644	0.5177770	0.4896032
ASV_37	0.540712	0.4762981	0.8126543	0.3608668
ASV_51	0.45446	0.4278525	0.2917630	0.6317461
ASV_87	0.467254	0.3560509	0.5458310	0.5143391
ASV_39	0.471048	0.5857126	0.4816891	0.3386504
ASV_67	0.474004	0.3031966	0.3639617	0.7573860
ASV_55	0.438147	0.2945736	0.5546247	0.4851929
ASV_52	0.435328	0.3731855	0.3592289	0.5714163
ASV_36	0.452658	0.4605014	0.4893673	0.4106884
ASV_29	0.437292	0.4602059	0.4133356	0.4346945
ASV_57	0.471798	0.2431743	0.4200410	0.7637153
ASV_43	0.439748	0.4548794	0.4253056	0.4367718
ASV_46	0.423981	0.6635623	0.3139036	0.2683743
ASV_59	0.422238	0.3944346	0.4425092	0.4334397
ASV_30	0.435498	0.4983407	0.4678101	0.3387140
ASV_138	0.396601	0.3339914	0.4712711	0.3952760
ASV_42	0.434915	0.3957588	0.4893345	0.4270240
ASV_72	0.394784	0.5959478	0.2747669	0.2893680
ASV_60	0.351048	0.2878385	0.4456373	0.3321440
ASV_41	0.367273	0.2203212	0.4347371	0.4627663
ASV_48	0.363443	0.4524044	0.2625364	0.3605759
ASV_24	0.337585	0.3921184	0.1841634	0.4195870
ASV_32	0.388984	0.3229067	0.3620660	0.4842955
ASV_113	0.363358	0.4486541	0.2792300	0.3490658
ASV_34	0.347995	0.3614586	0.4602751	0.2308853
ASV_69	0.338111	0.3906358	0.3690186	0.2536487
ASV_62	0.345611	0.3418402	0.3720963	0.3254182
ASV_49	0.348091	0.3920340	0.4196614	0.2356161
ASV_28	0.337711	0.4552438	0.2560156	0.2867080
ASV_50	0.331769	0.2376901	0.4514677	0.3229202
ASV_58	0.313701	0.2787237	0.3763168	0.2938420
ASV_81	0.32312	0.3044590	0.3777838	0.2930805
ASV_56	0.317143	0.3870741	0.3198735	0.2398345
ASV_47	0.297981	0.2378681	0.3500367	0.3146716
ASV_44	0.344205	0.2932403	0.3159053	0.4246124
ASV_71	0.289448	0.3899714	0.1805299	0.2815416
ASV_73	0.33991	0.3372097	0.3923609	0.2948208
ASV_94	0.291902	0.2376716	0.3159858	0.3278865
ASV_53	0.300977	0.07659428	0.70959580	0.16723898
ASV_66	0.244318	0.3060492	0.1726934	0.2437975
ASV_74	0.296383	0.2778612	0.3892288	0.2312674
ASV_63	0.276204	0.2947969	0.3001925	0.2343712
ASV_90	0.283875	0.1851763	0.3225292	0.3541015
ASV_119	0.257567	0.20462227	0.08681479	0.47039721
ASV_881	0.320993	0.3020027	0.3655159	0.3005804
ASV_86	0.258125	0.2683681	0.1755091	0.3227381
ASV_88	0.262901	0.2237460	0.2467625	0.3195497
ASV_79	0.266268	0.2861717	0.2809433	0.2315506
ASV_77	0.258195	0.2158020	0.3294353	0.2383788
ASV_124	0.246183	0.2049360	0.3104873	0.2314857
ASV_99	0.229533	0.1651187	0.2091117	0.3171204
ASV_85	0.232237	0.3381593	0.2136267	0.1359468
ASV_75	0.253645	0.3178202	0.2243873	0.2117549
ASV_84	0.251186	0.2113812	0.3275479	0.2239161
ASV_106	0.213502	0.2192331	0.2226529	0.1990005
ASV_76	0.238757	0.3208245	0.2012069	0.1853122
ASV_78	0.229411	0.2190212	0.1906945	0.2759399
ASV_83	0.264354	0.2657563	0.3265710	0.2059423
ASV_64	0.222117	0.2975671	0.2613508	0.1055140
ASV_97	0.225916	0.2525633	0.2102756	0.2117178
ASV_89	0.209228	0.2163375	0.1208562	0.2824585
ASV_70	0.208977	0.1515453	0.2757320	0.2093539
ASV_100	0.205728	0.2288221	0.2227255	0.1654756
ASV_93	0.229114	0.2022926	0.2696228	0.2207516
ASV_118	0.198104	0.2189977	0.2552430	0.1234873
ASV_98	0.195323	0.2966850	0.1085138	0.1662948
ASV_61	0.231763	0.2762682	0.2688736	0.1502063
ASV_117	0.195658	0.2576912	0.1016041	0.2153317
ASV_104	0.198944	0.2388853	0.1941803	0.1605729
