OTUID	variable	value
DE03P016	ASV_11	1186
DE03P017	ASV_11	345
DE03P049	ASV_11	24
DE03P054	ASV_11	105
DE03P060	ASV_11	712
DE03P065	ASV_11	162
DE03P076	ASV_11	103
DE03P081	ASV_11	21518
DE03P083	ASV_11	836
DE07P016	ASV_11	4404
DE07P049	ASV_11	56
DE07P054	ASV_11	244
DE07P060	ASV_11	78
DE07P065	ASV_11	111
DE07P076	ASV_11	328
DE08P017	ASV_11	449
DE10P016	ASV_11	1001
DG00P016	ASV_11	2166
DG00P017	ASV_11	644
DG00P049	ASV_11	55
DG00P054	ASV_11	857
DG00P060	ASV_11	171
DG00P076	ASV_11	55
DG00P081	ASV_11	3534
DG00P083	ASV_11	889
DS00P030	ASV_11	39
DS00P037	ASV_11	46
DS00P049	ASV_11	559
DS00P054	ASV_11	896
DS00P060	ASV_11	895
DS00P065	ASV_11	78
DS00P076	ASV_11	786
DS00P119	ASV_11	352
DS00P138	ASV_11	5250
DS00P140	ASV_11	13217
DS00P166	ASV_11	448
DS00P172	ASV_11	412
DS00P180	ASV_11	897
DS00P191	ASV_11	676
DS00P193	ASV_11	849
DS00P194	ASV_11	1388
DS00P196	ASV_11	52
DS03P016	ASV_11	398
DS03P017	ASV_11	388
DS03P030	ASV_11	36
DS03P037	ASV_11	63
DS03P049	ASV_11	691
DS03P054	ASV_11	554
DS03P060	ASV_11	126
DS03P065	ASV_11	5
DS03P076	ASV_11	122
DS03P237	ASV_11	28
DS03P239	ASV_11	495
DS03P245	ASV_11	91
DS03P272	ASV_11	294
DS03P279	ASV_11	359
DS03P288	ASV_11	1052
DS03P295	ASV_11	4426
DS03P298	ASV_11	6169
DS03P312	ASV_11	3675
DS03P313	ASV_11	143
DS04P138	ASV_11	3813
DS04P194	ASV_11	89
DS04P86	ASV_11	729
DS05P114	ASV_11	4431
DS05P196	ASV_11	185
DS06P140	ASV_11	860
DS06P180	ASV_11	4
DS07P016	ASV_11	194
DS07P037	ASV_11	559
DS07P049	ASV_11	189
DS07P054	ASV_11	471
DS07P060	ASV_11	659
DS07P065	ASV_11	6
DS07P076	ASV_11	5676
DS07P172	ASV_11	4
DS07P193	ASV_11	2792
DS08P017	ASV_11	141
DS08P191	ASV_11	18
DS10P016	ASV_11	189
DS10P049	ASV_11	977
DS10P054	ASV_11	600
DS10P166	ASV_11	30
HE02P026	ASV_11	760
HE03P003	ASV_11	143
HE03P004	ASV_11	2442
HE03P005	ASV_11	525
HE03P010	ASV_11	1081
HE03P011	ASV_11	1495
HE03P012	ASV_11	2810
HE03P014	ASV_11	490
HE03P019	ASV_11	332
HE03P021	ASV_11	3267
HE03P022	ASV_11	676
HE03P023	ASV_11	253
HE03P024	ASV_11	639
HE03P025	ASV_11	1469
HE03P028	ASV_11	1004
HE03P046	ASV_11	95
HE03P047	ASV_11	440
HE03P048	ASV_11	49
HE03P050	ASV_11	70
HE03P051	ASV_11	201
HE03P055	ASV_11	76
HE03P056	ASV_11	52
HE03P057	ASV_11	51
HE03P058	ASV_11	334
HE03P059	ASV_11	53
HE03P061	ASV_11	139
HE03P063	ASV_11	14
HE03P064	ASV_11	96
HE03P066	ASV_11	9
HE03P067	ASV_11	110
HE03P068	ASV_11	709
HE03P071	ASV_11	33
HE03P072	ASV_11	45
HE03P073	ASV_11	250
HE03P074	ASV_11	92
HE03P075	ASV_11	193
HE03P077	ASV_11	45
HE03P078	ASV_11	280
HE03P082	ASV_11	877
HE05P026	ASV_11	474
HE07P004	ASV_11	657
HE07P010	ASV_11	226
HE07P012	ASV_11	2125
HE07P019	ASV_11	460
HE07P021	ASV_11	933
HE07P022	ASV_11	273
HE07P023	ASV_11	397
HE07P024	ASV_11	106
HE07P025	ASV_11	487
HE07P028	ASV_11	681
HE07P046	ASV_11	47
HE07P047	ASV_11	51
HE07P048	ASV_11	41
HE07P051	ASV_11	334
HE07P055	ASV_11	77
HE07P056	ASV_11	41
HE07P057	ASV_11	63
HE07P058	ASV_11	1115
HE07P059	ASV_11	667
HE07P061	ASV_11	76
HE07P063	ASV_11	31
HE07P064	ASV_11	9
HE07P066	ASV_11	11
HE07P068	ASV_11	35
HE07P071	ASV_11	40
HE07P072	ASV_11	211
HE07P073	ASV_11	51
HE07P074	ASV_11	41
HE07P075	ASV_11	99
HE07P077	ASV_11	26
HE07P078	ASV_11	891
HE10P003	ASV_11	320
HE10P049	ASV_11	36
HE10P054	ASV_11	506
HG00P003	ASV_11	597
HG00P010	ASV_11	315
HG00P011	ASV_11	202
HG00P012	ASV_11	5065
HG00P014	ASV_11	1266
HG00P021	ASV_11	5721
HG00P022	ASV_11	666
HG00P023	ASV_11	211
HG00P024	ASV_11	435
HG00P025	ASV_11	1135
HG00P026	ASV_11	3832
HG00P028	ASV_11	1051
HG00P046	ASV_11	52
HG00P047	ASV_11	154
HG00P048	ASV_11	280
HG00P050	ASV_11	32
HG00P051	ASV_11	142
HG00P055	ASV_11	36
HG00P056	ASV_11	85
HG00P058	ASV_11	335
HG00P059	ASV_11	307
HG00P061	ASV_11	96
HG00P063	ASV_11	1919
HG00P064	ASV_11	101
HG00P066	ASV_11	2
HG00P071	ASV_11	82
HG00P072	ASV_11	72
HG00P073	ASV_11	456
HG00P074	ASV_11	56
HG00P075	ASV_11	44
HG00P077	ASV_11	1226
HG00P078	ASV_11	127
HG00P082	ASV_11	5970
HS00P003	ASV_11	61
HS00P004	ASV_11	248
HS00P010	ASV_11	158
HS00P011	ASV_11	122
HS00P012	ASV_11	231
HS00P014	ASV_11	121
HS00P019	ASV_11	101
HS00P025	ASV_11	172
HS00P029	ASV_11	99
HS00P031	ASV_11	0
HS00P034	ASV_11	220
HS00P036	ASV_11	7
