OTU	Group
ASV_1	E
ASV_1	S
ASV_2	E
ASV_2	S
ASV_4	E
ASV_4	S
ASV_3	E
ASV_3	S
ASV_5	E
ASV_5	S
ASV_11	E
ASV_11	S
ASV_7	E
ASV_7	S
ASV_6	E
ASV_6	S
ASV_8	E
ASV_8	S
ASV_9	E
ASV_9	S
ASV_14	E
ASV_14	S
ASV_13	E
ASV_13	S
ASV_15	E
ASV_15	S
ASV_18	E
ASV_18	S
ASV_12	E
ASV_12	S
ASV_22	E
ASV_22	S
ASV_25	E
ASV_25	S
ASV_23	E
ASV_23	S
ASV_17	E
ASV_17	S
ASV_20	E
ASV_20	S
ASV_38	E
ASV_38	S
ASV_16	E
ASV_16	S
ASV_26	E
ASV_26	S
ASV_10	S
ASV_27	E
ASV_27	S
ASV_21	E
ASV_21	S
ASV_65	E
ASV_65	S
ASV_40	E
ASV_40	S
ASV_54	E
ASV_54	S
ASV_35	E
ASV_35	S
ASV_31	E
ASV_31	S
ASV_33	E
ASV_33	S
ASV_37	E
ASV_37	S
ASV_51	E
ASV_51	S
ASV_87	E
ASV_87	S
ASV_39	E
ASV_39	S
ASV_67	E
ASV_67	S
ASV_55	E
ASV_55	S
ASV_52	E
ASV_52	S
ASV_36	E
ASV_36	S
ASV_29	E
ASV_29	S
ASV_57	E
ASV_57	S
ASV_43	E
ASV_43	S
ASV_46	E
ASV_46	S
ASV_59	E
ASV_59	S
ASV_30	E
ASV_30	S
ASV_138	E
ASV_138	S
ASV_42	E
ASV_42	S
ASV_72	E
ASV_72	S
ASV_60	E
ASV_60	S
ASV_41	E
ASV_41	S
ASV_48	E
ASV_48	S
ASV_24	E
ASV_24	S
ASV_32	E
ASV_32	S
ASV_113	E
ASV_113	S
ASV_34	E
ASV_34	S
ASV_69	E
ASV_69	S
ASV_62	E
ASV_62	S
ASV_49	E
ASV_49	S
ASV_28	S
ASV_50	E
ASV_50	S
ASV_58	E
ASV_58	S
ASV_81	E
ASV_81	S
ASV_56	E
ASV_56	S
ASV_47	E
ASV_47	S
ASV_44	E
ASV_44	S
ASV_71	E
ASV_71	S
ASV_73	E
ASV_73	S
ASV_94	E
ASV_94	S
ASV_53	E
ASV_53	S
ASV_66	E
ASV_66	S
ASV_74	E
ASV_74	S
ASV_63	E
ASV_63	S
ASV_90	E
ASV_90	S
ASV_119	E
ASV_119	S
ASV_881	E
ASV_881	S
ASV_86	E
ASV_86	S
ASV_88	E
ASV_88	S
ASV_79	E
ASV_79	S
ASV_77	E
ASV_77	S
ASV_124	E
ASV_124	S
ASV_99	E
ASV_99	S
ASV_85	E
ASV_85	S
ASV_75	E
ASV_75	S
ASV_84	E
ASV_84	S
ASV_106	E
ASV_106	S
ASV_76	E
ASV_76	S
ASV_78	E
ASV_78	S
ASV_83	E
ASV_83	S
ASV_64	S
ASV_97	E
ASV_97	S
ASV_89	E
ASV_89	S
ASV_70	E
ASV_70	S
ASV_100	E
ASV_100	S
ASV_93	E
ASV_93	S
ASV_118	S
ASV_98	S
ASV_61	E
ASV_61	S
ASV_117	S
ASV_104	E
ASV_104	S
ASV_105	S
ASV_136	S
ASV_174	E
ASV_174	S
ASV_112	E
ASV_112	S
ASV_111	E
ASV_111	S
ASV_126	E
ASV_126	S
ASV_96	E
ASV_96	S
ASV_130	E
ASV_130	S
ASV_137	S
ASV_107	S
ASV_109	S
ASV_189	E
ASV_189	S
ASV_92	E
ASV_82	E
ASV_82	S
ASV_95	E
ASV_95	S
ASV_110	E
ASV_110	S
ASV_80	S
ASV_114	S
ASV_199	S
ASV_159	E
ASV_159	S
ASV_116	E
ASV_116	S
ASV_122	S
ASV_120	E
ASV_120	S
ASV_91	E
ASV_91	S
ASV_152	E
ASV_152	S
ASV_129	E
ASV_129	S
ASV_176	E
ASV_176	S
ASV_200	E
ASV_200	S
ASV_103	E
ASV_103	S
ASV_154	E
ASV_154	S
ASV_148	E
ASV_209	S
ASV_115	E
ASV_188	S
ASV_203	S
ASV_146	E
ASV_142	E
ASV_142	S
ASV_143	E
ASV_143	S
ASV_108	E
ASV_108	S
ASV_123	E
ASV_123	S
ASV_125	E
ASV_125	S
ASV_407	S
ASV_141	E
ASV_141	S
ASV_127	E
ASV_127	S
ASV_140	E
ASV_140	S
ASV_135	E
ASV_147	E
ASV_147	S
ASV_158	E
ASV_158	S
ASV_220	E
ASV_197	S
ASV_134	S
ASV_207	S
ASV_101	E
ASV_101	S
ASV_145	S
ASV_167	E
ASV_167	S
ASV_149	E
ASV_870	E
ASV_870	S
ASV_210	S
ASV_157	E
ASV_319	S
ASV_144	E
ASV_144	S
ASV_121	E
ASV_311	E
ASV_166	E
ASV_166	S
ASV_177	E
ASV_208	S
ASV_133	E
ASV_187	S
ASV_212	S
ASV_235	E
ASV_151	S
ASV_169	S
ASV_139	S
ASV_193	S
ASV_186	E
ASV_163	E
ASV_247	S
ASV_294	S
ASV_182	S
ASV_128	E
ASV_161	E
ASV_278	S
ASV_168	E
ASV_245	E
ASV_131	E
ASV_131	S
ASV_206	S
ASV_180	E
ASV_156	S
ASV_284	E
ASV_217	S
ASV_185	S
ASV_225	S
ASV_179	S
ASV_281	S
ASV_230	E
ASV_184	E
ASV_132	S
ASV_196	E
ASV_160	E
ASV_195	E
ASV_201	S
ASV_231	E
ASV_183	S
ASV_301	S
ASV_433	S
ASV_190	E
ASV_358	E
ASV_224	E
ASV_234	E
ASV_216	E
ASV_227	E
ASV_248	E
ASV_308	E
