OTU	Group
ASV_1	med
ASV_1	post
ASV_1	pre
ASV_2	med
ASV_2	post
ASV_2	pre
ASV_4	med
ASV_4	post
ASV_4	pre
ASV_3	med
ASV_3	post
ASV_3	pre
ASV_5	med
ASV_5	post
ASV_5	pre
ASV_11	med
ASV_11	post
ASV_11	pre
ASV_7	med
ASV_7	post
ASV_7	pre
ASV_6	med
ASV_6	post
ASV_6	pre
ASV_8	med
ASV_8	post
ASV_8	pre
ASV_9	med
ASV_9	post
ASV_9	pre
ASV_14	med
ASV_14	post
ASV_14	pre
ASV_13	med
ASV_13	post
ASV_13	pre
ASV_15	med
ASV_15	post
ASV_15	pre
ASV_18	med
ASV_18	post
ASV_18	pre
ASV_12	med
ASV_12	post
ASV_12	pre
ASV_22	med
ASV_22	post
ASV_22	pre
ASV_25	med
ASV_25	post
ASV_25	pre
ASV_23	med
ASV_23	post
ASV_23	pre
ASV_17	med
ASV_17	post
ASV_17	pre
ASV_20	med
ASV_20	post
ASV_20	pre
ASV_38	med
ASV_38	post
ASV_38	pre
ASV_16	med
ASV_16	post
ASV_16	pre
ASV_26	med
ASV_26	post
ASV_26	pre
ASV_10	med
ASV_10	post
ASV_10	pre
ASV_27	med
ASV_27	post
ASV_27	pre
ASV_21	med
ASV_21	post
ASV_21	pre
ASV_65	med
ASV_65	post
ASV_65	pre
ASV_40	med
ASV_40	post
ASV_40	pre
ASV_54	med
ASV_54	post
ASV_54	pre
ASV_35	med
ASV_35	post
ASV_35	pre
ASV_31	med
ASV_31	post
ASV_31	pre
ASV_33	med
ASV_33	post
ASV_33	pre
ASV_37	med
ASV_37	post
ASV_37	pre
ASV_51	med
ASV_51	post
ASV_51	pre
ASV_87	med
ASV_87	post
ASV_87	pre
ASV_39	med
ASV_39	post
ASV_39	pre
ASV_67	med
ASV_67	post
ASV_67	pre
ASV_55	med
ASV_55	post
ASV_55	pre
ASV_52	med
ASV_52	post
ASV_52	pre
ASV_36	med
ASV_36	post
ASV_36	pre
ASV_29	med
ASV_29	post
ASV_29	pre
ASV_57	med
ASV_57	post
ASV_57	pre
ASV_43	med
ASV_43	post
ASV_43	pre
ASV_46	med
ASV_46	post
ASV_46	pre
ASV_59	med
ASV_59	post
ASV_59	pre
ASV_30	med
ASV_30	post
ASV_30	pre
ASV_138	med
ASV_138	post
ASV_138	pre
ASV_42	med
ASV_42	post
ASV_42	pre
ASV_72	med
ASV_72	post
ASV_72	pre
ASV_60	med
ASV_60	post
ASV_60	pre
ASV_41	med
ASV_41	post
ASV_41	pre
ASV_48	med
ASV_48	post
ASV_48	pre
ASV_24	med
ASV_24	post
ASV_24	pre
ASV_32	med
ASV_32	post
ASV_32	pre
ASV_113	med
ASV_113	post
ASV_113	pre
ASV_34	med
ASV_34	post
ASV_34	pre
ASV_69	med
ASV_69	post
ASV_69	pre
ASV_62	med
ASV_62	post
ASV_62	pre
ASV_49	med
ASV_49	post
ASV_49	pre
ASV_28	med
ASV_28	post
ASV_28	pre
ASV_50	med
ASV_50	post
ASV_50	pre
ASV_58	med
ASV_58	post
ASV_58	pre
ASV_81	med
ASV_81	post
ASV_81	pre
ASV_56	med
ASV_56	post
ASV_56	pre
ASV_47	med
ASV_47	post
ASV_47	pre
ASV_44	med
ASV_44	post
ASV_44	pre
ASV_71	med
ASV_71	post
ASV_71	pre
ASV_73	med
ASV_73	post
