bray_curtis	DGpre	DEmed	DEpost	DSpre	DSmed	DSpost	HGpre	HEmed	HEpost	HSpre	HSmed	HSpost	IGpre	IEmed	IEpost	ISpre	ISmed	ISpost
DGpre	0	0.317	0.347	0.509	0.529	0.478	0.343	0.378	0.398	0.408	0.388	0.399	0.412	0.393	0.351	0.456	0.468	0.458
DEmed	0.317	0	0.321	0.581	0.568	0.498	0.347	0.347	0.342	0.454	0.384	0.404	0.421	0.371	0.358	0.445	0.468	0.412
DEpost	0.347	0.321	0	0.574	0.554	0.480	0.316	0.324	0.329	0.435	0.356	0.348	0.394	0.382	0.342	0.400	0.420	0.424
DSpre	0.509	0.581	0.574	0	0.415	0.443	0.508	0.533	0.568	0.364	0.458	0.477	0.562	0.551	0.587	0.568	0.507	0.494
DSmed	0.529	0.568	0.554	0.415	0	0.435	0.486	0.502	0.543	0.396	0.431	0.460	0.540	0.557	0.562	0.558	0.495	0.473
DSpost	0.478	0.498	0.480	0.443	0.435	0	0.441	0.454	0.500	0.386	0.404	0.401	0.506	0.508	0.505	0.526	0.462	0.481
HGpre	0.343	0.347	0.316	0.508	0.486	0.441	0	0.227	0.255	0.361	0.299	0.322	0.352	0.353	0.344	0.331	0.376	0.366
HEmed	0.378	0.347	0.324	0.533	0.502	0.454	0.227	0	0.221	0.380	0.304	0.329	0.369	0.346	0.329	0.315	0.375	0.370
HEpost	0.398	0.342	0.329	0.568	0.543	0.500	0.255	0.221	0	0.439	0.358	0.364	0.358	0.351	0.351	0.345	0.387	0.398
HSpre	0.408	0.454	0.435	0.364	0.396	0.386	0.361	0.380	0.439	0	0.303	0.321	0.459	0.478	0.467	0.433	0.364	0.392
HSmed	0.388	0.384	0.356	0.458	0.431	0.404	0.299	0.304	0.358	0.303	0	0.258	0.401	0.413	0.396	0.373	0.361	0.335
HSpost	0.399	0.404	0.348	0.477	0.460	0.401	0.322	0.329	0.364	0.321	0.258	0	0.388	0.418	0.390	0.375	0.357	0.356
IGpre	0.412	0.421	0.394	0.562	0.540	0.506	0.352	0.369	0.358	0.459	0.401	0.388	0	0.310	0.378	0.434	0.436	0.451
IEmed	0.393	0.371	0.382	0.551	0.557	0.508	0.353	0.346	0.351	0.478	0.413	0.418	0.310	0	0.337	0.443	0.463	0.446
IEpost	0.351	0.358	0.342	0.587	0.562	0.505	0.344	0.329	0.351	0.467	0.396	0.390	0.378	0.337	0	0.406	0.457	0.412
ISpre	0.456	0.445	0.400	0.568	0.558	0.526	0.331	0.315	0.345	0.433	0.373	0.375	0.434	0.443	0.406	0	0.417	0.370
ISmed	0.468	0.468	0.420	0.507	0.495	0.462	0.376	0.375	0.387	0.364	0.361	0.357	0.436	0.463	0.457	0.417	0	0.378
ISpost	0.458	0.412	0.424	0.494	0.473	0.481	0.366	0.370	0.398	0.392	0.335	0.356	0.451	0.446	0.412	0.370	0.378	0
