euclidean	DGpre	DEmed	DEpost	DSpre	DSmed	DSpost	HGpre	HEmed	HEpost	HSpre	HSmed	HSpost	IGpre	IEmed	IEpost	ISpre	ISmed	ISpost
DGpre	0	10.6	12.1	13.5	12.5	11.4	11.8	11.3	10.7	12.2	12.4	11.9	11.0	11.6	11.4	13.1	12.4	11.7
DEmed	10.6	0	12.7	15.0	14.1	13.0	13.4	13.0	12.4	13.8	13.5	13.0	12.4	13.0	12.5	14.1	14.1	13.5
DEpost	12.1	12.7	0	14.5	11.9	11.6	10.8	10.7	11.2	11.1	11.0	11.5	12.6	11.8	13.0	12.6	13.3	12.3
DSpre	13.5	15.0	14.5	0	12.5	12.2	13.0	13.0	12.8	12.3	13.0	12.7	13.7	13.3	14.5	13.3	11.9	12.3
DSmed	12.5	14.1	11.9	12.5	0	10.8	10.00	10.4	11.3	8.60	10.0	10.4	12.8	12.0	13.5	12.5	12.1	11.4
DSpost	11.4	13.0	11.6	12.2	10.8	0	10.8	10.8	10.9	10.0	11.1	10.3	12.0	11.0	12.8	11.4	11.7	10.8
HGpre	11.8	13.4	10.8	13.0	10.00	10.8	0	6.00	8.06	8.60	9.22	9.59	12.2	11.5	12.5	11.9	11.1	10.6
HEmed	11.3	13.0	10.7	13.0	10.4	10.8	6.00	0	8.06	8.72	8.89	9.70	11.9	10.8	12.0	11.8	11.1	10.4
HEpost	10.7	12.4	11.2	12.8	11.3	10.9	8.06	8.06	0	10.1	10.4	9.54	11.8	11.2	11.5	11.9	11.2	11.0
HSpre	12.2	13.8	11.1	12.3	8.60	10.0	8.60	8.72	10.1	0	6.86	7.62	12.4	11.8	13.5	10.8	10.3	9.85
HSmed	12.4	13.5	11.0	13.0	10.0	11.1	9.22	8.89	10.4	6.86	0	7.42	12.4	11.9	13.2	11.4	10.1	9.90
HSpost	11.9	13.0	11.5	12.7	10.4	10.3	9.59	9.70	9.54	7.62	7.42	0	12.1	11.2	12.8	10.3	9.64	9.33
IGpre	11.0	12.4	12.6	13.7	12.8	12.0	12.2	11.9	11.8	12.4	12.4	12.1	0	11.2	11.1	13.1	12.8	12.0
IEmed	11.6	13.0	11.8	13.3	12.0	11.0	11.5	10.8	11.2	11.8	11.9	11.2	11.2	0	10.3	12.2	12.4	11.2
IEpost	11.4	12.5	13.0	14.5	13.5	12.8	12.5	12.0	11.5	13.5	13.2	12.8	11.1	10.3	0	13.4	13.2	12.5
ISpre	13.1	14.1	12.6	13.3	12.5	11.4	11.9	11.8	11.9	10.8	11.4	10.3	13.1	12.2	13.4	0	10.6	9.85
ISmed	12.4	14.1	13.3	11.9	12.1	11.7	11.1	11.1	11.2	10.3	10.1	9.64	12.8	12.4	13.2	10.6	0	9.27
ISpost	11.7	13.5	12.3	12.3	11.4	10.8	10.6	10.4	11.0	9.85	9.90	9.33	12.0	11.2	12.5	9.85	9.27	0
