jaccard	DGpre	DEmed	DEpost	HGpre	HEmed	HEpost	HSmed	HSpost	HSpre	ISpre	IEpost	ISpost	IGpre	IEmed	ISmed	DSpre	DSpost	DSmed
DGpre	0	0.482	0.515	0.511	0.549	0.569	0.559	0.570	0.579	0.626	0.520	0.628	0.584	0.564	0.638	0.675	0.647	0.692
DEmed	0.482	0	0.486	0.515	0.515	0.510	0.555	0.575	0.624	0.616	0.527	0.584	0.592	0.542	0.638	0.735	0.665	0.724
DEpost	0.515	0.486	0	0.481	0.489	0.495	0.525	0.516	0.606	0.571	0.510	0.596	0.566	0.553	0.591	0.729	0.649	0.713
HGpre	0.511	0.515	0.481	0	0.370	0.406	0.461	0.487	0.530	0.497	0.512	0.536	0.521	0.522	0.547	0.674	0.612	0.654
HEmed	0.549	0.515	0.489	0.370	0	0.362	0.466	0.495	0.550	0.479	0.495	0.540	0.539	0.515	0.546	0.695	0.624	0.668
HEpost	0.569	0.510	0.495	0.406	0.362	0	0.527	0.534	0.610	0.513	0.520	0.569	0.527	0.520	0.559	0.725	0.667	0.704
HSmed	0.559	0.555	0.525	0.461	0.466	0.527	0	0.410	0.465	0.544	0.568	0.502	0.572	0.584	0.530	0.628	0.576	0.603
HSpost	0.570	0.575	0.516	0.487	0.495	0.534	0.410	0	0.486	0.545	0.561	0.526	0.559	0.589	0.526	0.646	0.573	0.630
HSpre	0.579	0.624	0.606	0.530	0.550	0.610	0.465	0.486	0	0.605	0.637	0.563	0.630	0.647	0.534	0.534	0.557	0.568
ISpre	0.626	0.616	0.571	0.497	0.479	0.513	0.544	0.545	0.605	0	0.578	0.540	0.605	0.614	0.589	0.725	0.690	0.716
IEpost	0.520	0.527	0.510	0.512	0.495	0.520	0.568	0.561	0.637	0.578	0	0.583	0.549	0.504	0.627	0.740	0.671	0.720
ISpost	0.628	0.584	0.596	0.536	0.540	0.569	0.502	0.526	0.563	0.540	0.583	0	0.622	0.617	0.548	0.661	0.649	0.642
IGpre	0.584	0.592	0.566	0.521	0.539	0.527	0.572	0.559	0.630	0.605	0.549	0.622	0	0.474	0.608	0.720	0.672	0.701
IEmed	0.564	0.542	0.553	0.522	0.515	0.520	0.584	0.589	0.647	0.614	0.504	0.617	0.474	0	0.633	0.711	0.674	0.715
ISmed	0.638	0.638	0.591	0.547	0.546	0.559	0.530	0.526	0.534	0.589	0.627	0.548	0.608	0.633	0	0.673	0.632	0.663
DSpre	0.675	0.735	0.729	0.674	0.695	0.725	0.628	0.646	0.534	0.725	0.740	0.661	0.720	0.711	0.673	0	0.614	0.587
DSpost	0.647	0.665	0.649	0.612	0.624	0.667	0.576	0.573	0.557	0.690	0.671	0.649	0.672	0.674	0.632	0.614	0	0.606
DSmed	0.692	0.724	0.713	0.654	0.668	0.704	0.603	0.630	0.568	0.716	0.720	0.642	0.701	0.715	0.663	0.587	0.606	0
