jaccard_binary	DGpre	DEpost	DSmed	HGpre	HEmed	HEpost	HSpre	HSmed	HSpost	ISpost	ISmed	ISpre	DSpost	IEmed	IEpost	DEmed	IGpre	DSpre
DGpre	0	0.137	0.141	0.126	0.116	0.106	0.132	0.139	0.128	0.127	0.141	0.157	0.122	0.126	0.126	0.109	0.117	0.169
DEpost	0.137	0	0.126	0.105	0.103	0.114	0.109	0.109	0.119	0.137	0.159	0.143	0.122	0.128	0.156	0.151	0.147	0.190
DSmed	0.141	0.126	0	0.0878	0.0949	0.112	0.0654	0.0889	0.0949	0.115	0.130	0.137	0.105	0.129	0.164	0.179	0.147	0.140
HGpre	0.126	0.105	0.0878	0	0.0324	0.0582	0.0648	0.0747	0.0807	0.100	0.109	0.125	0.104	0.118	0.141	0.161	0.133	0.151
HEmed	0.116	0.103	0.0949	0.0324	0	0.0585	0.0668	0.0699	0.0827	0.0975	0.109	0.123	0.105	0.105	0.132	0.152	0.128	0.150
HEpost	0.106	0.114	0.112	0.0582	0.0585	0	0.0903	0.0952	0.081	0.110	0.113	0.125	0.106	0.114	0.122	0.143	0.127	0.147
HSpre	0.132	0.109	0.0654	0.0648	0.0668	0.0903	0	0.0418	0.0514	0.0864	0.0949	0.102	0.09	0.124	0.160	0.169	0.137	0.135
HSmed	0.139	0.109	0.0889	0.0747	0.0699	0.0952	0.0418	0	0.0492	0.088	0.0914	0.114	0.110	0.126	0.156	0.164	0.139	0.150
HSpost	0.128	0.119	0.0949	0.0807	0.0827	0.081	0.0514	0.0492	0	0.0786	0.0838	0.0949	0.0961	0.113	0.149	0.154	0.132	0.145
ISpost	0.127	0.137	0.115	0.100	0.0975	0.110	0.0864	0.088	0.0786	0	0.0796	0.0892	0.106	0.115	0.144	0.169	0.134	0.139
ISmed	0.141	0.159	0.130	0.109	0.109	0.113	0.0949	0.0914	0.0838	0.0796	0	0.103	0.123	0.141	0.160	0.182	0.151	0.130
ISpre	0.157	0.143	0.137	0.125	0.123	0.125	0.102	0.114	0.0949	0.0892	0.103	0	0.119	0.135	0.164	0.181	0.157	0.160
DSpost	0.122	0.122	0.105	0.104	0.105	0.106	0.09	0.110	0.0961	0.106	0.123	0.119	0	0.112	0.152	0.157	0.134	0.137
IEmed	0.126	0.128	0.129	0.118	0.105	0.114	0.124	0.126	0.113	0.115	0.141	0.135	0.112	0	0.103	0.160	0.119	0.164
IEpost	0.126	0.156	0.164	0.141	0.132	0.122	0.160	0.156	0.149	0.144	0.160	0.164	0.152	0.103	0	0.151	0.118	0.193
DEmed	0.109	0.151	0.179	0.161	0.152	0.143	0.169	0.164	0.154	0.169	0.182	0.181	0.157	0.160	0.151	0	0.147	0.209
IGpre	0.117	0.147	0.147	0.133	0.128	0.127	0.137	0.139	0.132	0.134	0.151	0.157	0.134	0.119	0.118	0.147	0	0.174
DSpre	0.169	0.190	0.140	0.151	0.150	0.147	0.135	0.150	0.145	0.139	0.130	0.160	0.137	0.164	0.193	0.209	0.174	0
