ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083	HE03P003	HE03P004	HE03P005	HE03P010	HE03P011	HE03P012	HE03P014	HE03P019	HE03P021	HE03P022	HE03P023	HE03P024	HE03P025	HE02P026	HE03P028	HE03P046	HE03P047	HE03P048	HE03P050	HE03P051	HE03P055	HE03P056	HE03P057	HE03P058	HE03P059	HE03P061	HE03P063	HE03P064	HE03P066	HE03P067	HE03P068	HE03P071	HE03P072	HE03P073	HE03P074	HE03P075	HE03P077	HE03P078	HE03P082
ASV_100	3.266	12.881	1.46761782865782e-05	0.00248027413043171	Enriched	1.41	0.219	0.131	0.713	0.007	0.149	0.173	0.036	0	0.238	11.242	0.107	0.147	0.007	0.097	1.134	0.063	0.481	1.214	0.002	0.339	0.023	0.1	0.282	0.125	2.678	0.015	0.043	0.029	0.008	0.252	0.018	0.012	0.003	0.03	0.042	0.015	0.01	0.015	0.031	0.321	0.533	0.06	0.01	0.017	0.07	0.006	0.004	0.126	0.054
ASV_140	2.396	10.277	0.000557565695479823	0.0471143012680451	Enriched	0.3	0.063	0.048	0.005	0.182	0.534	0.044	1.705	0.162	0.01	0.012	0.037	0.051	0.071	0.004	0	0.003	0.003	0.044	0.008	0	0.009	0.011	0.02	0.009	0.002	0.674	0.016	0.025	0.102	0.104	0.048	0.024	0.015	0.009	0.011	0.008	0.052	0.555	0.037	0.123	0.043	0.285	0	0.014	0.017	0.004	0.016	0.006	0
ASV_11	2.086	14.33	0.00166440945416026	0.0567319146831734	Enriched	4.091	1.013	1.948	0.604	0.029	0.152	0.92	0.277	0.17	31.595	1.127	0.25	3.783	0.884	1.587	2.391	4.812	0.845	0.502	6.455	1.537	0.736	1.354	3.293	1.755	2.21	0.141	0.651	0.072	0.089	0.291	0.111	0.077	0.071	0.437	0.07	0.195	0.035	0.293	0.013	0.255	1.589	0.068	0.061	0.356	0.113	0.28	0.064	0.436	1.352
ASV_78	-2.59	11.59	0.00203465404818216	0.0567319146831734	Depleted	0.056	0.288	0.054	0.138	0.056	0.091	0.089	0.043	0.026	0	0.001	0.059	0.203	0.264	0.132	0.035	0.074	0.571	0.067	0.03	0.02	0.003	0.089	0.027	0.042	0.004	0.313	0.627	0.116	0.299	0.187	0.088	1.192	0.183	0.118	0.045	1.077	0.055	0.113	0.125	0.376	1.927	0.544	1.391	0.053	0.057	0.496	0.063	0.156	0.002
ASV_131	3.324	9.294	0.00224048102929492	0.0567319146831734	Enriched	0.273	0.018	0	0	0	0.009	2.032	0.413	0	0	0.003	0.002	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0.016	0.001	0.001	0.001	0.071	0.012	0.006	0.058	0.021	0.042	0	0.003	0.007	0.223	0.173	0.002	0.001	0.05	0.006	0.003	0	0	0
ASV_113	2.259	13.392	0.00232883229223974	0.0567319146831734	Enriched	2.222	0.426	0.961	0.282	0.017	0.036	0.704	0.017	0.005	16.739	1.242	0.087	0.974	0.195	0.468	0.181	2.937	0.081	0.177	0.599	0.225	0.244	0.994	1.285	0.386	1.221	0.047	0.086	0.086	0.013	0.091	0.025	0.043	0.014	0.117	0.028	0.113	0.035	0.055	0.013	0.023	0.081	0.072	0.048	0.021	0.037	0.162	0.013	0.307	5.045
ASV_55	1.879	12.537	0.0023498426200131	0.0567319146831734	Enriched	0.908	0.293	0.199	0.025	4.357	0.218	1.892	0.229	0.084	0.088	1.079	0.343	0.023	0.024	0.034	0.022	0.262	0.04	0.032	0.257	2.364	0.143	0.102	0.085	0.367	0.106	0.199	0.143	1.008	0.171	0.163	0.067	0.121	0.158	1.511	0.843	0.244	0.042	0.098	0.134	0.221	0.112	0.049	0.014	0.091	0.166	0.525	0.514	0.039	0.593
ASV_110	1.966	9.79	0.00675458726375292	0.132712418689716	Enriched	0.215	0.044	1.427	0.07	0.001	0.001	0	0.003	0	0.398	0.038	0.005	0.014	0.01	0.063	0.037	0.699	0.081	0.042	0.136	0.02	0.012	0.006	0.072	0.037	0.103	0.012	0.001	0.015	0.004	0.003	0.004	0.006	0.004	0.042	0.003	0.006	0.007	0.031	0.003	0.021	0.049	0.002	0.039	0.007	0.012	0.036	0.004	0.012	0.034
ASV_72	-2.915	12.289	0.00726957343757659	0.132712418689716	Depleted	0.052	0.501	0.021	0.005	0.193	0.08	0	0.115	0.015	0.012	0.026	0.115	0.079	0.252	0.252	1.798	0.269	0.247	0.002	5.493	0.225	0.306	8.029	0.013	0.035	0.143	0.042	0.106	0.062	0.305	0.019	0.02	0.056	0.008	0.001	0.008	0.007	0.107	0.061	0.536	0.037	0.054	0.529	0.035	0.034	0.157	0.038	0.036	0.023	0.005
ASV_124	-2.476	11.581	0.00785280583962819	0.132712418689716	Depleted	0.062	0.324	0.159	0.144	0.019	0.052	0.052	0.009	0.002	0.116	0.004	0.023	0.107	0.022	0.329	0.267	0.002	0.498	0.16	0.073	0.07	0.794	0.091	0.22	0.074	0.015	0.772	0.124	0.013	0.344	0.635	0.015	0.093	0.83	0.01	0.02	0.057	0.005	0.326	0.022	5.237	0.674	0.158	0.015	0.003	0.007	0.344	0.001	0.005	0.166
