ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DG00P016	DG00P017	DG00P049	DG00P054	DG00P060	DG00P076	DG00P081	DG00P083	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083
ASV_114	3.432	10.704	0.00559875934584238	0.289608839733807	NotSig	0.252	0.027	0.102	1.087	0.004	0	0.008	0.074	0.728	0.011	0.12	0.077	0	0.019	0.008	0.005	0	0.013	0.005
ASV_126	3.551	12.098	0.00599900877371154	0.289608839733807	NotSig	0.764	0.055	0.258	0.243	0.001	0.01	0	0.013	5.529	0.056	0.279	0.016	0	0.012	0.018	0.019	0.008	0.115	0.031
ASV_166	-3.997	10.207	0.00781299867285361	0.289608839733807	NotSig	0.011	0.161	0.002	0	0.001	0.046	0.009	0.032	0	0	0	0	0.006	0.02	0.008	0.904	0.505	0.001	0.003
ASV_60	-3.212	12.55	0.0091565964263219	0.289608839733807	NotSig	0.089	0.52	0.105	0.176	0.03	0.003	0.117	0.026	0.161	0.094	0.066	0.138	0.01	0.033	0.096	0.086	0	4.183	0.066
ASV_31	-2.707	12.553	0.00932827448164008	0.289608839733807	NotSig	0.123	0.614	0.136	0.201	0.035	0.05	0.042	0.187	0.082	0.252	0.207	1.543	0.016	0.313	0.037	0.074	0.016	2.562	0.758
ASV_100	-3.414	13.842	0.0112598510824717	0.289608839733807	NotSig	0.167	1.41	0.082	0.136	0.006	0.009	0.189	0.002	0.093	0.822	0.131	0.713	0.007	0.149	0.173	0.036	0	0.238	11.242
ASV_135	-3.359	10.135	0.0119956324150097	0.289608839733807	NotSig	0.018	0.206	0.048	0.023	0.01	0.001	0.011	0.049	0	0	0.021	1.342	0.011	0.006	0.012	0.457	0	0.006	0
ASV_78	2.365	10.884	0.0220728277788953	0.414536755596004	NotSig	0.245	0.056	0.053	0.953	0.085	0.582	0.11	0.166	0.007	0.004	0.054	0.138	0.056	0.091	0.089	0.043	0.026	0	0.001
ASV_157	3.014	8.388	0.0220759218956452	0.414536755596004	NotSig	0.051	0.006	0.026	0.019	0	0	0.001	0.004	0.358	0	0.025	0.012	0.002	0	0	0.002	0.002	0.003	0.005
ASV_129	-2.378	11.172	0.0292543100217498	0.453671766688701	NotSig	0.057	0.352	0.088	0.079	0.006	0.019	0.005	0.06	0.064	0.136	2.48	0.377	0.008	0.023	0.041	0.017	0.003	0.197	0.022
