ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HG00P003	HG00P010	HG00P011	HG00P012	HG00P014	HG00P021	HG00P022	HG00P023	HG00P024	HG00P025	HG00P026	HG00P028	HG00P046	HG00P047	HG00P048	HG00P050	HG00P051	HG00P055	HG00P056	HG00P058	HG00P059	HG00P061	HG00P063	HG00P064	HG00P066	HG00P071	HG00P072	HG00P073	HG00P074	HG00P075	HG00P077	HG00P078	HG00P082	HE03P003	HE03P004	HE03P005	HE03P010	HE03P011	HE03P012	HE03P014	HE03P019	HE03P021	HE03P022	HE03P023	HE03P024	HE03P025	HE02P026	HE03P028	HE03P046	HE03P047	HE03P048	HE03P050	HE03P051	HE03P055	HE03P056	HE03P057	HE03P058	HE03P059	HE03P061	HE03P063	HE03P064	HE03P066	HE03P067	HE03P068	HE03P071	HE03P072	HE03P073	HE03P074	HE03P075	HE03P077	HE03P078	HE03P082
ASV_157	5.091	12.074	9.60005423438684e-10	1.62240916561138e-07	Enriched	0.459	0.021	2.969	0.003	0.003	0.061	0.012	7.818	0.088	3.638	0.233	0.121	0.006	0.004	0.002	0.004	0.018	0.042	0.002	0.004	0	0	0.006	0.002	0.082	0	0.014	0.005	0	0	0.002	0.006	0	0.004	0	0.03	0.025	0.02	0.001	0	0.014	0.005	0.038	0.053	0.095	0.166	0.074	0.011	0.002	0.018	0.018	0.001	0.013	0.005	0.091	0	0.006	0.001	0.001	0.001	0.003	0	0.027	0	0.012	0.004	0	0.011	0.001	0.001	0.025	0	0	0.051
ASV_119	3.347	11.702	1.17607137713961e-06	9.05443801861687e-05	Enriched	0.482	0.05	0.003	1.695	3.38	0.177	0.128	0	0.246	0.167	7.901	0.012	0	0.002	0.022	0.003	0.006	0.105	0.039	0.003	0.012	0.001	0.006	0.017	0.014	0.162	0.022	0	0.004	0.017	0.011	0.004	0.048	0.01	1.703	0	0	0	0.103	0.075	0.051	0.034	0.048	0.18	0.239	0.192	0.246	0	0	0.194	0.03	0.018	0	0.068	0	0.015	0.01	0.004	0.009	0.001	0.006	0.01	0.122	0.013	0.016	0.031	0.076	0.039	0.016	0.005	0	0.003	0.017	0.097
ASV_126	2.791	10.49	1.6072966896953e-06	9.05443801861687e-05	Enriched	0.196	0.029	0.064	1.24	0.035	0.052	0.021	0.006	0.17	0.066	2.675	0.857	0.259	0.038	0	0.001	0.011	0.026	0.046	0	0.008	0.004	0.003	0.006	0.042	0.52	0.006	0	0.004	0.003	0.003	0.001	0.029	0	0.258	0.031	0.002	0.002	0.019	0.016	0.002	0.01	0.065	0.095	0.07	0.076	0.064	0.022	0.023	0.108	0.033	0.007	0.007	0.091	0.023	0.007	0.013	0.001	0.003	0.02	0.004	0	0.119	0.007	0.014	0.011	0.018	0.073	0.006	0.001	0	0.004	0.012	0.046
ASV_110	2.738	10.954	4.80548483293868e-06	0.000203031734191659	Enriched	0.268	0.044	0.579	0.107	0.917	0.562	1.492	0.041	0.057	0	0.084	2.361	0.593	0.886	0.001	0	0.021	0.009	0.018	0	0.002	0.006	0.003	0.002	0.102	0.015	0.004	0.002	0.012	0	0.029	0	0.01	0.007	0.914	0.005	0.014	0.01	0.063	0.037	0.699	0.081	0.042	0.136	0.02	0.012	0.006	0.072	0.037	0.103	0.012	0.001	0.015	0.004	0.003	0.004	0.006	0.004	0.042	0.003	0.006	0.007	0.031	0.003	0.021	0.049	0.002	0.039	0.007	0.012	0.036	0.004	0.012	0.034
ASV_89	1.997	11.823	2.94637466090628e-05	0.000861443114251128	Enriched	0.451	0.116	0.075	3.913	0.196	2.638	0.063	0	0.038	0.03	1.412	0.254	0.01	0.004	0.125	0.031	0.026	4.252	0.259	0.019	0.066	0.064	0.017	0.035	0.036	0.144	0.228	0.159	0.062	0.035	0.04	0.028	0.316	0.113	0.192	0.049	0.022	0.047	0.097	0.083	0.219	0.152	0.015	0.144	0.066	0.067	0.07	0.009	0.005	0.119	0.229	0.025	0.116	0.692	0.1	0.042	0.168	0.041	0.195	0.026	0.077	0.142	0.198	0.128	0.063	0.208	0.035	0.565	0.036	0.044	0.071	0.15	0.002	0.022
ASV_22	2.172	13.294	3.05837792041821e-05	0.000861443114251128	Enriched	1.191	0.326	0.05	0.176	0.229	2.533	0.152	0.068	0.002	0	0	0.133	0.612	0.073	22.807	0.995	0.298	0.552	0.165	0.831	0.78	0.368	0.061	0.109	0.068	0.358	0.104	1.181	0.066	0.283	0.095	0.096	0.278	0.171	5.607	0.056	0.102	0.054	0.964	0.141	1.038	0.124	0.073	0.014	0.13	0.003	0.004	0.081	0.42	0.026	1.859	0.254	0.29	0.195	0.101	0.325	0.341	1.028	0.452	0.184	0.13	0.055	1.779	0.037	0.532	0.13	0.975	0.193	0.117	0.038	0.125	0.1	0.176	0.048
ASV_125	4.874	12.784	5.0217771377655e-05	0.00121240048040339	Enriched	0.483	0.041	0.078	0.065	0.005	0	0.053	0.008	0.641	14.504	0.442	0.039	0.006	0	0	0	0	0.02	0.032	0.008	0	0.001	0.008	0	0	0.011	0	0	0	0	0	0	0	0	0.005	0.007	0.002	0	0.007	0	0	0	0.009	0.209	0.264	0.649	0.276	0.013	0.014	0.013	0.016	0.003	0.007	0.083	0.022	0	0.006	0	0.001	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_142	3.526	13.398	0.000135267165514811	0.0025518570365896	Enriched	0.717	0.136	1.715	0	0.002	0	0.001	0.008	0.603	20.704	0.22	0.031	0.008	0.033	0.016	0.012	0.007	0	0.034	0.012	0.029	0	0.004	0.002	0.091	0.074	0	0	0.02	0.008	0.014	0	0	0.005	0.025	0.047	0.096	0.044	0	0	0	0	0.008	0.524	0.391	1.961	0.392	0.004	0.005	0	0.052	0.529	0.028	0	0	0.022	0.146	0.883	0.004	0.001	0.004	0	0.058	0.004	0.007	0.016	0.002	0.007	0.007	0	0.009	0.05	0	0.008
ASV_38	1.721	12.592	0.00013589771200773	0.0025518570365896	Enriched	0.66	0.239	0.299	0.138	0.136	0.519	1.529	0.31	2.64	1.36	0.311	3.122	3.283	2.148	0.061	0.01	0.105	0.197	0.087	0.04	0.029	0.024	0.035	0.111	0.185	0.103	0.081	0.104	0.041	0.277	0.153	0.107	0.065	0.032	4.128	0.052	0.034	0.034	0.27	0.125	1.161	0.228	0.216	0.597	0.489	0.437	0.261	0.282	0.314	0.808	0.093	0.059	0.072	0.111	0.042	0.019	0.066	0.017	0.143	0.064	0.071	0.03	0.824	0.033	0.592	0.087	0.123	0.186	0.798	0.081	0.161	0.021	0.065	0.251
ASV_111	2.315	12.292	0.000189584299951086	0.00320397466917336	Enriched	0.487	0.132	0.023	0.116	0.117	0.055	0.078	0.039	0.009	0.004	0	0.025	0.07	0.006	4.438	0.308	0.133	0.251	0.259	8.841	0.462	0.085	0.052	0.387	0.002	0.059	0.002	0.04	0.006	0.006	0.023	0.014	0.002	0.017	0.147	0.009	0.081	0.01	0.139	0.793	0.026	0.052	0.003	0.01	0.091	0.003	0.006	0.027	0.051	0	0.515	0.059	0.165	0.304	0.171	0.169	0.256	0.74	0.215	0.548	0.388	0.007	0.082	0.001	0.021	0	0.041	0.001	0.009	0.009	0.096	0.007	0.023	0.005
