ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HS03P003	HS03P004	HS03P005	HS03P010	HS03P011	HS03P012	HS03P014	HS03P019	HS03P024	HS03P025	HS03P026	HS03P029	HS03P031	HS03P034	HS03P035	HS03P040	HS03P041	HS03P042	HS03P044	HS03P045	HS03P046	HS03P047	HS03P048	HS03P050	HS03P051	HS03P055	HS03P056	HS03P057	HS03P058	HS03P059	HS03P061	HS03P063	HS03P064	HS03P066	HS03P067	HS03P068	HS03P071	HS03P072	HS03P073	HS03P074	HS03P075	HS03P077	HS10P003	HS07P004	HS07P010	HS07P011	HS07P012	HS07P014	HS07P019	HS07P024	HS07P025	HS07P026	HS07P029	HS07P031	HS07P034	HS07P035	HS07P036	HS07P040	HS07P041	HS07P042	HS07P045	HS07P046	HS07P047	HS07P048	HS07P050	HS07P051	HS07P055	HS07P056	HS07P057	HS07P058	HS07P059	HS07P061	HS07P063	HS07P064	HS07P066	HS07P068	HS07P071	HS07P072	HS07P073	HS07P074	HS07P075	HS07P077
ASV_122	-2.888	12.289	1.28705247279584e-07	1.30681798353923e-05	Depleted	0.101	0.539	0.078	0.041	0.031	0.003	0.038	0.092	0.045	0.005	0.008	0.196	0.053	0.054	0.102	0.052	0.06	0.039	0.055	0.141	0.013	0.002	0.009	0.042	0.169	0.249	0.046	0.013	0.045	0.002	0.03	0.004	0.022	0.062	0.168	0.098	0.001	0.157	1.365	0.015	0.471	0.041	0.018	0.091	0.021	0.008	0.008	0.17	0.101	0.006	0.038	0.041	0.05	0.081	0.149	0.056	0.039	0.073	0.077	0.044	0.027	0.036	0.009	0.01	0.965	0.061	0.139	0.033	0.003	0.735	0.019	0.283	13.735	0.06	0.051	2.491	0.034	0.877	0.068	0.063	0.809	0.025	0.032	0.017
ASV_53	-3.465	12.342	1.54653015803459e-07	1.30681798353923e-05	Depleted	0.083	0.508	0.023	0.024	0.165	0.006	0.02	0.003	0.072	0.197	0.197	0.067	0.449	0.294	0.108	0.165	0.042	0.025	0.616	0.079	0	0.014	0.054	0.288	0.009	0.018	0.145	0.007	0.002	0	0.009	0.003	0.004	0.204	0.019	0.001	0.001	0.011	0.015	0.099	0.001	0.023	0.001	0.001	0.021	0.156	0.073	0.025	0.013	0.444	0.244	0.365	0.072	0.675	0.067	0.132	0.047	0.068	0.012	0.056	0.075	0.117	0.015	9.508	0.007	0.012	7.586	0.063	0	0.001	0.166	0	0	0.002	0.014	0.003	0.008	0	0.228	0.01	0.025	0.006	0.004	0
ASV_22	-2.669	14.846	1.2993882229099e-06	7.31988698905913e-05	Depleted	0.597	2.27	0.257	0.3	0.809	0.044	0.151	0.316	0.237	0.419	0.036	0.043	0.19	0.517	0.932	0.492	0.284	0.104	0.551	0.634	0.07	0.052	0.076	0.168	0.287	0.111	0.518	0.06	0.316	0.116	0.096	0.01	1.038	0.896	0.536	6.95	0.035	0.351	0.086	0.243	6.49	0.066	0.106	0.073	0.427	0.203	0.328	0.142	1.268	0.334	0.283	0.068	0.567	1.146	0.635	0.439	0.679	0.633	2.058	0.508	0.805	0.544	0.156	0.094	0.051	0.183	3.741	0.219	0.197	0.125	0.01	0.044	0.422	67.817	0.59	0.698	1.155	0.137	0.458	0.739	2.434	0.271	0.025	0.17
ASV_176	-2.804	10.627	3.97016312921905e-06	0.000167739392209505	Depleted	0.03	0.148	0	0.002	0.04	0	0.013	0.014	0.005	0.008	0	0	0.005	0.022	0	0.005	0	0.016	0.012	0.098	0	0	0.025	0.051	0.099	0	0.145	0.042	0.041	0.013	0.107	0.038	0.067	0.025	0.015	0.001	0.024	0.056	0.013	0.011	0.196	0.012	0.011	0.014	0.006	0.003	0.005	0	0.049	0	0.006	0.004	0.009	0.012	0.014	0	0.002	0.002	0.005	0.021	0.013	0.021	0	0.035	0.379	0.067	0.003	0.042	0.015	0.038	0.008	0.083	1.123	0.829	0.046	0.074	0.005	0.454	0.054	0.045	0.305	0.017	2.086	0.021
ASV_109	3.206	12.746	4.99996475727691e-06	0.00016899880879596	Enriched	0.902	0.076	0.005	0.018	0.017	0.025	0.022	0	0.016	0.003	0.004	0.002	0.053	0.025	0.017	0.026	0.009	0.014	0.02	0.036	0.013	0.004	0.201	1.68	0.015	0.014	28.377	0.087	0.031	0.111	0.05	3.335	0.004	0.007	0.016	0.003	0	0.006	0.105	0.085	0.271	3.126	0.014	0.019	0.003	0.011	0	0.03	0.01	0.006	0.014	0.019	0.098	0.036	0.036	0.013	0	0.012	0.005	0.005	0.021	0.027	0.009	1.101	0.258	0.009	0.095	0.467	0.211	0.032	0.117	0.056	0	0.004	0.006	0.01	0.002	0.008	0.044	0.121	0.035	0.101	0.008	0.007
ASV_41	-2.425	12.654	7.44912835353904e-06	0.000193852440927385	Depleted	0.172	0.889	0.037	0.089	0.161	0.098	0.405	0.019	0.165	0.035	0.046	0.916	0.145	0.256	0.035	0.121	0.031	0.107	0.057	0.191	0.017	0.054	0.028	0.061	1.841	0.004	0.121	0.002	0.009	0.005	0.533	0.017	0.637	0.016	0.012	0.001	0.176	0.268	0.208	0.036	0.115	0.099	0.023	0.034	0.008	0.549	0.338	1.48	0.252	0.161	0.112	0.107	0.06	0.084	0.089	0.302	0.063	0.085	0.042	0.061	0.042	0.142	0.044	0.038	4.074	0.177	0.003	0.086	0.021	0.007	0.011	0.014	0.182	0.335	0.012	0.008	0	0.015	22.293	0.196	0.113	0.176	3.735	0.029
ASV_110	2.205	10.667	8.16386889262426e-06	0.000193852440927385	Enriched	0.183	0.039	0.043	0.006	0.018	0.011	0.052	0.056	0.009	0.109	0.01	0.014	0.025	0.022	0.017	0.018	0.004	0.005	0.002	0.067	0.004	0.01	0.024	0.098	0.033	0.11	1.236	0.015	0.044	0.013	0.002	0.169	0.024	0.216	3.305	0.022	0.161	0.097	1.434	0.011	0.008	0.021	0.116	0.003	0.019	0.018	0.026	0.054	0.012	0.035	0.104	0.009	0.016	0.036	0.029	0.061	0.006	0.005	0.007	0.007	0.006	0.004	0.002	0.046	0.061	0.067	0.01	0.011	0.017	0.029	0.023	0.295	0.018	0.004	0.026	0.058	0.025	0.023	0.072	0.075	0.02	0.041	0.053	0.134
ASV_55	-1.947	12.997	9.17644690780521e-06	0.000193852440927385	Depleted	0.275	0.796	0.533	0.018	0.013	0.014	0.065	0.112	0.106	0.065	0.063	0.172	0.266	0.67	0.26	0.217	0.19	0.247	0.666	0.512	0.214	0.822	0.034	0.014	0.171	0.084	0.604	0.008	0.209	0.027	0.105	0.088	0.099	0.152	0.473	0.249	0.079	0.206	1.74	0.294	0.205	0.079	0.687	0.711	0.602	0.013	0.054	0.112	0.815	0.083	0.062	0.45	0.35	0.722	0.331	0.233	0.116	0.217	0.662	1.159	0.363	0.341	0.341	0.051	0.875	0.064	0.039	0.033	0.026	2.321	0.064	0.972	1.064	0.207	6.19	6.969	0.106	0.562	0.248	0.151	0.593	0.019	4.162	0.08
ASV_137	-3.363	13.112	2.52866612116052e-05	0.000428661513078076	Depleted	0.106	1.102	0.006	0	0.009	0	0.009	0.003	0.014	0.003	0.015	0.034	0.115	0.003	0.009	0.005	0.002	0	0.007	0.033	0.008	0.014	0.004	0.008	0.105	0.034	0.003	0	0.008	0	0.005	0	0.022	0.078	0.001	0.144	0.331	1.713	0.634	0.015	0.009	0.394	0.628	0.01	0.013	0.003	0.007	0.012	0.003	0.01	0.005	0.026	0.009	0.096	0.007	0.016	0.002	0	0	0.002	0.008	0.004	0.009	0.004	0.017	0.021	0.003	0.017	0.002	0	0.005	0.018	0.007	0	0.002	0.084	37.341	0.303	0.097	5.731	0.015	0.13	0.029	0.032
ASV_119	2.438	10.865	2.53645865726672e-05	0.000428661513078076	Enriched	0.193	0.038	0.005	0.002	0	0.001	0	0.087	0.011	0	0.004	0.095	0.028	0.035	0.028	0.008	0	0.002	0.01	0.036	0.008	0.01	0.027	0.078	0.044	0.103	0.04	0.002	0.003	0	0.005	0.041	0.139	0.051	5.435	0.449	0.018	0.402	0.25	0.006	0.029	0.029	0.044	0.545	0	0.052	0.015	0.054	0.007	0.006	0.032	0.009	0.022	0.003	0.017	0.024	0.012	0.002	0.002	0.009	0.006	0.013	0.009	0.06	0.027	0.061	0.003	0.1	0.036	0.004	0.034	0.006	0.077	0.02	0.036	0.029	0.049	0.087	0.327	0.147	0.024	0.015	0.055	0.041
