ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HE10P003	HE07P004	HE07P010	HE07P012	HE07P019	HE07P021	HE07P022	HE07P023	HE07P024	HE07P025	HE05P026	HE07P028	HE07P046	HE07P047	HE07P048	HE10P049	HE07P051	HE10P054	HE07P055	HE07P056	HE07P057	HE07P058	HE07P059	HE07P061	HE07P063	HE07P064	HE07P066	HE07P068	HE07P071	HE07P072	HE07P073	HE07P074	HE07P075	HE07P077	HE07P078	DE07P016	DE10P016	DE08P017	DE07P049	DE07P054	DE07P060	DE07P065	DE07P076
ASV_112	-4.216	11.213	1.59287461342484e-10	2.69195809668798e-08	Depleted	0.047	0.988	0.011	0.035	0.007	0.028	0.176	0.106	0.071	0.284	0.041	0.005	0.018	0.006	0.027	0.005	0.001	0.008	0.021	0.021	0.007	0.001	0.005	0.034	0.018	0.094	0.053	0.073	0.016	0.355	0.019	0.012	0.011	0.015	0.022	0.02	0.023	7.328	0.261	0.164	0.015	0.018	0.065	0.051	0.001
ASV_10	-4.746	7.965	0.000358912257873435	0.0303280857903052	Depleted	0.003	0.087	0	0.03	0	0.049	0	0.003	0.014	0.005	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.002	0	0	0	0	0.659	0.029	0	0	0	0.007	0
ASV_22	-2.336	13.047	0.00128086106798262	0.0651865059884276	Depleted	0.333	2.026	0.051	0.314	0.157	0.811	0.064	0.024	0.075	0.099	0	0.113	0.558	0.031	0.193	0.26	0.441	0.259	0.062	1.029	4.082	0.172	0.521	0.079	0.047	0.073	0.039	0.02	0.064	0.096	0.568	0.511	0.295	0.034	0.036	0.288	0.201	0.354	13.655	0.024	1.134	0.621	0.086	0.051	0.285
ASV_28	-5.683	11.267	0.00189477496829416	0.0651865059884276	Depleted	0.014	1.094	0	0	0	0	0	0	0	0	0	0	0	0	0.135	0	0.001	0	0	0.08	0.122	0.065	0.082	0.005	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.751	0	0	0
ASV_176	-2.397	9.754	0.00192859485172863	0.0651865059884276	Depleted	0.034	0.218	0	0	0.007	0.089	0	0.005	0.118	0.028	0	0.147	0.172	0.065	0.006	0.004	0.01	0	0.004	0.006	0.058	0.008	0.005	0.045	0.008	0.043	0.111	0.033	0.007	0.016	0.068	0.001	0.004	0.013	0.001	0.08	0.035	0.05	1.52	0.008	0.004	0.004	0.016	0.106	0.036
ASV_122	-2.302	10.211	0.00308991053970362	0.0737176238383873	Depleted	0.058	0.287	0.012	0.003	0	0.247	0.033	0.032	0.59	0.336	0.027	0.157	0.152	0.02	0.001	0.011	0.017	0.004	0.019	0.009	0.067	0	0.046	0.005	0.019	0.016	0.021	0.008	0.003	0.008	0.022	0.107	0.023	0.002	0.003	0.005	0.016	0.139	2.051	0.015	0.007	0.008	0.006	0	0.071
ASV_109	3.175	9.562	0.00349875056748586	0.0737176238383873	Enriched	0.052	0.009	0.008	0.006	0.103	0.026	0.017	0.027	0.016	0.031	0.006	0.069	0.041	0.706	0.003	0.002	0.006	0.003	0.004	0.002	0.036	0.077	0.013	0.004	0.005	0.004	0.006	0	0.007	0.002	0.069	0.008	0.165	0.02	0.005	0.016	0.311	0.017	0.003	0.011	0.003	0.014	0.016	0.003	0.005
ASV_158	5.432	10.057	0.00371653638198337	0.0737176238383873	Enriched	0.122	0.003	0	0.002	0.144	0	0	0.199	2.609	0.44	0.177	0.064	0.319	0	0	0	0.004	0	0	0.005	0.006	0.048	0.021	0	0.001	0	0.011	0	0.064	0.004	0.071	0.001	0.014	0.002	0	0.005	0.062	0	0.003	0	0	0.011	0	0.007	0
ASV_5	-1.697	14.73	0.00410327782748216	0.0737176238383873	Depleted	1.493	4.113	2.213	1.61	0.655	1.601	1.047	0.119	0.118	0.527	0.22	0.147	0.095	0.161	0.703	1.174	3.081	1.038	0.763	4.73	1.176	1.89	1.837	3.056	3.349	2.082	0.286	0.556	3.617	0.694	0.92	0.581	4.139	0.579	3.958	3.267	0.248	1.454	0.481	0.662	15.673	8.292	1.809	2.196	2.337
ASV_67	5.255	13.46	0.00436198957623593	0.0737176238383873	Enriched	0.886	0.036	0	0	0.383	0	0.026	0.003	0	0.291	0	0.977	0.419	25.767	0.01	0.014	0.012	0.003	0.054	0.208	0.014	0.13	0.005	0.019	1.459	0.01	0.005	0	0.011	0.061	0.591	0.006	0.491	0.005	0.011	0.027	0.004	0.003	0.005	0.009	0	0.1	0.065	0.044	0.06
ASV_105	3.835	7.512	0.00544653372300293	0.0836785635624996	Enriched	0.014	0.001	0	0	0.028	0	0	0	0	0.002	0.002	0.005	0	0.008	0	0	0.005	0	0	0.007	0.001	0.09	0.021	0	0.006	0.001	0	0.003	0.031	0.049	0.068	0.036	0.085	0.008	0.008	0.003	0.015	0	0	0	0	0.003	0.006	0	0
ASV_50	4.069	13.095	0.00597010039529658	0.0840789139004268	Enriched	0.928	0.059	0.104	0.108	0	0	0.022	0.04	0.014	0.163	0.004	0	0	0	0.013	0.022	0.255	0.011	0.084	0.153	0.14	16.441	0.094	0.114	0.005	0.013	0.011	0.075	0.254	5.592	5.031	0.384	1.11	1.643	0.513	0.072	0	0.06	0.008	0.021	0.035	0.098	0.071	0.103	0.078
