ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HG00P003	HG00P010	HG00P011	HG00P012	HG00P014	HG00P021	HG00P022	HG00P023	HG00P024	HG00P025	HG00P026	HG00P028	HG00P046	HG00P047	HG00P048	HG00P050	HG00P051	HG00P055	HG00P056	HG00P058	HG00P059	HG00P061	HG00P063	HG00P064	HG00P066	HG00P071	HG00P072	HG00P073	HG00P074	HG00P075	HG00P077	HG00P078	HG00P082	DG00P016	DG00P017	DG00P049	DG00P054	DG00P060	DG00P076	DG00P081	DG00P083
ASV_57	-6.493	13.922	4.87275170888667e-09	8.23495038801847e-07	Depleted	0.06	3.376	0.017	0	0.003	0.002	0	0.002	0	0	0	0	0.002	0	0.024	0.041	0.936	0.001	0.011	0.003	0.038	0	0	0.006	0.002	0.011	0.03	0.036	0.031	0.011	0.575	0.014	0.019	0.066	0.101	0.046	0.037	0.018	0.001	0.046	0	0.141	26.721
ASV_142	7.802	14.051	0.00183404936682956	0.154977171497098	Enriched	0.717	0.007	1.715	0	0.002	0	0.001	0.008	0.603	20.704	0.22	0.031	0.008	0.033	0.016	0.012	0.007	0	0.034	0.012	0.029	0	0.004	0.002	0.091	0.074	0	0	0.02	0.008	0.014	0	0	0.005	0.025	0.002	0	0.026	0.019	0	0	0.009	0
ASV_55	-1.898	12.937	0.0037666736034173	0.159063853725563	Depleted	0.385	1.022	0.023	0.05	0.476	0.215	0.028	0.062	2.268	0.147	0.71	0.791	0.779	0.036	0.373	0.166	0.21	0.157	0.332	0.158	0.17	0.21	0.799	0.438	0.041	0.103	0.134	0.294	0.029	0.014	0.201	0.467	0.533	2.157	0.129	0.269	0.033	1.875	0.323	0.366	0.334	0.089	4.883
ASV_128	6.742	10.752	0.00384768718524637	0.159063853725563	Enriched	0.186	0.001	0	0	0	0	0	0.01	0	0.023	0	0.004	0.011	0.004	0.001	0	0.003	0	0	0	0	0.006	0.006	0.281	0	0.192	0.585	0.324	0.183	0.132	3.946	0	0.002	0.415	0	0	0	0.007	0	0.003	0	0	0
ASV_125	7.909	13.511	0.00743605571877925	0.159063853725563	Enriched	0.483	0.005	0.078	0.065	0.005	0	0.053	0.008	0.641	14.504	0.442	0.039	0.006	0	0	0	0	0.02	0.032	0.008	0	0.001	0.008	0	0	0.011	0	0	0	0	0	0	0	0	0.005	0.002	0.003	0	0	0.003	0	0.03	0
ASV_73	-1.889	11.832	0.0075323725115651	0.159063853725563	Depleted	0.196	0.954	0.29	0.017	0.011	0.07	0.028	0.146	0.002	0.013	0.004	0.002	0.002	0	0.031	0.047	0.156	0.075	0.327	0.108	0.173	0.07	0.057	0.738	0.014	1.026	0.104	0.476	0.137	0.072	0.058	0.169	0.473	0.989	0.574	0.292	0.177	0.546	0.15	0.571	5.721	0.007	0.166
ASV_89	2.957	12.405	0.00760341568597275	0.159063853725563	Enriched	0.451	0.071	0.075	3.913	0.196	2.638	0.063	0	0.038	0.03	1.412	0.254	0.01	0.004	0.125	0.031	0.026	4.252	0.259	0.019	0.066	0.064	0.017	0.035	0.036	0.144	0.228	0.159	0.062	0.035	0.04	0.028	0.316	0.113	0.192	0.003	0.059	0.029	0.032	0.069	0.145	0.204	0.032
ASV_100	-1.735	10.411	0.00834216016432811	0.159063853725563	Depleted	0.066	0.167	0.03	0.045	0.091	0.033	0.107	0.006	0.035	0.009	0.349	0.11	0.173	0.192	0.001	0.122	0.25	0.009	0.057	0.025	0.044	0.015	0.028	0.015	0.006	0.081	0.022	0.069	0.037	0.026	0.061	0.004	0.015	0.021	0.102	0.082	0.136	0.006	0.009	0.189	0.002	0.093	0.822
ASV_177	2.964	9.848	0.00982178139126148	0.159063853725563	Enriched	0.095	0.013	0.025	0.062	0.016	0.004	0.013	0	0.033	0.009	0.033	0.09	0.013	0.019	0.012	0.006	0.004	0.019	0.053	0.004	0.008	0	0.006	0.002	0	0.026	0.073	1.248	0.012	0.025	0.094	0.03	0.981	0.218	0	0.02	0.003	0.001	0	0.032	0.038	0.007	0.004
ASV_67	3.238	11.9	0.0101185647357544	0.159063853725563	Enriched	0.324	0.045	0	0.032	0.181	0	0.021	0.014	0.002	0	0.215	0.64	0.545	7.53	0.01	0.031	0.014	0.022	0.016	0.026	0.057	0.011	0.033	0.048	0.043	0.196	0.018	0.047	0.384	0.022	0.182	0.025	0.086	0.016	0.233	0.009	0.004	0.016	0.006	0.179	0.106	0.021	0.016
ASV_9	-1.636	14.48	0.0103532685856875	0.159063853725563	Depleted	1.223	2.606	0.388	0.794	4.614	2.154	0.677	0.282	0.452	0.365	0.937	1.349	0.381	0.38	1.614	0.543	0.907	0.112	0.821	0.043	0.173	3.937	1.043	0.813	0.774	0.963	0.165	0.928	0.476	1.195	0.898	0.256	0.37	1.566	9.977	0.762	1.209	0.136	0.455	0.47	1.356	1.375	15.086
ASV_135	2.786	10.015	0.0126806894194775	0.178586375990975	Enriched	0.111	0.018	0.005	0.185	0.285	0	0.161	0.086	0.017	0	0.002	0.002	0.003	0.008	0	0.004	0.084	0.049	0.398	0.008	0.009	0.003	0.001	0.017	0.002	0.321	0.071	0.44	0.025	0.094	1.283	0.065	0.01	0.028	0.008	0.048	0.023	0.01	0.001	0.011	0.049	0	0
ASV_51	2.16	12.283	0.0139015398449396	0.180720017984214	Enriched	0.428	0.11	2.72	0.173	0.281	0.015	0.17	2.843	0.447	0.032	0.477	0.325	0.432	2.133	0.037	0.181	0.047	0.056	0.094	0.054	0.05	0.066	0.054	0.058	2.24	0.155	0.148	0.185	0.103	0.035	0.196	0.043	0.036	0.058	0.169	0.065	0.266	0.038	0.045	0.098	0.159	0.122	0.086
ASV_120	3.628	11.889	0.0155010601771036	0.187119940709322	Enriched	0.314	0.025	0.308	0	0	0	0.061	0.031	0.005	0	0.082	0.376	0.329	7.957	0.002	0.001	0.133	0.012	0.023	0.004	0.02	0	0.01	0.006	0.015	0.022	0.016	0.078	0.023	0.551	0.023	0.172	0.033	0.01	0.053	0.002	0.004	0.001	0	0.094	0.004	0.036	0.06
ASV_86	2.617	10.796	0.0177045956848007	0.199471778048755	Enriched	0.15	0.027	0	0.02	0.04	0	0.015	0.056	0	0	0.002	0.08	0.118	1.087	0.171	0.286	0.035	0.426	0.538	0.333	0.059	0.117	0.011	0.031	0	0.233	0.609	0.024	0.135	0.006	0.299	0.114	0.004	0.06	0.038	0	0	0.026	0.045	0.05	0.028	0.046	0.019
ASV_159	-1.548	10.825	0.0198207831885476	0.20152873500605	NotSig	0.107	0.324	0.011	0.062	1.177	0.015	0.034	0.006	0.071	0.041	0.215	0.133	0.593	0.056	0.106	0.122	0.011	0.179	0.119	0.06	0.056	0.008	0.036	0.023	0.016	0.055	0.012	0.036	0.023	0.051	0.051	0.01	0.008	0.013	0.131	1.865	0.074	0.012	0.036	0.024	0.087	0.073	0.422
