ID	sulfur_respiration	respiration_of_sulfur_compounds	knallgas_bacteria	dark_hydrogen_oxidation	fermentation	aerobic_chemoheterotrophy	human_pathogens_all	human_gut	human_associated	mammal_gut	animal_parasites_or_symbionts	aromatic_compound_degradation	nitrate_respiration	nitrate_reduction	nitrogen_respiration	fumarate_respiration	chemoheterotrophy
IE03P013	0.602059991327962	0.602059991327962	0	0	3.83135778544207	2.45024910831936	0	0	0	0	3.25791845031406	0	0	2.40993312333129	0	0	3.83878614494659
IE03P020	0	0	0.301029995663981	0.301029995663981	3.64767631324087	2.67577834167409	0	0	0	0	3.62849110496712	0.301029995663981	0	2.58658730467176	0	0	3.66642437251876
IE03P027	1.25527250510331	1.25527250510331	0	0	3.82399559115597	3.15106325335375	0	0	0	0	3.20384846374623	0	0	3.48444220764241	0	0	3.88789848809687
IE03P052	0	0	0	0	3.59428202881181	3.22505069613805	0	0	0	0	3.71146978187433	0	0	3.04883008652835	0	0	3.6698745024898
IE03P053	0	0	0	0	3.81782969974561	3.13987908640124	0	0	0	0	3.37180645850742	0	0	2.80685802951882	0	0	3.87028682899259
IE03P062	0	0	0	0.301029995663981	3.77836834335587	3.67209785793572	0	0	0	0	3.67135800344349	0	0.301029995663981	3.54654266347813	0.301029995663981	0.301029995663981	3.89070039769887
IE03P069	0	0	0	0	3.78347478758225	3.63788981658079	0	0.477121254719662	0.477121254719662	0.477121254719662	3.38792346697344	0.698970004336019	0	3.29380435991934	0	0	3.93686545897562
IE03P070	0	0	0	0	3.68358731757277	3.30427505047713	0	0.301029995663981	0.301029995663981	0.301029995663981	3.56478438450399	0.301029995663981	0	3.09236969962912	0	0	3.78110883572947
IE07P013	0	0	0	0.301029995663981	3.8065869343278	3.59889988706388	0	0	0	0	3.72737856945149	0	0.301029995663981	3.51890857369141	0.301029995663981	0.301029995663981	3.85907822474697
IE07P020	0	0	0	0	3.79740604967638	3.24551266781415	0	0.301029995663981	0.301029995663981	0.301029995663981	3.28420506770179	0.477121254719662	0	2.95085145888855	0	0	3.85961857877218
IE07P027	1.25527250510331	1.25527250510331	0.698970004336019	0.778151250383644	3.78689332526132	2.55266821611219	0	0	0	0	3.45833562599195	0	0.301029995663981	2.68304703823885	0.301029995663981	0.301029995663981	3.7976829349149
IE07P052	0	0	0	0	3.75625564875423	3.08062648692181	0.698970004336019	0	0.698970004336019	0	3.52296559549199	0	0	3.13065534902203	0	0	3.79077760133769
IE07P053	0	0	0	0	3.6911699341316	3.18977095634687	0	0	0	0	3.57507232571381	0	0	2.89652621748956	0	0	3.77276164714403
