X1	X2	elements	Kingdom	Phylum	Class	Order	Family	Genus	Species	mean
ASV_10	-12.2837012193581	-9.12380658797056	ASV_10	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Unassigned	385.267532467532
ASV_1004	-4.4063664051185	1.44333070307163	ASV_1004	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Unassigned	6.21298701298701
ASV_1007	5.20782371858539	11.2297391739743	ASV_1007	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	Unassigned	4.81038961038961
ASV_1008	-1.78760286354014	15.2286377484121	ASV_1008	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	5.81818181818182
ASV_1009	12.1529975927443	0.0399194504867689	ASV_1009	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Unassigned	5.52727272727273
ASV_1013	-15.3202739023834	4.57803593302877	ASV_1013	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	Unassigned	8.39480519480519
ASV_1014	-7.7753744719289	-7.53430064467749	ASV_1014	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unassigned	4.68571428571429
ASV_1019	-0.574553758814863	7.1218461315276	ASV_1019	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Unassigned	8.51948051948052
ASV_1021	2.20933588193677	8.37471603537876	ASV_1021	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	6.52727272727273
ASV_1036	3.24065057726465	-16.4887289189828	ASV_1036	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Anaeroglobus	Unassigned	5.10649350649351
ASV_1043	4.21400965750757	10.9230433453262	ASV_1043	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	4.91948051948052
ASV_1045	-6.20403491649281	11.2334448651238	ASV_1045	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Unassigned	8.86493506493506
ASV_1061	-5.49086578752419	-14.900262481283	ASV_1061	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Unassigned	5.58701298701299
ASV_107	-4.83404109287208	-4.42821484607498	ASV_107	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	113.412987012987
ASV_1072	-16.9405786675648	-4.173573212205	ASV_1072	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	17.9896103896104
ASV_1073	-14.6995366147887	-9.32717078321504	ASV_1073	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	7.22597402597403
