orig_model	model	color	OTU	X1	X2
1	14	model_14	#50A9AF	ASV_1	18.7142583355363	11.6071699610971
2	25	model_25	#EBF7A0	ASV_1591	-21.0027426660763	-10.7219148143501
3	14	model_14	#50A9AF	ASV_28	16.9611056482753	12.7328435603299
4	6	model_6	#F99655	ASV_1480	-1.11376253922482	4.59331867020325
5	25	model_25	#EBF7A0	ASV_434	-22.2786095775272	-8.09952181633211
6	25	model_25	#EBF7A0	ASV_688	-21.9398819710264	-9.71026603795524
7	8	model_8	#F8FCB4	ASV_8	22.7582169767708	-0.606389708894468
8	11	model_11	#FDD07D	ASV_174	3.13595548791021	-22.8390506540972
9	25	model_25	#EBF7A0	ASV_208	-22.5922987736643	-6.04004649687788
10	11	model_11	#FDD07D	ASV_716	2.51119234870657	-23.6688395769235
11	8	model_8	#F8FCB4	ASV_106	22.0919341636397	-0.886176160341794
12	6	model_6	#F99655	ASV_266	12.4656237154804	0.800540797241525
13	6	model_6	#F99655	ASV_1113	0.532157669107727	13.2386117933356
14	6	model_6	#F99655	ASV_340	9.44148952628907	1.08114322654014
15	41	mini_model	#C1C1C1	ASV_16	17.3918325672919	-17.5384314670654
16	7	model_7	#D6404E	ASV_443	-17.6000539983489	-12.2469547526133
17	11	model_11	#FDD07D	ASV_484	2.1041555307754	-23.3752270484036
18	11	model_11	#FDD07D	ASV_666	0.727381515183234	-24.1846025837034
19	7	model_7	#D6404E	ASV_414	-18.0499568723429	-17.4161175083532
20	8	model_8	#F8FCB4	ASV_397	21.1509313918498	-0.449470116837418
21	2	model_2	#BA2148	ASV_1574	5.0992480338715	-2.06355135099996
22	1	model_1	#9E0142	ASV_808	7.58961602491361	-15.8282391292428
23	1	model_1	#9E0142	ASV_2	-5.00019791611903	-2.4809210349657
24	1	model_1	#9E0142	ASV_97	-10.1114776286824	-2.75375636921004
25	7	model_7	#D6404E	ASV_350	-18.2352865958167	-12.4368947881732
26	1	model_1	#9E0142	ASV_145	-15.7337386118387	-2.17777757030409
27	1	model_1	#9E0142	ASV_1046	-13.3293597077394	-1.51525579331728
28	1	model_1	#9E0142	ASV_79	-6.37717136868575	-6.45858401628101
29	1	model_1	#9E0142	ASV_167	-8.2532958172617	-5.1316659581406
30	1	model_1	#9E0142	ASV_44	-7.45951965385282	-1.645353612524
31	36	mini_model	#C1C1C1	ASV_324	12.0762528572934	-13.6332780127163
32	7	model_7	#D6404E	ASV_32	-6.91406767994933	-15.4899403110558
33	7	model_7	#D6404E	ASV_111	-4.3723749813817	-17.5659984556655
34	7	model_7	#D6404E	ASV_128	-3.53045765403126	-13.2576183128519
35	4	model_4	#E65948	ASV_132	-13.2660831902165	5.89102267853803
36	1	model_1	#9E0142	ASV_640	-15.1137218417648	-1.56456921480598
37	7	model_7	#D6404E	ASV_709	-12.2421226805882	-13.9451928680676
38	8	model_8	#F8FCB4	ASV_748	23.9240870510887	1.71342703396322
39	7	model_7	#D6404E	ASV_3	-13.3601940904675	-12.0211676606789
40	7	model_7	#D6404E	ASV_55	-9.9155189230884	-17.33249095181
41	7	model_7	#D6404E	ASV_547	-11.0237405265826	-19.9710725416481
42	11	model_11	#FDD07D	ASV_136	6.56183406042358	-23.3627921024001
43	1	model_1	#9E0142	ASV_6	-6.80286846512422	-3.68563347913263
44	1	model_1	#9E0142	ASV_17	-4.3032025889403	-5.63113634916664
45	1	model_1	#9E0142	ASV_39	-6.3758711438923	-2.82929743604319
46	1	model_1	#9E0142	ASV_60	-6.97992696324737	-2.7930585088642
47	1	model_1	#9E0142	ASV_253	-2.90248358558003	-5.31472651270044
48	1	model_1	#9E0142	ASV_192	-3.19984310415177	-3.62396295934859
49	7	model_7	#D6404E	ASV_14	-12.2015191638364	-7.97126598770543
50	7	model_7	#D6404E	ASV_166	-9.22648335514162	-3.45753082580297
51	13	model_13	#B4E0A2	ASV_212	23.8519078999594	-3.88974826169027
52	26	mini_model	#C1C1C1	ASV_150	-10.2815853243985	18.2486020662509
53	43	mini_model	#C1C1C1	ASV_2250	20.1774688289735	10.591149482467
54	21	model_21	#466DB0	ASV_315	10.8915676374605	-22.8892191856546
55	9	model_9	#FEF6B1	ASV_420	-10.7509537427966	5.88749904802486
56	6	model_6	#F99655	ASV_446	-4.09044033579462	10.3418945138494
57	1	model_1	#9E0142	ASV_94	-13.0589134252946	0.471792224336049
58	1	model_1	#9E0142	ASV_220	-11.2414749348047	-0.723417247441344
59	3	model_3	#FDB567	ASV_593	-6.58485655958947	-16.6440029629416
60	1	model_1	#9E0142	ASV_107	-3.45872184796376	-11.1690609084897
61	1	model_1	#9E0142	ASV_123	-7.15764333197708	-8.1901603926264
62	1	model_1	#9E0142	ASV_600	5.66019607434347	-19.0182961847501
63	1	model_1	#9E0142	ASV_100	-11.9670748750606	1.51650386832544
64	9	model_9	#FEF6B1	ASV_330	-10.0019256319814	8.58456842925052
65	3	model_3	#FDB567	ASV_328	-4.63678396089307	-11.7706022431215
66	9	model_9	#FEF6B1	ASV_810	2.94247800051907	19.3120023422708
67	15	model_15	#91D3A4	ASV_783	13.7272168623621	16.9339952908504
68	4	model_4	#E65948	ASV_809	-13.8357121019222	7.7076639151886
69	2	model_2	#BA2148	ASV_697	2.21923850146945	-0.162131228726255
70	1	model_1	#9E0142	ASV_11	-20.9695282386971	-0.412891477560878
71	1	model_1	#9E0142	ASV_57	-14.9090976728974	-0.494268434404665
72	1	model_1	#9E0142	ASV_61	-18.4060947309304	-0.310285972875435
73	12	model_12	#D3ED9B	ASV_169	16.3041347213021	-15.2199704998982
74	1	model_1	#9E0142	ASV_36	2.43487213490647	-9.25568793192032
75	7	model_7	#D6404E	ASV_38	-16.6673221772118	-13.1406564692217
76	1	model_1	#9E0142	ASV_83	-0.572776186122515	-6.88408748911116
77	1	model_1	#9E0142	ASV_50	-1.3325905433383	-6.73297168779962
78	36	mini_model	#C1C1C1	ASV_99	6.66516136871608	-11.4878536214559
79	25	model_25	#EBF7A0	ASV_1686	-21.5127621074531	-7.53343505260112
80	1	model_1	#9E0142	ASV_41	-5.18819051337744	-5.64652453700215
81	1	model_1	#9E0142	ASV_187	-4.46505662318058	-7.50145235966877
82	1	model_1	#9E0142	ASV_73	-3.1706681437071	-7.41788695083465
83	2	model_2	#BA2148	ASV_115	7.18823344901556	1.50524832280732
84	9	model_9	#FEF6B1	ASV_614	-7.44220509770248	14.5265421980375
85	1	model_1	#9E0142	ASV_85	-3.80954286687429	-10.5125061096856
86	1	model_1	#9E0142	ASV_98	-5.57312813454542	-10.2140913872284
87	1	model_1	#9E0142	ASV_516	-18.5261139894626	-2.49565519748712
88	25	model_25	#EBF7A0	ASV_596	-21.5799157601324	-9.05366498958533
89	25	model_25	#EBF7A0	ASV_780	-21.4909475139403	-8.51774416633362
90	3	model_3	#FDB567	ASV_652	-1.63451552740022	-13.0022434862387
91	1	model_1	#9E0142	ASV_945	5.17719871545566	-15.1532814356826
92	2	model_2	#BA2148	ASV_1362	5.52052894488765	5.31374695185069
