KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_1	1113	1968	816	1372	1062	1087	1270	1637	1368	962	1247	1017	2345	2538	1722	2004	1439	1558
ASV_28	253	303	54	439	132	182	154	263	153	257	242	178	391	450	235	321	449	242
ASV_125	12	117	56	87	13	26	45	76	32	47	73	18	27	86	59	26	7	68
ASV_135	21	71	24	46	5	69	39	67	34	51	44	40	80	35	43	26	36	59
ASV_8	508	504	608	424	190	327	335	535	1578	780	507	516	634	763	553	1053	457	514
ASV_106	52	31	21	30	19	16	22	46	243	142	41	52	83	30	56	79	23	36
ASV_16	231	248	521	270	142	215	160	239	598	283	227	179	426	288	243	314	819	351
ASV_159	55	39	6	13	7	15	32	33	53	47	38	21	39	34	84	54	45	37
ASV_2	1922	1227	2355	2218	2885	1817	640	494	1218	1264	945	635	1280	1493	839	1115	1489	1170
ASV_97	64	23	93	32	188	67	54	21	43	32	46	28	58	118	26	42	65	70
ASV_79	102	117	102	95	135	161	46	38	51	63	63	66	55	59	62	93	72	64
ASV_30	173	119	171	202	203	284	133	110	215	288	140	100	189	200	201	175	151	168
ASV_44	158	101	228	199	373	154	77	37	98	84	87	54	141	208	94	52	171	95
ASV_32	178	152	146	140	117	150	216	142	148	160	179	195	192	222	242	154	139	229
ASV_111	40	54	36	17	37	28	56	40	41	65	51	59	37	84	74	71	63	80
ASV_128	39	38	35	29	16	38	60	35	41	36	42	53	38	51	59	41	41	53
ASV_132	6	23	223	69	24	53	53	24	39	21	15	3	27	44	34	14	23	41
ASV_3	568	460	899	902	1226	855	607	457	1058	1036	837	674	1041	1796	1019	1200	1205	768
ASV_4	1433	400	535	759	1287	506	515	590	439	621	661	428	1123	1448	547	577	1112	922
ASV_55	41	43	98	91	121	66	109	68	110	136	105	84	123	238	194	164	139	115
ASV_136	32	25	20	36	79	31	37	30	42	54	38	32	26	38	63	87	47	30
ASV_6	882	673	819	888	1475	1017	245	250	366	380	378	351	557	537	460	539	495	492
ASV_17	436	299	341	426	437	584	129	109	196	226	230	185	336	310	277	307	270	270
ASV_39	195	136	200	214	354	210	74	78	101	120	92	81	107	168	108	154	126	122
ASV_60	119	103	134	140	221	133	56	44	68	68	55	58	87	99	80	83	96	121
ASV_14	300	316	352	366	451	357	244	181	303	300	349	250	352	550	415	471	317	325
ASV_127	37	65	34	59	49	51	31	27	23	42	45	29	38	55	43	69	54	38
ASV_166	122	122	196	119	195	135	107	96	148	104	124	112	142	205	154	173	155	159
ASV_150	36	35	39	36	39	45	27	24	28	33	32	37	38	40	63	48	39	39
ASV_94	41	18	23	30	375	23	71	97	31	24	31	18	51	32	96	42	49	49
ASV_107	65	57	61	70	57	82	50	32	42	34	55	56	35	35	64	56	47	45
ASV_123	58	61	40	55	61	58	33	17	40	28	44	40	39	46	51	39	48	38
ASV_100	79	18	38	59	295	25	29	55	15	114	72	40	33	7	50	60	38	71
ASV_11	315	344	321	352	560	375	472	375	244	418	345	186	421	498	505	412	325	383
ASV_57	70	53	102	36	352	80	190	124	68	98	75	37	169	88	134	115	74	211
ASV_61	75	80	63	75	189	80	119	87	69	110	64	46	116	140	121	94	74	131
ASV_144	45	15	19	47	48	32	55	47	41	50	28	28	51	37	32	30	33	25
ASV_36	194	66	104	247	199	363	63	37	283	182	97	92	249	330	120	153	161	108
ASV_38	113	57	83	214	146	210	45	34	214	137	100	138	219	618	70	124	152	91
ASV_83	110	33	45	90	116	163	18	19	84	35	27	54	74	156	34	60	71	44
ASV_50	128	77	131	328	244	316	31	30	116	76	66	48	200	192	78	125	109	111
ASV_99	45	27	37	80	42	87	25	20	94	78	45	27	118	99	33	58	43	44
ASV_41	233	146	163	326	295	378	55	38	87	60	100	81	113	139	77	125	143	108
ASV_73	142	76	115	236	114	198	29	15	51	39	54	53	57	70	48	62	64	63
ASV_115	35	103	13	98	8	69	5	12	1	5	23	461	1	21	22	2	4	22
ASV_85	54	105	51	94	80	205	37	24	94	30	55	45	42	31	48	37	136	44
ASV_98	61	46	61	82	90	126	43	26	51	30	51	40	51	40	28	29	133	45
ASV_141	85	57	75	78	75	81	5	19	16	33	17	10	34	44	22	20	25	27
ASV_13	169	181	379	361	535	385	172	513	478	297	495	188	382	288	422	281	578	517
ASV_47	162	153	187	193	213	233	121	97	132	129	129	114	123	129	130	213	147	166
ASV_72	92	51	52	78	30	92	52	44	62	59	88	78	35	127	99	307	91	63
ASV_75	65	69	33	42	112	61	74	56	56	58	89	77	64	44	82	167	108	77
ASV_118	49	45	39	42	43	105	39	23	35	77	35	72	28	48	37	34	75	18
