OTUID	Group_dayE	Analysis
ASV_1045	DSpre	module hubs
ASV_151	DSpre	module hubs
ASV_294	DSpre	module hubs
ASV_1079	DSpre	module hubs
ASV_786	DSpre	module hubs
ASV_284	DSpre	module hubs
ASV_662	DSpre	module hubs
ASV_592	DSpre	module hubs
ASV_636	DSpre	module hubs
ASV_1092	DSmed	module hubs
ASV_361	DSmed	module hubs
ASV_991	DSmed	module hubs
ASV_525	DSmed	module hubs
ASV_596	DSmed	module hubs
ASV_423	DSmed	module hubs
ASV_696	DSmed	module hubs
ASV_438	DSmed	module hubs
ASV_236	DSmed	module hubs
ASV_848	DSmed	module hubs
ASV_790	DSmed	module hubs
ASV_740	DSmed	module hubs
ASV_641	DSmed	module hubs
ASV_1112	DSmed	module hubs
ASV_184	DSmed	module hubs
ASV_105	DSmed	module hubs
ASV_303	DSmed	module hubs
ASV_481	DSpost	module hubs
ASV_572	DSpost	module hubs
ASV_48	DSpost	module hubs
ASV_257	DSpost	module hubs
ASV_221	DSpost	module hubs
ASV_628	DSpost	module hubs
ASV_942	DSpost	module hubs
ASV_556	DSpost	module hubs
ASV_311	DSpost	module hubs
