igraph.degree	igraph.closeness	igraph.betweenness	igraph.cen.degree
ASV_20	1	1	0	1
ASV_38	1	0.6	0	1
ASV_10	1	1	0	1
ASV_50	1	1	0	1
ASV_81	1	1	0	1
ASV_71	7	0.818181818181818	4.81111111111111	7
ASV_86	2	0.75	0	2
ASV_84	2	1	1	2
ASV_64	1	1	0	1
ASV_89	2	0.75	0	2
ASV_122	1	1	0	1
ASV_137	3	1	0	3
ASV_107	3	1	0.5	3
ASV_159	3	1	0	3
ASV_92	1	1	0	1
ASV_142	2	1	0	2
ASV_80	1	1	0	1
ASV_148	4	1	0	4
ASV_199	2	0.75	0	2
ASV_108	1	1	0	1
ASV_203	4	0.424242424242424	18	4
ASV_125	3	0.8	3	3
ASV_147	1	0.666666666666667	0	1
ASV_870	3	0.625	1.5	3
ASV_407	1	1	0	1
ASV_134	2	0.75	0	2
ASV_131	1	1	0	1
ASV_169	1	1	0	1
ASV_235	1	1	0	1
ASV_319	3	0.714285714285714	0	3
ASV_284	1	1	0	1
ASV_245	2	0.555555555555556	4	2
ASV_193	2	0.75	0	2
ASV_202	1	1	0	1
ASV_206	2	0.5	0	2
ASV_294	1	0.454545454545455	0	1
ASV_230	1	1	0	1
ASV_192	1	1	0	1
ASV_139	5	1	4	5
ASV_165	1	0.6	0	1
ASV_195	2	1	1	2
ASV_171	2	0.666666666666667	0	2
ASV_201	2	1	0	2
ASV_217	1	0.666666666666667	0	1
ASV_175	2	1	0	2
ASV_229	10	1	0	10
ASV_173	1	1	0	1
ASV_265	2	1	0	2
ASV_333	5	1	1.5	5
ASV_162	2	1	0	2
ASV_226	3	1	0.5	3
ASV_172	8	0.7	0.111111111111111	8
ASV_215	1	0.666666666666667	0	1
ASV_228	1	1	0	1
ASV_338	1	0.666666666666667	0	1
ASV_248	1	1	0	1
ASV_224	1	1	0	1
ASV_234	1	1	0	1
ASV_334	6	0.692307692307692	0.922222222222222	6
ASV_204	3	0.5625	0	3
ASV_273	1	1	0	1
ASV_218	1	1	0	1
ASV_219	1	1	0	1
ASV_1119	1	1	0	1
ASV_256	1	1	0	1
ASV_227	1	1	0	1
ASV_242	1	1	0	1
ASV_341	2	1	0	2
ASV_303	4	0.411764705882353	40.5	4
ASV_232	1	0.555555555555556	0	1
ASV_324	1	1	0	1
ASV_355	1	0.666666666666667	0	1
ASV_314	1	0.666666666666667	0	1
ASV_264	3	1	0.5	3
ASV_253	1	1	0	1
ASV_293	2	0.75	0	2
ASV_456	1	1	0	1
ASV_891	3	0.625	1.5	3
ASV_423	4	1	5	4
ASV_528	1	0.222222222222222	0	1
ASV_390	1	0.666666666666667	0	1
ASV_236	2	1	0	2
ASV_474	2	0.555555555555556	0	2
