igraph.degree	igraph.closeness	igraph.betweenness	igraph.cen.degree
ASV_1	2	0.666666666666667	3	2
ASV_1591	6	0.106364579730197	712.950000000009	6
ASV_28	2	0.571428571428571	0	2
ASV_1480	3	0.180829167891797	86.5499672949092	3
ASV_434	6	0.0963647759323096	1838	6
ASV_688	6	0.0963647759323096	6.15	6
ASV_8	5	0.0925647200481638	0.85	5
ASV_174	14	0.12966476913346	446.860978570813	14
ASV_208	2	0.0879325135830712	614	2
ASV_716	18	0.131018321261184	1071.30904485497	18
ASV_106	8	0.101871790624482	811.316666666651	8
ASV_266	1	0.137645478961504	0	1
ASV_1113	4	0.147801009372747	1468.02687282355	4
ASV_340	3	0.159574468085106	1730.71589515381	3
ASV_16	2	1	0	2
ASV_443	4	0.133521493703865	20.4694116246575	4
ASV_484	18	0.131018321261184	521.537805816007	18
ASV_666	4	0.122926244253448	0	4
ASV_414	1	0.11101083032491	0	1
ASV_397	6	0.0925786542224898	3.58333333333333	6
ASV_1574	3	0.166171305052688	0.932850482850483	3
ASV_808	9	0.150440313111546	5290.12898392661	9
ASV_2	29	0.240328253223916	7555.60760476669	29
ASV_97	12	0.212582094711372	3492.97624917477	12
ASV_350	6	0.133928571428571	7884.89449982794	6
ASV_145	1	0.160616348916166	0	1
ASV_1046	3	0.183417834774829	30.8185624827678	3
ASV_79	21	0.229734777736272	5051.59818381889	21
ASV_167	14	0.220351128627732	5812.32386822073	14
ASV_44	26	0.235361653272101	13110.3535084382	26
ASV_324	1	0.119953188999415	0	1
ASV_32	6	0.159781761496493	339.6664250467	6
ASV_111	5	0.167255915148219	1208.71629137834	5
ASV_128	9	0.178571428571429	2136.5036359217	9
ASV_132	22	0.176774935326243	812.718414572682	22
ASV_640	6	0.17713133640553	1253.72580367654	6
ASV_709	1	0.151664611590629	0	1
ASV_748	1	0.0846874139355549	0	1
ASV_3	5	0.166983437415151	5543.07294404159	5
ASV_55	5	0.159574468085106	3182.60909021834	5
ASV_547	1	0.137645478961504	0	1
ASV_136	2	0.110930735930736	0	2
ASV_6	32	0.240893066980023	6623.99036949989	32
ASV_17	22	0.229135618479881	7571.53589859577	22
ASV_39	30	0.244144501786423	11789.3965596458	30
ASV_60	28	0.237085582112567	4598.22828454101	28
ASV_253	11	0.223230490018149	1837.05150673538	11
ASV_192	19	0.233929250665652	7514.89403493437	19
ASV_14	2	0.160239708181344	769.136424140836	2
ASV_166	5	0.182060390763766	2175.99884448403	5
ASV_212	1	0.428571428571429	0	1
ASV_150	1	1	0	1
ASV_2250	1	1	0	1
ASV_315	2	0.75	2	2
ASV_420	4	0.163346613545817	832.14867383841	4
ASV_446	5	0.15724878547686	1618.96454149727	5
ASV_94	18	0.183691756272401	435.568665601354	18
ASV_220	24	0.210616438356164	6271.06850829858	24
ASV_593	2	0.165812887570774	614	2
ASV_107	3	0.185352622061483	416.854684009069	3
ASV_123	2	0.186759793501367	24.5866236600464	2
ASV_600	1	0.139014466546112	0	1
ASV_100	16	0.184518451845185	577.92130032237	16
ASV_330	5	0.155656795747912	1694.07979426218	5
ASV_328	18	0.198579270261543	4065.69850430095	18
ASV_810	2	0.0814138204924543	614	2
ASV_783	1	0.416666666666667	0	1
ASV_809	21	0.156927787700944	71.9070074759231	21
ASV_697	8	0.18899815611555	895.880451242379	8
ASV_11	1	0.13104623907948	0	1
ASV_57	7	0.17713133640553	1069.98189231478	7
ASV_61	3	0.150772248100025	614.333333333333	3
ASV_169	1	0.357142857142857	0	1
ASV_36	3	0.186873290793072	1836	3
ASV_38	5	0.144298451431253	1872.16373886564	5
ASV_83	4	0.199870003249919	277.326630687525	4
ASV_50	14	0.229135618479881	19793.7238637144	14
ASV_99	2	0.157651884132274	1226	2
ASV_1686	2	0.0879199428162974	0	2
ASV_41	26	0.233042819249716	5151.08117923063	26
ASV_187	19	0.22560528246515	5647.79183151126	19
ASV_73	16	0.22760917838638	11256.4211388916	16
ASV_115	2	0.161671924290221	0	2
ASV_614	6	0.135492399206874	8449.7848392048	6
ASV_85	4	0.186986926117361	169.833744778255	4
ASV_98	2	0.181845062093436	0	2
ASV_516	1	0.150513950073421	0	1
ASV_596	6	0.0963647759323096	411.183333333325	6
ASV_780	5	0.0963345864661654	204.733333333329	5
ASV_652	4	0.173044456949916	26.1045536163184	4
ASV_945	14	0.164438502673797	2587.65179050007	14
ASV_1362	1	0.147058823529412	0	1
ASV_141	19	0.231289958631064	5510.29115488314	19
ASV_251	17	0.219957081545064	3315.7499688557	17
ASV_175	15	0.221302626844189	705.188606824104	15
ASV_201	13	0.218162468960624	1044.28223078503	13
ASV_185	3	0.2001953125	5502.74653211572	3
ASV_537	1	0.101636093207734	0	1
ASV_432	9	0.223555070883315	2081.20176476643	9
ASV_683	1	1	0	1
ASV_338	21	0.214884696016771	11089.4993503272	21
ASV_710	5	0.118680046314164	7238.25	5
ASV_1982	1	1	0	1
ASV_391	13	0.188940092165899	420.356206221381	13
ASV_534	4	0.145700071073205	1725.01497952434	4
ASV_228	1	1	0	1
ASV_757	13	0.173777903362532	6775.23111932415	13
ASV_778	2	0.141737727587002	1179.95884914941	2
ASV_231	6	0.101804337030293	606.233333333333	6
ASV_422	1	0.142262317834837	0	1
ASV_2526	1	1	0	1
ASV_47	12	0.223636363636364	1528.95900688009	12
ASV_72	15	0.13736877373241	5344.53038773181	15
ASV_75	4	0.115950226244344	45.2562710283064	4
ASV_782	8	0.188650306748466	228.816654616776	8
ASV_405	20	0.221861471861472	8658.86787455227	20
ASV_506	1	1	0	1
ASV_104	10	0.219799857040743	537.684384291544	10
ASV_1081	3	0.148478995654273	1226	3
ASV_7	1	1	0	1
ASV_408	14	0.187958435207824	366.556473494439	14
ASV_51	6	0.152605459057072	0	6
ASV_258	1	1	0	1
ASV_86	1	0.666666666666667	0	1
ASV_465	4	0.150036594291291	614	4
ASV_753	1	0.0808359621451104	0	1
ASV_705	27	0.179143606175357	1077.81841704872	27
ASV_706	2	0.625	4	2
ASV_303	3	0.110531991373113	1226	3
ASV_627	1	1	0	1
ASV_1912	1	0.0905743740795287	0	1
ASV_811	1	0.114227340267459	0	1
ASV_895	1	0.124167171411266	0	1
ASV_158	4	0.132144391920928	4773.72898392661	4
ASV_244	24	0.175113895216401	342.933330621333	24
ASV_559	9	0.153290129611167	2352.96913461071	9
ASV_215	1	1	0	1
ASV_454	8	0.101871790624482	810.949999999996	8
ASV_1030	3	0.124267528793696	127.181409925279	3
ASV_1006	1	0.124217329832357	0	1
ASV_613	6	0.166306111411574	156.603839749581	6
ASV_235	2	0.0900307422046552	614	2
ASV_316	5	0.112042266350884	251.774427341332	5
ASV_894	4	0.152605459057072	61.3307532893849	4
ASV_345	5	0.208192281651997	458.978183916031	5
ASV_117	5	0.0925647200481638	0.2	5
ASV_962	1	0.116345062429058	0	1
ASV_621	6	0.164218958611482	962.758596055599	6
ASV_467	1	0.167574931880109	0	1
ASV_649	27	0.179143606175357	1077.81841704872	27
ASV_226	1	0.132944228274968	0	1
ASV_256	3	0.141803089693336	614	3
ASV_521	1	0.12849979105725	0	1
ASV_279	1	0.100293542074364	0	1
ASV_396	7	0.109645213050455	3383.70299696369	7
ASV_763	1	1	0	1
ASV_490	7	0.135881573133009	1832.99032254847	7
ASV_1156	1	0.165902346911249	0	1
ASV_52	1	0.0826057756883815	0	1
ASV_588	2	0.169889502762431	786.395248167945	2
ASV_378	8	0.150809220205983	781.349378841144	8
ASV_582	3	0.5	0	3
ASV_442	14	0.188073394495413	600.701824691113	14
ASV_539	13	0.154096717614633	3463.79763298733	13
ASV_1193	1	0.666666666666667	0	1
ASV_1069	4	0.16439454691259	2513.52096991492	4
ASV_491	3	0.186081694402421	2196.93315093628	3
ASV_746	5	0.642857142857143	1	5
ASV_628	1	1	0	1
ASV_550	3	0.150513950073421	614	3
ASV_751	1	0.12	0	1
ASV_18	2	0.571428571428571	0	2
ASV_19	1	0.118565644881434	0	1
ASV_42	3	0.127832051548535	252.624071406745	3
ASV_243	7	0.714285714285714	6	7
ASV_517	12	0.153903903903904	2966.35208223709	12
ASV_45	2	0.125229077580941	0	2
ASV_224	10	0.173483779971791	16501.5354171466	10
ASV_261	3	0.555555555555556	0	3
ASV_523	5	0.139868091880828	2442.31402183082	5
ASV_274	15	0.204658901830283	548.934163135926	15
ASV_768	1	0.145631067961165	0	1
ASV_1218	2	0.167666303162486	0	2
ASV_321	3	0.118178324365872	614	3
