z	module	p	roles	label	role_7
ASV_2	-0.262553857487346	3	0	Peripherals		ultra peripheral
ASV_6	1.08931919595814	3	0.499856363114048	Peripherals		peripheral
ASV_17	-0.549314808218206	3	0	Peripherals		ultra peripheral
ASV_40	-0.713178208635841	3	0	Peripherals		ultra peripheral
ASV_33	0.106138793452332	3	0.329795918367347	Peripherals		peripheral
ASV_43	-0.385451407800572	3	0.532921810699589	Peripherals		peripheral
ASV_30	0.0242070932435143	3	0	Peripherals		ultra peripheral
ASV_47	1.82670449783749	3	0.532598714416896	Peripherals		peripheral
ASV_79	0.106138793452332	3	0.524653979238754	Peripherals		peripheral
ASV_77	1.376080146689	3	0.548153145555743	Peripherals		peripheral
ASV_75	-0.836075758949067	3	0.0555102040816327	Peripherals		peripheral
ASV_93	2.11346544856835	3	0.5	Peripherals		peripheral
ASV_95	0.843524095331687	3	0.291666666666667	Peripherals		peripheral
ASV_130	0.597728994705235	3	0.516156462585034	Peripherals		peripheral
ASV_82	1.04835334585373	3	0.42435030259879	Peripherals		peripheral
ASV_152	-0.836075758949067	3	0.400181077410593	Peripherals		peripheral
ASV_108	1.376080146689	3	0.509512485136742	Peripherals		peripheral
ASV_146	1.53994354710663	3	0	Peripherals		ultra peripheral
ASV_220	0.0651729433479229	3	0.495408631772268	Peripherals		peripheral
ASV_149	0.188070493661149	3	0.504081632653061	Peripherals		peripheral
ASV_144	0.351933894078783	3	0	Peripherals		ultra peripheral
ASV_311	0.188070493661149	3	0.558071585098612	Peripherals		peripheral
ASV_235	-0.590280658322615	3	0.379535990481856	Peripherals		peripheral
ASV_180	1.62187524731545	3	0.233747260774288	Peripherals		peripheral
ASV_284	0.802558245227278	3	0	Peripherals		ultra peripheral
ASV_230	-0.0167587568608943	3	0.505787037037037	Peripherals		peripheral
ASV_192	0.188070493661149	3	0.265532544378698	Peripherals		peripheral
ASV_184	0.0651729433479229	3	0.263671875	Peripherals		peripheral
ASV_577	1.00738749574932	3	0.102264426588751	Peripherals		peripheral
ASV_507	-1.08187085957552	3	0.403114186851211	Peripherals		peripheral
ASV_280	0.802558245227278	3	0.352108341028009	Peripherals		peripheral
ASV_269	0.884489945436095	3	0	Peripherals		ultra peripheral
ASV_488	1.25318259637577	3	0.496301775147929	Peripherals		peripheral
ASV_234	0.925455795540504	3	0.324417009602195	Peripherals		peripheral
ASV_324	1.376080146689	3	0.465104560342656	Peripherals		peripheral
ASV_1153	-0.590280658322615	3	0.498512396694215	Peripherals		peripheral
ASV_446	1.62187524731545	3	0.477502295684114	Peripherals		peripheral
ASV_436	1.376080146689	3	0	Peripherals		ultra peripheral
ASV_20	-1.20476840988874	3	0.535108024691358	Peripherals		peripheral
ASV_50	-0.713178208635841	3	0.499540863177227	Peripherals		peripheral
ASV_161	0.0242070932435143	3	0	Peripherals		ultra peripheral
ASV_190	0.0651729433479229	3	0	Peripherals		ultra peripheral
ASV_592	-0.754144058740249	3	0.499540863177227	Peripherals		peripheral
