module1	module2	Both	P1A2	P2A1	A1A2	p_raw	p_adj
KOmodel_41-OEmodel_2	KOmodel_41	OEmodel_2	1	2	6	500	0.0407716775257314	0.0407716775257314
KOmodel_62-OEmodel_1	KOmodel_62	OEmodel_1	1	2	6	500	0.0407716775257314	0.0407716775257314
KOmodel_34-OEmodel_1	KOmodel_34	OEmodel_1	1	2	6	500	0.0407716775257314	0.0407716775257314
KOmodel_22-OEmodel_4	KOmodel_22	OEmodel_4	1	3	5	500	0.0464588019672787	0.0464588019672787
KOmodel_26-OEmodel_8	KOmodel_26	OEmodel_8	1	3	4	501	0.0388304723830171	0.0388304723830171
KOmodel_17-OEmodel_10	KOmodel_17	OEmodel_10	1	4	4	500	0.0483470023594227	0.0483470023594227
KOmodel_22-OEmodel_9	KOmodel_22	OEmodel_9	1	3	4	501	0.0388304723830171	0.0388304723830171
KOmodel_30-OEmodel_9	KOmodel_30	OEmodel_9	1	3	4	501	0.0388304723830171	0.0388304723830171
KOmodel_23-OEmodel_7	KOmodel_23	OEmodel_7	1	3	4	501	0.0388304723830171	0.0388304723830171
KOmodel_31-OEmodel_7	KOmodel_31	OEmodel_7	1	3	4	501	0.0388304723830171	0.0388304723830171
KOmodel_38-OEmodel_7	KOmodel_38	OEmodel_7	1	2	4	502	0.0292379621273585	0.0292379621273585
KOmodel_58-OEmodel_12	KOmodel_58	OEmodel_12	1	2	3	503	0.0234365953671629	0.0234365953671629
KOmodel_56-OEmodel_12	KOmodel_56	OEmodel_12	1	2	3	503	0.0234365953671629	0.0234365953671629
KOmodel_8-OEmodel_18	KOmodel_8	OEmodel_18	1	5	3	500	0.0464588019672786	0.0464588019672786
KOmodel_55-OEmodel_18	KOmodel_55	OEmodel_18	1	2	3	503	0.0234365953671629	0.0234365953671629
KOmodel_35-OEmodel_18	KOmodel_35	OEmodel_18	1	2	3	503	0.0234365953671629	0.0234365953671629
KOmodel_10-OEmodel_17	KOmodel_10	OEmodel_17	1	4	3	501	0.0388304723830167	0.0388304723830167
KOmodel_62-OEmodel_17	KOmodel_62	OEmodel_17	1	2	3	503	0.0234365953671629	0.0234365953671629
KOmodel_2-OEmodel_16	KOmodel_2	OEmodel_16	2	5	2	500	0.000961806434902122	0.000961806434902122
KOmodel_48-OEmodel_11	KOmodel_48	OEmodel_11	1	2	3	503	0.0234365953671629	0.0234365953671629
KOmodel_33-OEmodel_11	KOmodel_33	OEmodel_11	1	2	3	503	0.0234365953671629	0.0234365953671629
KOmodel_47-OEmodel_14	KOmodel_47	OEmodel_14	1	2	3	503	0.0234365953671629	0.0234365953671629
KOmodel_13-OEmodel_15	KOmodel_13	OEmodel_15	1	4	3	501	0.0388304723830167	0.0388304723830167
KOmodel_4-OEmodel_13	KOmodel_4	OEmodel_13	1	5	3	500	0.0464588019672786	0.0464588019672786
KOmodel_43-OEmodel_13	KOmodel_43	OEmodel_13	1	2	3	503	0.0234365953671629	0.0234365953671629
KOmodel_22-OEmodel_19	KOmodel_22	OEmodel_19	1	3	3	502	0.0311564641784898	0.0311564641784898
KOmodel_3-OEmodel_20	KOmodel_3	OEmodel_20	1	5	3	500	0.0464588019672786	0.0464588019672786
KOmodel_28-OEmodel_20	KOmodel_28	OEmodel_20	1	3	3	502	0.0311564641784898	0.0311564641784898
KOmodel_45-OEmodel_20	KOmodel_45	OEmodel_20	1	2	3	503	0.0234365953671629	0.0234365953671629
KOmodel_20-OEmodel_51	KOmodel_20	OEmodel_51	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_60-OEmodel_54	KOmodel_60	OEmodel_54	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_3-OEmodel_47	KOmodel_3	OEmodel_47	1	5	2	501	0.0350163075908858	0.0350163075908858
KOmodel_18-OEmodel_47	KOmodel_18	OEmodel_47	1	3	2	503	0.0234365953671632	0.0234365953671632
