ID	group	Group
1	ASV_256	KOmodel_1	KO
2	ASV_142	KOmodel_1	KO
3	ASV_362	KOmodel_1	KO
4	ASV_89	KOmodel_1	KO
5	ASV_419	KOmodel_1	KO
6	ASV_352	KOmodel_1	KO
7	ASV_225	KOmodel_1	KO
8	ASV_465	KOmodel_1	KO
9	ASV_55	KOmodel_2	KO
10	ASV_7	KOmodel_2	KO
11	ASV_224	KOmodel_2	KO
12	ASV_62	KOmodel_2	KO
13	ASV_248	KOmodel_2	KO
14	ASV_122	KOmodel_2	KO
15	ASV_340	KOmodel_2	KO
16	ASV_527	KOmodel_6	KO
17	ASV_303	KOmodel_6	KO
18	ASV_87	KOmodel_6	KO
19	ASV_43	KOmodel_6	KO
20	ASV_172	KOmodel_6	KO
21	ASV_293	KOmodel_8	KO
22	ASV_220	KOmodel_8	KO
23	ASV_115	KOmodel_8	KO
24	ASV_198	KOmodel_8	KO
25	ASV_433	KOmodel_8	KO
26	ASV_235	KOmodel_5	KO
27	ASV_49	KOmodel_5	KO
28	ASV_21	KOmodel_5	KO
29	ASV_105	KOmodel_5	KO
30	ASV_264	KOmodel_5	KO
31	ASV_109	KOmodel_7	KO
32	ASV_240	KOmodel_7	KO
33	ASV_304	KOmodel_7	KO
34	ASV_216	KOmodel_7	KO
35	ASV_382	KOmodel_7	KO
36	ASV_357	KOmodel_3	KO
37	ASV_96	KOmodel_3	KO
38	ASV_343	KOmodel_3	KO
39	ASV_66	KOmodel_3	KO
40	ASV_546	KOmodel_3	KO
41	ASV_385	KOmodel_4	KO
42	ASV_153	KOmodel_4	KO
43	ASV_95	KOmodel_4	KO
44	ASV_138	KOmodel_4	KO
45	ASV_245	KOmodel_4	KO
46	ASV_159	KOmodel_6	KO
47	ASV_97	KOmodel_8	KO
48	ASV_420	KOmodel_5	KO
49	ASV_13	KOmodel_7	KO
50	ASV_86	KOmodel_3	KO
51	ASV_25	KOmodel_4	KO
52	ASV_20	KOmodel_15	KO
53	ASV_193	KOmodel_15	KO
54	ASV_417	KOmodel_15	KO
55	ASV_309	KOmodel_15	KO
56	ASV_9	KOmodel_16	KO
57	ASV_517	KOmodel_16	KO
58	ASV_435	KOmodel_16	KO
59	ASV_344	KOmodel_16	KO
60	ASV_244	KOmodel_12	KO
61	ASV_119	KOmodel_12	KO
