"source","target","correlation","direct","cor"
"ASV_24","ASV_7",0.828571428571429,"undirected","+"
"ASV_19","ASV_7",-0.885714285714286,"undirected","-"
"ASV_18","ASV_7",-0.828571428571429,"undirected","-"
"ASV_29","ASV_7",0.942857142857143,"undirected","+"
"ASV_39","ASV_7",0.828571428571429,"undirected","+"
"ASV_44","ASV_7",0.942857142857143,"undirected","+"
"ASV_33","ASV_7",-0.828571428571429,"undirected","-"
"ASV_56","ASV_7",0.942857142857143,"undirected","+"
"ASV_32","ASV_7",-0.885714285714286,"undirected","-"
"ASV_62","ASV_7",1,"undirected","+"
"ASV_60","ASV_7",0.942857142857143,"undirected","+"
"ASV_48","ASV_7",0.942857142857143,"undirected","+"
"ASV_88","ASV_7",-0.828571428571429,"undirected","-"
"ASV_96","ASV_7",0.942857142857143,"undirected","+"
"ASV_43","ASV_7",-0.885714285714286,"undirected","-"
"ASV_105","ASV_7",0.828571428571429,"undirected","+"
"ASV_87","ASV_7",0.942857142857143,"undirected","+"
"ASV_104","ASV_7",0.828571428571429,"undirected","+"
"ASV_97","ASV_7",0.828571428571429,"undirected","+"
"ASV_55","ASV_7",0.942857142857143,"undirected","+"
"ASV_76","ASV_7",0.942857142857143,"undirected","+"
"ASV_66","ASV_7",-0.885714285714286,"undirected","-"
"ASV_90","ASV_7",0.927633657043918,"undirected","+"
"ASV_101","ASV_7",-0.828571428571429,"undirected","-"
"ASV_129","ASV_7",0.885714285714286,"undirected","+"
"ASV_89","ASV_7",-0.942857142857143,"undirected","-"
"ASV_86","ASV_7",-0.885714285714286,"undirected","-"
"ASV_122","ASV_7",-0.828571428571429,"undirected","-"
"ASV_151","ASV_7",-0.828571428571429,"undirected","-"
"ASV_157","ASV_7",0.885714285714286,"undirected","+"
"ASV_184","ASV_7",0.811679449913428,"undirected","+"
"ASV_190","ASV_7",0.828571428571429,"undirected","+"
"ASV_189","ASV_7",0.828571428571429,"undirected","+"
"ASV_148","ASV_7",-0.828571428571429,"undirected","-"
"ASV_67","ASV_7",0.828571428571429,"undirected","+"
"ASV_142","ASV_7",-0.885714285714286,"undirected","-"
"ASV_128","ASV_7",-0.84066800169605,"undirected","-"
"ASV_224","ASV_7",-1,"undirected","-"
"ASV_282","ASV_7",0.885714285714286,"undirected","+"
"ASV_179","ASV_7",0.885714285714286,"undirected","+"
"ASV_312","ASV_7",0.84066800169605,"undirected","+"
"ASV_7","ASV_62",1,"undirected","+"
"ASV_60","ASV_62",0.942857142857143,"undirected","+"
"ASV_48","ASV_62",0.942857142857143,"undirected","+"
"ASV_88","ASV_62",-0.828571428571429,"undirected","-"
"ASV_96","ASV_62",0.942857142857143,"undirected","+"
"ASV_43","ASV_62",-0.885714285714286,"undirected","-"
"ASV_105","ASV_62",0.828571428571429,"undirected","+"
"ASV_87","ASV_62",0.942857142857143,"undirected","+"
"ASV_104","ASV_62",0.828571428571429,"undirected","+"
"ASV_97","ASV_62",0.828571428571429,"undirected","+"
"ASV_55","ASV_62",0.942857142857143,"undirected","+"
"ASV_76","ASV_62",0.942857142857143,"undirected","+"
"ASV_66","ASV_62",-0.885714285714286,"undirected","-"
"ASV_90","ASV_62",0.927633657043918,"undirected","+"
"ASV_101","ASV_62",-0.828571428571429,"undirected","-"
"ASV_129","ASV_62",0.885714285714286,"undirected","+"
"ASV_89","ASV_62",-0.942857142857143,"undirected","-"
"ASV_86","ASV_62",-0.885714285714286,"undirected","-"
"ASV_122","ASV_62",-0.828571428571429,"undirected","-"
"ASV_151","ASV_62",-0.828571428571429,"undirected","-"
"ASV_157","ASV_62",0.885714285714286,"undirected","+"
"ASV_184","ASV_62",0.811679449913428,"undirected","+"
"ASV_190","ASV_62",0.828571428571429,"undirected","+"
"ASV_189","ASV_62",0.828571428571429,"undirected","+"
"ASV_148","ASV_62",-0.828571428571429,"undirected","-"
"ASV_67","ASV_62",0.828571428571429,"undirected","+"
"ASV_142","ASV_62",-0.885714285714286,"undirected","-"
"ASV_128","ASV_62",-0.84066800169605,"undirected","-"
"ASV_224","ASV_62",-1,"undirected","-"
"ASV_282","ASV_62",0.885714285714286,"undirected","+"
"ASV_179","ASV_62",0.885714285714286,"undirected","+"
"ASV_312","ASV_62",0.84066800169605,"undirected","+"
"ASV_7","ASV_224",-1,"undirected","-"
"ASV_62","ASV_224",-1,"undirected","-"
"ASV_282","ASV_224",-0.885714285714286,"undirected","-"
"ASV_179","ASV_224",-0.885714285714286,"undirected","-"
"ASV_312","ASV_224",-0.84066800169605,"undirected","-"
"ASV_104","ASV_87",0.942857142857143,"undirected","+"
"ASV_55","ASV_87",1,"undirected","+"
"ASV_78","ASV_87",-0.828571428571429,"undirected","-"
"ASV_77","ASV_87",-0.853310335187925,"undirected","-"
"ASV_76","ASV_87",0.885714285714286,"undirected","+"
"ASV_110","ASV_87",0.885714285714286,"undirected","+"
"ASV_66","ASV_87",-0.828571428571429,"undirected","-"
"ASV_90","ASV_87",0.811679449913428,"undirected","+"
"ASV_129","ASV_87",0.942857142857143,"undirected","+"
"ASV_89","ASV_87",-0.885714285714286,"undirected","-"
"ASV_86","ASV_87",-0.828571428571429,"undirected","-"
"ASV_151","ASV_87",-0.885714285714286,"undirected","-"
"ASV_93","ASV_87",0.828571428571429,"undirected","+"
"ASV_67","ASV_87",0.942857142857143,"undirected","+"
"ASV_237","ASV_87",-0.828571428571429,"undirected","-"
"ASV_128","ASV_87",-0.927633657043918,"undirected","-"
"ASV_224","ASV_87",-0.942857142857143,"undirected","-"
"ASV_282","ASV_87",0.828571428571429,"undirected","+"
"ASV_87","ASV_55",1,"undirected","+"
"ASV_78","ASV_55",-0.828571428571429,"undirected","-"
"ASV_77","ASV_55",-0.853310335187925,"undirected","-"
"ASV_76","ASV_55",0.885714285714286,"undirected","+"
"ASV_110","ASV_55",0.885714285714286,"undirected","+"
"ASV_66","ASV_55",-0.828571428571429,"undirected","-"
"ASV_90","ASV_55",0.811679449913428,"undirected","+"
"ASV_129","ASV_55",0.942857142857143,"undirected","+"
"ASV_89","ASV_55",-0.885714285714286,"undirected","-"
"ASV_86","ASV_55",-0.828571428571429,"undirected","-"
"ASV_151","ASV_55",-0.885714285714286,"undirected","-"
"ASV_93","ASV_55",0.828571428571429,"undirected","+"
"ASV_67","ASV_55",0.942857142857143,"undirected","+"
"ASV_237","ASV_55",-0.828571428571429,"undirected","-"
"ASV_128","ASV_55",-0.927633657043918,"undirected","-"
"ASV_224","ASV_55",-0.942857142857143,"undirected","-"
"ASV_282","ASV_55",0.828571428571429,"undirected","+"
"ASV_20","ASV_29",-0.885714285714286,"undirected","-"
"ASV_44","ASV_29",0.828571428571429,"undirected","+"
"ASV_56","ASV_29",0.828571428571429,"undirected","+"
"ASV_62","ASV_29",0.942857142857143,"undirected","+"
"ASV_60","ASV_29",0.828571428571429,"undirected","+"
"ASV_63","ASV_29",0.885714285714286,"undirected","+"
"ASV_48","ASV_29",0.885714285714286,"undirected","+"
"ASV_57","ASV_29",0.828571428571429,"undirected","+"
"ASV_96","ASV_29",0.885714285714286,"undirected","+"
"ASV_43","ASV_29",-0.828571428571429,"undirected","-"
"ASV_87","ASV_29",0.885714285714286,"undirected","+"
"ASV_97","ASV_29",0.942857142857143,"undirected","+"
"ASV_55","ASV_29",0.885714285714286,"undirected","+"
"ASV_78","ASV_29",-0.828571428571429,"undirected","-"
"ASV_77","ASV_29",-0.88273482950475,"undirected","-"
"ASV_76","ASV_29",0.885714285714286,"undirected","+"
"ASV_66","ASV_29",-0.942857142857143,"undirected","-"
"ASV_115","ASV_29",-0.828571428571429,"undirected","-"
"ASV_108","ASV_29",0.828571428571429,"undirected","+"
"ASV_129","ASV_29",0.828571428571429,"undirected","+"
"ASV_140","ASV_29",0.828571428571429,"undirected","+"
"ASV_89","ASV_29",-0.828571428571429,"undirected","-"
"ASV_86","ASV_29",-0.942857142857143,"undirected","-"
"ASV_151","ASV_29",-0.885714285714286,"undirected","-"
"ASV_190","ASV_29",0.942857142857143,"undirected","+"
"ASV_189","ASV_29",0.942857142857143,"undirected","+"
"ASV_158","ASV_29",-0.828571428571429,"undirected","-"
"ASV_220","ASV_29",0.828571428571429,"undirected","+"
"ASV_224","ASV_29",-0.942857142857143,"undirected","-"
"ASV_282","ASV_29",0.942857142857143,"undirected","+"
"ASV_130","ASV_90",-0.84066800169605,"undirected","-"
"ASV_89","ASV_90",-0.927633657043918,"undirected","-"
"ASV_147","ASV_90",-0.811679449913428,"undirected","-"
"ASV_122","ASV_90",-0.898645105261295,"undirected","-"
"ASV_157","ASV_90",0.898645105261295,"undirected","+"
"ASV_155","ASV_90",-0.84066800169605,"undirected","-"
"ASV_135","ASV_90",-0.811679449913428,"undirected","-"
"ASV_142","ASV_90",-0.985610760609162,"undirected","-"
"ASV_224","ASV_90",-0.927633657043918,"undirected","-"
"ASV_179","ASV_90",0.898645105261295,"undirected","+"
"ASV_312","ASV_90",0.970588235294118,"undirected","+"
"ASV_96","ASV_48",1,"undirected","+"
"ASV_43","ASV_48",-0.942857142857143,"undirected","-"
"ASV_87","ASV_48",0.885714285714286,"undirected","+"
"ASV_55","ASV_48",0.885714285714286,"undirected","+"
"ASV_81","ASV_48",0.828571428571429,"undirected","+"
"ASV_76","ASV_48",1,"undirected","+"
"ASV_66","ASV_48",-0.942857142857143,"undirected","-"
"ASV_90","ASV_48",0.84066800169605,"undirected","+"
"ASV_101","ASV_48",-0.942857142857143,"undirected","-"
"ASV_129","ASV_48",0.942857142857143,"undirected","+"
"ASV_89","ASV_48",-0.828571428571429,"undirected","-"
"ASV_86","ASV_48",-0.942857142857143,"undirected","-"
