"","KO","Means","SD"
"num.edges(L)","1700","1700","0"
"num.pos.edges","952","0","0"
"num.neg.edges","748","0","0"
"num.vertices(n)","200","200","0"
"Connectance(edge_density)","0.085427135678392","0.085427135678392","0"
"average.degree(Average K)","17","17","0"
"average.path.length","2.44191434988848","2.12873969849246","0.00311707311545234"
"diameter","5.05271731768017","3.06","0.238683256575942"
"edge.connectivity","3","7.1","1.18492210884952"
"mean.clustering.coefficient(Average.CC)","0.515812272657695","0.0852867179816624","0.00253420250256776"
"no.clusters","1","1","0"
"centralization.degree","0.135678391959799","0.0579899497487437","0.00893285871086994"
"centralization.betweenness","0.0208094205977879","0.0101044654744923","0.00174980924401296"
"centralization.closeness","0.153073250217805","0.102922653084149","0.0117263541968574"
"RM(relative.modularity)","1.70013191989651","-0.00615361001487429","0.0595726477417309"
"the.number.of.keystone.nodes","Not.calculated","0","0"
