"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_3",31,0.408624229979466,195.695221904323,31
"ASV_7",44,0.423404255319149,402.514249822799,44
"ASV_9",18,0.360507246376812,105.20496976573,18
"ASV_19",25,0.375471698113208,156.185357563227,25
"ASV_29",36,0.398797595190381,447.076820614437,36
"ASV_44",30,0.396414342629482,192.939355173464,30
"ASV_56",31,0.408624229979466,195.695221904323,31
"ASV_62",44,0.423404255319149,402.514249822799,44
"ASV_60",31,0.408624229979466,195.695221904323,31
"ASV_48",32,0.390196078431373,162.145827717471,32
"ASV_88",21,0.368518518518519,138.13984443711,21
"ASV_71",21,0.376893939393939,529.511863015464,21
"ASV_96",32,0.390196078431373,162.145827717471,32
"ASV_87",37,0.405295315682281,383.250327129096,37
"ASV_55",37,0.405295315682281,383.250327129096,37
"ASV_114",19,0.369888475836431,213.233752555151,19
"ASV_76",32,0.390196078431373,162.145827717471,32
"ASV_115",27,0.377609108159393,201.02198019358,27
"ASV_90",33,0.403651115618661,401.759653891457,33
"ASV_108",27,0.377609108159393,201.02198019358,27
"ASV_130",20,0.370577281191806,262.155462019511,20
"ASV_89",31,0.408624229979466,195.695221904323,31
"ASV_122",29,0.391732283464567,341.971236716157,29
"ASV_157",25,0.375471698113208,156.185357563227,25
"ASV_135",18,0.360507246376812,105.20496976573,18
"ASV_142",32,0.405295315682281,417.163243357253,32
"ASV_220",27,0.377609108159393,201.02198019358,27
"ASV_224",44,0.423404255319149,402.514249822799,44
"ASV_179",25,0.375471698113208,156.185357563227,25
"ASV_312",29,0.389432485322896,270.005191752655,29
"ASV_18",27,0.390196078431373,173.025917471263,27
"ASV_28",22,0.343696027633851,169.851033573518,22
"ASV_20",27,0.365808823529412,254.5250076267,27
"ASV_166",19,0.343103448275862,70.4678543003125,19
"ASV_63",23,0.374764595103578,362.650752715313,23
"ASV_57",21,0.352836879432624,101.827297383041,21
"ASV_37",21,0.361161524500907,196.369565846049,21
"ASV_97",27,0.390196078431373,173.025917471263,27
"ASV_92",22,0.357271095152603,431.233657631275,22
"ASV_66",27,0.368518518518519,107.169188972651,27
"ASV_127",11,0.328382838283828,242.51180442378,11
"ASV_86",27,0.368518518518519,107.169188972651,27
"ASV_151",22,0.367837338262477,131.787199663695,22
"ASV_154",7,0.307098765432099,70.8987526203092,7
"ASV_190",27,0.390196078431373,173.025917471263,27
"ASV_189",27,0.390196078431373,173.025917471263,27
"ASV_198",21,0.361161524500907,196.369565846049,21
"ASV_158",21,0.352836879432624,101.827297383041,21
"ASV_328",9,0.322528363047002,95.2260870873878,9
