"","KO","Means","SD"
"num.edges(L)","1398","1398","0"
"num.pos.edges","770","0","0"
"num.neg.edges","628","0","0"
"num.vertices(n)","199","199","0"
"Connectance(edge_density)","0.0709608649307142","0.0709608649307142","0"
"average.degree(Average K)","14.0502512562814","14.0502512562814","0"
"average.path.length","2.5543447007053","2.27317039744175","0.00330275717287586"
"diameter","5.01034193586711","3.93","0.256432399976243"
"edge.connectivity","2","5.37","1.16908839561758"
"mean.clustering.coefficient(Average.CC)","0.510657460921231","0.0708178478698459","0.00322891059390721"
"no.clusters","1","1","0"
"centralization.degree","0.0704532764834272","0.0530795391096899","0.0074365678080152"
"centralization.betweenness","0.0290135342925577","0.0124667860798797","0.00233392208356146"
"centralization.closeness","0.0843936841583964","0.112111154404445","0.0142785611773354"
"RM(relative.modularity)","1.81369403465442","0.00115524316852013","0.0635781947071052"
"the.number.of.keystone.nodes","Not.calculated","0","0"
