"","KO","Means","SD"
"num.edges(L)","1328","1328","0"
"num.pos.edges","713","0","0"
"num.neg.edges","615","0","0"
"num.vertices(n)","200","200","0"
"Connectance(edge_density)","0.0667336683417085","0.0667336683417085","0"
"average.degree(Average K)","13.28","13.28","0"
"average.path.length","2.49755741622752","2.31935628140703","0.0030251316568018"
"diameter","4.37142857142857","4","0"
"edge.connectivity","2","4.72","1.02572959990497"
"mean.clustering.coefficient(Average.CC)","0.464053441797082","0.066436209330451","0.00377266531568752"
"no.clusters","1","1","0"
"centralization.degree","0.0689447236180905","0.0510050251256281","0.00743136009931399"
"centralization.betweenness","0.0200977294491126","0.0130690170688768","0.00262498484923987"
"centralization.closeness","0.106640141239097","0.113757533812745","0.0131023502561651"
"RM(relative.modularity)","1.65663566079787","0.00224920032349063","0.0664733408970892"
"the.number.of.keystone.nodes","Not.calculated","0","0"
