feature	method	group1	group2	p_values	adj_method	p_adjust
ko05340	LinDA	DSpost	HSpost	0.851062360231991	none	0.851062360231991
ko00564	LinDA	DSpost	HSpost	0.242973732235742	none	0.242973732235742
ko00680	LinDA	DSpost	HSpost	0.60216660714461	none	0.60216660714461
ko00562	LinDA	DSpost	HSpost	0.160183674408818	none	0.160183674408818
ko00563	LinDA	DSpost	HSpost	0.323526959152881	none	0.323526959152881
ko03030	LinDA	DSpost	HSpost	0.816362780794546	none	0.816362780794546
ko00561	LinDA	DSpost	HSpost	0.66624399591681	none	0.66624399591681
ko00440	LinDA	DSpost	HSpost	0.589536755064684	none	0.589536755064684
ko00250	LinDA	DSpost	HSpost	0.615265621154935	none	0.615265621154935
ko00740	LinDA	DSpost	HSpost	0.854795212853824	none	0.854795212853824
ko04111	LinDA	DSpost	HSpost	0.207753297191959	none	0.207753297191959
ko04940	LinDA	DSpost	HSpost	0.931065861392981	none	0.931065861392981
ko00010	LinDA	DSpost	HSpost	0.931989028961344	none	0.931989028961344
ko05412	LinDA	DSpost	HSpost	0.0726781783849352	none	0.0726781783849352
ko00195	LinDA	DSpost	HSpost	0.966633570785949	none	0.966633570785949
ko03450	LinDA	DSpost	HSpost	0.0999838348861711	none	0.0999838348861711
ko00760	LinDA	DSpost	HSpost	0.939576391304928	none	0.939576391304928
ko00920	LinDA	DSpost	HSpost	0.052256820224019	none	0.052256820224019
ko00311	LinDA	DSpost	HSpost	0.893300880508316	none	0.893300880508316
ko00310	LinDA	DSpost	HSpost	0.495566067442564	none	0.495566067442564
ko04146	LinDA	DSpost	HSpost	0.168484970307322	none	0.168484970307322
ko00600	LinDA	DSpost	HSpost	0.952990850817022	none	0.952990850817022
ko04141	LinDA	DSpost	HSpost	0.354822258952076	none	0.354822258952076
ko04142	LinDA	DSpost	HSpost	0.890941555565325	none	0.890941555565325
ko00604	LinDA	DSpost	HSpost	0.97380287698155	none	0.97380287698155
ko04260	LinDA	DSpost	HSpost	0.0671532682301265	none	0.0671532682301265
ko03040	LinDA	DSpost	HSpost	0.0893676865742809	none	0.0893676865742809
ko04110	LinDA	DSpost	HSpost	0.207753297191959	none	0.207753297191959
ko05142	LinDA	DSpost	HSpost	0.212682079496223	none	0.212682079496223
ko00513	LinDA	DSpost	HSpost	0.334604308880355	none	0.334604308880355
ko04973	LinDA	DSpost	HSpost	0.453906282527917	none	0.453906282527917
ko00510	LinDA	DSpost	HSpost	0.175342005580497	none	0.175342005580497
ko05110	LinDA	DSpost	HSpost	0.436388182167098	none	0.436388182167098
ko04974	LinDA	DSpost	HSpost	0.422061793324271	none	0.422061793324271
ko04976	LinDA	DSpost	HSpost	0.756902313535186	none	0.756902313535186
ko00450	LinDA	DSpost	HSpost	0.863672443249574	none	0.863672443249574
ko01051	LinDA	DSpost	HSpost	0.153713741480182	none	0.153713741480182
ko00565	LinDA	DSpost	HSpost	0.744437219667407	none	0.744437219667407
ko00524	LinDA	DSpost	HSpost	0.172221974345574	none	0.172221974345574
ko00300	LinDA	DSpost	HSpost	0.877136173120282	none	0.877136173120282
ko05222	LinDA	DSpost	HSpost	0.823952693755579	none	0.823952693755579
ko00514	LinDA	DSpost	HSpost	0.254043646895904	none	0.254043646895904
ko05416	LinDA	DSpost	HSpost	0.823952693755579	none	0.823952693755579
ko00260	LinDA	DSpost	HSpost	0.731558950135289	none	0.731558950135289
ko00190	LinDA	DSpost	HSpost	0.551640381179666	none	0.551640381179666
ko03440	LinDA	DSpost	HSpost	0.948655538089081	none	0.948655538089081
ko00750	LinDA	DSpost	HSpost	0.91046622140569	none	0.91046622140569
ko00950	LinDA	DSpost	HSpost	0.513491141526696	none	0.513491141526696
ko00592	LinDA	DSpost	HSpost	0.467315040351495	none	0.467315040351495
ko00591	LinDA	DSpost	HSpost	0.676525181001741	none	0.676525181001741
ko00590	LinDA	DSpost	HSpost	0.877355187871323	none	0.877355187871323
ko00061	LinDA	DSpost	HSpost	0.699880852527419	none	0.699880852527419
ko03070	LinDA	DSpost	HSpost	0.430770811290028	none	0.430770811290028
ko00253	LinDA	DSpost	HSpost	0.975485024346529	none	0.975485024346529
ko03060	LinDA	DSpost	HSpost	0.982664945885101	none	0.982664945885101
ko04740	LinDA	DSpost	HSpost	0.639332325579855	none	0.639332325579855
ko00380	LinDA	DSpost	HSpost	0.114351675299457	none	0.114351675299457
ko00500	LinDA	DSpost	HSpost	0.553644230840678	none	0.553644230840678
ko05120	LinDA	DSpost	HSpost	0.596575182613851	none	0.596575182613851
ko05322	LinDA	DSpost	HSpost	0.302469496862381	none	0.302469496862381
ko04964	LinDA	DSpost	HSpost	0.499380842605023	none	0.499380842605023
ko04962	LinDA	DSpost	HSpost	0.00214273313979191	none	0.00214273313979191
ko00625	LinDA	DSpost	HSpost	0.0767724675729454	none	0.0767724675729454
ko00624	LinDA	DSpost	HSpost	0.196222416945775	none	0.196222416945775
ko00627	LinDA	DSpost	HSpost	0.47301884613454	none	0.47301884613454
ko00626	LinDA	DSpost	HSpost	0.896755221906505	none	0.896755221906505
ko00621	LinDA	DSpost	HSpost	0.651907760476641	none	0.651907760476641
ko00620	LinDA	DSpost	HSpost	0.428323964942788	none	0.428323964942788
ko00623	LinDA	DSpost	HSpost	0.050951930129214	none	0.050951930129214
ko00622	LinDA	DSpost	HSpost	0.0755041425131231	none	0.0755041425131231
ko00270	LinDA	DSpost	HSpost	0.901199770365697	none	0.901199770365697
ko00940	LinDA	DSpost	HSpost	0.204339877782257	none	0.204339877782257
ko00941	LinDA	DSpost	HSpost	0.721191940560389	none	0.721191940560389
ko01053	LinDA	DSpost	HSpost	0.0901773214187704	none	0.0901773214187704
ko00100	LinDA	DSpost	HSpost	0.359056218273553	none	0.359056218273553
ko00945	LinDA	DSpost	HSpost	0.75606898077092	none	0.75606898077092
ko05016	LinDA	DSpost	HSpost	0.378012487250561	none	0.378012487250561
ko00071	LinDA	DSpost	HSpost	0.554979568046037	none	0.554979568046037
ko00072	LinDA	DSpost	HSpost	0.822129271445889	none	0.822129271445889
ko05219	LinDA	DSpost	HSpost	0.898515474367247	none	0.898515474367247
ko05215	LinDA	DSpost	HSpost	0.248834648895179	none	0.248834648895179
ko05214	LinDA	DSpost	HSpost	0.639332325579855	none	0.639332325579855
ko05211	LinDA	DSpost	HSpost	0.808561748739421	none	0.808561748739421
ko05210	LinDA	DSpost	HSpost	0.823952693755579	none	0.823952693755579
ko01055	LinDA	DSpost	HSpost	0.853994354828754	none	0.853994354828754
ko04910	LinDA	DSpost	HSpost	0.46166765820923	none	0.46166765820923
ko00531	LinDA	DSpost	HSpost	0.907119411185394	none	0.907119411185394
ko04916	LinDA	DSpost	HSpost	0.639332325579855	none	0.639332325579855
ko00360	LinDA	DSpost	HSpost	0.792614400283312	none	0.792614400283312
ko00633	LinDA	DSpost	HSpost	0.413916012777696	none	0.413916012777696
ko00630	LinDA	DSpost	HSpost	0.149840384504702	none	0.149840384504702
ko00363	LinDA	DSpost	HSpost	0.82423676085285	none	0.82423676085285
ko00364	LinDA	DSpost	HSpost	0.983742795430387	none	0.983742795430387
ko05130	LinDA	DSpost	HSpost	0.386954615744636	none	0.386954615744636
ko04115	LinDA	DSpost	HSpost	0.823952693755579	none	0.823952693755579
ko04114	LinDA	DSpost	HSpost	0.639332325579855	none	0.639332325579855
ko00121	LinDA	DSpost	HSpost	0.104256306200385	none	0.104256306200385
ko04914	LinDA	DSpost	HSpost	0.248834648895179	none	0.248834648895179
ko00430	LinDA	DSpost	HSpost	0.780160166686722	none	0.780160166686722
ko02010	LinDA	DSpost	HSpost	0.310956387727923	none	0.310956387727923
ko00130	LinDA	DSpost	HSpost	0.117953317089835	none	0.117953317089835
ko03050	LinDA	DSpost	HSpost	0.893023050381327	none	0.893023050381327
ko00361	LinDA	DSpost	HSpost	0.784630267661823	none	0.784630267661823
ko00040	LinDA	DSpost	HSpost	0.242819188738445	none	0.242819188738445
ko00730	LinDA	DSpost	HSpost	0.896547158632932	none	0.896547158632932
ko00362	LinDA	DSpost	HSpost	0.484365928859769	none	0.484365928859769
ko01040	LinDA	DSpost	HSpost	0.317382171615352	none	0.317382171615352
ko00603	LinDA	DSpost	HSpost	0.832748215540602	none	0.832748215540602
ko03018	LinDA	DSpost	HSpost	0.775703916212453	none	0.775703916212453
ko04270	LinDA	DSpost	HSpost	0.639332325579855	none	0.639332325579855
ko00281	LinDA	DSpost	HSpost	0.775717132694314	none	0.775717132694314
ko00280	LinDA	DSpost	HSpost	0.776850138264456	none	0.776850138264456
ko03013	LinDA	DSpost	HSpost	0.49101720703228	none	0.49101720703228
ko04626	LinDA	DSpost	HSpost	0.769185416479481	none	0.769185416479481
ko05200	LinDA	DSpost	HSpost	0.62605929752841	none	0.62605929752841
ko00601	LinDA	DSpost	HSpost	0.521437203678886	none	0.521437203678886
ko03015	LinDA	DSpost	HSpost	0.197369822905944	none	0.197369822905944
ko00312	LinDA	DSpost	HSpost	0.812472419038356	none	0.812472419038356
ko05020	LinDA	DSpost	HSpost	0.00917041749233865	none	0.00917041749233865
ko05143	LinDA	DSpost	HSpost	0.217951720706784	none	0.217951720706784
ko00523	LinDA	DSpost	HSpost	0.545310878722352	none	0.545310878722352
ko00520	LinDA	DSpost	HSpost	0.980499735259874	none	0.980499735259874
ko00521	LinDA	DSpost	HSpost	0.644720756116477	none	0.644720756116477
ko05146	LinDA	DSpost	HSpost	0.539397656672957	none	0.539397656672957
ko05145	LinDA	DSpost	HSpost	0.823952693755579	none	0.823952693755579
ko05144	LinDA	DSpost	HSpost	0.910149665545209	none	0.910149665545209
ko00052	LinDA	DSpost	HSpost	0.506373236275642	none	0.506373236275642
ko00053	LinDA	DSpost	HSpost	0.590691992715837	none	0.590691992715837
ko00051	LinDA	DSpost	HSpost	0.670974873564524	none	0.670974873564524
ko00401	LinDA	DSpost	HSpost	0.671962912542556	none	0.671962912542556
ko00400	LinDA	DSpost	HSpost	0.699271648540406	none	0.699271648540406
ko04020	LinDA	DSpost	HSpost	0.129468303016362	none	0.129468303016362
ko00350	LinDA	DSpost	HSpost	0.731109623938767	none	0.731109623938767
ko00480	LinDA	DSpost	HSpost	0.138549749443253	none	0.138549749443253
ko00643	LinDA	DSpost	HSpost	0.91844737954391	none	0.91844737954391
ko00642	LinDA	DSpost	HSpost	0.53444453890158	none	0.53444453890158
ko00640	LinDA	DSpost	HSpost	0.861860989679929	none	0.861860989679929
