feature	method	group1	group2	p_values	adj_method	p_adjust
ko05340	edgeR	DEmed	HEmed	0.872846791934715	none	0.872846791934715
ko00564	edgeR	DEmed	HEmed	0.991212487404001	none	0.991212487404001
ko00680	edgeR	DEmed	HEmed	0.913130224810215	none	0.913130224810215
ko00562	edgeR	DEmed	HEmed	0.937321815768135	none	0.937321815768135
ko00563	edgeR	DEmed	HEmed	0.0719087704211592	none	0.0719087704211592
ko03030	edgeR	DEmed	HEmed	0.874349051055877	none	0.874349051055877
ko00561	edgeR	DEmed	HEmed	0.828053220609204	none	0.828053220609204
ko00440	edgeR	DEmed	HEmed	0.799044415203361	none	0.799044415203361
ko00250	edgeR	DEmed	HEmed	0.936898059907977	none	0.936898059907977
ko00740	edgeR	DEmed	HEmed	0.809858861117991	none	0.809858861117991
ko04111	edgeR	DEmed	HEmed	0.301158015606948	none	0.301158015606948
ko04940	edgeR	DEmed	HEmed	0.782614349583861	none	0.782614349583861
ko00010	edgeR	DEmed	HEmed	0.893103041763	none	0.893103041763
ko05412	edgeR	DEmed	HEmed	0.0156079407784132	none	0.0156079407784132
ko00195	edgeR	DEmed	HEmed	0.994974145058637	none	0.994974145058637
ko03450	edgeR	DEmed	HEmed	7.42038856476646e-06	none	7.42038856476646e-06
ko00760	edgeR	DEmed	HEmed	0.864862151042017	none	0.864862151042017
ko00920	edgeR	DEmed	HEmed	0.731083605984634	none	0.731083605984634
ko00311	edgeR	DEmed	HEmed	0.281061781855976	none	0.281061781855976
ko00310	edgeR	DEmed	HEmed	0.941346296941646	none	0.941346296941646
ko04146	edgeR	DEmed	HEmed	0.852032805849779	none	0.852032805849779
ko00600	edgeR	DEmed	HEmed	0.563334113869456	none	0.563334113869456
ko04141	edgeR	DEmed	HEmed	0.696470299619994	none	0.696470299619994
ko04142	edgeR	DEmed	HEmed	0.361373892058607	none	0.361373892058607
ko00604	edgeR	DEmed	HEmed	0.318053207453549	none	0.318053207453549
ko04260	edgeR	DEmed	HEmed	0.280429806969162	none	0.280429806969162
ko03040	edgeR	DEmed	HEmed	0.180246151177491	none	0.180246151177491
ko04110	edgeR	DEmed	HEmed	0.301158015606948	none	0.301158015606948
ko05142	edgeR	DEmed	HEmed	0.0446598126173719	none	0.0446598126173719
ko00513	edgeR	DEmed	HEmed	0.299808709734252	none	0.299808709734252
ko04973	edgeR	DEmed	HEmed	0.634289268357284	none	0.634289268357284
ko00510	edgeR	DEmed	HEmed	0.399048476917598	none	0.399048476917598
ko05110	edgeR	DEmed	HEmed	0.764908797733304	none	0.764908797733304
ko04974	edgeR	DEmed	HEmed	0.517819784028013	none	0.517819784028013
ko04976	edgeR	DEmed	HEmed	0.00835354381954841	none	0.00835354381954841
ko00450	edgeR	DEmed	HEmed	0.967872948974072	none	0.967872948974072
ko01051	edgeR	DEmed	HEmed	0.55124639655967	none	0.55124639655967
ko00565	edgeR	DEmed	HEmed	1.61587257408221e-05	none	1.61587257408221e-05
ko00524	edgeR	DEmed	HEmed	0.63301998925048	none	0.63301998925048
ko00300	edgeR	DEmed	HEmed	0.980685333070704	none	0.980685333070704
ko05222	edgeR	DEmed	HEmed	0.341091570451293	none	0.341091570451293
ko00514	edgeR	DEmed	HEmed	0.0773566355797127	none	0.0773566355797127
ko05416	edgeR	DEmed	HEmed	0.341091570451293	none	0.341091570451293
ko00260	edgeR	DEmed	HEmed	0.969499391285155	none	0.969499391285155
ko00190	edgeR	DEmed	HEmed	0.997406874232695	none	0.997406874232695
ko03440	edgeR	DEmed	HEmed	0.878845647527566	none	0.878845647527566
ko00750	edgeR	DEmed	HEmed	0.965903613692377	none	0.965903613692377
ko00950	edgeR	DEmed	HEmed	0.92118223830686	none	0.92118223830686
ko00592	edgeR	DEmed	HEmed	0.197559076766361	none	0.197559076766361
ko00591	edgeR	DEmed	HEmed	0.855177423928015	none	0.855177423928015
ko00590	edgeR	DEmed	HEmed	0.550133749257307	none	0.550133749257307
ko00061	edgeR	DEmed	HEmed	0.861050659422297	none	0.861050659422297
ko03070	edgeR	DEmed	HEmed	0.94604881478689	none	0.94604881478689
ko00253	edgeR	DEmed	HEmed	0.663864617823517	none	0.663864617823517
ko03060	edgeR	DEmed	HEmed	0.937084876950936	none	0.937084876950936
ko04740	edgeR	DEmed	HEmed	0.000119332975102776	none	0.000119332975102776
ko00380	edgeR	DEmed	HEmed	0.861669062172592	none	0.861669062172592
ko00500	edgeR	DEmed	HEmed	0.950378062983205	none	0.950378062983205
ko05120	edgeR	DEmed	HEmed	0.667140215042134	none	0.667140215042134
ko05322	edgeR	DEmed	HEmed	0.225658392929278	none	0.225658392929278
ko04964	edgeR	DEmed	HEmed	0.983491706055551	none	0.983491706055551
ko04962	edgeR	DEmed	HEmed	0.316776201299652	none	0.316776201299652
ko00625	edgeR	DEmed	HEmed	0.954416863849455	none	0.954416863849455
ko00624	edgeR	DEmed	HEmed	0.0201741920098255	none	0.0201741920098255
ko00627	edgeR	DEmed	HEmed	0.499308598695177	none	0.499308598695177
ko00626	edgeR	DEmed	HEmed	0.524871477530966	none	0.524871477530966
ko00621	edgeR	DEmed	HEmed	0.993840362666558	none	0.993840362666558
ko00620	edgeR	DEmed	HEmed	0.998127423772787	none	0.998127423772787
ko00623	edgeR	DEmed	HEmed	0.826074862907968	none	0.826074862907968
ko00622	edgeR	DEmed	HEmed	0.879482399829547	none	0.879482399829547
ko00270	edgeR	DEmed	HEmed	0.947541328225662	none	0.947541328225662
ko00940	edgeR	DEmed	HEmed	0.513651943406244	none	0.513651943406244
ko00941	edgeR	DEmed	HEmed	0.225993267238949	none	0.225993267238949
ko01053	edgeR	DEmed	HEmed	0.619593799493413	none	0.619593799493413
ko00100	edgeR	DEmed	HEmed	0.338422573979696	none	0.338422573979696
ko00945	edgeR	DEmed	HEmed	0.334671456456344	none	0.334671456456344
ko05016	edgeR	DEmed	HEmed	0.661626319629232	none	0.661626319629232
ko00071	edgeR	DEmed	HEmed	0.984468342220368	none	0.984468342220368
ko00072	edgeR	DEmed	HEmed	0.832324098871739	none	0.832324098871739
ko05219	edgeR	DEmed	HEmed	0.194903579254526	none	0.194903579254526
ko05215	edgeR	DEmed	HEmed	0.539580816416798	none	0.539580816416798
ko05214	edgeR	DEmed	HEmed	0.000119332975102776	none	0.000119332975102776
ko05211	edgeR	DEmed	HEmed	0.47916607833295	none	0.47916607833295
ko05210	edgeR	DEmed	HEmed	0.341091570451293	none	0.341091570451293
ko01055	edgeR	DEmed	HEmed	0.80055530499118	none	0.80055530499118
ko04910	edgeR	DEmed	HEmed	0.755435757109883	none	0.755435757109883
ko00531	edgeR	DEmed	HEmed	0.375973654705965	none	0.375973654705965
ko04916	edgeR	DEmed	HEmed	0.000119332975102776	none	0.000119332975102776
ko00360	edgeR	DEmed	HEmed	0.899243331425044	none	0.899243331425044
ko00633	edgeR	DEmed	HEmed	0.787165955397786	none	0.787165955397786
ko00630	edgeR	DEmed	HEmed	0.740775567337306	none	0.740775567337306
ko00363	edgeR	DEmed	HEmed	0.917852560835649	none	0.917852560835649
ko00364	edgeR	DEmed	HEmed	0.640463397117221	none	0.640463397117221
ko05130	edgeR	DEmed	HEmed	0.00407885603353186	none	0.00407885603353186
ko04115	edgeR	DEmed	HEmed	0.341091570451293	none	0.341091570451293
ko04114	edgeR	DEmed	HEmed	0.000119332975102776	none	0.000119332975102776
ko00121	edgeR	DEmed	HEmed	0.427577245300922	none	0.427577245300922
ko04914	edgeR	DEmed	HEmed	0.539580816416798	none	0.539580816416798
ko00430	edgeR	DEmed	HEmed	0.89815531585534	none	0.89815531585534
ko02010	edgeR	DEmed	HEmed	0.978892133606619	none	0.978892133606619
ko00130	edgeR	DEmed	HEmed	0.817179111058177	none	0.817179111058177
ko03050	edgeR	DEmed	HEmed	0.997250917558934	none	0.997250917558934
ko00361	edgeR	DEmed	HEmed	0.908995762725084	none	0.908995762725084
ko00040	edgeR	DEmed	HEmed	0.90557149535002	none	0.90557149535002
ko00730	edgeR	DEmed	HEmed	0.731784521214378	none	0.731784521214378
ko00362	edgeR	DEmed	HEmed	0.425950529225991	none	0.425950529225991
ko01040	edgeR	DEmed	HEmed	0.662999307385425	none	0.662999307385425
ko00603	edgeR	DEmed	HEmed	0.39789018134045	none	0.39789018134045
ko03018	edgeR	DEmed	HEmed	0.946195604523479	none	0.946195604523479
ko04270	edgeR	DEmed	HEmed	0.000119332975102776	none	0.000119332975102776
ko00281	edgeR	DEmed	HEmed	0.337575604660358	none	0.337575604660358
