feature	method	group1	group2	p_values	adj_method	p_adjust
ko05340	edgeR	DEpost	HEpost	0.929782432605129	none	0.929782432605129
ko00564	edgeR	DEpost	HEpost	0.915267985776025	none	0.915267985776025
ko00680	edgeR	DEpost	HEpost	0.937641457211806	none	0.937641457211806
ko00562	edgeR	DEpost	HEpost	0.966514462620668	none	0.966514462620668
ko00563	edgeR	DEpost	HEpost	0.931262364026257	none	0.931262364026257
ko03030	edgeR	DEpost	HEpost	0.993609111082851	none	0.993609111082851
ko00561	edgeR	DEpost	HEpost	0.987841336811595	none	0.987841336811595
ko00440	edgeR	DEpost	HEpost	0.773349374332837	none	0.773349374332837
ko00250	edgeR	DEpost	HEpost	0.982359145997832	none	0.982359145997832
ko00740	edgeR	DEpost	HEpost	0.858957450103764	none	0.858957450103764
ko04111	edgeR	DEpost	HEpost	0.1371442673329	none	0.1371442673329
ko04940	edgeR	DEpost	HEpost	0.911939367360427	none	0.911939367360427
ko00010	edgeR	DEpost	HEpost	0.957850904835614	none	0.957850904835614
ko05412	edgeR	DEpost	HEpost	0.403616242275299	none	0.403616242275299
ko00195	edgeR	DEpost	HEpost	0.939921263344223	none	0.939921263344223
ko03450	edgeR	DEpost	HEpost	0.0195430187819536	none	0.0195430187819536
ko00760	edgeR	DEpost	HEpost	0.930861722849714	none	0.930861722849714
ko00920	edgeR	DEpost	HEpost	0.943320708782178	none	0.943320708782178
ko00311	edgeR	DEpost	HEpost	0.897254652329675	none	0.897254652329675
ko00310	edgeR	DEpost	HEpost	0.89446241815919	none	0.89446241815919
ko04146	edgeR	DEpost	HEpost	0.825286123442184	none	0.825286123442184
ko00600	edgeR	DEpost	HEpost	0.506250131881558	none	0.506250131881558
ko04141	edgeR	DEpost	HEpost	0.656684134567232	none	0.656684134567232
ko04142	edgeR	DEpost	HEpost	0.727150085271798	none	0.727150085271798
ko00604	edgeR	DEpost	HEpost	0.589230777135322	none	0.589230777135322
ko04260	edgeR	DEpost	HEpost	0.187401076850359	none	0.187401076850359
ko03040	edgeR	DEpost	HEpost	0.373335519120701	none	0.373335519120701
ko04110	edgeR	DEpost	HEpost	0.1371442673329	none	0.1371442673329
ko05142	edgeR	DEpost	HEpost	0.300415769049604	none	0.300415769049604
ko00513	edgeR	DEpost	HEpost	1.3691382895724e-09	none	1.3691382895724e-09
ko04973	edgeR	DEpost	HEpost	0.538145672013324	none	0.538145672013324
ko00510	edgeR	DEpost	HEpost	0.71721659169299	none	0.71721659169299
ko05110	edgeR	DEpost	HEpost	0.00103228308208163	none	0.00103228308208163
ko04974	edgeR	DEpost	HEpost	0.597818265488436	none	0.597818265488436
ko04976	edgeR	DEpost	HEpost	0.08666674670047	none	0.08666674670047
ko00450	edgeR	DEpost	HEpost	0.943177433529853	none	0.943177433529853
ko01051	edgeR	DEpost	HEpost	0.783871825457488	none	0.783871825457488
ko00565	edgeR	DEpost	HEpost	0.0559143029921503	none	0.0559143029921503
ko00524	edgeR	DEpost	HEpost	0.752265936900843	none	0.752265936900843
ko00300	edgeR	DEpost	HEpost	0.93853943262266	none	0.93853943262266
ko05222	edgeR	DEpost	HEpost	0.624126112316489	none	0.624126112316489
ko00514	edgeR	DEpost	HEpost	0.625102700895407	none	0.625102700895407
ko05416	edgeR	DEpost	HEpost	0.624126112316489	none	0.624126112316489
ko00260	edgeR	DEpost	HEpost	0.943578070508173	none	0.943578070508173
ko00190	edgeR	DEpost	HEpost	0.888618409641905	none	0.888618409641905
ko03440	edgeR	DEpost	HEpost	0.988623587863715	none	0.988623587863715
ko00750	edgeR	DEpost	HEpost	0.984571368967494	none	0.984571368967494
ko00950	edgeR	DEpost	HEpost	0.824664270950039	none	0.824664270950039
ko00592	edgeR	DEpost	HEpost	0.0832639759038817	none	0.0832639759038817
ko00591	edgeR	DEpost	HEpost	0.916611770670589	none	0.916611770670589
ko00590	edgeR	DEpost	HEpost	0.42729847137077	none	0.42729847137077
ko00061	edgeR	DEpost	HEpost	0.867317745900957	none	0.867317745900957
ko03070	edgeR	DEpost	HEpost	0.788555771434448	none	0.788555771434448
ko00253	edgeR	DEpost	HEpost	0.696390963751621	none	0.696390963751621
ko03060	edgeR	DEpost	HEpost	0.951544487015307	none	0.951544487015307
ko04740	edgeR	DEpost	HEpost	5.32472630997146e-27	none	5.32472630997146e-27
ko00380	edgeR	DEpost	HEpost	0.785453385964341	none	0.785453385964341
ko00500	edgeR	DEpost	HEpost	0.81772776433853	none	0.81772776433853
ko05120	edgeR	DEpost	HEpost	0.816759559245741	none	0.816759559245741
ko05322	edgeR	DEpost	HEpost	0.2360121708234	none	0.2360121708234
ko04964	edgeR	DEpost	HEpost	0.789341502284904	none	0.789341502284904
ko04962	edgeR	DEpost	HEpost	0.134620558742349	none	0.134620558742349
ko00625	edgeR	DEpost	HEpost	0.82170330317756	none	0.82170330317756
ko00624	edgeR	DEpost	HEpost	0.066022132989394	none	0.066022132989394
ko00627	edgeR	DEpost	HEpost	0.754524379809686	none	0.754524379809686
ko00626	edgeR	DEpost	HEpost	0.969507210473604	none	0.969507210473604
ko00621	edgeR	DEpost	HEpost	0.726727609014103	none	0.726727609014103
ko00620	edgeR	DEpost	HEpost	0.947086902344503	none	0.947086902344503
ko00623	edgeR	DEpost	HEpost	0.696640062496619	none	0.696640062496619
ko00622	edgeR	DEpost	HEpost	0.82634998322936	none	0.82634998322936
ko00270	edgeR	DEpost	HEpost	0.868688961519546	none	0.868688961519546
ko00940	edgeR	DEpost	HEpost	0.567879497347906	none	0.567879497347906
ko00941	edgeR	DEpost	HEpost	0.10464259885933	none	0.10464259885933
ko01053	edgeR	DEpost	HEpost	0.769486742897007	none	0.769486742897007
ko00100	edgeR	DEpost	HEpost	8.99587566349775e-06	none	8.99587566349775e-06
ko00945	edgeR	DEpost	HEpost	0.334906199227844	none	0.334906199227844
ko05016	edgeR	DEpost	HEpost	0.38540397381728	none	0.38540397381728
ko00071	edgeR	DEpost	HEpost	0.970743497297509	none	0.970743497297509
ko00072	edgeR	DEpost	HEpost	0.696624990626588	none	0.696624990626588
ko05219	edgeR	DEpost	HEpost	0.409168217201843	none	0.409168217201843
ko05215	edgeR	DEpost	HEpost	0.683547095428274	none	0.683547095428274
ko05214	edgeR	DEpost	HEpost	5.32472630997146e-27	none	5.32472630997146e-27
ko05211	edgeR	DEpost	HEpost	0.488411832585762	none	0.488411832585762
ko05210	edgeR	DEpost	HEpost	0.624126112316489	none	0.624126112316489
ko01055	edgeR	DEpost	HEpost	0.801871723068565	none	0.801871723068565
ko04910	edgeR	DEpost	HEpost	0.772619395058779	none	0.772619395058779
ko00531	edgeR	DEpost	HEpost	0.56727272615178	none	0.56727272615178
ko04916	edgeR	DEpost	HEpost	5.32472630997146e-27	none	5.32472630997146e-27
ko00360	edgeR	DEpost	HEpost	0.984044403793129	none	0.984044403793129
ko00633	edgeR	DEpost	HEpost	0.974407470125662	none	0.974407470125662
ko00630	edgeR	DEpost	HEpost	0.762159916116338	none	0.762159916116338
ko00363	edgeR	DEpost	HEpost	0.841503534552675	none	0.841503534552675
ko00364	edgeR	DEpost	HEpost	0.855123903904216	none	0.855123903904216
ko05130	edgeR	DEpost	HEpost	5.55085002493407e-15	none	5.55085002493407e-15
ko04115	edgeR	DEpost	HEpost	0.624126112316489	none	0.624126112316489
ko04114	edgeR	DEpost	HEpost	5.32472630997146e-27	none	5.32472630997146e-27
ko00121	edgeR	DEpost	HEpost	0.664255967053842	none	0.664255967053842
ko04914	edgeR	DEpost	HEpost	0.683547095428274	none	0.683547095428274
ko00430	edgeR	DEpost	HEpost	0.931276811013941	none	0.931276811013941
