feature	method	group1	group2	p_values	adj_method	p_adjust
ko05340	LinDA	DEmed	DEpost	0.856300684904065	none	0.856300684904065
ko00564	LinDA	DEmed	DEpost	0.796876760134985	none	0.796876760134985
ko00680	LinDA	DEmed	DEpost	0.893953841503691	none	0.893953841503691
ko00562	LinDA	DEmed	DEpost	0.932983418328517	none	0.932983418328517
ko00563	LinDA	DEmed	DEpost	0.939043098345905	none	0.939043098345905
ko03030	LinDA	DEmed	DEpost	0.829957979937193	none	0.829957979937193
ko00561	LinDA	DEmed	DEpost	0.75713456242132	none	0.75713456242132
ko00440	LinDA	DEmed	DEpost	0.62163523804761	none	0.62163523804761
ko00250	LinDA	DEmed	DEpost	0.922671450840141	none	0.922671450840141
ko00740	LinDA	DEmed	DEpost	0.890484814836521	none	0.890484814836521
ko04111	LinDA	DEmed	DEpost	0.350412737460352	none	0.350412737460352
ko04940	LinDA	DEmed	DEpost	0.90044201081043	none	0.90044201081043
ko00010	LinDA	DEmed	DEpost	0.967257248065923	none	0.967257248065923
ko05412	LinDA	DEmed	DEpost	0.428824631349503	none	0.428824631349503
ko00195	LinDA	DEmed	DEpost	0.830622122262862	none	0.830622122262862
ko03450	LinDA	DEmed	DEpost	0.0470492885455674	none	0.0470492885455674
ko00760	LinDA	DEmed	DEpost	0.923411785814164	none	0.923411785814164
ko00920	LinDA	DEmed	DEpost	0.459629360057189	none	0.459629360057189
ko00311	LinDA	DEmed	DEpost	0.580557673056336	none	0.580557673056336
ko00310	LinDA	DEmed	DEpost	0.893186216836906	none	0.893186216836906
ko04146	LinDA	DEmed	DEpost	0.870721086458216	none	0.870721086458216
ko00600	LinDA	DEmed	DEpost	0.875241937758174	none	0.875241937758174
ko04141	LinDA	DEmed	DEpost	0.985629245670271	none	0.985629245670271
ko04142	LinDA	DEmed	DEpost	0.318394332048836	none	0.318394332048836
ko00604	LinDA	DEmed	DEpost	0.363164710861035	none	0.363164710861035
ko04260	LinDA	DEmed	DEpost	0.693126800361937	none	0.693126800361937
ko03040	LinDA	DEmed	DEpost	0.757404816509989	none	0.757404816509989
ko04110	LinDA	DEmed	DEpost	0.350412737460352	none	0.350412737460352
ko05142	LinDA	DEmed	DEpost	0.41014593882734	none	0.41014593882734
ko00513	LinDA	DEmed	DEpost	0.804798876832717	none	0.804798876832717
ko04973	LinDA	DEmed	DEpost	0.945867554695466	none	0.945867554695466
ko00510	LinDA	DEmed	DEpost	0.453043143344082	none	0.453043143344082
ko05110	LinDA	DEmed	DEpost	0.767961441307978	none	0.767961441307978
ko04974	LinDA	DEmed	DEpost	0.681806972821382	none	0.681806972821382
ko04976	LinDA	DEmed	DEpost	0.160667260448793	none	0.160667260448793
