feature	method	group1	group2	p_values	adj_method	p_adjust
ko05340	LinDA	DSmed	DSpost	0.934991348501123	none	0.934991348501123
ko00564	LinDA	DSmed	DSpost	0.676667975897982	none	0.676667975897982
ko00680	LinDA	DSmed	DSpost	0.348070391828586	none	0.348070391828586
ko00562	LinDA	DSmed	DSpost	0.45276335884052	none	0.45276335884052
ko00563	LinDA	DSmed	DSpost	0.978482933075068	none	0.978482933075068
ko03030	LinDA	DSmed	DSpost	0.750886583366747	none	0.750886583366747
ko00561	LinDA	DSmed	DSpost	0.779334114282379	none	0.779334114282379
ko00440	LinDA	DSmed	DSpost	0.0964359843694385	none	0.0964359843694385
ko00250	LinDA	DSmed	DSpost	0.442144952718802	none	0.442144952718802
ko00740	LinDA	DSmed	DSpost	0.89032757145059	none	0.89032757145059
ko04111	LinDA	DSmed	DSpost	0.841896201840207	none	0.841896201840207
ko04940	LinDA	DSmed	DSpost	0.544390206203105	none	0.544390206203105
ko00010	LinDA	DSmed	DSpost	0.706697507866872	none	0.706697507866872
ko05412	LinDA	DSmed	DSpost	0.695000789365777	none	0.695000789365777
ko00195	LinDA	DSmed	DSpost	0.31861830580333	none	0.31861830580333
ko03450	LinDA	DSmed	DSpost	0.881763085119092	none	0.881763085119092
ko00760	LinDA	DSmed	DSpost	0.451425592139524	none	0.451425592139524
ko00920	LinDA	DSmed	DSpost	0.117325733146358	none	0.117325733146358
ko00311	LinDA	DSmed	DSpost	0.452782983164056	none	0.452782983164056
ko00310	LinDA	DSmed	DSpost	0.334754351193228	none	0.334754351193228
ko04146	LinDA	DSmed	DSpost	0.267190558713318	none	0.267190558713318
ko00600	LinDA	DSmed	DSpost	0.606643833466069	none	0.606643833466069
ko04141	LinDA	DSmed	DSpost	0.536626880717869	none	0.536626880717869
ko04142	LinDA	DSmed	DSpost	0.365653502555583	none	0.365653502555583
ko00604	LinDA	DSmed	DSpost	0.429036020852029	none	0.429036020852029
ko04260	LinDA	DSmed	DSpost	0.569192426649736	none	0.569192426649736
ko03040	LinDA	DSmed	DSpost	0.530270290170717	none	0.530270290170717
ko04110	LinDA	DSmed	DSpost	0.841896201840207	none	0.841896201840207
ko05142	LinDA	DSmed	DSpost	0.263083411073946	none	0.263083411073946
ko00513	LinDA	DSmed	DSpost	0.283049502192649	none	0.283049502192649
ko04973	LinDA	DSmed	DSpost	0.941175191181919	none	0.941175191181919
ko00510	LinDA	DSmed	DSpost	0.110023197048509	none	0.110023197048509
ko05110	LinDA	DSmed	DSpost	0.491199366951305	none	0.491199366951305
ko04974	LinDA	DSmed	DSpost	0.154941462639849	none	0.154941462639849
