feature	method	group1	group2	p_values	adj_method	p_adjust
ko05340	LinDA	DSmed	ISmed	0.937847850023274	none	0.937847850023274
ko00564	LinDA	DSmed	ISmed	0.154455056938966	none	0.154455056938966
ko00680	LinDA	DSmed	ISmed	0.973024641481096	none	0.973024641481096
ko00562	LinDA	DSmed	ISmed	0.224608588194657	none	0.224608588194657
ko00563	LinDA	DSmed	ISmed	0.642762675890379	none	0.642762675890379
ko03030	LinDA	DSmed	ISmed	0.823869627320263	none	0.823869627320263
ko00561	LinDA	DSmed	ISmed	0.948326373238961	none	0.948326373238961
ko00440	LinDA	DSmed	ISmed	0.380615823168993	none	0.380615823168993
ko00250	LinDA	DSmed	ISmed	0.968691795394862	none	0.968691795394862
ko00740	LinDA	DSmed	ISmed	0.823415545454549	none	0.823415545454549
ko04111	LinDA	DSmed	ISmed	0.57887256499552	none	0.57887256499552
ko04940	LinDA	DSmed	ISmed	0.958603968039325	none	0.958603968039325
ko00010	LinDA	DSmed	ISmed	0.79103422579023	none	0.79103422579023
ko05412	LinDA	DSmed	ISmed	0.0708887255272744	none	0.0708887255272744
ko00195	LinDA	DSmed	ISmed	0.683406520018705	none	0.683406520018705
ko03450	LinDA	DSmed	ISmed	0.166648712928363	none	0.166648712928363
ko00760	LinDA	DSmed	ISmed	0.961917044958334	none	0.961917044958334
ko00920	LinDA	DSmed	ISmed	0.320842783813442	none	0.320842783813442
ko00311	LinDA	DSmed	ISmed	0.235875973962672	none	0.235875973962672
ko00310	LinDA	DSmed	ISmed	0.819225861058136	none	0.819225861058136
ko04146	LinDA	DSmed	ISmed	0.469813342092418	none	0.469813342092418
ko00600	LinDA	DSmed	ISmed	0.182986056529163	none	0.182986056529163
ko04141	LinDA	DSmed	ISmed	0.0261853221591295	none	0.0261853221591295
ko04142	LinDA	DSmed	ISmed	0.75966718401766	none	0.75966718401766
ko00604	LinDA	DSmed	ISmed	0.540450473186798	none	0.540450473186798
ko04260	LinDA	DSmed	ISmed	0.0918639291659381	none	0.0918639291659381
ko03040	LinDA	DSmed	ISmed	0.060349647094943	none	0.060349647094943
ko04110	LinDA	DSmed	ISmed	0.57887256499552	none	0.57887256499552
ko05142	LinDA	DSmed	ISmed	0.0248917519351123	none	0.0248917519351123
ko00513	LinDA	DSmed	ISmed	0.424812725333243	none	0.424812725333243
ko04973	LinDA	DSmed	ISmed	0.00255142257759214	none	0.00255142257759214
ko00510	LinDA	DSmed	ISmed	0.0763822244833375	none	0.0763822244833375
ko05110	LinDA	DSmed	ISmed	0.828978786616679	none	0.828978786616679
ko04974	LinDA	DSmed	ISmed	0.140752683159983	none	0.140752683159983
ko04976	LinDA	DSmed	ISmed	0.354429729638202	none	0.354429729638202
ko00450	LinDA	DSmed	ISmed	0.635692062477736	none	0.635692062477736
ko01051	LinDA	DSmed	ISmed	0.0761943896217778	none	0.0761943896217778
ko00565	LinDA	DSmed	ISmed	0.054694126757307	none	0.054694126757307
ko00524	LinDA	DSmed	ISmed	0.540405286120351	none	0.540405286120351
ko00300	LinDA	DSmed	ISmed	0.894672831045337	none	0.894672831045337
ko05222	LinDA	DSmed	ISmed	0.990575622365873	none	0.990575622365873
ko00514	LinDA	DSmed	ISmed	0.458039997196761	none	0.458039997196761
ko05416	LinDA	DSmed	ISmed	0.990575622365873	none	0.990575622365873
ko00260	LinDA	DSmed	ISmed	0.986436970662011	none	0.986436970662011
ko00190	LinDA	DSmed	ISmed	0.438603818622022	none	0.438603818622022
ko03440	LinDA	DSmed	ISmed	0.925510378458636	none	0.925510378458636
ko00750	LinDA	DSmed	ISmed	0.999315658158375	none	0.999315658158375
ko00950	LinDA	DSmed	ISmed	0.930483922964961	none	0.930483922964961
ko00592	LinDA	DSmed	ISmed	0.4526440333645	none	0.4526440333645
ko00591	LinDA	DSmed	ISmed	0.0773328010957604	none	0.0773328010957604
ko00590	LinDA	DSmed	ISmed	0.858173004505141	none	0.858173004505141
ko00061	LinDA	DSmed	ISmed	0.495680468671642	none	0.495680468671642
ko03070	LinDA	DSmed	ISmed	0.234898674550167	none	0.234898674550167
ko00253	LinDA	DSmed	ISmed	0.671138323102822	none	0.671138323102822
ko03060	LinDA	DSmed	ISmed	0.970409467255196	none	0.970409467255196
