feature	method	group1	group2	p_values	adj_method	p_adjust
ko05340	LinDA	DSmed	DSpre	0.35806804095252	none	0.35806804095252
ko00564	LinDA	DSmed	DSpre	0.719457727743691	none	0.719457727743691
ko00680	LinDA	DSmed	DSpre	0.918715987491318	none	0.918715987491318
ko00562	LinDA	DSmed	DSpre	0.629566640890915	none	0.629566640890915
ko00563	LinDA	DSmed	DSpre	0.020196042210365	none	0.020196042210365
ko03030	LinDA	DSmed	DSpre	0.870208322355893	none	0.870208322355893
ko00561	LinDA	DSmed	DSpre	0.776069172328461	none	0.776069172328461
ko00440	LinDA	DSmed	DSpre	0.514961155702901	none	0.514961155702901
ko00250	LinDA	DSmed	DSpre	0.929059485471846	none	0.929059485471846
ko00740	LinDA	DSmed	DSpre	0.750648489468786	none	0.750648489468786
ko04111	LinDA	DSmed	DSpre	0.957030697710009	none	0.957030697710009
ko04940	LinDA	DSmed	DSpre	0.499928353182013	none	0.499928353182013
ko00010	LinDA	DSmed	DSpre	0.533063088755814	none	0.533063088755814
ko05412	LinDA	DSmed	DSpre	0.594764822918248	none	0.594764822918248
ko00195	LinDA	DSmed	DSpre	0.560552098695875	none	0.560552098695875
ko03450	LinDA	DSmed	DSpre	0.768765610102031	none	0.768765610102031
ko00760	LinDA	DSmed	DSpre	0.763733634156926	none	0.763733634156926
ko00920	LinDA	DSmed	DSpre	0.0749259769291228	none	0.0749259769291228
ko00311	LinDA	DSmed	DSpre	0.401755597704187	none	0.401755597704187
ko00310	LinDA	DSmed	DSpre	0.191030171329118	none	0.191030171329118
ko04146	LinDA	DSmed	DSpre	0.96924076459586	none	0.96924076459586
ko00600	LinDA	DSmed	DSpre	0.753850512217685	none	0.753850512217685
ko04141	LinDA	DSmed	DSpre	0.871126000042004	none	0.871126000042004
ko04142	LinDA	DSmed	DSpre	0.685000944896152	none	0.685000944896152
ko00604	LinDA	DSmed	DSpre	0.836156802837786	none	0.836156802837786
ko04260	LinDA	DSmed	DSpre	0.694101750932197	none	0.694101750932197
ko03040	LinDA	DSmed	DSpre	0.673949685637319	none	0.673949685637319
ko04110	LinDA	DSmed	DSpre	0.957030697710009	none	0.957030697710009
ko05142	LinDA	DSmed	DSpre	0.393611923999397	none	0.393611923999397
ko00513	LinDA	DSmed	DSpre	0.160374230623332	none	0.160374230623332
ko04973	LinDA	DSmed	DSpre	0.0549263924650838	none	0.0549263924650838
ko00510	LinDA	DSmed	DSpre	0.105244931011662	none	0.105244931011662
ko05110	LinDA	DSmed	DSpre	0.785520517855758	none	0.785520517855758
ko04974	LinDA	DSmed	DSpre	0.909676520451611	none	0.909676520451611
ko04976	LinDA	DSmed	DSpre	0.260909222584236	none	0.260909222584236
ko00450	LinDA	DSmed	DSpre	0.473018334501576	none	0.473018334501576
ko01051	LinDA	DSmed	DSpre	0.713862551903296	none	0.713862551903296
ko00565	LinDA	DSmed	DSpre	0.8329946004594	none	0.8329946004594
ko00524	LinDA	DSmed	DSpre	0.775219314313324	none	0.775219314313324
ko00300	LinDA	DSmed	DSpre	0.649578199577306	none	0.649578199577306
ko05222	LinDA	DSmed	DSpre	0.789957484704796	none	0.789957484704796
ko00514	LinDA	DSmed	DSpre	0.770945351174422	none	0.770945351174422
ko05416	LinDA	DSmed	DSpre	0.789957484704796	none	0.789957484704796
ko00260	LinDA	DSmed	DSpre	0.993889592434579	none	0.993889592434579
ko00190	LinDA	DSmed	DSpre	0.831506671993	none	0.831506671993
ko03440	LinDA	DSmed	DSpre	0.958895561463373	none	0.958895561463373
ko00750	LinDA	DSmed	DSpre	0.829927769514792	none	0.829927769514792
ko00950	LinDA	DSmed	DSpre	0.494379316349036	none	0.494379316349036
ko00592	LinDA	DSmed	DSpre	0.557078526437108	none	0.557078526437108
ko00591	LinDA	DSmed	DSpre	0.920226847868783	none	0.920226847868783
ko00590	LinDA	DSmed	DSpre	0.851924780017081	none	0.851924780017081
ko00061	LinDA	DSmed	DSpre	0.165074502890021	none	0.165074502890021
ko03070	LinDA	DSmed	DSpre	0.356296376503185	none	0.356296376503185
ko00253	LinDA	DSmed	DSpre	0.0288569235856455	none	0.0288569235856455
ko03060	LinDA	DSmed	DSpre	0.967954252645727	none	0.967954252645727
ko04740	LinDA	DSmed	DSpre	0.205652025381257	none	0.205652025381257
ko00380	LinDA	DSmed	DSpre	0.179001809884604	none	0.179001809884604
ko00500	LinDA	DSmed	DSpre	0.523517848938753	none	0.523517848938753
ko05120	LinDA	DSmed	DSpre	0.894707198811134	none	0.894707198811134
ko05322	LinDA	DSmed	DSpre	0.528750204393144	none	0.528750204393144
ko04964	LinDA	DSmed	DSpre	0.0204289861196872	none	0.0204289861196872
ko04962	LinDA	DSmed	DSpre	0.560491721713798	none	0.560491721713798
ko00625	LinDA	DSmed	DSpre	0.0505320364172462	none	0.0505320364172462
ko00624	LinDA	DSmed	DSpre	0.48593978814037	none	0.48593978814037
ko00627	LinDA	DSmed	DSpre	0.374213840553157	none	0.374213840553157
ko00626	LinDA	DSmed	DSpre	0.905447019378559	none	0.905447019378559
