feature	method	group1	group2	p_values	adj_method	p_adjust
ko05340	LinDA	HEmed	HGpre	0.92542301128545	none	0.92542301128545
ko00564	LinDA	HEmed	HGpre	0.537315835531285	none	0.537315835531285
ko00680	LinDA	HEmed	HGpre	0.946638814353207	none	0.946638814353207
ko00562	LinDA	HEmed	HGpre	0.540808413082785	none	0.540808413082785
ko00563	LinDA	HEmed	HGpre	0.662064106690344	none	0.662064106690344
ko03030	LinDA	HEmed	HGpre	0.979986909748278	none	0.979986909748278
ko00561	LinDA	HEmed	HGpre	0.811228787335332	none	0.811228787335332
ko00440	LinDA	HEmed	HGpre	0.889509192760139	none	0.889509192760139
ko00250	LinDA	HEmed	HGpre	0.995992169415494	none	0.995992169415494
ko00740	LinDA	HEmed	HGpre	0.975827548258835	none	0.975827548258835
ko04111	LinDA	HEmed	HGpre	0.0687890278308727	none	0.0687890278308727
ko04940	LinDA	HEmed	HGpre	0.910107025110274	none	0.910107025110274
ko00010	LinDA	HEmed	HGpre	0.918487564941324	none	0.918487564941324
ko05412	LinDA	HEmed	HGpre	0.428409139256679	none	0.428409139256679
ko00195	LinDA	HEmed	HGpre	0.939392202955908	none	0.939392202955908
ko03450	LinDA	HEmed	HGpre	0.711636292484851	none	0.711636292484851
ko00760	LinDA	HEmed	HGpre	0.97556815367262	none	0.97556815367262
ko00920	LinDA	HEmed	HGpre	0.646145789792724	none	0.646145789792724
ko00311	LinDA	HEmed	HGpre	0.486207404842379	none	0.486207404842379
ko00310	LinDA	HEmed	HGpre	0.574740900732982	none	0.574740900732982
ko04146	LinDA	HEmed	HGpre	0.896349080698527	none	0.896349080698527
ko00600	LinDA	HEmed	HGpre	0.872495281775656	none	0.872495281775656
ko04141	LinDA	HEmed	HGpre	0.625740212550215	none	0.625740212550215
ko04142	LinDA	HEmed	HGpre	0.67942205937511	none	0.67942205937511
ko00604	LinDA	HEmed	HGpre	0.768051648366672	none	0.768051648366672
ko04260	LinDA	HEmed	HGpre	0.530538705552152	none	0.530538705552152
ko03040	LinDA	HEmed	HGpre	0.319456737323968	none	0.319456737323968
ko04110	LinDA	HEmed	HGpre	0.0687890278308727	none	0.0687890278308727
ko05142	LinDA	HEmed	HGpre	0.355327290668925	none	0.355327290668925
ko00513	LinDA	HEmed	HGpre	0.631235522494912	none	0.631235522494912
ko04973	LinDA	HEmed	HGpre	0.602208921883128	none	0.602208921883128
ko00510	LinDA	HEmed	HGpre	0.798518151702371	none	0.798518151702371
ko05110	LinDA	HEmed	HGpre	0.495230057547266	none	0.495230057547266
ko04974	LinDA	HEmed	HGpre	0.972839942899888	none	0.972839942899888
ko04976	LinDA	HEmed	HGpre	0.839649632384992	none	0.839649632384992
ko00450	LinDA	HEmed	HGpre	0.972166061602446	none	0.972166061602446
ko01051	LinDA	HEmed	HGpre	0.218855326350869	none	0.218855326350869
ko00565	LinDA	HEmed	HGpre	0.803867679090151	none	0.803867679090151
ko00524	LinDA	HEmed	HGpre	0.518229303942213	none	0.518229303942213
ko00300	LinDA	HEmed	HGpre	0.72332301503134	none	0.72332301503134
ko05222	LinDA	HEmed	HGpre	0.953160297995802	none	0.953160297995802
ko00514	LinDA	HEmed	HGpre	0.806744640461241	none	0.806744640461241
ko05416	LinDA	HEmed	HGpre	0.953160297995802	none	0.953160297995802
ko00260	LinDA	HEmed	HGpre	0.976281981636355	none	0.976281981636355
ko00190	LinDA	HEmed	HGpre	0.974037872052561	none	0.974037872052561
ko03440	LinDA	HEmed	HGpre	0.961385015554715	none	0.961385015554715
