feature	ko05340	ko00564	ko00680	ko00562	ko00563	ko03030	ko00561	ko00440	ko00250	ko00740	ko04111	ko04940	ko00010	ko05412	ko00195	ko03450	ko00760	ko00920	ko00311	ko00310	ko04146	ko00600	ko04141	ko04142	ko00604	ko04260	ko03040	ko04110	ko05142	ko00513	ko04973	ko00510	ko05110	ko04974	ko04976	ko00450	ko01051	ko00565	ko00524	ko00300	ko05222	ko00514	ko05416	ko00260	ko00190	ko03440	ko00750	ko00950	ko00592	ko00591	ko00590	ko00061	ko03070	ko00253	ko03060	ko00380	ko00500	ko05120	ko05322	ko04964	ko04962	ko00625	ko00624	ko00627	ko00626	ko00621	ko00620	ko00623	ko00622	ko00270	ko00940	ko00941	ko01053	ko00100	ko00945	ko05016	ko00071	ko00072	ko05219	ko05215	ko05211	ko05210	ko01055	ko04910	ko00531	ko00360	ko00633	ko00630	ko00363	ko00364	ko05130	ko04115	ko00121	ko04914	ko00430	ko02010	ko00130	ko03050	ko00361	ko00040	ko00730	ko00362	ko01040	ko00603	ko03018	ko00281	ko00280	ko03013	ko04626	ko05200	ko00601	ko03015	ko00312	ko05020	ko05143	ko00523	ko00520	ko00521	ko05146	ko05145	ko05144	ko00052	ko00053	ko00051	ko00401	ko00400	ko04020	ko00350	ko00480	ko00643	ko00642	ko00640	ko00720	ko00960	ko02020	ko00120	ko00965	ko03008	ko05414	ko00290	ko04614	ko03410	ko05010	ko05012	ko00980	ko00410	ko00983	ko05150	ko00791	ko00790	ko05131	ko00020	ko00710	ko02060	ko00340	ko00785	ko00550	ko00650	ko02030	ko03320	ko04612	ko04621	ko04622	ko00910	ko00460	ko00830	ko00780	ko00511	ko00970	ko00030	ko04972	ko00232	ko00230	ko04122	ko00540	ko05014	ko00660	ko03020	ko04512	ko00982	ko03010	ko00140	ko05100	ko00860	ko05410	ko00330	ko04080	ko04514	ko00908	ko04930	ko03430	ko00906	ko00900	ko00901	ko00903	ko00471	ko00472	ko00473	ko05111	ko04510	ko04810	ko04210	ko00240	ko04011	ko00944	ko04113	ko04070	ko03420	ko00770	ko02040	ko00670	ko04920	ko04144	ko00930	ko04112	ko04075
DS03P016	57681.84	604380.02	880635.48	103495.57	16	715802.15	270987.54	48460.8	792271.52	253406.05	1	51532.88	904957.97	68	368684.57	287.2	424866.46	340644.17	9929.57	126052.67	200381.35	74545.39	36758.16	51959.61	34920.57	37611.9	1978	1	1604.45	12	16195.84	20840.37	1117	22224	227.6	360109.44	66346.58	112.12	38125.38	582439.96	9232.5	115	9232.5	781202.37	1097929.2	1030658.69	197274.69	64696.23	13925.39	19777.99	47835.32	540996.01	818289.75	133124.18	653287.69	172004.56	570760.88	77299.88	6904.14	17984.1	10.6	82043.98	3649	119048.6	91644.64	31687.09	964994.73	144602.58	17869.21	838097.89	20418.23	6800.6	23954.79	8	4369.43	99114.92	206275.45	43185.61	1681.87	24478.37	24783.4	9232.5	47297.67	78044.61	38942	162383.83	43697.4	445445.41	19934.54	7313.2	0.33	9232.5	2200.81	24478.37	122353.07	2756782.31	243451.22	616.83	13188.7	183578.34	315986.44	124333.14	133322.6	45525.03	525926.11	37193.83	248440.73	69599.16	124528.49	58494.27	0	1921	4483.24	10647.63	1628.65	142741.34	1107319.33	258652.47	3652.93	9232.5	0	430150.04	73228.65	537195.18	142286.75	789199.02	1.8	223407.76	363030.65	39015.43	29096.28	455011.82	806521.05	112965.51	976638.25	2745.81	817	67990.7	68	635474.59	67.8	435408.23	104706.07	46844.4	62594.33	153310.83	273548.86	27897.83	17284.52	381145	4.99	651382.4	623255.08	376969.63	332297.78	69931.47	813625.79	537800.28	157231.1	116953.63	24478.37	30419.7	2842.38	710759.68	174739.65	29728.82	172864.77	128169.38	1162713.05	673167.63	0	3	2374121.15	305936.44	627438	37873.84	239613.95	452439.37	68	63060.83	2526165.19	3529.32	1107.86	715323.27	89.8	771227.53	13	68	57622.73	47276.89	862102.04	19569.34	501371.25	817	40462.94	154800.71	4732.13	119342.97	98104.91	68	68	30202.21	1906983.59	46789.21	414.83	3048.38	122487.16	385677.22	544046.25	176505.85	552137.73	77812.85	17.6	7672.14	541205.4	0
DS03P017	62494.74	566956.04	868790.95	92808.45	29	770231.62	249424.28	40782.94	870020.39	277494.78	7	56376.12	920783.47	139	373732.04	204.92	497031.53	283565.23	6363.93	91306.75	192173.68	137288.19	47134.12	102248.44	74735.39	24094.59	3423.2	7	1200.46	11.5	20820.52	34136.38	629.83	46067.23	5	332621.56	73495.73	220.99	52508.56	599780.18	1341.82	166	1341.82	756585.08	1118388.69	1093524.79	221268.53	70530.5	9815.14	20559.19	55770.7	481861.11	748834.61	93742.49	673357.22	122958.2	649668.05	91971.13	6282.34	15721.07	3.8	58322.71	602.42	112458.85	68890.52	24566.51	889733.21	140388.45	15104.03	834013.16	30558.48	6560	27117.73	120	4235.5	73280.22	162258.38	19260.45	405.64	32675.5	16800.41	1341.82	50015.24	69684.37	84371.77	141312.04	32596.66	363289.35	21043.11	707.1	27	1341.82	4760.63	32675.5	126194.07	2218949.55	234418.02	667.83	3080.17	187470.41	362753.08	85073.58	104395.68	100899.88	537259.69	19224.83	201479.57	78174.29	129975.85	50817.73	25.6	3347.2	4715.22	5066.55	1207.96	171962.94	1194638.78	307419.99	4489.83	1341.82	0	495020.29	65857.88	603173.92	139872.04	777554.64	68	191974.46	304594.81	25873.31	22369.71	410299.53	855429.3	115899.68	797867.43	4815.13	0	64634.24	139	542723.77	5.5	453298.43	86554.61	25368.41	36981.25	172413.47	321706	27624.31	3487.44	428887.19	351.7	681164.87	671730.74	270054.82	334448.63	68564.07	868053.65	473399.28	118440.82	116578.25	32675.5	43353.5	2375.87	686276.06	183997.07	17687.81	173790.27	236833.42	1245708.62	704672.8	68	7	2485654.66	230373.14	576784.38	18745.25	178247.74	541809	71	37062.12	2770862.46	5064.53	1601.79	736153.56	139	743572.65	3	71	74799.62	49462.01	930328.96	8136.74	545030.25	0	24839.12	168214.2	2815.87	127511.11	88419.26	71	71	45392.16	2084122.07	39627.83	125.73	1346.95	108184.41	446263.85	550569.77	114302.07	601379.02	89307.77	45.68	911.87	569572.83	0.4
DS03P030	43849.31	336286.59	532728.85	60131.76	3	469489.86	163824.12	34335.38	556834.29	192400.48	4	33172.47	579379.07	27	251884.84	48.2	288560.48	222605.97	2248.76	53627.65	118984.3	77760.91	25264.89	45543	33205.16	19619.8	2836.6	4	589.65	0.5	16548.53	18731.71	541	22361	8	237657.08	50395.54	63	26629.73	410301.46	395.5	121	395.5	496332.98	731348.47	683692.68	127725.99	51926.69	6840.85	11905.94	38446.89	304007.87	479014.59	62705.53	420764.77	73946.07	396756.89	59350.21	5942.6	12872.62	0.6	38096.18	165	52263.54	37893.24	18862.32	590344.14	91769.69	7321.36	629309.59	14952.27	2118.42	20201.58	74	1345.02	45257.49	98311.49	12985.06	363.6	14243.62	14396.27	395.5	27380.66	45128.89	41944.16	99247.41	30641.46	246399.71	12044.94	218.5	0	395.5	430.67	14243.62	77791.57	1436294.47	166307.71	479	733.83	98645.32	211778.92	55785.73	60291.61	49127.14	325939.39	9108.1	128237.08	34121.1	78454.45	29035.39	0	582.6	1050.43	2498.33	589.65	98632.55	711330.99	179839.54	7259.5	395.5	0	292537.98	58598.21	350017.14	99025.43	520160.91	0	125194.89	183869.71	16254.59	5973.49	278265.75	566984.44	82827.97	439780.54	430.67	0	40942.08	27	372361.61	0	300609.57	58648.38	20015.3	24936.29	107510.05	188173.64	11405.85	612	246333.1	0	461088.94	426556.25	207516.98	251892.43	36790.13	526810.63	304185.54	49558.08	74006.77	14243.62	22790.79	847.67	462429.07	113657.53	18753.94	102009.42	119742.48	783400.36	438882.91	0	0	1529287.85	130803.01	439821.18	11361.43	135989.96	328961.09	27	24937.29	1702538.27	7122	631.15	571613.74	27	515331.12	0	27	43024.9	32264.66	571329.26	6620.6	338847.12	0	6746.16	103358.24	4910.34	81518.35	50423.34	27	27	27548.75	1281230.75	25685.5	68	648	68921.26	266003.19	359065.29	39080.77	391046.73	59395.34	34.86	237.5	350866.98	0
DS03P037	52077.85	499224.52	709465.51	82975	21	601962.57	210274.07	44671.12	677356.86	205295.43	10	42667.42	740265.4	14	303999.35	159.14	362541.27	265491.97	5887.99	79158.73	162796.61	69235.84	30901.26	42686.42	28125.57	33472.71	1386.4	10	1326.41	4	13942.17	16811.14	2749	20108.4	22	274704.78	50995.08	736.75	32124.15	488878.33	1212.5	75	1212.5	641270.46	917554.91	869196.78	172541.06	55467.7	13079.49	12891.39	40319.67	443718.7	658755.28	104223.95	544673.8	119738.32	468337.73	67591.35	8637.4	17095.43	1.4	58137.33	1110.67	79926.28	67898.3	28763.23	794170.67	125069.36	14868.69	711551.63	19075.77	4223.63	22372.16	10	3346.62	73569.62	140448.54	17743.79	457.4	20124.82	21730.24	1212.5	37857.33	65494.05	34901.52	120051.19	31644.64	321839.36	13730.38	872.2	0	1212.5	1261.25	20124.82	98597.94	2057128.01	210688.48	915.49	2595.8	148015.66	278080.26	71916.38	98652.72	38945.24	440399.36	19103.2	151276.75	56812.42	99871.75	43067.56	0	1234.4	2907.07	6526.59	1327.58	118806.9	887546.63	221556.24	4630.25	1212.5	0	335411.86	52627.43	427193.52	120052.05	657945.74	1	174321.85	282353.8	27895.58	14257.77	354021.39	690443.75	94177.02	709613.73	1261.25	0.17	59485.77	14	513852.06	0	375323.24	85575.12	34684.21	42714.29	117550.39	227355.25	22252.57	8036.01	318102.85	0	573531.7	517630.56	258222.45	284537.69	58874.85	686273.44	405751.12	99353.79	95241.63	20124.82	27268.32	1910.75	592597.36	149462.2	26340.78	140164	113567.08	978121.53	563382.09	1	0	1971342.95	232803.39	515445.61	24784	199334.16	392130.85	13	42739.46	2151976.92	3396.67	1611.55	508555.62	14	624358.4	0	13	50201.65	39808.77	730295.27	11211.65	414680.98	0.17	17378.03	127913.19	2137	93351.43	78532.28	13	13	23523.65	1607161.3	33717.34	210	2659.99	102632.93	326351.49	451685.73	88648.37	471790.99	70792.83	19.4	2163.11	436617.55	0
DS03P049	57425.33	516346.31	918333.15	93250.15	132	744209.27	231125.58	36297	858549.3	308204.88	2	59368.13	817195.97	36	325500.32	4260	475664.25	230714.02	2903.14	125790.61	223117.26	112936.55	75672.72	98800.94	52812.27	25748.5	86	2	2492.67	0	25610.38	43438.58	7089	55380.73	22	329048.48	64640.39	10540.25	57819.78	561852.33	10890	53	10890	718829.27	1174768.54	1049104.61	228988.49	59321.83	11651.16	28831.34	62438.88	461657.61	724260.92	66069.58	660490.65	138940.35	638674.21	90452.69	167	22221.61	47	61869.6	4243.92	137055.11	55478.77	25910.53	744461.93	175428.46	11265.07	757079.35	82272.92	4913.58	24065.18	3	4477.58	91294.1	222463.21	40829.61	6508.39	45716.64	11888.94	10890	46545.23	63607.12	88221.67	175983.69	28436.92	460774.74	33221.23	16686.82	0	10890	583.25	45716.64	128417.36	2183979.54	270154.32	4576.33	18879.13	325358.18	312970.55	176065.04	110759.31	75077.64	503977.57	44141.19	245671.14	63662.71	135238.18	68495.58	0	82	600.52	8611.98	2492.67	170052.65	1143117.55	286832	8819.56	10890	2	429530.72	89004.77	656566.35	122576.07	715466.36	1	199475.55	232519.37	27480.82	27919.17	424087.6	946482.38	111888.3	893255.02	583.25	0	56504.69	36	492775.2	0	424362.84	88510.08	36637.5	25855.59	200042.05	326311.31	6698.9	6475.02	418253.13	0	705584.28	644047.49	163395.95	381195.96	48878.21	828569.48	533784.69	265013.14	147079.96	45716.64	50856.47	776.47	753947.83	226521.78	37721.75	152465.35	203548.32	1237999.22	649140.91	1	1	2348418.04	214691.02	510640.22	26964.87	152230.78	608585.7	35	27953.59	2731198.66	3092.79	670.05	862793.43	36	726869.35	25	35	80810.88	50951.35	909981.62	4218.75	569658.87	0	39072.83	175607.63	11503	123026.14	102103.19	35	35	55813.5	2026723.37	25740.28	13	8786.45	75659.31	455485	586971.8	320029.58	579628.8	121078.29	4.06	17154.07	575363.18	0
DS03P054	48565.76	418246.77	556446.3	67661.3	5	519571.69	164525.33	33821.52	614838.7	195271.14	3	37817.26	601989.99	4	233356.34	34.2	362293.23	218744.38	489.35	67633.41	121181.34	46873.53	25912.2	36842.28	26520.29	38449	11059	3	578.46	10.5	9840.40000000001	18705.21	241.5	25602.21	3	230417.37	42625.46	46.12	33149.91	390521.47	425	131	425	505619.98	859894.19	735681.99	152484.81	51632.63	13430.12	10451.45	52562.08	368137.11	636787.75	73761.72	446546.25	97880	380593.84	66810.46	12205	18114.66	3.6	41088.66	45.16	88922.53	70077.67	17136.93	659418.51	111832.92	14753.43	573718.76	14875.62	7457.3	9706.96	5	4866.3	66398.73	130805.72	8350.45	45.11	19310.48	15804.87	425	37254.64	45811.63	33082.68	105251.52	20965.08	258446.55	10469.58	214.58	0	425	1188.01	19310.48	99629.34	1457721.59	180596.34	69	517.63	110679.22	249972.91	66697.71	68247.74	35614.41	361161.43	19212.68	162234.27	54802.27	101072.71	35540.35	0	11052	285.07	1198.34	587.46	131021.77	647474.06	228102.33	2465.14	425	5	210034.06	36607.03	306521.52	100664.37	530498.57	0	159991.58	277459.6	35647.55	24410.05	324833.85	642063.74	73740.39	496041.02	1189.51	0	47720.58	4	373732.36	11	320586.43	85928.28	38874	60497.36	136024.47	185151.3	6324.79	535.9	277723.77	0	536083	446677.8	113272.5	255800.23	47326.32	562553.99	353686.63	46776.77	84665.69	19310.48	26638.32	164.68	495957.37	129188.08	16689.12	134680.08	81767.33	841392.59	479859.99	0	3	1614404.17	138434.55	468498.64	5495.35	127724.72	352360.28	4	60507.86	1778383.1	2385.85	552.7	574501.28	5	536844.94	0	4	46531.81	30332.45	635329.1	12873	363901.26	0	24759.86	113052.23	1376.33	78196.64	62710.08	4	4	22151.34	1340181.43	27135.88	2	312.95	94193.28	318162.61	369866.87	43460.2	399292.96	64562.94	1.26	202.8	375738.79	0
DS03P060	97577.3	627029.85	1264318.92	108297.1	1038	1052920.21	276118	68828.07	1167023.3	437952.98	43	75437.68	1266274.76	56	408589.41	56.4	725086.69	313497.29	1186.32	147690.94	255407.91	93061.09	99496.79	59370.17	30300.68	4375	62	43	9302.25	73.5	48372.33	52083.22	656	77785.34	4	488481.99	122866.39	9835	79209.56	815724.45	2575.5	36	2575.5	1014859.92	1330648.84	1514963.9	291381.07	62747.64	5619.38	26031.57	73153.17	586814.98	941898.64	116641.92	917646.72	144392.87	928176.97	145492.73	70	15766.02	14.2	80550.86	233.93	112379.43	74302.91	18771.21	1072496.01	157643.32	14372.58	988824.02	78360.97	2428.1	38546.33	1	2432.43	55305.04	242136.34	31988.55	1293.03	55958.53	12171.67	2575.5	73442.96	101577.78	48596.37	126164.76	23882.09	426120.05	26184.9	435.42	2.67	2575.5	1645.01	55958.53	154039.52	2669464.65	248120.96	1795.17	957.68	332145.37	452287.71	95208.65	120666.54	48836.38	694329.52	23987.97	291680.14	100231.16	190800.82	70705.7	3.6	61	455.26	1519.73	9345.75	271145.72	1533354.65	449564.03	4992.54	2575.5	0	615642.26	108894.64	908641.49	121765.25	931548.18	16	183428.92	265649.26	12123.79	20307.5	541420.74	1214746.65	113005.22	971728.4	1652.01	2.5	75642.53	56	656455.61	40	609193.03	85331.76	6934.5	17929.11	234825.31	487184	6878.67	443	589592.23	38.71	926686.63	931041.55	395516.34	602242.69	88057.59	1190996.54	612446.48	315682.11	169175.36	55958.53	72182.7	1208.83	839042.29	257321.53	25466.04	235330.67	167462.83	1764533.1	955521.84	16	1	3319011.33	257188.74	705598.49	5928.89	216747.78	855335.8	40	17944.61	3890360.16	6598.03	238.68	1350310.56	56	1062766.4	0	40	117385.61	65189.72	1315111.36	2014.5	778184.76	2.5	26815.34	234530.62	4757	174732.04	122694.94	40	40	61634.45	2971640.09	45858.88	21.74	15672.08	102626.24	631645.89	730371.83	377782.58	860945.75	149925.8	1.06	742.32	852711.71	0.4
DS03P065	70246.39	730475.01	1059794.2	116160.49	11	943776.94	369996.98	94460.13	1022885.7	258102.94	0	63817.99	1291474.25	231	475804.45	27354.06	528592.93	434793.05	35510.54	210348.85	291063.84	96770.52	24594.65	74628.82	47574.74	21423.5	1041	0	13029.63	0	42870.07	30970.26	2079.5	28951.83	571	478316.13	90158.41	155.75	53346.94	748389.44	9648	23	9648	1019526.77	1191569.71	1308851.99	253778.46	67752.45	20843.03	15595.16	56997.15	801484.74	940743.45	209736.25	838502.02	272978.9	819223.14	74198.08	6181.14	24248.75	0.2	121943.86	1578.43	138856.5	79690.59	54356.45	1270073.43	156199.25	29041.63	1125821.25	20816.61	1569.4	44294.69	0	2814.74	115127.37	272189.46	80705.86	2243.91	20111.22	34271.96	9648	55656.91	106968.3	50906.44	155900.03	44479.01	492442.83	18212.29	2046.69	324	9648	1679.8	20111.22	152297.36	3291202.05	293631.42	1982.67	12964.61	223842.25	431303.88	175139.67	173161.11	69339.53	652811.7	34987.8	368633.29	105881.79	136214.16	64031.18	0	947	18572.1	24196.85	13037.63	185836.42	1587943.17	335506.3	2842.15	9648	0	709091.02	146520.19	729226.7	167252.52	1110977.2	30	248745.46	460376.54	43965.64	17727.15	670750.45	1015279.18	129829.68	1272177.52	1680.3	0	83762.47	231	836778.07	7	612062.23	102445.44	31041.5	51651.13	160177.42	402983.81	125602.88	1307.78	502635.45	4264.7	785198.3	754167.66	648165.66	371862.77	106174.32	1091490.76	721119.69	126057.04	131619.65	20111.22	26844.05	2743.06	894466.59	226824.8	37033.82	176801.28	185483.64	1471287.93	926397.66	30	0	3107606.58	389779.41	606065.38	82206.06	320593.72	529761.77	201	51665.96	3256625.82	3111.71	20716.86	690242	231	926500.21	0	201	65035.84	61857.17	1106631.48	16182	591360.38	0	40487.85	207205	1537.33	172104.98	114498.74	201	201	19373.89	2576300.26	46968.89	354	2906.34	154809.61	501353.01	690070.63	73229.4	673924.34	80112.58	125.88	4362.2	644289.74	0
DS03P076	62922.62	903331.69	1272901.64	164678.56	9	988486.52	460896.72	104421.18	1012539.94	367378.93	6	64296.77	1400914.16	53	481754.96	1244.34	541703.16	553521.51	6428.93	178706.64	302066.94	135901.78	34975.68	104006.9	66013.3	3038.51	117	6	20869.37	2.5	30433.65	42552.82	607.67	34931.53	32	607849.92	118271.93	1744.51	24404.97	747475.4	2471.68	23	2471.68	1069345.5	1161319.78	1413934.34	251469.66	94911.32	33509.35	31483.45	72026.73	862838.22	1180083.52	198445.27	907605.03	214461.09	928334.98	93159.89	194	35888.85	3	82870.62	14857.41	189469.8	87399.79	54385.66	1388655.83	235911.06	37784.49	1251216.38	56144.64	17817.48	78250.79	4	17193.88	110114.31	249423.69	56855.41	6647.03	28056.54	48175.53	2471.68	54948.08	130776.44	68269.9	273217.76	103975.8	666153.63	37894.48	46396.88	4	2471.68	2301.2	28056.54	181702.24	4790953.58	440116.31	608.83	28863.19	311501.66	411506.2	302266.52	187518.91	79175.07	712737.26	51924.11	340627.26	108514.13	168899.74	78703.75	0	74	3955.76	25979.56	20883.37	138978.25	1771419.39	254850.03	2801.03	2471.68	0	673985.59	178478.04	948046.31	182872.37	991651.43	2	302040.98	500306.91	27607.77	53050.72	662051.57	1081230.81	150819.83	1504522.16	2303.2	0	88105.07	53	876291.02	14	567145.74	78418.89	5508.19	62155.24	184638.18	404231.09	35608.29	19399.08	524430.01	52	956975.39	892625.39	808394.17	290711.74	100911.8	1050619.86	804356.96	172414.51	142666.35	28056.54	30699.71	6060.36	1190098.66	261331.02	40159.49	292990.22	212158.05	1523213.65	1002981.86	2	0	3314312.11	548483.55	893895.25	55826.43	383268.28	506752.29	51	62755.91	3292436.34	4325.19	15200.72	1119107.86	53	1070027.69	18	51	63578.98	69313.41	1170396.8	1069.17	642722.84	0	50271.92	220584.45	7000.84	178671.47	140221.88	51	51	7463.13	2718436.68	52061.66	19.2	15343.25	167471.56	500224.75	746954.51	98121.7	678242.19	96878.83	34.4	27609.98	673209.96	0.2
DS03P237	90044.1	614352.32	1121180.36	124736.58	6	986680.09	460090.36	53526.49	1249521.77	448350.34	4	71415.31	1164118.55	12	557020.23	893.66	642743.13	400669.17	1969.35	118834.84	218264.76	288946.64	80100.82	135450.95	100242.82	4088.49	438	4	789.86	0	35850.76	63116.74	706.83	66841.2	34	492158.68	100987.88	1299.49	54021.36	847834.54	1773.32	3486	1773.32	1076076.04	1440608.05	1415348.7	271448.07	119350.86	2120.61	39684.3	113754.24	497613.25	825861.02	48790.08	886899.85	132333.63	898441.77	133818.04	657	26271.69	1	66881.14	903.07	109201.72	20789.93	30692.51	1096107.32	186485.73	10283.13	1483815.86	56587.11	1034.31	55156.56	257	727.64	35221.86	202291.68	39896.08	1597.19	45073.2	31541.93	1773.32	50342.06	66116.33	132853.79	217961.15	92135.98	545254.35	40578.99	3228.86	0.67	1773.32	1781.76	45073.2	144708.01	2941420.85	391726.63	1341.33	5468.78	288269.37	485913.87	187282.66	101972.17	174403.33	679445.56	8117.12	322888.94	65273.72	206281.96	78388.45	0	428	869.25	1939.79	782.86	190956.16	1622712.37	358515.64	32846.19	1773.32	0	713224.62	138455.82	847700.68	212760.29	1105905.58	0	209260.23	303866.9	21361.75	6169.64	603772.15	1253859.6	180770.92	931030.22	1794.26	1	73670.56	12	693727.1	11	666136.5	76879.4	5861.81	10275.24	246864.79	456474.2	20947.14	1616.57	519236.25	8.71	952747.5	928161.5	276208.37	523573.69	47421.71	1105061.3	685113.97	142781.27	183490.23	45073.2	78056.03	769.19	1052098.49	250059.71	5100.76	190391.13	394725.44	1696414.63	969576.25	0	10	3304977.32	223492.28	806547.58	5775.47	269952.09	840299.78	12	10718.07	3736358.49	32018.53	382.91	1320564.32	22	1124282.29	0	12	103144.14	70759.64	1224345.66	8420.83	792085.81	1	12432.26	235201.96	23755	173277.71	93103.01	12	12	99730.02	2795370.73	42416	1.27	1130.08	93173.89	595596.26	809369.85	85451.52	889302.21	132213.45	20.94	3461.28	761543.1	0.6
