DSmed	HSmed	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae	0.0135404761904762	0.0170007298257298	0.0145222529792189	1.19204152866925
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae	0.0111465007215007	0.0110590576090576	0.0109667568070045	0.937337595297726
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae	0.0130130952380952	0.00711143301143301	0.00897134573372964	0.91028015381055
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae	0.0100801587301587	0.00814687257187257	0.00867969387423722	0.794296541011783
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobulbaceae	0.00985119047619048	0.00584895104895105	0.00671592284134854	0.696493993969343
Bacteria|Synergistetes|Synergistia|Synergistales|Synergistaceae	0.00695119047619048	0.00695755910755911	0.00642405745699089	0.899680054606254
Bacteria|Firmicutes|Clostridia|Clostridiales|Tissierellaceae	0.0102055194805195	0.00377872405372405	0.00554931193247757	0.729189281275872
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptoniphilaceae	0.00644642857142857	0.00523026973026973	0.00553768737712236	0.629941730599369
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Unassigned	0.00108571428571429	0.00384114357864358	0.00308855657586308	0.70301518625841
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae	0.00720714285714286	0.00139447774447774	0.00296870813225302	0.466207911542304
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae	0.00509206349206349	0.00112316017316017	0.00278284043527851	0.522083085500332
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae	0.00398253968253968	0.00151328948828949	0.00260892691759565	0.273048200271078
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_Incertae_Sedis_XI	0.00371031746031746	0.002002331002331	0.00260640650199474	0.446593457261534
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae	0.00377301587301587	0.00150444832944833	0.00246408699659474	0.314303014730834
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae	0.00531031746031746	0.000391415528915529	0.00229022787927587	0.50631751490305
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae	0.00350198412698413	0.00159163059163059	0.00211956501101238	0.472021148838795
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae	0.00276547619047619	0.00108097458097458	0.00150781546884488	0.339073950037634
