E	S	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Solobacterium	0.032539354062168	0.0147610240688296	0.0216287264230827	5.94990982124692
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Unassigned	0.0087425692956912	0.00505494131871509	0.00646587589416598	1.97113596039253
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned|Saccharibacteria_genera_incertae_sedis	0.00758692152028436	0.00567976789878864	0.00638962269167672	1.88986982658289
Bacteria|Synergistetes|Synergistia|Synergistales|Synergistaceae|Fretibacterium	0.00822962180933824	0.00515871212968534	0.00634477456490031	2.04116169012541
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_Incertae_Sedis_XI|Gemella	0.00743782468316985	0.00491035550311369	0.00586320994237527	2.42979717891442
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Unassigned	0.00733413917254147	0.00489066195507057	0.00584299525998251	2.34093245080914
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Shuttleworthia	0.00598976389549184	0.00389823002304086	0.00476250273225116	1.5681125664431
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Unassigned	0.00729813248171684	0.00300245795891434	0.00467726474939241	1.6625857179348
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerostipes	0.00156364014957344	0.00662022250558447	0.00464013110447623	1.38507264089802
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellamassilia	0.00299435954894466	0.00515773577483172	0.00434388161498582	1.6222863010196
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus	0.00547129739676281	0.00285619002284699	0.00389471043799825	1.52477846028953
Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Granulicatella	0.00389680865753643	0.00392493689336138	0.00388572544469686	1.42378297377674
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Caviibacter	0.00502114854890094	0.00259647991955634	0.0035650553574559	1.2175489062877
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Unassigned	0.00406117689922049	0.00317653064003295	0.00347648629187539	1.42635209087563
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Selenomonas	0.00611026630178235	0.00176500517128778	0.0034641166729005	1.4172851254766
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Lautropia	0.00275577646078182	0.00354359618337374	0.00318975502378294	1.68544103486754
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella	0.00506860940719372	0.00188111937577468	0.0031111012506058	1.02033075580332
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae|Abiotrophia	0.000208611206642854	0.00431066472032233	0.0027018304789405	1.39313976922611
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Comamonas	0.00471157771673048	0.00130934086065503	0.0026517490453066	0.819546365228628
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	0.000949978711893257	0.00359682676647981	0.00253424919484606	1.16463670786684
Bacteria|Proteobacteria|Gammaproteobacteria|Cardiobacteriales|Cardiobacteriaceae|Cardiobacterium	0.00464037855318528	0.00104513491417514	0.00243853131313407	1.45649658156303
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Dialister	0.00254185324827767	0.0022352163397671	0.0023560181586259	1.1946252897092
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium	0.00233385119282434	0.00229582328889612	0.00230326089641657	1.36981769670032
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Eikenella	0.0034397354777606	0.00157032835550308	0.00228918743292813	1.39858337961353
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Schaalia	0.000193523384344363	0.00365657569790631	0.00227556282051819	1.20103304191722
Bacteria|Firmicutes|Clostridia|Clostridiales|Unassigned|Unassigned	0.00301047072598831	0.00177483312083002	0.0022562237675688	1.33929967388342
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Elizabethkingia	0.00251599835994686	0.0019653210080606	0.0021731439071401	1.1605351158449
Bacteria|Firmicutes|Clostridia|Clostridiales|Tissierellaceae|Unassigned	0.00303863788533221	0.00151956825362721	0.00207753531962467	1.21649143399127
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Pseudescherichia	0.00170441550016572	0.00207318905787138	0.00193121618125941	0.936503217941513
