E	S	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Solobacterium	0.0237751309977318	0.0254896505555138	0.0246066867590082	5.7939360898644
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_Incertae_Sedis_XI|Gemella	0.0126365335723317	0.00573836310577294	0.00856087245666827	3.61004991250525
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Eikenella	0.00486260850853473	0.00694040610197165	0.00597287227265703	2.02673923667406
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Unassigned	0.00155653948741732	0.00932716136261642	0.00596199902411384	1.60286279076176
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria	0.0021532814054438	0.00763079095471717	0.00526532477915504	2.54896276145325
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Corynebacteriaceae|Corynebacterium	0.00393205237858318	0.00403077016804123	0.00395940575526181	1.49442707268181
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Lautropia	0.00595882533334006	0.00248736396718931	0.00395473107013101	2.15469998682493
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus	0.00476802906766231	0.00193259789496389	0.00313210634910003	1.86066171396916
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	0.00183249701045583	0.00397580166748389	0.00304321060703992	1.94406624106615
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola	0.00232655211383161	0.00350778833597911	0.00295484876662614	0.980476765168471
Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax	0.00383274174088625	0.00161927508166698	0.00251651405934965	1.00525164060755
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Unassigned	0.00381925367871663	0.00154821091877912	0.00248159149341123	1.87803976942887
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Unassigned	0.00374012535415608	0.0014678771743459	0.00239376816826163	1.33757968824124
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Unassigned	0.00151971875615325	0.0030755078625294	0.00235705435666576	0.880927678095901
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Caviibacter	-0.00110576710967845	0.0044393167471248	0.00203541135567413	0.88865450824423
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned|Saccharibacteria_genera_incertae_sedis	0.00447578032423911	0.000297728706337819	0.00199918351953276	1.87046475708634
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella	0.00432460869207438	0.000198098408860622	0.00192096667768323	1.85362899843507
Bacteria|Firmicutes|Clostridia|Clostridiales|Vallitaleaceae|Vallitalea	0.000871976110644744	0.0026446876155388	0.00187120529633809	1.01790514197696
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Johnsonella	0.00118357367931788	0.00250983812821764	0.00186421889632097	0.901022998442721
