DS	HS	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus	0.0333116439116439	0.0256557080733164	0.0279686457045865	2.09432425146421
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella	0.0107770590520591	0.0108847612312009	0.0106416437130238	1.36093796237333
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella	0.00819587079587079	0.00900803389506949	0.00839596789845784	0.863865530514528
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Stomatobaculum	0.00943677433677434	0.0072678391912525	0.00773972011101285	1.16878806789194
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia	0.00422595182595183	0.0087737182408235	0.00712267353439296	1.20955383608573
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Schaalia	0.00421167721167721	0.00689292863849331	0.00535997898671389	0.907931084032683
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Catonella	0.00413240370740371	0.00594453538377687	0.00504903256107194	0.73679205903865
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Enterocloster	0.00284688644688645	0.00531627479847294	0.00419515445507195	0.441919449411886
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Leptotrichia	0.00130578033078033	0.00484605466772649	0.00337671659198834	0.942607971459579
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Johnsonella	0.000404412254412254	0.0055701464943725	0.00333256071230173	0.694472814702151
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Selenomonas	0.0021751332001332	0.00405776794584844	0.00314128731486867	0.532690124682058
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Unassigned|Unassigned	0.000380674880674881	0.00494839804158689	0.00313305694430507	0.538600501014242
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Treponema	0.0029532523032523	0.00331742660765746	0.00290874797390985	0.722573461621641
Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax	-0.00013547286047286	0.00411730159245639	0.00257892494381625	0.292613545496818
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Centipeda	0.00076941946941947	0.00357344666857051	0.00253051605094334	0.472910932596296
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium	0.00313997946497946	0.00237618704114868	0.00249420535422557	0.623128787786451
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Lautropia	0.00143597791097791	0.00352555638805639	0.00246245585443486	0.675342808087123
Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Granulicatella	0.000769092019092019	0.00341223277496497	0.00243109835948328	0.680620280089053
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptoniphilaceae|Parvimonas	-0.000412673437673438	0.00413767186545824	0.00236652262956182	0.312716315182342
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Filifactor	0.00306169941169941	0.00203781473944013	0.00234074927634895	0.301248239305697
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellamassilia	7.29326229326228e-05	0.00358514628664884	0.00232140794561146	0.563450649103826
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria	0.00100388222888223	0.00260503722283908	0.00202905569318968	0.571907353929997
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Cutibacterium	0.00136154123654124	0.00245838306000845	0.00199622112102661	0.18122856449686
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Kingella	0.00139113664113664	0.00247625362253845	0.00183853906988879	0.302111812260928
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Lampropedia	0.000439427239427239	0.00252155303416913	0.00181759445368891	0.148543785090286
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium	0.00164389221889222	0.001984161667366	0.00178653454040599	0.341409187786743
