DS	HS	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus	0.022807831057831	0.0168343875079169	0.0185531466126028	1.49632545658421
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Johnsonella	0.0175644993894994	0.0113501124391604	0.0136458464785723	1.54113231557142
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Treponema	0.00711484903984904	0.0059984698265271	0.00627300328385319	0.839087022156176
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellamassilia	0.00656359196359196	0.00643405266044585	0.00619353828952464	0.850208754715155
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Unassigned	0.00886622821622822	0.00360444836810936	0.00553631656932691	0.879422402865304
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiliaceae|Saccharicrinis	0.00868939948939949	0.00211254013873983	0.00467410451641505	0.676841331315107
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella	0.00607625985125985	0.00387264316351004	0.00432960373304603	0.780650156665278
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium	0.00842031024531024	0.00219538037641753	0.00427524089860333	0.764212320475188
Bacteria|Synergistetes|Synergistia|Synergistales|Synergistaceae|Fretibacterium	0.00480905205905206	0.00383866219349966	0.00424100686076174	0.438806380969703
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Centipeda	0.00280185508935509	0.0039510299727792	0.00326035054028835	0.642766822411836
Bacteria|Firmicutes|Clostridia|Clostridiales|Vallitaleaceae|Vallitalea	0.00250015262515263	0.00316976373299903	0.00304774531020882	0.578065574608225
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Moraxella	0.0058524864024864	0.00153814145091235	0.00300938652108067	0.403688809462006
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Unassigned|Unassigned	0.00330633533133533	0.0025625275567226	0.00298495518339097	0.585041521070857
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobulbaceae|Desulfobulbus	0.00381730769230769	0.00240350463519968	0.0028879667847284	0.496979612414792
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium	0.00261477966477967	0.00213382395038742	0.00225164928996263	0.409300965487179
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Unassigned	0.00252010212010212	0.00203304632244261	0.00223658432466528	0.477170876932252
Bacteria|Firmicutes|Clostridia|Clostridiales|Unassigned|Unassigned	0.00196671384171384	0.00200974688795896	0.00198452788507794	0.489249901533292
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria	0.00267701187701188	0.00153963906750284	0.00182469210092729	0.410207787476928
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Leptotrichia	-0.000360897435897436	0.00261488480559688	0.00163260126109642	0.61308795518208
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia	0.000392579642579643	0.00230501805985552	0.00159447667582753	0.443102990606698
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Ralstonia	0.00292421467421467	0.000785386465959221	0.0015831567467306	0.397269294417138
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Aggregatibacter	0.000808646908646909	0.00210481931639052	0.00155329782157334	0.404682068222657
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptoniphilaceae|Parvimonas	0.00235458430458431	0.00104831814212619	0.00145906994617807	0.525371923333175
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola	-0.00121709262959263	0.00309463637068126	0.00136687415601603	0.325827001340353
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Caviibacter	0.0011741452991453	0.00143353117470764	0.0013375799021901	0.283315223866143
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Dysgonomonadaceae|Dysgonomonas	0.00157156454656455	0.00103444724779864	0.00119229590388511	0.374014336934118
Bacteria|Proteobacteria|Gammaproteobacteria|Cardiobacteriales|Cardiobacteriaceae|Cardiobacterium	0.001127886002886	0.00109230412260598	0.00111446644670783	0.340133684601638
Bacteria|Proteobacteria|Betaproteobacteria|Rhodocyclales|Rhodocyclaceae|Propionivibrio	0.000508627483627484	0.00140598229170211	0.00103678119024801	0.249705874661044
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Unassigned	0.00281608946608947	0.000116427982062657	0.00101805979655305	0.387196169378296
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Williamwhitmaniaceae|Williamwhitmania	0.00134401154401154	0.000814013703874385	0.000940470460788358	0.133301202891516
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Unassigned	0.000949034299034299	0.000883612831097351	0.000908151350565144	0.180787910124637
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Metaprevotella	0.00213902625152625	0.000172752569927492	0.000900443857880139	0.228271558949263
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcus	0.00211580086580087	9.25961723175345e-05	0.000865641830622549	0.37121872168454
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Lautropia	0.000586915861915862	0.00103581598140422	0.000796017604090886	0.290272965173605
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Anaeroglobus	-0.000524303474303474	0.00148706277382748	0.000792849008637807	0.237605637610244
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Megasphaera	0.00169818237318237	4.43073294617916e-05	0.000759323080753172	0.252482337591138
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella	0.000451681651681652	0.000895099207637907	0.000732241280811189	0.2661953460822
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Schaalia	9.12448662448662e-05	0.00127396873851982	0.000706352455917673	0.215385093781477
Bacteria|SR1|Unassigned|Unassigned|Unassigned|SR1_genera_incertae_sedis	0.000369108669108669	0.000904016404132503	0.00066142633034687	0.220081420103557
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Unassigned	-0.00014521312021312	0.00106772712581536	0.000603557436788321	0.230543806343394
Bacteria|Firmicutes|Clostridia|Clostridiales|Tissierellaceae|Unassigned	0.000451789876789877	0.00053934331492381	0.000535261460719127	0.314072210453435
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Bulleidia	0.000266630591630592	0.000506016407912693	0.000451526554638683	0.177821964763218
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio	0.000803454878454878	0.000264095523499548	0.000403326694406155	0.155656740025195
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Cutibacterium	0.000274975024975025	0.000378075987480012	0.000385942184862725	0.0850912432778717
