DS	HS	MeanDecreaseAccuracy	MeanDecreaseGini
ASV_12	0.0115457514707515	0.00987980517504511	0.0102345385408725	0.909151148763043
ASV_93	0.00640000832500832	0.00820401890850807	0.00730915018376038	0.646608605983105
ASV_299	0.00876986901986902	0.00506478298962819	0.00646785385307124	0.656885450290819
ASV_533	0.00286524864024864	0.00725810716201583	0.00530953166405529	0.457235492345104
ASV_325	0.00354958374958375	0.00513881765379443	0.00437353300270004	0.375629331595521
ASV_20	0.00500440115440115	0.00374610503016076	0.0040741912831156	0.57631789590876
ASV_1126	0.00365498667998668	0.0038424704767197	0.00361212989288657	0.422776060865179
ASV_951	0.00343143523143523	0.00358013540896668	0.00343013228733619	0.384573089614944
ASV_577	0.00345725108225108	0.00309582865534878	0.00295879683880828	0.293609140821869
ASV_456	0.0028237123987124	0.00270846275757266	0.00263880889537972	0.257845832723707
ASV_55	0.00373116883116883	0.00173914027149321	0.00251530018824809	0.324201106619747
ASV_42	0.00120908813408813	0.00339779934827889	0.00242871838394264	0.238538053210325
ASV_77	0.00145975135975136	0.00311478796830964	0.00234564101565601	0.394079895200353
ASV_870	0.0015983016983017	0.00243558717684105	0.00215603791067059	0.270975504161546
ASV_339	0.00188909423909424	0.00226506948933419	0.00213684924849211	0.213335048447111
ASV_63	0.00238097458097458	0.00187698006328037	0.00210506531116726	0.205082919180575
ASV_379	0.00159129204129204	0.00236618365294836	0.00205249271494438	0.201101271015196
ASV_36	0.00176606171606172	0.00192260876378523	0.00192672206714935	0.274212980959881
ASV_239	0.00228107864357864	0.0018649969311734	0.00189473442932214	0.219538623343382
ASV_180	0.00399772727272727	0.000564902190173088	0.00175052851737634	0.218916321397896
ASV_311	0.00181432178932179	0.00185189844984737	0.00174936809685488	0.235015230425812
ASV_82	0.0037208263958264	0.000466363211951447	0.00159570695809826	0.311361792999225
ASV_2	0.00115609668109668	0.00183780581733368	0.00158347416588835	0.200201863402948
ASV_5	0.00253588078588079	0.000968650793650794	0.00157897757248582	0.348859495931177
ASV_74	0.00177567155067155	0.00128320447612243	0.00151693668670769	0.367759185853759
ASV_277	0.00113374125874126	0.00176077713136537	0.00145574498119081	0.208718948516846
ASV_37	0.00166305916305916	0.0013023076167039	0.00138169428657604	0.211128509036412
ASV_95	0.00183922466422466	0.000982936507936508	0.00131466160553867	0.135498101626514
ASV_753	0.00150081168831169	0.00126935841935842	0.00129961262875056	0.1840418738863
ASV_90	0.00116728826728827	0.00124837066098676	0.00126043535771797	0.192005003193245
ASV_83	0.00089982794982795	0.00139447274861362	0.00122010095074563	0.286947439864143
ASV_708	0.00132222222222222	0.00126865079365079	0.00121904358968432	0.156165376107237
ASV_84	0.00121038961038961	0.00124041903658777	0.00120245092370618	0.216049362875264
ASV_62	0.00132979797979798	0.00110492530345472	0.00115811380246163	0.0947101790737041
ASV_160	0.00235461482961483	0.000267750898052756	0.00115470926319502	0.230554889195113
ASV_25	0.00144303751803752	0.0010888431013431	0.001145554715982	0.170482342513374
ASV_149	0.00076475468975469	0.00132017359575409	0.00112819190388156	0.214367489330308
ASV_438	0.00227294094794095	0.000404021223874165	0.00110733489700675	0.143838833553417
ASV_348	0.00141147186147186	0.00100025676937442	0.00109802887655961	0.158354171020847
ASV_115	0.000853535353535354	0.00137817639876463	0.00106015718954644	0.220450853142134
ASV_830	0.00103162393162393	0.00090372554002585	0.00104177359122919	0.113910303978431
ASV_58	0.00153742368742369	0.000755669575522517	0.000988623821899684	0.113171592023868
ASV_6	0.000902777777777778	0.00106896698073169	0.000986861302116175	0.103119605974326
ASV_47	0.00145169552669553	0.000682580225072485	0.000977544286464826	0.201282780074402
ASV_22	0.000752331002331002	0.000969650159781738	0.000884247999225116	0.195750893809023
ASV_48	0.00148939393939394	0.000356670127258362	0.000842948704688573	0.232048116990107
ASV_363	0.00105079365079365	0.000814670868347339	0.000833082939604679	0.136935235939093
ASV_694	0.000734559884559885	0.000914903066489754	0.000830963627965127	0.0801117540947729
ASV_163	9.21966921966922e-05	0.00134798728533249	0.000814452218022126	0.188795587514524
ASV_215	0.00123943001443001	0.000582475183055679	0.000780331722528124	0.14743329811705
ASV_466	0.000748218448218448	0.000780648311956362	0.000770894403503099	0.0730563227771563
ASV_252	0.000908766233766234	0.000570666626974677	0.000735005227419415	0.0538925922232637
ASV_319	0.000451898101898102	0.000833187134502924	0.000696171757056315	0.0989765105812677
ASV_761	0.00126994949494949	0.000354263791763792	0.000692239869631174	0.0961540596463995
ASV_903	0.0010738344988345	0.00054499852572608	0.000686307599405426	0.189166042858766
ASV_56	0.000234451659451659	0.00105116148041845	0.000685461229168323	0.158521153924692
ASV_495	0.000442099567099567	0.000751125976706472	0.000641157353113875	0.0878041789020016
ASV_323	0.00066529304029304	0.000629380341880342	0.000637985737123668	0.0569132718403313
ASV_114	0.000658430458430458	0.000641836772207616	0.000633777013075751	0.133489364862159
ASV_116	0.00108374125874126	0.000329808731859815	0.000609468309468309	0.110894842589184
ASV_73	0.00132611555111555	0.00012621734990156	0.000604532391923696	0.135832434928794
ASV_197	0.000689010989010989	0.000570026215614451	0.000602851657199483	0.152071373680211
ASV_1140	0.000226587301587302	0.000915470232381997	0.000597552930161626	0.126362218961569
ASV_97	0.000378871128871129	0.000782618215977349	0.000584519018656949	0.0767080566995871
ASV_140	0.000646367521367521	0.000488492063492063	0.000575642763034067	0.093081436879638
ASV_659	0.000552045177045177	0.000602006997130836	0.000575378123867826	0.0857742952235584
ASV_204	0.000463661338661339	0.000619686234817814	0.000569111789134672	0.0416490676199654
ASV_92	0.00115384615384615	0.000212435500515996	0.000564091778896876	0.0530962363347262
ASV_81	0.000390873015873016	0.000665665766981556	0.000560969556423277	0.0787430320730214
ASV_267	0.00111785714285714	0.000395254277026723	0.000554597141988446	0.074069759767218
ASV_151	0.000866666666666667	0.00030890522875817	0.000518601398601399	0.044610807522371
ASV_17	0.000678846153846154	0.000348084268672504	0.000514521509086727	0.0443979857965822
ASV_282	0.000682575757575757	0.000402214860303095	0.000512874439403675	0.12258165137897
ASV_131	0.000375	0.000624593724129328	0.000512218892218892	0.0459889225841585
ASV_1165	0.000280988455988456	0.000583864071944567	0.000487525818620271	0.0977596028892342
ASV_534	0.000646367521367521	0.000451890142021721	0.000486535303776683	0.0514900434635157
ASV_472	0.000484188034188034	0.000513030738611234	0.000476139601139601	0.0411742372101174
ASV_831	0.000273088023088023	0.000606186868686869	0.000473739132209897	0.0849063457069581
ASV_315	0.000754040404040404	0.000331045751633987	0.000469151884819051	0.0877264743765294
ASV_14	0.000320512820512821	0.000521206816059757	0.000467294927294927	0.0694034764195967
ASV_161	0.00137150072150072	-5.84383753501401e-05	0.000458698185872099	0.0683143753494154
ASV_1118	0.000392532467532468	0.000505637254901961	0.000456051541051541	0.045473170938398
ASV_127	0.000381385281385281	0.000476746778333466	0.000455868093259398	0.0725500797968841
ASV_236	0.00137979797979798	-9.61978381096028e-05	0.000442574020182716	0.102538751379222
ASV_684	0.000507575757575758	0.000403000594177065	0.000441108521108521	0.0428612228721564
ASV_196	0.000585714285714286	0.000353311965811966	0.00043866640605771	0.0605434855499729
ASV_13	0.00053968253968254	0.000323863958538881	0.000436535246771576	0.100119197335737
ASV_1100	0.000436111111111111	0.000455822363910599	0.000435081585081585	0.0417825275418506
ASV_1138	0.000384992784992785	0.000500501253132832	0.000430503336147619	0.122880349779903
ASV_302	0.00129835164835165	-8.77923976608187e-05	0.000426769896769897	0.0688118370367042
ASV_69	3.05555555555556e-05	0.000614957264957265	0.000406444240658827	0.0489808824755287
ASV_416	0.000306818181818182	0.000464102564102564	0.000406222557399028	0.0382361154669662
ASV_79	0.000271789321789322	0.000466917293233083	0.000387381837164446	0.0634719369644403
ASV_881	0.0011004329004329	-4.99389499389499e-05	0.00038387151453513	0.0755735836778134
ASV_842	0.000563203463203463	0.000400292397660819	0.000375169968919969	0.0722366531866428
ASV_840	0.000473484848484848	0.000384374775551246	0.000363032837837935	0.0664545522621447
ASV_122	0.000252081252081252	0.000480830280830281	0.000352857936111309	0.0550284522672706
ASV_9	0	0.000578863211951447	0.000352294187294187	0.0416563242828587
ASV_944	0.000258741258741259	0.000429166666666667	0.000347920227920228	0.0134001870936672
ASV_422	-0.000169444444444444	0.000733545986177565	0.000344371467968943	0.0839987070514314
ASV_75	0.00046463258963259	0.000305567226890756	0.000339031339031339	0.067803229912519
ASV_759	0.000100757575757576	0.000420050125313283	0.000327616339039901	0.0686347557753286
ASV_231	0.000676190476190476	0.000139423076923077	0.000326825396825397	0.0601571628054034
ASV_310	-0.000418253968253968	0.000839863894275659	0.000326779558553752	0.0654937809038327
ASV_506	0.000363636363636364	0.0002625	0.000326293706293706	0.0202839411703862
ASV_496	0.000308333333333333	0.000317156862745098	0.000323717948717949	0.0301749506604003
ASV_172	-0.000189010989010989	0.000574101307189542	0.000312258059004686	0.0533964857597643
ASV_1000	-1e-04	0.000575169683257919	0.000310952380952381	0.0252240293040293
ASV_150	0.000177272727272727	0.000381726138498584	0.00030648011408881	0.0596408338948732
ASV_293	0.000354700854700855	0.00027718253968254	0.000306104121321513	0.0313411647806385
ASV_265	0.000388888888888889	0.000233972563384328	0.000302858735467431	0.0687958923332228
ASV_176	0.000313492063492064	0.000274740537240537	0.000302188552188552	0.0811395055041832
ASV_174	0.000678846153846154	5.97421154696696e-05	0.000300429666119321	0.08430438362832
ASV_200	0.000356421356421356	0.000252287581699346	0.000291015517327361	0.101745428872566
ASV_1208	0.000458333333333333	0.000229554655870445	0.00029048174048174	0.0249277246283129
ASV_530	9.71001221001221e-05	0.000346218487394958	0.000287971728421504	0.0408100421561712
ASV_616	0.000154029304029304	0.000451432880844646	0.00028622392100653	0.0777285297689427
ASV_427	0.000703740703740704	0.000136584249084249	0.000285032340460594	0.0292485263665529
ASV_8	7.57575757575758e-06	0.000473607661688157	0.000281402116402116	0.0535789913373713
ASV_652	0.00025	0.000350980392156863	0.000279074074074074	0.0172990708478513
ASV_164	0.000784498834498834	3.59367971210076e-05	0.00027874891614022	0.0755080060743801
ASV_852	-1.51515151515152e-05	0.000442752100840336	0.000277050376188307	0.0938107475722278
ASV_18	0.000198484848484848	0.00031135290148448	0.000274676472952335	0.0378951753377692
ASV_50	0.000138888888888889	0.000399007936507936	0.00027355629877369	0.0355790075561511
ASV_303	0.000246969696969697	0.000248955108359133	0.000272435897435897	0.0460903765979821
ASV_21	0.000402777777777778	0.000217796092796093	0.000270685704156469	0.0519478727854495
ASV_996	0.000270573870573871	0.000148412698412698	0.000265572224710156	0.0914644794635407
ASV_189	0.000111111111111111	0.000375	0.000258571428571429	0.0183414080758503
ASV_1119	0.000405011655011655	0.000180065359477124	0.000255496098104794	0.0573039353725078
ASV_297	0.000106410256410256	0.000377960051644262	0.000254492578608021	0.0608972939637672
ASV_294	0.000242857142857143	0.000264035087719298	0.000253158508158508	0.0222668689180131
ASV_437	0.000111111111111111	0.000340750915750916	0.000251666666666667	0.016016810966811
ASV_401	0.000579065379065379	6.43584356819651e-05	0.00024935419652811	0.036114592079153
ASV_635	0.000213095238095238	0.000265236620964175	0.000247283714675019	0.0431087310664979
ASV_375	0.000276923076923077	0.000189075630252101	0.00024448275862069	0.0215552795031056
ASV_301	0.000151587301587302	0.000258333333333333	0.000243589743589744	0.0363029578455259
ASV_107	9.08119658119658e-05	0.000329919160646715	0.000242002625061096	0.0907545282068418
ASV_31	0.000453968253968254	0.000155054302422723	0.00024035816035816	0.0492556062385638
ASV_897	-2.77777777777778e-05	0.000437246963562753	0.00024	0.0119123222772651
ASV_342	-0.000399242424242424	0.000628931302615513	0.000226424188837982	0.126028243459882
ASV_181	0.000292832167832168	0.000188034188034188	0.000225964912280702	0.0385835869970003
ASV_1153	0.000211111111111111	0.000225541795665635	0.000225286935286935	0.0539284251631057
ASV_124	8.45959595959596e-05	0.000296703296703297	0.000221264367816092	0.0234571428571429
ASV_382	2.49750249750047e-08	0.000361584249084249	0.000219737219302437	0.0420158521510228
ASV_168	-3.17460317460317e-05	0.000344642857142857	0.00021375333700671	0.0407589997394054
ASV_179	0.000115151515151515	0.000319570135746606	0.000212190217190217	0.043844536251161
ASV_11	0.000413492063492063	0.000126776878092668	0.00021032884142724	0.0361257487696123
ASV_291	0.000475	7.36111111111111e-05	0.00021006550920344	0.0170715669988926
ASV_171	0.000190909090909091	2e-04	0.000208916083916084	0.0344638560146264
ASV_41	1e-04	0.0002625	0.000208494983277592	0.0107376858204688
ASV_615	0	0.000336385836385836	0.00020846142585273	0.0171632080200501
ASV_225	0.000222222222222222	0.000202413273001508	0.000208333333333333	0.0265490410896293
ASV_67	0.000284188034188034	0.000207070135746606	0.000208321053148639	0.0455949452450034
ASV_26	-1.78571428571428e-05	0.000310504201680672	0.00020695652173913	0.0385974158558637
ASV_595	-1.66666666666667e-05	0.000304752454288058	0.000202838476976408	0.0391854247400004
ASV_219	0.000242857142857143	0.0001875	0.000202341137123746	0.0138366174539991
ASV_85	0.000218614718614719	0.000164913273001508	0.000202012183087698	0.0543704865568291
ASV_475	-0.000266666666666667	0.00045840074957722	0.000201468531468531	0.0425109763102752
ASV_594	0.000125	0.000249206349206349	0.000200529542920847	0.0165087719298246
ASV_309	0.000858008658008658	-0.000284203296703297	0.000197566579957884	0.0495577826761498
ASV_945	-1.52777777777778e-05	0.00034640522875817	0.000195384615384615	0.0164010156510157
ASV_886	0.000133333333333333	0.00023015873015873	0.000195033523980892	0.0491713659838335
ASV_214	9.09090909090909e-05	0.000253968253968254	0.000194074074074074	0.0146246174802209
