D	I	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus	0.0213892857142857	0.0301928571428571	0.022698556998557	0.793391303012433
Bacteria|Campilobacterota|Campylobacteria|Campylobacterales|Campylobacteraceae|Campylobacter	0.00754761904761905	0.0153	0.0087300505050505	0.482027136511579
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Tannerella	0.00488571428571429	0.0106333333333333	0.00646948051948052	0.405025898087121
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Selenomonas	0.00375238095238095	0.0102333333333333	0.00627972582972583	0.318189576934933
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas	0.00151666666666667	0.00371666666666667	0.00246525974025974	0.219873790115973
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_Incertae_Sedis_XI|Gemella	0.00250119047619048	0.000366666666666666	0.00193268398268398	0.16315896195308
Bacteria|Proteobacteria|Gammaproteobacteria|Cardiobacteriales|Cardiobacteriaceae|Cardiobacterium	0.00209285714285714	0.00183333333333333	0.00178445165945166	0.151583380027265
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella	6.9047619047619e-05	0.00362619047619048	0.00166908369408369	0.216618087141617
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Schwartzia	0.00134166666666667	0.00158333333333333	0.00150515873015873	0.217929701799748
Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Granulicatella	0.00171666666666667	2e-04	0.00138524531024531	0.256336364779012
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Johnsonella	0.00200952380952381	0.00233333333333333	0.00132709235209235	0.334137660301515
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola	0.0019547619047619	0.00161666666666667	0.001298556998557	0.196989890699256
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium	0.000408333333333333	0.00176547619047619	0.00124650072150072	0.214198483150761
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lacrimispora	0.00023968253968254	0.00356666666666667	0.00124292929292929	0.0654434630728748
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Solobacterium	0.00145595238095238	-3e-04	0.00100793650793651	0.135431886577475
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Raoultella	0.000957142857142857	0.000583333333333333	0.000978968253968254	0.0872098198413214
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium	0.000210714285714286	0.00186666666666667	0.000836471861471861	0.16740320137379
Bacteria|SR1|Unassigned|Unassigned|Unassigned|SR1_genera_incertae_sedis	0.000223809523809524	0.00136666666666667	0.000830952380952381	0.108185046394954
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Corynebacteriaceae|Corynebacterium	-1.19047619047621e-05	0.00113333333333333	0.000649206349206349	0.242329164617632
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Unassigned	0.000656746031746032	0.00103333333333333	0.000570093795093795	0.133939250214869
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Kingella	0.000219047619047619	0.00215	0.000542496392496392	0.135049994647595
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria	0.000614285714285714	0.00115	0.000535786435786436	0.126191402457192
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium	0.000408333333333334	0.00103333333333333	0.000524134199134199	0.185929510333148
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Megasphaera	0.000807142857142857	0.00025	0.000443253968253968	0.0457639444748578
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoanaerobaculum	0.000923809523809524	4e-04	0.000418686868686869	0.0857689482086541
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Leptotrichia	0.000223809523809524	-6.66666666666667e-05	0.00039047619047619	0.178332423123832
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Arachnia	-0.000825	0.00156666666666667	0.000302886002886003	0.150579278624712
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Metaprevotella	0.00113452380952381	-0.000783333333333333	0.000247222222222222	0.0871608685174474
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Unassigned	-0.000102380952380952	0.000416666666666667	0.000180050505050505	0.0694633929452041
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Enhydrobacter	0.000276190476190476	3e-04	0.000142857142857143	0.0362815971610089
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella	0.000166666666666667	5e-05	0.000134090909090909	0.0384463298139769
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus	0	0	0	0.0244584679510376
Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus	0	0	0	0.00986007978090021
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1|Clostridium_sensu_stricto	0	0	0	0.0236142702155086
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Syntrophococcus	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Holdemania	0	0	0	0.00962289377289377
Bacteria|Unassigned|Unassigned|Unassigned|Unassigned|Unassigned	0	0	0	0.0123691849086586
Bacteria|Synergistetes|Synergistia|Synergistales|Synergistaceae|Fretibacterium	-6e-04	0.000833333333333333	-3.13131313131313e-05	0.0543684038184038
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptoanaerobacter	0.00024047619047619	-5e-04	-3.56782106782107e-05	0.120828053619927
