D	H	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Lautropia	0.00558333333333333	0.0011952380952381	0.00192103174603175	0.247246758581975
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae_1|Peptococcus	0.00433333333333333	0.00111904761904762	0.00178095238095238	0.107908206825854
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Unassigned	0.00383333333333333	0.00116666666666667	0.00177222222222222	0.198302080762375
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Solobacterium	0.00116666666666667	0.00164761904761905	0.00163968253968254	0.219460930701565
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcus	0.00133333333333333	0.00108690476190476	0.00128769841269841	0.0727567263747604
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus	0.00433333333333333	0.000511904761904762	0.00107777777777778	0.123110849118202
Bacteria|Tenericutes|Mollicutes|Mycoplasmoidales|Metamycoplasmataceae|Metamycoplasma	0.00541666666666667	0.000318650793650794	0.00104202741702742	0.221616797255032
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	0.0035	-4.64285714285715e-05	0.000924206349206349	0.201966716616717
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Centipeda	0.00316666666666667	2.06349206349206e-05	0.00083502886002886	0.217184393006374
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Unassigned	-5e-04	0.00109087301587302	0.000813492063492063	0.0989457411869176
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Aggregatibacter	0	0.000633333333333333	0.000584126984126984	0.0887601631512622
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiliaceae|Saccharicrinis	0.00316666666666667	0.00011547619047619	0.000516305916305916	0.183093453364661
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia	0.001	0.000416666666666667	0.000458333333333333	0.0199967532467532
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_Incertae_Sedis_XI|Gemella	-0.000666666666666667	0.000485714285714286	0.000447619047619048	0.073013485920684
Bacteria|Campilobacterota|Campylobacteria|Campylobacterales|Campylobacteraceae|Campylobacter	0.00116666666666667	0.000253968253968254	0.000405555555555556	0.0983220273534515
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium	0.00025	0.000237698412698413	0.000351587301587302	0.0496446986450082
Bacteria|Firmicutes|Clostridia|Clostridiales|Vallitaleaceae|Vallitalea	5e-04	0.000342063492063492	0.000323412698412698	0.148383069544834
