D	I	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus	0.0120333333333333	0.0102611111111111	0.00920126262626263	0.54671224114095
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Chryseobacterium	0.00548333333333333	0.00992896825396826	0.00743546176046176	0.269369002569498
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Lautropia	0.00361666666666667	0.0087452380952381	0.00623874458874459	0.334316388728231
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria	0.00526666666666667	0.00780714285714286	0.00605670995670996	0.263478344056745
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellamassilia	0.00495	0.00718809523809524	0.00549729437229437	0.450311273970268
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Kingella	0.00327380952380952	0.00647619047619048	0.00458770951270951	0.297463180928119
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia	0.0047952380952381	0.00398571428571429	0.00415007215007215	0.292517959192809
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas	0.00615238095238095	0.00339404761904762	0.00364707792207792	0.280897043300099
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio	0.00261666666666667	0.00365952380952381	0.00312507215007215	0.223493185029625
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella	0.00165	0.00421190476190476	0.00280180375180375	0.274589952716702
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	0.00343571428571429	0.00299206349206349	0.002620670995671	0.290510484938178
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola	0.00291190476190476	0.00355714285714286	0.0025748556998557	0.286206270940961
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_Incertae_Sedis_XI|Gemella	0.00217619047619048	0.00309047619047619	0.00248708513708514	0.255156631914622
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Anaeroglobus	0.00320952380952381	0.0015952380952381	0.00240753968253968	0.180365237251569
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Filifactor	0.00247857142857143	0.00164166666666667	0.0018711038961039	0.15698184235613
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Unassigned	0.00283333333333333	0.00140238095238095	0.00158614718614719	0.276758526243278
Bacteria|Synergistetes|Synergistia|Synergistales|Synergistaceae|Fretibacterium	0.0025	0.00113333333333333	0.00148098845598846	0.202739125030456
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII|Aminipila	0.000833333333333333	0.00123809523809524	0.00138611111111111	0.0766522465924169
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Unassigned	-0.000533333333333333	0.00249404761904762	0.00134848484848485	0.089899017824281
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcus	0.000709523809523809	0.00121904761904762	0.00114693362193362	0.209449948340273
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Unassigned	-0.000616666666666667	0.00233214285714286	0.00114004329004329	0.154798329755899
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Schaalia	0.00085952380952381	0.00130833333333333	0.00104148629148629	0.166472391724203
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae|Abiotrophia	-0.000683333333333333	0.00279285714285714	0.00101702741702742	0.134860694786809
