num	err.mean	err.1	err.2	err.3	err.4	err.5	err.6	err.7	err.8	err.9	err.10
547	547	0.284	0.28	0.36	0.28	0.24	0.28	0.24	0.28	0.24	0.28	0.36
274	274	0.284	0.28	0.36	0.28	0.24	0.24	0.28	0.28	0.24	0.28	0.36
137	137	0.26	0.24	0.28	0.28	0.24	0.2	0.24	0.28	0.2	0.24	0.4
68	68	0.272	0.24	0.28	0.28	0.24	0.24	0.36	0.28	0.24	0.24	0.32
34	34	0.256	0.2	0.28	0.32	0.28	0.24	0.28	0.24	0.2	0.2	0.32
17	17	0.3	0.28	0.32	0.4	0.32	0.24	0.32	0.28	0.24	0.28	0.32
9	9	0.308	0.28	0.4	0.4	0.32	0.24	0.32	0.28	0.28	0.28	0.28
4	4	0.312	0.36	0.36	0.32	0.32	0.24	0.4	0.24	0.24	0.36	0.28
2	2	0.352	0.4	0.4	0.36	0.36	0.32	0.4	0.24	0.32	0.4	0.32
1	1	0.292	0.24	0.44	0.32	0.32	0.2	0.28	0.32	0.28	0.24	0.28
