D	H	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales	0.0111166666666667	0.00799729437229437	0.0091770313020313	0.5999994168231
Bacteria|Synergistetes|Synergistia|Synergistales	0.00909285714285714	0.00872726162726162	0.00873793428793429	0.71031159768572
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales	0.00987857142857143	0.00724810744810745	0.00756335135452783	0.712978622831758
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales	0.0034	0.00414601787101787	0.00463500666000666	0.662596091453006
Bacteria|Firmicutes|Negativicutes|Selenomonadales	0.00404285714285714	0.00348015873015873	0.00371033827283827	0.706872839515737
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales	0.00483333333333333	0.00139515207015207	0.00179297230547231	0.728841133180157
Bacteria|Firmicutes|Bacilli|Bacillales	-0.0043	0.00385630203130203	0.00163861971361971	0.28094376576638
Bacteria|Proteobacteria|Betaproteobacteria|Rhodocyclales	0.0021	0.00107288267288267	0.00124999444999445	0.325208051067093
Bacteria|Firmicutes|Bacilli|Lactobacillales	-0.00461666666666667	0.00332435064935065	0.00118974636474636	0.313522358946393
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	0.00506666666666667	-0.000179412254412254	0.00109316794316794	0.381869627891486
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	-0.00345	0.0022007215007215	0.000299167907256142	0.425888361091405
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	-0.00163333333333333	0.00123485958485958	0.000282793187204952	0.279498108223105
Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales	0	0.000201923076923077	0.000153409090909091	0.0165662931839402
Bacteria|Bacteroidetes|Saprospiria|Saprospirales	0	0	0	0.001
Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonadales	0	0	0	0.00460606060606061
Bacteria|Tenericutes|Mollicutes|Mycoplasmoidales	-0.00395714285714286	0.00147301587301587	-1.01440226440227e-05	0.266890207948957
Bacteria|Firmicutes|Clostridia|Clostridiales	-0.0032	0.000759632034632035	-0.000120827783327783	0.310652014172686
Bacteria|Proteobacteria|Gammaproteobacteria|Cardiobacteriales	-0.001	0.000244300144300144	-0.000154165687253922	0.415904418899664
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales	0.00253333333333333	-0.00127823565323565	-0.000218012543012543	0.59539267915735
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales	-0.00422380952380952	0.00057034632034632	-0.000756998720234015	0.322417617502707
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales	-0.00295	0.000557406482406482	-0.000783696858696859	0.40118464882551
Bacteria|Campilobacterota|Campylobacteria|Campylobacterales	-0.00131666666666667	-0.000724145299145299	-0.000817847838436074	0.216737815050636
Bacteria|Actinobacteria|Actinobacteria|Micrococcales	-0.00273333333333333	2.77056277056274e-05	-0.00093914418914419	0.334811549597654
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	-6e-04	-0.000940909090909091	-0.000986214602391074	0.414150833075226
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales	-0.00136666666666667	-0.000944469419469419	-0.00112774586524587	0.1587655679414
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned	-0.00185	-0.00115133477633478	-0.00114081751581752	0.21833259383176
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales	-0.00676666666666667	0.000469061494061494	-0.00145511392202569	0.329034388495725
Bacteria|Firmicutes|Negativicutes|Veillonellales	-0.00733333333333333	-0.000342027417027417	-0.00150563962181609	0.342849962315036
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales	-0.00531666666666667	-0.00108101343101343	-0.00168207527766351	0.264941581309221
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales	-0.00473333333333333	-0.00151456321456322	-0.00207421744921745	0.285395008773131
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	-5e-04	-0.00216292873792874	-0.00207699759390936	0.62173522723857
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	-0.00315	-0.00193544788544789	-0.00216096264846265	0.206430686282514
Bacteria|Bacteroidetes|Cytophagia|Cytophagales	-0.00448333333333333	-0.00127682595182595	-0.00219449578199578	0.186864402362654
Bacteria|SR1|Unassigned|Unassigned	-0.00227619047619048	-0.0027491452991453	-0.00278411310911311	0.381307405142378
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales	-0.0054	-0.00279239926739927	-0.00302279664779665	0.221074821387639
