D	H	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Schaalia	0.01845	0.00282245820055418	0.00560549562517021	0.738633511594337
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Tannerella	0.0137	0.00374901281638898	0.00559339702694966	0.504740223094646
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Johnsonella	0.0192809523809524	0.00226929361488185	0.00507495637317619	0.632250309399618
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia	0.0102690476190476	0.00289806900615724	0.00397886897674049	0.497620947800726
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas	0.0107833333333333	0.00182939144189144	0.00370881431519976	0.399950495303196
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium	0.00736309523809524	0.00164562896254073	0.00287640613320213	0.526927326461001
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Filifactor	0.00586904761904762	0.00199739133415604	0.0028726825548033	0.447996441648766
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Unassigned	0.0140666666666667	0.000533470859206153	0.00268491523526353	0.465738752814782
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Lautropia	0.00445	0.00155308759867583	0.00219460475884625	0.469363826613911
Bacteria|Firmicutes|Clostridia|Clostridiales|Tissierellaceae|Unassigned	0.00405	0.00144961427461427	0.00196488463806575	0.27195003887212
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Ralstonia	0.00591666666666667	0.00100979853479853	0.00182456215954668	0.0733574853405126
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoanaerobaculum	0.00445	0.00123054959746136	0.00170674763832659	0.40794830131641
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Shuttleworthia	0.000616666666666667	0.00132697025197025	0.00137002616836208	0.143083596631023
Bacteria|Firmicutes|Clostridia|Clostridiales|Unassigned|Unassigned	0.00482619047619048	0.000475886450151156	0.00108725035434047	0.283433614127711
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Unassigned	0.00261666666666667	0.000599267399267399	0.001028265503846	0.160239692884046
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Schwartzia	0.000940476190476191	0.000844350502438738	0.000721305796886292	0.178405705728499
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium	-3.33333333333333e-05	0.000734437784437784	0.000656343205298314	0.0941269759817281
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobulbaceae|Desulfobulbus	0.00159285714285714	0.000432031857031857	0.000629591607223186	0.167772711520135
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	0.00141666666666667	0.000519282106782107	0.000619382780102594	0.0778541900855312
