D	H	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	0.0321809523809524	0.0102756477999125	0.0148706185240628	1.35864894707187
Bacteria|Firmicutes|Clostridia|Clostridiales	0.0284023809523809	0.00817286079503572	0.0123767024298371	1.11264533319545
Bacteria|Actinobacteria|Actinobacteria|Micrococcales	0.0193714285714286	0.00565510179964515	0.00809121629126172	0.75069698090694
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales	-0.000657142857142857	0.00435002672765831	0.00373686181099528	0.89561487015709
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales	-0.0032	0.00326529426455897	0.00220673598137254	0.390488126192058
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales	-0.001625	0.00298208694899871	0.00211657152915734	0.401557915503023
Bacteria|Firmicutes|Bacilli|Lactobacillales	0.00143333333333333	0.00157535860682146	0.0020049878054522	0.664444461502907
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales	0.00432380952380952	0.000650365174900779	0.00150090981560729	0.540693959383415
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	-0.00146666666666667	0.00209515578161089	0.00146220178002551	0.406078573380315
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales	0.00035952380952381	0.00158242215301039	0.00129989081826476	0.487679608149659
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales	-0.000392857142857143	0.00153678625296272	0.00100074133102805	0.470126604176434
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	-0.00231666666666667	0.00119781468531469	0.000610559349491238	0.26247718827526
Bacteria|Campilobacterota|Campylobacteria|Campylobacterales	-0.00160833333333333	0.00100411255411255	0.000576283636384256	0.534424714592577
Bacteria|Firmicutes|Negativicutes|Veillonellales	0.00227619047619048	-3.01091881974236e-05	0.000398584933298556	0.23863163147985
Bacteria|Synergistetes|Synergistia|Synergistales	-0.00533333333333333	0.00155378750936026	0.000346907912349089	0.574607414188719
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales	-0.00143333333333333	0.000534235209235209	7.87630841810408e-05	0.238994901470072
Bacteria|Firmicutes|Negativicutes|Selenomonadales	-0.00387619047619048	0.00102700422212806	-1.39604977066271e-06	0.435329042375447
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	-0.000133333333333333	1.33994488483652e-05	-1.23293588076871e-05	0.246266494661506
Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales	0	-6.25e-05	-5.88235294117647e-05	0.00761904761904762
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned	-0.00365714285714286	0.000445230195501094	-0.000236178652116194	0.544391506910934
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	1.11022302462516e-19	-0.000436410403322168	-0.00032462690817954	0.182667620968807
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales	-0.00359047619047619	6.95476908712202e-05	-0.00046492771224229	0.431216214528731
Bacteria|Bacteroidetes|Cytophagia|Cytophagales	-0.00256666666666667	-1.06425437307788e-05	-0.000552237365317861	0.296922439881695
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales	-0.00168333333333333	-0.000539300976800977	-0.000640242372866212	0.254558486006501
Bacteria|Tenericutes|Mollicutes|Mycoplasmoidales	-0.00261904761904762	0.000163263288998583	-0.000650757829202101	0.263907927870065
Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonadales	-0.00241666666666667	-0.00053206191383436	-0.000678104262886871	0.192194735830267
Bacteria|Proteobacteria|Betaproteobacteria|Rhodocyclales	-0.00175	-0.000636685699920994	-0.000794722912741825	0.235774607973917
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales	-0.00188333333333333	-0.000556497505762211	-0.000810372036803925	0.221383261331399
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales	0.00159285714285714	-0.00140758494171807	-0.00115173148294699	0.543565942702909
Bacteria|SR1|Unassigned|Unassigned	-0.0059	-0.000328962295874061	-0.00124589029821228	0.238639185784894
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	-0.0034	-0.00128473967123348	-0.00154674883510023	0.244279669416677
Bacteria|Firmicutes|Bacilli|Bacillales	-0.00518333333333333	-0.001279978763067	-0.00185502918564064	0.367707465467757
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	-0.00511190476190476	-0.00204094618401894	-0.00198424337698466	0.70962874447668
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales	-0.0057	-0.00157952586629057	-0.00225325038308784	0.465985770075965
Bacteria|Proteobacteria|Gammaproteobacteria|Cardiobacteriales	-0.00591666666666667	-0.00166638361638362	-0.00239458440166644	0.32904422351244
