D	H	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiliaceae	0.0224255994005995	0.00752543268711368	0.0121418385020238	1.59086426400009
Bacteria|Firmicutes|Clostridia|Clostridiales|Vallitaleaceae	0.0156417876567877	0.00496314496394857	0.00827152930447066	1.48326236137491
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Dysgonomonadaceae	0.0143538128538129	0.00463729434644565	0.00772449902130188	1.24375992899829
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptoniphilaceae	0.0137790742590743	0.00375410841653075	0.00688556668427411	1.2577278073018
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae	0.00840618631368633	0.00589048560538936	0.00649901532393577	1.19468367950711
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae	0.0113658336108336	0.00420239177429411	0.00636935712674521	1.0560045792448
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae	0.010832427017427	0.00363760743583303	0.00599080654745306	1.15983791464117
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Unassigned	0.00856876179376181	0.00476310057313799	0.00589879503102119	0.931550362194563
Bacteria|Firmicutes|Clostridia|Clostridiales|Tissierellaceae	0.0113045954045954	0.00164315746296598	0.00460919221932678	0.751811947214041
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae	0.00915344211344212	0.00170704395580489	0.00403658095036686	1.14440872342292
Bacteria|Synergistetes|Synergistia|Synergistales|Synergistaceae	0.0046159657009657	0.00335517342474907	0.0037195406683662	0.837450224162288
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae	0.0074452664002664	0.00178104103554124	0.00343197624932817	0.551408727279341
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae	0.00380691835941836	0.00233423533304015	0.00273374243547309	0.886190247253018
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae	0.00433139915639916	0.000984302105060551	0.00214438169224963	0.853685795671219
Bacteria|Proteobacteria|Gammaproteobacteria|Cardiobacteriales|Cardiobacteriaceae	0.00427164502164502	0.00111155028386459	0.00210550504266183	0.712127529496784
Bacteria|Tenericutes|Mollicutes|Mycoplasmoidales|Metamycoplasmataceae	0.00264417721167721	0.00181965249383213	0.00208276905994044	0.606757069783746
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae	0.00343572510822511	0.00146105713235778	0.00201182793079651	0.759006620780611
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_Incertae_Sedis_XI	0.00224934176934177	0.00173551742319241	0.00191411529942547	0.947350268927453
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae	0.00225031912531912	0.00126725388346118	0.00147499275132356	0.630259113642034
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae	0.000592089577089577	0.00177937980900809	0.00142541030829173	0.521188809710305
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae	0.00183025197025197	0.0010998268741922	0.00132193293044632	0.532984606415066
Bacteria|SR1|Unassigned|Unassigned|Unassigned	0.00157500888000888	0.00109161371020807	0.0012549534119287	0.542576734231857
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae	0.000876976911976912	0.00134825565611607	0.00115970917488408	0.532382385851618
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae	0.0019978305028305	0.00077316176166156	0.00112906298188904	0.7659011283908
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae	0.00091513431013431	0.00134922192316889	0.00112785645079355	0.679690324392414
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae	-0.000327709512709513	0.00167177045038837	0.00101693637074515	0.410184341115018
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae	0.00154583028083028	0.000559917332118235	0.000893611305778925	0.623795361266696
