D	H	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|SR1|Unassigned|Unassigned|Unassigned|SR1_genera_incertae_sedis	0.0102742063492064	0.00302916548180136	0.00456096833369995	0.942338327976224
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellamassilia	0.00433826118326118	0.00314386190976829	0.00336534136823483	0.468584093796631
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus	0.0029384126984127	0.00105372751173835	0.00143779347688501	0.273955429911459
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus	0.00151269841269841	0.00139692948846072	0.00140717894399016	0.346705979999772
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Lautropia	0.00284388888888889	0.000918525712296408	0.00131283498967035	0.389013087543341
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Schwartzia	0.00313960317460317	0.000781402447016796	0.00117107837236995	0.476486949292134
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptoniphilaceae|Parvimonas	-0.000801507936507936	0.00161175736096412	0.00110986289001481	0.44928323426526
Bacteria|Firmicutes|Clostridia|Clostridiales|Tissierellaceae|Unassigned	0.00333857142857143	0.00048947230469535	0.00103626933682833	0.334306358049877
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Leptotrichia	-0.000597460317460317	0.00138879918943622	0.00103111300577591	0.241272003630704
Bacteria|Firmicutes|Clostridia|Clostridiales|Unassigned|Unassigned	0.00251015873015873	0.00070718341318772	0.00103004474915082	0.492998967759494
Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Granulicatella	-8.49206349206367e-06	0.00111093352266256	0.000863058504408279	0.304694358801584
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Schaalia	0.00326642857142857	0.000323646046599338	0.000846438625229238	0.467114457058746
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia	0.00121396825396825	0.000774303954903026	0.00083779120444217	0.340478284096482
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas	0.000789126984126984	0.000722413147276588	0.0007560635775891	0.256533809493529
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Comamonas	0.0013952380952381	0.000598947571012317	0.000729658507672113	0.115186719953422
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Shuttleworthia	0.00152150793650794	0.00039518847564843	0.000574294628670804	0.246129332176303
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Unassigned	0.00206793650793651	0.000154153669822199	0.000566238026621296	0.225299150153826
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae_1|Peptococcus	0.000818492063492064	0.000626807439378647	0.000565440410691106	0.177232916104401
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobulbaceae|Desulfobulbus	0.000941587301587302	0.000455691436866629	0.000546372163447402	0.247439322767759
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	0.00149698412698413	0.000342227432907201	0.00054577882448759	0.468261062502558
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium	-0.000350714285714286	0.000595892014761983	0.000377191020983609	0.247802775595599
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Unassigned	0.000997301587301587	0.000160444747113612	0.000322944214395038	0.23063395867368
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Lampropedia	-0.000983333333333333	0.000639117864046186	0.000322602883591008	0.23297340823928
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Unassigned	6.08730158730159e-05	0.000491923048444653	0.000301613722220919	0.217808844405011
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Selenomonas	-0.000324126984126984	0.000466706317410921	0.000277335801203088	0.341969897400213
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Unassigned	0.000411190476190476	0.000203383365342175	0.000275584339974485	0.213740862931172
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerostipes	-0.000516746031746032	0.000399745343759006	0.000249166245707813	0.11960890712772
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Ralstonia	0.000562222222222222	0.000137336444944804	0.000216261331261331	0.05855579687462
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned|Saccharibacteria_genera_incertae_sedis	-0.000137619047619048	0.000296876929131203	0.000205301237888146	0.186685522525456
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Unassigned	0.000893975468975469	-5.99774233782848e-05	0.000192733850924798	0.241106784646433
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Agathobacter	0.000235	0.000174934056274412	0.000178619317661218	0.0364118407933128
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptoanaerobacter	-0.00101103174603175	0.000416108541912015	0.000164390712601239	0.108415178750004
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria	-0.000862460317460318	0.000510517404537999	0.000161604335250052	0.264455378613806
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Centipeda	-0.000121190476190476	0.000141277937442226	0.000142440743783406	0.420560804766864
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Tannerella	0.000442460317460317	5.1393632996877e-05	0.00014213000525357	0.262657480034138
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoanaerobaculum	0.00029991341991342	0.00017927604205818	0.000132893280931952	0.354748881194482
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola	0.00177992063492064	-0.000318863910165902	0.000103084929746095	0.220656703281631
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter	0.000378492063492063	1.24512187682197e-05	8.5262524127444e-05	0.093710121420583
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Caviibacter	0.00022984126984127	9.06662581073673e-05	7.53495839469532e-05	0.152278375423143
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces	-0.000828571428571429	0.000413333030357866	7.21432082826385e-05	0.131097805148058
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Arachnia	-1.24603174603175e-05	0.000117989633943329	6.30689424017713e-05	0.121383893569288
