med	pre	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae	0.00705397479305751	0.00793033334961735	0.00732441663181685	2.74843129482106
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae	0.00488566713040172	0.00467873163195157	0.0047294034471067	2.17731702873135
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_Incertae_Sedis_XI	0.00381740164388456	0.00236775822084005	0.00295665380309676	2.44111447019971
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae	0.00254636932176897	0.000618335505143601	0.00158344947885027	2.15317525948583
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned	0.00337329484375543	-0.000592090598634688	0.00122988810741444	1.97388591787792
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae	0.00172711264469667	0.000603965671176355	0.00111107263666929	1.81323468698296
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Unassigned	0.0035104000350851	-0.00133795615839384	0.000965156606902761	1.54387874382438
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae	0.000502031680762227	0.0010330601940064	0.000707615031982711	1.82996981189058
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae	-0.000772333147765083	0.00186092603665072	0.000641633729898354	1.56184768410899
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptoniphilaceae	0.00146170847985214	-0.000200249287391728	0.000594191712672689	1.72578885569973
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII	-0.00136058700938081	0.00207265145979404	0.000381018462587602	1.26715365643867
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae	0.0006039260924017	0.000130604989187555	0.000347288512290357	0.2789390659118
Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae	0.000767308839782685	-0.000201727377079723	0.000268820208278314	0.337519702296249
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae	-4.62779756216719e-05	0.000535965723455739	0.000245255647901907	1.33125254586012
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae	0.000287842889508159	0.000258301912599823	0.000225031230322519	1.2397577321395
Bacteria|Campilobacterota|Campylobacteria|Campylobacterales|Campylobacteraceae	-0.00198633096521851	0.00207273854436243	0.000164382933333461	1.30346576377031
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae	-0.00063833361339059	0.000833170788656086	0.000134748640032457	0.978548541853696
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae	0.000848739655424788	-0.000525705958003465	0.000100407539337162	0.799356727951012
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae	-0.000591257556197527	0.000665668008974783	5.08679602928472e-05	1.26867299121193
Bacteria|Bacteroidetes|Saprospiria|Saprospirales|Saprospiraceae	6.9169870809002e-05	3.22344635136626e-05	4.66677272253988e-05	0.0979422003931399
Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonadales|Methylophilaceae	1.87430556699672e-05	4.52505797667088e-06	1.04816928984239e-05	0.0762205486320116
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae	-0.0018152062951399	0.00166543546313149	3.95557501236029e-06	1.22196008604422
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae	8.98794614952373e-05	-9.1040309892496e-05	-2.78950159095061e-05	1.21574425666936
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae	-0.00180702859605465	0.00158529088266761	-6.78787796119886e-05	1.43004930233622
Bacteria|SR1|Unassigned|Unassigned|Unassigned	4.70660723221892e-05	-0.000282211656021215	-0.00013110907896741	1.63590444769887
