Class	HS00P003	HS03P003	HS00P004	HS03P004	HS03P005	HS00P010	HS03P010	HS00P011	HS03P011	HS00P012	HS03P012	HS00P014	HS03P014	DS03P016	DS03P017	HS00P019	HS03P019	HS03P024	HS00P025	HS03P025	HS03P026	HS00P029	HS03P029	DS00P030	DS03P030	HS00P031	HS03P031	HS00P034	HS03P034	HS03P035	HS00P036	DS00P037	DS03P037	HS00P040	HS03P040	HS00P041	HS03P041	HS00P042	HS03P042	HS00P044	HS03P044	HS00P045	HS03P045	HS00P046	HS03P046	HS00P047	HS03P047	HS00P048	HS03P048	DS00P049	DS03P049	HS00P050	HS03P050	HS00P051	HS03P051	DS00P054	DS03P054	HS00P055	HS03P055	HS00P056	HS03P056	HS00P057	HS03P057	HS00P058	HS03P058	HS00P059	HS03P059	DS00P060	DS03P060	HS00P061	HS03P061	HS00P063	HS03P063	HS00P064	HS03P064	DS00P065	DS03P065	HS03P066	HS03P067	HS00P068	HS03P068	HS00P071	HS03P071	HS00P072	HS03P072	HS00P073	HS03P073	HS00P074	HS03P074	HS00P075	HS03P075	DS00P076	DS03P076	HS00P077	HS03P077	HS00P082	HS00P93	HS00P96	HS00P109	HS00P110	HS00P118	HS00P137	HS00P142	HS00P167	HS00P176	HS00P179	HS00P192	HS00P198	HS00P201	DS04P86	DS05P114	DS00P119	DS00P138	DS04P138	DS00P140	DS06P140	DS00P166	DS00P172	DS00P180	DS06P180	DS00P191	DS00P193	DS00P194	DS04P194	DS00P196	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313
Bacteria|Actinobacteria|Actinobacteria	0.953539654779104	0.424911605979778	2.24154589371981	0.290957583839731	0.473403181709756	2.1923261321207	0.687942967308839	13.7919829852598	2.04500819805049	1.4943575400826	0.530729583071087	2.31277876547831	1.35693003553864	0.741539936977668	1.1285215555736	9.34276072633778	1.83411358876432	0.354193737687052	5.03864534780813	4.14790234652761	8.43482183130356	6.77146868598522	5.90301413129305	0.836965134706815	1.09108028024702	48	1.07512897212468	1.16156922952608	3.44596510219336	2.33284964839826	34.3529094948498	7.90350697292863	1.95139675550901	1.8814653127076	2.50771604938272	4.01483392454047	1.06237063268411	3.0071239382592	1.45521232762522	0.947573313939809	2.8673835125448	4.654935216936	2.12126500300545	0.241144914113967	0.125135936359438	1.71470534239031	3.20395583553478	0.0874769797421731	7.1749862863412	1.33083762283575	1.7102498248891	1.0547419804742	0.327965767693261	0.0698832800535276	2.17750640939144	0.113468349207441	0.110301170151544	1.59070052003671	0.0228724533973762	5.00159474560854	0.0937631854479536	1.19217794041969	0.101721439749609	3.61605430474353	1.306505212364	6.39806825281572	0.306230066455736	0.565492545780078	1.53535980148883	0.971570705974659	11.8337204454767	0.247624029993897	2.76114787195556	0.525810982084746	12.1631485212111	26.5779545922217	3.424676666946	0.714562929479716	4.02289095273891	21.4625362257674	2.88669053529771	2.28198167628096	3.49420962906355	0.308850497056269	0.113221788904265	8.74833704659475	0.243281255939484	2.12523093940856	0.629908471862928	0.302433625471346	1.1802205375603	0.119146770312789	0.553028489346421	0.357686354590742	1.41945384159314	0.334879567385211	0.328205995041695	24.89454943851	2.20970359963444	16.8300500207861	23.446877424096	21.0396703869165	19.4482194455806	0.553575392007102	6.74325808092981	15.5378323664081	1.99353784353597	0.650362071321219	2.60969351573681	2.67809694291388	0.686062436801618	3.59984890455805	4.56401389110882	1.5415484674462	5.25702554997642	1.13638034194317	11.752641042931	0.0913157202333968	12.8877268869603	5.12996448175654	0.742715939074956	12.4036935507142	9.80077764861506	1.37011911756851	17.6232086682978	6.75313186656394	0.822310105004773	5.4649455051403	1.27451728611768	10.4574782621361	1.79528440495347	1.19511354903675	2.29706032914729	1.43084598237979	5.40822407628129	8.69328189214124
Bacteria|Actinobacteria|Coriobacteriia	0.145996502167136	0.147323367036784	0.0469289164941339	0.0106078285774902	0.0440375052753261	0.0406793450625445	0.0235786904117949	0.401736921395445	0.104502621574386	0.170737259748284	0.0935580995798391	0.322822120333115	0.13641095595362	0.104466365255514	0.193228870666558	0.290856500080347	0.326475298755698	0.0125749255983569	0.0511337935374752	0.14221379473809	0.15787099684258	0.36826478237853	0.517330574236937	0.220384310618067	0.0470770679294398	0	0.0585251658213032	0.0888852975637348	0.11082759864945	0.129478736466123	0.0314176073247907	0.0333264971287941	0.0683950670057922	0.0901584891335295	0.086238198983297	0.149721288063758	0.281802538716676	0.143848753310805	0.111939409817324	0.0470578169450921	0.08059214014549	0.108827334140983	0.0368409826847381	0.0227165498803013	0.00893828116853129	0.0293739673214614	0.0355618776671408	0.0107427869858809	0.0504662643993417	0.0280767430978007	0.0583703011907541	0.0387416705408337	0.0999380665503068	0.0639357668574827	0.156861422210228	0.036103565656913	0.0383656244005371	0.198837565004589	0.0163374667124116	0.0330762052142275	0.0328171149067838	0.0185831093830408	0.0375586854460094	0.0302209617239896	0.022761414849547	0.0894952803904021	0.00381199252849464	0.0336813742000674	0.214906061680255	0.0250404821127489	0.0297778571853969	0.0627779230970442	4.83959434699903	0.0137019148425993	0.0218971708855216	0.0192057068386035	0.0139668705829772	0.375545053991736	0.0921457843303669	0.0689344700486762	0.11601651676002	0.0339328130302002	0.0141085180177532	0.0120644725412605	0.00978459904110929	0.129830579108497	0.0114038088721633	0.115322609115193	0.0208809438186606	0.0295998867482594	0.269518558629517	0.0150379418841384	0.0574575053866411	0.0091047435714007	0.0325509480463618	0.0768982710291965	0.419765607392382	0.291700903861956	0.761120128762975	0.0791213506953292	0.00408268804180672	0.0536726285380523	0.519850641896795	2.00279398900683	0.483382876730671	0.525808073259874	1.21134245686698	0.297854898210138	0.03997060226672	0.427936117248902	0.19839492109002	0.151095441954168	0.107525319306607	1.83629696256832	0.8683108164341	0.351351748673243	0.813385030343898	0.0851248239463868	0.0533851671366387	0.0188354321386288	0.0237334040681847	1.06333862357524	0.117582608463275	0.0614283425030714	0.317371548409647	0.06278001312673	0.0954588844947498	0.0115946510010049	0.0839502404029612	0.0291294659112425	0.018190722731407	0.0410737472507089	0.372496269591452	0.0530729221950961	0.141537544696067	0.0195700187313036
Bacteria|Bacteroidetes|Bacteroidia	28.613793627861	19.39085664661	35.7667356797792	21.2050493264029	21.1324978439971	14.843602446572	28.2555930040639	26.4718045668035	14.9618925785121	26.2951640703763	10.6316022249817	23.4849193724463	20.7775424489356	12.8065488423072	33.9530729885524	13.432428089346	23.529321177775	29.0648446996689	21.3385253800618	17.8715335387533	23.9688267428457	15.2921950882685	28.4504587905356	42.7124603803487	31.8130209631414	0	27.9728616638488	43.0326047432427	39.1144101652104	15.6490679763366	7.75566077960548	11.7334905660377	19.7041913351999	25.8565056467685	38.9773965141612	11.6828672778366	30.7089952367889	18.8122202940908	32.929240002858	16.3611473551368	19.8998960785561	20.8702080039424	23.1787951059663	42.0797875128873	21.854097457059	8.83789241784469	10.130054866897	64.9815837937385	24.2654964344487	19.9475900795508	39.0876721923885	8.83697505036417	19.0262372614155	34.5282878596387	5.3383484010255	27.5848433792937	31.2248225589871	30.2895890690323	44.2434936038818	13.4124012143692	49.163163569877	65.3282063011035	37.8262910798122	2.71407483175061	8.84280966904903	24.180611607369	17.3534606538838	42.9969332222439	45.052729528536	41.4186267799609	3.05123776626367	34.3464992588717	41.9131977266627	3.89134381529819	10.4858252313801	5.95651279237259	5.3227743791726	35.3012350752232	28.1735735590097	7.9978053515658	15.1507590973166	20.107312521208	4.69108224090295	15.9251037544639	20.0388588361918	26.5110836846239	26.3592706630681	11.0933289400911	9.98225119775414	35.0488398131346	6.28630501132224	36.0471034610402	2.35934881493895	23.0714202099294	19.7770260058824	27.3596606553717	30.6442979490647	16.7721172281567	23.667016763739	6.51745363354745	7.23452321008152	5.23623849590352	3.16264464118431	22.8519577507083	25.5161886398329	7.12218583986631	21.0244638780424	27.5228856401148	17.6463762136235	26.8425027270439	6.50351351005414	28.9360362629061	18.6658142136848	28.1173458797481	37.4538796571143	52.371991826294	20.6830186558777	42.1135719923852	17.372080926438	0.28118609406953	13.6760250736434	17.2009810994085	16.0861025373792	12.1414454356071	7.16392869626005	10.0390948263562	45.2229646802127	21.6832856664348	5.46058154621079	7.14254504143667	13.1309032393479	23.0185229350505	50.6496901310272	21.7068251777943	18.6879221295193	19.5993737594006
Bacteria|Bacteroidetes|Chitinophagia	0	0.00775386142298865	0	0	0	0.00145283375223373	0	0	0.00900884668744707	0	0	0.026511961573251	0.0161539289945077	0.0119879435539115	0.0129901761792644	0.00803470994697091	0	0.0125749255983569	0.0747340059393868	0.0414790234652761	0.00501177767754222	0	0.00816837748795164	0.00495245641838352	0.00553847857993409	0	0	0.0525231303785706	0.00773215804531045	0.00892956803214645	0.00224411480891362	0.00256357670221493	0	0.011862959096517	0.0136165577342048	0.00691021329525038	0.00249382777625377	0.0525162115261668	0.019053516564651	0.0064169750379671	0.0148459205531166	0.00821338370875341	0.00193899908867043	0.00174742691386933	0.00148971352808855	0.00734349183036534	0.0118539592223803	0.0874769797421731	0.0109709270433352	0.00374356574637342	0.0131333177679197	0.0329304199597087	0	0.00148687829901123	0.0134934556739981	0.0739263487260599	0	0	0	0.00236258608673054	0	0.0014294699525416	0	0	0	0	0	0.00531811171580011	0.204936192839419	0.00166936547418326	0.00198519047902646	0	0	0	0	0	0	0.00114147432824236	0	0	0	0	0	0	0.00139779986301561	0	0	0.0258887489850434	0.00116005243437003	0	0	0	0	0	0.00581266929399319	0	0.00140860942077981	0	0	0.0362080757419303	0.00136089601393558	0.00157860672170742	0.0145135966011796	0.274176491324272	0.00803406443319675	0.0271735438377196	0	0.00409892061757071	2.51299044573668	0.00279696808659413	0.00127996723283884	0.363888189372954	0.274625477688496	0.00553518300698817	0	0	0.113789615643965	0.801721069167789	0.143729296137104	0	0.0698041296123079	0	0	0	0	0	0.00681849174962498	3.87132513977996	0.00890381337607164	0.0378683056846153	0.0307843000069964	0.0119246362985929	0	0.171956267912111	0.0968414779499404	0.514411920937124
Bacteria|Bacteroidetes|Cytophagia	0.0304159379514866	0.0217108119843682	0.133885438233264	0.0030308081649972	0.00366979210627718	0.0203396725312722	0.0166437814671493	0.00443092192715564	0.0342336174122989	0.123581254674949	0.100362325003827	0.0748573032656499	0.0305129769896256	0.0256884504726675	0.0617033368515061	0.249076008356098	0.109338425526672	0.106886867586033	0.324502920526285	0.110610729240736	0.00751766651631334	0.0437314429074505	0.068069812399597	0.0643819334389857	0.0692309822491761	0	0.0715307582260372	0.15352915033736	0.0489703342869662	0.0825985042973546	0.0089764592356545	0.0410172272354389	0.0683950670057922	0.0308436936509443	0.0612745098039216	0.0575851107937532	0.231925983191601	0.0958991688738698	0.123847857670231	0.0320848751898355	0.00636253737990711	0.205334592718835	0.0155119927093634	0.00174742691386933	0	0	0	0.00460405156537753	0	0.00935891436593355	0	0.00871687587168759	0.0520804008783289	0	0	0.0103153044734037	0.00479570305006714	0.0254919955134088	0.00163374667124116	0	0.0640715100561016	0.0028589399050832	0	0.00232468936338382	0.0933218008831429	0.00168859019604532	0.0343079327564518	0.0017727039052667	0	0.0150242892676494	0	0	0.00350103280467738	0	0.00437943417710432	0.0164620344330887	0.00139668705829772	0.047941921786179	0	0.0604935145325118	0	0.00636240244316254	0.00470283933925107	0	0	0.00641138662264181	0	0.00470704527000788	0.0139206292124404	0.00128695159775041	0.00123067834990647	0	0	0.00260135530611449	0.00697520315279182	0.253020117579937	0	0.0671049027663654	0	0	0	0.00947164033024453	0.0145135966011796	0	0.00669505369433063	0.0067933859594299	0	0.0532859680284192	0	0.227952899057422	0	0.0226643162931252	0	0.00276759150349408	0	0	0	0	0.00410655131820297	0	0.0153569085147077	0.0490549704227384	0.00935316203685146	0	0.0265641384131423	0.0171218217618355	0.458202645574799	0.00901806188967045	0.0508789335775522	0.0203906261378698	0.0223885818232701	0.0847974136788828	0	0.0445812546438807	0.0211064759634485	0.00419357544242221
Bacteria|Bacteroidetes|Flavobacteriia	0.0167287658733176	0.097698653929657	0.0193236714975845	0.710724514691843	0.396337547477935	0.605831674681466	0.895990235648206	0.403213895371164	0.821606817895173	0.248788578490357	1.18223416741797	0.283833941548922	0.375130128872456	0.399027264008768	0.67548916132175	0.366382773581874	1.50763829000862	2.40600243115228	0.708006372057349	0.296278739037687	0.333283215556558	0.239372108546045	0.187872682222888	0.148573692551506	0.423693611364958	8	0.422681753153856	0.553512989374167	0.234542127374417	1.03806228373702	15.7806153362806	0.602440525020509	0.681813324213991	0.204042896460093	0.860112563543936	0.0921361772700051	0.189530910995287	0.187231710658508	0.333436539881392	0.310153793501743	2.84405420881848	0.229974743845096	0.279215868768542	1.11485837104863	1.21858566597643	8.42665687534423	21.8299126193863	0.290055248618785	0.726275370268788	11.1913897987833	1.18637637170208	1.04893072989307	0.644670908169585	1.08542115827819	1.4168128457698	0.391981569989341	1.21331287166699	0.793650793650794	0.178078387165286	0.784378580794538	0.371927302276883	1.60672422665676	0.823161189358372	0.26152755338068	0.0887695179132335	3.06985697641039	0.184246305543908	0.0620446366843346	0.165056717476072	0.268767841343505	0.285867428979811	0.0906792222512861	0.317426974290749	4.76997910457986	1.18390703921053	1.02201797105426	14.1861504511299	1.78640732369929	2.84560731346541	0.43752286092119	1.45831514077918	1.18340685442823	0.276291811181001	0.386063121320336	0.0992437902741086	0.67319559537739	0.494165051127076	2.1487661657586	1.98020950546965	0.0875127086470278	0.0738407009943881	0.0867573570238756	18.3648551592052	0.0806420144895491	0.141829130773434	0.321236325750998	0.843757043047104	3.84689126266776	0.590618307803527	6.24119942603495	13.4279609695023	9.14329013212938	3.02410576453669	0.204979567323385	0.309311480678075	0.858683985271939	0.769720181139984	4.09345539008061	0.555720308934074	0.911811596229687	3.11800017919541	3.66028708133971	2.75787913572892	1.34089808344288	0.0998696146697367	2.01255457712832	1.95971004720162	0.999829750352107	4.35978864949216	25.8475944462383	1.04706194418462	4.3024094647237	3.39519781937708	10.6364510442818	6.12373296050332	8.63082498644522	0.275467066684849	0.823220221071346	0.449006588821898	2.55902358030266	0.857762541104037	0.364363886901449	0.167732238354046	2.12397834624774	2.49428883591577	4.80443959853504
Bacteria|Bacteroidetes|Saprospiria	0	0	0	0	0.00183489605313859	0	0.00138698178892911	0	0.00180176933748941	0.00162606914045985	0	0.640965659212127	1.33718634454536	1.2467461296068	0	0.986662381488028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Sphingobacteriia	0.0182495627708919	0	0.00276052449965493	0.0015154040824986	0.0110093763188315	0	0	0	0.00540530801246824	0	0	0.179345622407286	0.0179488099938974	0.0119879435539115	0.00487131606722416	0.00160694198939418	0.0723789577430085	0.0125749255983569	0.0059000531004779	0.00395038318716916	0.00751766651631334	0	0	0.00495245641838352	0.00830771786990114	0	0.0173407898729787	0.355541190254939	0.0180417021057244	0.00446478401607322	0.00448822961782725	0.00256357670221493	0	0.011862959096517	0.00453885257806826	0.00691021329525038	0	0.00456662708923189	0.0214352061352323	0.00213899167932237	0.00848338317320948	0.00205334592718835	0.00387799817734086	0.0227165498803013	0.272617575640204	0	0	0	0.0219418540866703	0	0.00145925752976885	0.0193708352704169	0.001407578402117	0	0.00168668195924976	0.538115050029227	0.00719355457510071	0	0	0.00118129304336527	0	0.0014294699525416	0.00312989045383412	0	0	0	0	0.00354540781053341	0.118530662885502	0.0166936547418326	0	0	0	0	0	0	0	0.00114147432824236	0	0	0.0037424682825813	0	0	0	0	0.00480853996698136	0	0.00235352263500394	0	0	0.00123067834990647	0	0.00119703136222169	0.00650338826528621	0.0151129401643823	0	0	0	0	0	0	0	0	0	0	0.194290838439695	0	0	0.0425493508000567	0	0.0473587876150371	0.0138504155124654	0	0	0	0	0.0393346819510002	0.0325022055068022	0.0451720645002327	0.0201808201485308	0.0223373214759385	0.416967248593277	0.00267233201052899	0.0186955825009348	0	0.00285363696030591	0	0	0.00254394667887761	0.00436941988668638	0.0167914363674526	0.0119246362985929	0	0	0	0
Bacteria|Bacteroidetes|Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00212084579330237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00171921741223395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00698041296123079	0	0	0	0	0	0	0	0	0	0	0	0	2.02420125252096	1.23907429479539	0
Bacteria|Campilobacterota|Campylobacteria	0.799939168124097	0.445071645679548	1.2712215320911	0.262164906272258	0.539459439622745	0.213566561578359	0.32732770218727	1.0589903405902	0.567557341309166	0.175615467169664	0.117372888563798	1.76850378965098	0.504361560828517	0.789491711193314	0.839490135584964	0.634742085810702	1.0040655414562	1.96797585614285	2.55865636124058	1.91988622896421	0.919661203828998	0.642161714272562	0.63168785906826	0.67601030110935	0.56215557586331	0	0.810681926561755	2.2443537634843	1.00775793190546	0.52684451389664	0.17952918471309	0.553732567678425	0.46807873982089	0.664325709404954	0.240559186637618	0.520569401575529	2.46140801516247	0.609644716412458	0.774049110438945	0.393574468995316	2.43261012491782	0.628323853719636	0.217167897931088	0.758383280619288	3.83899176188419	0.369010464475858	1.18878276773014	0.917740945365255	1.1980252331322	0.524099204492279	9.1407891664721	0.553037346970401	1.03034739034964	11.526280573935	2.00377816758872	1.16562940549462	0.582677920583158	2.17531695047755	0.227090787302521	2.91779381711221	0.08751230641809	0.451712505003145	0.256651017214397	0.189462183115781	0.0910456593981882	2.57678863916516	0.554009580807888	0.180815798337204	1.45116979794399	3.10501978198087	0.0794076191610585	0.0906792222512861	0.692037484391229	1.24344877196588	11.7733788794488	0.495232869195418	0.156428950529344	0.331027555190284	0.481340478673101	1.53906755578065	0.280685121193598	1.00950118764846	1.70242784080889	0.193031560660168	0.150962385205686	0.682812675311353	0.250883795187593	2.01226185292837	2.12985626950338	0.413111462877881	0.632568671851925	0.327364427170091	0.119703136222169	1.41253593122017	2.14487496948349	5.61481407982537	0.466249718278116	2.46507806080526	1.06393136278695	3.07902747790637	2.73948367605231	2.94725874942776	1.77329762108958	0.282010105362109	1.76883318604215	1.12770206926536	1.27746104617074	2.38557179942615	1.67489717240223	0.721617766341286	0.979174933121712	1.02996726265424	0.998241815724851	0.29474849512212	1.76852442644325	0.202872557811329	2.42610699033491	1.60344213833558	1.81098913132751	0.0538155203960822	1.56221642072345	1.93767133169817	3.51678892585615	3.50141552267507	1.95316322963999	1.26416117341552	0.13364243829265	5.18023240833784	1.1473199521738	1.54240522000029	3.39606800531729	2.20605771523969	0.185158964416804	3.01984927290097	5.16984505363528	4.71917023120579
