Order	HS00P003	HS03P003	HS00P004	HS03P004	HS03P005	HS00P010	HS03P010	HS00P011	HS03P011	HS00P012	HS03P012	HS00P014	HS03P014	DS03P016	DS03P017	HS00P019	HS03P019	HS03P024	HS00P025	HS03P025	HS03P026	HS00P029	HS03P029	DS00P030	DS03P030	HS00P031	HS03P031	HS00P034	HS03P034	HS03P035	HS00P036	DS00P037	DS03P037	HS00P040	HS03P040	HS00P041	HS03P041	HS00P042	HS03P042	HS00P044	HS03P044	HS00P045	HS03P045	HS00P046	HS03P046	HS00P047	HS03P047	HS00P048	HS03P048	DS00P049	DS03P049	HS00P050	HS03P050	HS00P051	HS03P051	DS00P054	DS03P054	HS00P055	HS03P055	HS00P056	HS03P056	HS00P057	HS03P057	HS00P058	HS03P058	HS00P059	HS03P059	DS00P060	DS03P060	HS00P061	HS03P061	HS00P063	HS03P063	HS00P064	HS03P064	DS00P065	DS03P065	HS03P066	HS03P067	HS00P068	HS03P068	HS00P071	HS03P071	HS00P072	HS03P072	HS00P073	HS03P073	HS00P074	HS03P074	HS00P075	HS03P075	DS00P076	DS03P076	HS00P077	HS03P077	HS00P082	HS00P93	HS00P96	HS00P109	HS00P110	HS00P118	HS00P137	HS00P142	HS00P167	HS00P176	HS00P179	HS00P192	HS00P198	HS00P201	DS04P86	DS05P114	DS00P119	DS00P138	DS04P138	DS00P140	DS06P140	DS00P166	DS00P172	DS00P180	DS06P180	DS00P191	DS00P193	DS00P194	DS04P194	DS00P196	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales	-0.306505141569826	-0.353052630757986	-0.376588227481578	-0.389027547112332	-0.391017585444023	-0.352667934980672	-0.363146005771833	-0.131459340426812	-0.319676877717525	-0.260031849911858	-0.237920924147784	-0.407272695259546	-0.416485615233648	-0.399800246792586	-0.369506148575456	-0.221929707145152	-0.382916689504538	-0.39064745055681	-0.240980286630614	-0.303283090329295	-0.394714819177296	-0.0169360906036116	0.32292604591331	-0.305222257392514	-0.332076773429664	-0.416260269516383	-0.373700929176045	-0.294948113019973	-0.333045474578832	-0.3925060367277	-0.298500632005536	-0.432794682028794	-0.425008483759576	-0.388189782640586	-0.327253103826531	-0.260809145399486	-0.339193024558466	-0.375901925800537	-0.354467614170307	-0.333630536498786	-0.394009400344069	-0.337181021478553	-0.382396090261733	-0.302524314173754	-0.315601190031478	-0.218152476890717	-0.0261760741627854	-0.250193493347075	0.0991944266157457	-0.381597974656744	-0.125236154201014	-0.169644543858016	-0.305237558238926	-0.364697973882051	-0.219426188213577	-0.376436674362692	-0.343814951479746	-0.134353317875663	-0.302975516132693	0.178565986202565	-0.294987900066912	-0.211864790059677	-0.302405567383675	-0.010122580111512	-0.303357433653493	-0.192377758603433	-0.288430905532038	-0.25189370768959	-0.124849575739179	-0.352911082137872	-0.216115974593959	-0.279051514067099	-0.284278106040321	-0.307339566771838	-0.114309939700996	-0.334699593611745	-0.316435039222703	-0.343192359025206	0.149641719366207	-0.383366496766407	-0.152140450969033	-0.279511712474361	0.0241716799156062	-0.315242213418336	-0.259798531862345	0.641007353869164	-0.300595139784547	-0.276055326565764	-0.380290565352121	-0.284405780092573	-0.190807709020378	-0.309163598273136	-0.397531703477096	-0.278883279918924	-0.325155619543558	-0.34910737637542	-0.328444862459402	1.82817332352084	-0.169306080379237	1.87045277185788	0.0795165730082211	0.72901525258269	1.58886228474965	-0.32353271343344	0.551102609846788	1.19623300811665	-0.194689704352882	-0.437847762241883	-0.254964126243083	-0.137438454918737	-0.333105454136272	-0.340140891204656	-0.201385059312137	-0.199420070184061	0.39550357298912	-0.163665967711597	1.23687451489104	-0.35663592471339	1.09593512322576	0.385894047395029	-0.356541276620359	0.227642559296139	1.28737408311698	-0.29995951952924	0.729655048313413	0.260484145494663	-0.266614810006028	0.0147511525867524	-0.253505553701612	-0.0217763965544941	-0.322242694347958	-0.331330282266711	-0.00492811255206384	-0.356203001965457	0.440343490360126	0.256867238855787
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales	-0.387825612174126	-0.392814397042114	-0.415087531659305	-0.396357649201139	-0.400838890650161	-0.391718775077892	-0.369341139764847	-0.454601364840029	-0.352681786454184	-0.335599531451515	-0.250846019302399	-0.493603570045262	-0.468084953139364	-0.466558715647844	-0.407418460258071	-0.49496869391155	-0.411726875498094	-0.409348329596551	-0.53155058453746	-0.495382131370602	-0.496467270500322	-0.467122272498012	-0.458066132421543	-0.35175654580746	-0.41065999936084	-0.416260269516383	-0.419639797135942	-0.367226005072649	-0.375433222986027	-0.424642970635849	-0.392549309161709	-0.487088145709308	-0.461437734429676	-0.4443515528255	-0.366305576626379	-0.459701218289685	-0.440799683813493	-0.461020925664874	-0.421056629525622	-0.378798584633342	-0.426756408124244	-0.3896629414368	-0.416426844196866	-0.317353361380008	-0.322711933612738	-0.392755464728993	-0.412429251672169	-0.253284908400517	-0.407944104352423	-0.424005509590276	-0.360971993251548	-0.266761555819349	-0.325115036856227	-0.366295761868922	-0.36187346030919	-0.379519671411154	-0.352382636785176	-0.30481810712476	-0.304714293931654	-0.418572542934057	-0.29933365142658	-0.255900657784564	-0.312554341443123	-0.291341522803867	-0.357014707308952	-0.392477282909186	-0.298988705789642	-0.323624957728655	-0.319209126929548	-0.355181728584854	-0.311369461780163	-0.282066364419298	-0.0150954065271846	-0.329730640447027	-0.343476898421762	-0.481064543754903	-0.383923303057124	-0.36470670357708	-0.338604970736196	-0.446118583818678	-0.484111161564004	-0.299955126855711	-0.294565397259609	-0.323991467805578	-0.266186691712973	-0.466043344544963	-0.306295560631031	-0.383427648338191	-0.455000876699373	-0.29346139292955	-0.293748363598934	-0.315459653357733	-0.460775784443741	-0.287770088457392	-0.366119840055865	-0.37085962956052	-0.377416698836535	-0.559341398961148	-0.385648717756289	-0.400991530375503	-0.461471269500992	-0.568075101869762	-0.321371376356098	-0.36767836668903	-0.379248692857081	-0.468635288412981	-0.25923336372566	-0.451010861820496	-0.427343137403594	-0.465893484166785	-0.445380880125816	-0.447118991022251	-0.386488787867714	-0.37416214498164	-0.376488782355118	-0.304961645295204	0.128802765076241	-0.366141208920933	-0.568001417351189	-0.405873436677625	-0.397548062438962	-0.501416195523563	-0.612968827997186	-0.489101114142262	-0.429812635924966	-0.587568903534864	-0.292936738281816	-0.523267691709972	-0.269214568714605	-0.422111888648966	-0.338953471944475	-0.34538140903948	-0.294672404947837	-0.437316087075163	-0.485780683540129	-0.4234383297196
Bacteria|Actinobacteria|Actinobacteria|Micrococcales	-0.314341267174251	-0.36778786994503	-0.067792017628585	-0.353729557397245	-0.336942142415721	-0.0680172743512126	-0.266768104375727	1.75917113408162	-0.0818693303958053	-0.203609174500828	-0.212112848243858	-0.0835091993689897	-0.257198406631195	-0.403345830886544	-0.245827682279598	1.16710596029919	-0.123881812002566	-0.371600434919414	0.0980053363399812	0.0958694367375558	1.1166523873058	0.379583846853521	-0.098777628133075	-0.273146906135973	-0.306756918046883	2.63813384513151	-0.281400087210754	-0.273808623880808	0.119958748773035	-0.0547284484497387	4.4181539510947	0.994267472557179	-0.13160988190979	-0.161767835811548	-0.0147501507714948	0.105606188039948	-0.349421952129617	0.00812522982031752	-0.261081678509314	-0.278029991046589	0.0398812928976423	0.305061949905305	-0.0952950605283367	-0.310184048266793	-0.317064872337015	-0.327360351804762	-0.371837663311517	-0.251102649369137	0.165438962511098	-0.377658281188211	-0.344713926842803	-0.254991194446922	-0.322948792160174	-0.366295761868922	-0.218642779649966	-0.380640905761578	-0.348812168860036	-0.282590787295978	-0.303844876626805	-0.254231754828329	-0.295608634395548	-0.214362388470109	-0.309593495059825	-0.153233941753599	-0.223398382320785	-0.203609766546698	-0.28203097731748	-0.318543806899252	-0.300554218999811	-0.219043015623003	1.07186094141134	-0.259902870723062	-0.32483330629411	-0.342213010119141	-0.302007944261463	4.0225462591894	0.0932383819536165	-0.365596365110443	-0.375025867601134	3.14904253856655	-0.407038707596268	-0.283403242004692	-0.220957464864131	-0.29440072299401	-0.260134666243681	-0.0626892253713564	-0.287024609477672	-0.271087274085069	-0.428253409771143	-0.289509064855185	-0.267976790231388	-0.313570531006555	-0.447641712586766	-0.278548048523601	-0.347200215298307	-0.362873737805932	-0.375625116379357	-0.514586961694507	-0.367754308360346	-0.352507029072087	-0.45666962690909	-0.506744274665551	-0.282554385134035	-0.387165590830544	-0.295897698527994	0.570862029320111	-0.381482053145804	-0.449957482982992	-0.232811155654172	-0.464542541980703	-0.439820041483953	-0.43329672316967	-0.387225431292538	-0.396249629734459	-0.372782558920959	-0.29918029872124	-0.484701502555977	-0.365190415730391	-0.526037461296675	-0.376314789579658	-0.397784021393455	-0.366395364746472	-0.465913423220623	-0.452352909337058	0.652803189047082	-0.547726900837516	-0.317046416927089	-0.507840213747128	-0.266808858836332	-0.229143743506931	-0.335095520384612	-0.321903258174532	-0.294672404947837	-0.433835731572602	-0.311068708182719	-0.412313756048346
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales	-0.384524553936644	-0.392023522095553	-0.412906070897777	-0.396095806288401	-0.400838890650161	-0.376493783080851	-0.369119843554137	-0.448292003318245	-0.35241095962784	-0.325772970643975	-0.24014142425245	-0.482354817999836	-0.464522069199227	-0.447361434768118	-0.405374990346821	-0.47440600357467	-0.41226583548223	-0.405679915636897	-0.416339326813815	-0.455841740279409	-0.491099814906269	-0.457087323972733	-0.445083299473885	-0.350241007247992	-0.404897917476881	-0.416260269516383	-0.41379359579799	-0.355639493442094	-0.372548940353432	-0.42189727815157	-0.382859647817699	-0.475479453468084	-0.459389310835031	-0.436882753419412	-0.365946858178747	-0.452031417616234	-0.43893037158823	-0.452667890947612	-0.402604279263331	-0.377085351165009	-0.424496054706891	-0.388989033085737	-0.414403354031781	-0.305735955966877	-0.318737838945638	-0.367826527607149	-0.303718408955644	-0.254012417376332	-0.27825147201346	-0.300683285682912	-0.356789762331947	-0.266879316972863	-0.301304771218584	-0.366295761868922	-0.367935875679123	-0.382042557110419	-0.350240253306625	-0.300991552300482	-0.304279578177425	-0.345800546523837	-0.296643256263534	-0.203709685050767	-0.312131323674396	-0.28828385057087	-0.35016873805186	0.206897979475555	-0.286873889560829	-0.32032200481532	-0.317152730380989	-0.35064077674544	-0.288159164293996	-0.276683219255878	-0.32483330629411	-0.34017435717813	1.12351341290909	-0.382551981171783	-0.377734862154423	-0.295646183503675	-0.415390384710705	-0.403104398910802	-0.346848041566159	-0.040462825222861	-0.24630248581593	-0.320962258766861	-0.265009670506909	-0.269175427758381	-0.299086615746429	-0.257337464805226	-0.439774065250227	-0.271903103784326	-0.282056795697379	-0.309478331866349	-0.447876172436648	-0.264476192654622	-0.203257268763817	-0.352697466582854	-0.376072993067774	2.40758168701821	-0.397251509170014	-0.214865881664534	3.05929229289556	2.69081965430785	0.776840663009803	-0.389794813636519	-0.437767168878418	-0.240579298296027	-0.381281540139671	-0.340457365903434	-0.329004018241361	-0.294003874386153	-0.444685681883058	0.0992072713270409	0.185651545380224	-0.359912879239975	-0.34599294401543	-0.304576142873837	-0.491734542502281	-0.36257603791669	0.662621364615127	-0.404093978463157	-0.313990105317041	1.14880030639123	-0.391200055804507	-0.446500747708351	0.798294512779582	0.123034556381733	-0.312522649746144	0.0665562336509852	-0.130119270366559	0.779246709808044	-0.0880769952440932	-0.204458034244164	-0.294672404947837	-0.410104170388959	-0.452473041626585	0.53320363245996
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales	-0.387063771581771	-0.394132603713493	-0.414117960090035	-0.396357649201139	-0.392918047406715	-0.39095721033635	-0.368898550412702	-0.45316723903668	-0.3518693206136	-0.333441920433254	-0.250239841199121	-0.494306803410589	-0.467728635969782	-0.465491734395796	-0.406834588012039	-0.490436257576942	-0.411996353415226	-0.407514026522559	-0.483219387983345	-0.470915230203194	-0.49915150257631	-0.457543347808322	-0.456983905685314	-0.350619877815715	-0.410179752741568	3.71933391053822	-0.416911333333555	-0.361431696384782	-0.372960948874145	-0.423466192750913	-0.386213121917461	-0.464404531358783	-0.458570002684622	-0.4443515528255	-0.364870751677805	-0.454286929657029	-0.439397682164607	-0.452667890947612	-0.412666801673379	-0.376742726456154	-0.425249473889422	-0.388652089287962	-0.407660086413752	-0.316858809366846	-0.322921127647606	-0.390050491737876	-0.415645613607538	-0.254739971010628	-0.406417167066656	-0.419069143879174	-0.363993176458687	-0.27064827600594	-0.325115036856227	-0.368578604596415	-0.376374451833419	-0.384285449866794	-0.350240253306625	-0.310799181602247	-0.304714293931654	-0.425203170632314	-0.297677958959458	-0.254563797651792	-0.312342830903786	-0.302201997606867	-0.355302922869106	-0.290255219012924	-0.296911115046682	-0.322862670271057	-0.319525521912541	-0.35568636301054	-0.31537528722791	-0.282066364419298	-0.340046796129801	-0.349095525669021	-0.328324193880471	-0.479423232437428	-0.384381798913272	-0.363639176741735	-0.42054992103746	-0.441037308765498	-0.479554489649395	-0.299537595869871	-0.295778077502015	-0.323991467805578	-0.266186691712973	-0.469302645127924	-0.306295560631031	-0.383042918155002	-0.4547832637772	-0.294284948251853	-0.294549540150753	-0.315774532576668	-0.461714269235888	-0.288105559652509	-0.365934244669431	-0.371858144568314	-0.377416698836535	-0.551455787603211	-0.431850746071446	-0.211709602794706	-0.275866051853706	-0.528893525354685	-0.413255164799337	-0.390233057484514	-0.425799513026245	-0.456383812150836	-0.379878019125273	-0.450747511714072	-0.422914521595801	-0.460490282051911	-0.440051708996861	-0.440921554121196	-0.387470986236569	-0.396249629734459	-0.376706822713218	-0.305154400756271	-0.494958811524179	-0.366141208920933	-0.555404394761647	-0.400090897567845	-0.397784021393455	-0.501111807335225	-0.481688424085833	-0.485103465041936	-0.592368902821189	-0.586537676521112	-0.316480865106985	-0.515277073114406	-0.266488132193113	-0.410459041923228	-0.33745304199603	-0.343373307529594	-0.294394233924526	-0.274008394251908	-0.450290694223699	-0.423709740423856
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	-0.363463936365913	-0.369367403302421	-0.407090166587219	-0.394524832133421	-0.393234811399423	-0.384865887006711	-0.36557952154621	-0.376738338218742	-0.336981890989138	-0.310447027270296	-0.23973766608586	-0.423040246547095	-0.441378896565714	-0.445584806004515	-0.372711019126978	-0.431948248130316	-0.355228253611232	-0.407147188971648	-0.524577422503259	-0.466025325519283	-0.468035064379746	-0.394711018098635	-0.35551682450015	-0.318071247819227	-0.402497614945649	-0.416260269516383	-0.409118002719381	-0.353387538427602	-0.357723700279541	-0.401905886367274	-0.390685473837628	-0.480755320392833	-0.448331604388542	-0.42766074575477	-0.352679995324575	-0.430391704364683	-0.388529293162908	-0.43377702152901	-0.401765995097208	-0.371604234952452	-0.41244569154885	-0.371813714096355	-0.410019932723278	-0.314139082195048	-0.321666010181375	-0.390351022227401	-0.409505806045515	-0.253466781458038	-0.402982047959506	-0.422359900402122	-0.355163635717823	-0.266643795805966	-0.311138812197984	-0.35876478804501	-0.352125807526009	-0.378398514141376	-0.346670298933152	-0.283307250225771	-0.302540857187344	-0.420437153711626	-0.294987900066912	-0.253728337692145	-0.30747900183462	-0.299447790017743	-0.353591333209188	-0.377047099438459	-0.298469278406309	-0.318797821667818	-0.289183522223282	-0.352154275783836	-0.311369461780163	-0.274315378492867	0.383444292255343	-0.347310864225267	-0.340620874506913	-0.47723502746797	-0.382547892325481	-0.310355812473914	-0.404431351666912	-0.435422741979276	-0.466902431357743	-0.295502147634958	-0.294110671571665	-0.322645071474474	-0.265009670506909	-0.447475297116789	-0.30478638674188	-0.364586509481884	-0.45130180029427	-0.290661701143123	-0.261421982743386	-0.313885366523625	-0.45350405023556	-0.287602356132111	-0.361480602528598	-0.359880049199319	-0.31081617760624	-0.492242306468289	-0.291330763952388	-0.388458808339185	-0.460670914059527	-0.555500288737378	-0.340061664932886	-0.0574174283764294	-0.353409707093393	-0.365800998868983	-0.189537389912296	-0.393685477334985	-0.420118059906866	-0.384734606518305	-0.409497198577934	-0.418532345452147	-0.369309550683793	-0.093504636255433	-0.240801800704756	-0.259166249796495	-0.325918448608208	-0.35307295924812	-0.555404394761647	-0.402759510472512	-0.393773167103877	-0.282782874197152	-0.583286915374818	-0.476844193323808	-0.52088443204313	-0.572792199127941	-0.310638183355622	-0.521338648414005	-0.258632876539501	-0.418226758082033	-0.33616707614086	-0.339157160145317	-0.247193016552933	-0.427081539472907	-0.454655605473141	-0.420453062337041
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	3.81428921791422	2.61883347970227	4.95459673040147	2.92660562286377	2.9102827794866	2.02640865484219	3.60122504546457	4.10628801418977	1.74313948451442	3.10647427812444	0.949332306511412	4.26078733352252	3.27929624913352	2.03547797088997	4.84824320571925	2.2398718688685	3.2854661241066	4.05703846127775	3.75171847226507	2.90121426023851	4.10205819907042	2.35324362016411	4.51785199112187	5.09044827685658	4.379564692195	-0.416260269516383	4.01595512494477	5.33677658059587	4.9026942310375	2.13012988023531	0.845182543630749	1.79672378788828	2.98616265493695	3.81498353191462	4.83634548716722	1.70493658052198	4.57757745688611	2.85825736111756	4.59337341417051	2.04838708818337	2.79720014690877	2.72087021658755	3.20962712627747	4.65278010655083	2.45267237503825	0.991615749370083	1.25059488785258	5.67923220472728	3.36885240328404	2.77159075903513	4.89066728301407	0.758630759138603	2.11190213681814	4.18560265322892	0.436707542179058	3.58868362149782	3.69441482965128	3.41440660519659	4.56914904320914	1.78199098262922	4.99675418746792	5.62181553089293	4.02358315679177	0.0491628399227971	0.917559175513959	3.34309574575271	1.88151062174104	4.80303763582491	4.99175319268448	4.88225111161819	0.0890109161816744	3.36445928573767	5.03003049065791	0.218957211904602	1.15696044165914	0.672715444421119	0.466401125407907	4.34505862735631	3.98107631598595	1.01448640598366	2.37349548350395	2.10477597295772	0.295171562232546	1.7372722068144	1.93102078219706	4.30943371074815	2.79008195043442	1.33630383829939	1.32969839131352	3.55125470572203	0.497454659827665	3.87384917679128	-0.00761515689725601	2.38854153212496	2.51446300701987	3.52196552433004	3.87262228004131	3.01252225060832	3.50485325873595	0.67139350969459	0.907832778021467	0.627990013375922	0.152887200750311	3.06396103386317	3.79105762014882	0.88044539462715	2.68431447385221	4.23516956550724	2.51082771347929	4.12709197445584	0.695370858972239	4.36485683830593	2.50472065229744	3.72616170402879	4.62395644487767	5.21698384756085	3.42793005259371	5.0316661043937	3.2126658484292	-0.359447829704448	1.7687052798288	2.8433065197839	3.15460847428739	1.79805425961043	1.07407065385851	1.71689796935137	4.83652744257307	3.67447117635914	0.40122259051219	0.803683892825066	1.55104266926575	2.79460423214837	4.9383067139487	3.35191958129429	3.28449126255978	3.05092647259726
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales	-0.387825612174126	-0.393078030200006	-0.415329932915651	-0.396357649201139	-0.400838890650161	-0.391718775077892	-0.369341139764847	-0.454601364840029	-0.351327701116129	-0.335599531451515	-0.250846019302399	-0.489736178530846	-0.46523459483498	-0.464780444012607	-0.405083085032526	-0.493225337125645	-0.41226583548223	-0.407147188971648	-0.519348990061745	-0.486815419219325	-0.500762203239693	-0.467578527245031	-0.456442814415882	-0.350998757764558	-0.409699519420922	-0.416260269516383	-0.419639797135942	-0.359178922882666	-0.374197038143747	-0.423073950968225	-0.395531880633004	-0.487088145709308	-0.461437734429676	-0.442154534450411	-0.364153388041791	-0.458347505842363	-0.440799683813493	-0.451349321847609	-0.418119735285037	-0.378113269259946	-0.424119357098163	-0.388315152408308	-0.41608957948844	-0.31710608321298	-0.322711933612738	-0.393957818391115	-0.41359876851698	-0.244376545649371	-0.409852964388379	-0.426638804601551	-0.362366314292969	-0.267350372988654	-0.325115036856227	-0.368350305049803	-0.374528124182953	-0.372233526500689	-0.352382636785176	-0.311277777329486	-0.304714293931654	-0.42582492047185	-0.29933365142658	-0.255733541907575	-0.312554341443123	-0.303426274822749	-0.357014707308952	-0.392477282909186	-0.298988705789642	-0.322862670271057	-0.290604364316371	-0.35568636301054	-0.315108195089536	-0.282066364419298	-0.341837610413452	-0.349350494770021	-0.343916334821167	-0.481064543754903	-0.384840307576745	-0.36862159409802	-0.420764934297549	-0.448525977595988	-0.490441569741595	-0.299955126855711	-0.295929670552061	-0.324328087192314	-0.266018538775544	-0.473866543513711	-0.306295560631031	-0.379196114244378	-0.455000876699373	-0.294449665675474	-0.296472565005242	-0.315931974917922	-0.464764655129867	-0.288776528222574	-0.365748651440495	-0.372257567909448	-0.377192739988775	-0.559341398961148	-0.431850746071446	-0.395749449784155	-0.461204480723225	-0.567705158100119	-0.435794549190455	-0.344279820405829	-0.441758096367585	-0.463307619022062	-0.383086247243583	-0.45022082229542	0.021380386345476	-0.466704094818508	-0.445149144412169	-0.378345873857225	-0.341124375349869	-0.395328732200108	-0.376706822713218	-0.305154400756271	-0.471228131479653	-0.243500642779142	-0.534101660641673	-0.405873436677625	-0.385990107155256	-0.50598254531245	-0.612968827997186	-0.489101114142262	-0.597434787910274	-0.58791265568182	-0.322891806924278	0.288722039322397	-0.268091846989971	-0.416672943441598	-0.334238329743515	-0.343574105708859	-0.294672404947837	-0.404175839356525	-0.464479822424612	-0.3246259700574
Bacteria|Bacteroidetes|Cytophagia|Cytophagales	-0.382747331296404	-0.390705478934084	-0.391832575043118	-0.395833967343554	-0.400205089492075	-0.388418900888317	-0.366685787789711	-0.453740876649554	-0.347536910985106	-0.317389621607622	-0.238930190921457	-0.478840733521845	-0.462384645719436	-0.46193552605576	-0.396328128650678	-0.440989658976641	-0.393142913848339	-0.39064745055681	-0.464090201057011	-0.472545455689636	-0.500225289565507	-0.458911482262443	-0.44454253210982	-0.341908227241339	-0.398657821773599	-0.416260269516383	-0.406780661960007	-0.343096936987966	-0.367605666074229	-0.410134881634349	-0.394413353588312	-0.479172418362618	-0.448331604388542	-0.438639847041405	-0.356623034801351	-0.448423138400577	-0.397852605478402	-0.443000479990463	-0.399670459170721	-0.374001992550363	-0.425626195463897	-0.356001379605387	-0.4137289096176	-0.31710608321298	-0.322921127647606	-0.395160260344736	-0.415645613607538	-0.25419430159796	-0.411762033832494	-0.425651272767968	-0.364458024742501	-0.270294886480448	-0.317829910241101	-0.368578604596415	-0.376638230721136	-0.382603251382012	-0.351668474713457	-0.307688705817267	-0.30449693427903	-0.426239432605849	-0.290850414508938	-0.255566428419407	-0.312554341443123	-0.303120194846368	-0.342983822102886	-0.392186019574257	-0.294314571991324	-0.323370857405182	-0.319841923905268	-0.353667926386855	-0.31537528722791	-0.282066364419298	-0.341300344185346	-0.349350494770021	-0.343257185033102	-0.477782056199893	-0.384611051644048	-0.36132645264601	-0.420764934297549	-0.43702673475871	-0.490441569741595	-0.299120078165898	-0.295323309045294	-0.324328087192314	-0.266186691712973	-0.472562468051441	-0.306295560631031	-0.382658197026206	-0.45260727338507	-0.294284948251853	-0.296312302087358	-0.315931974917922	-0.464764655129867	-0.288441039574086	-0.365563060369007	-0.331567337359124	-0.377416698836535	-0.543888139402331	-0.431850746071446	-0.401903361602262	-0.461471269500992	-0.565855526845484	-0.435794549190455	-0.390233057484514	-0.442007557722058	-0.467303235354113	-0.383086247243583	-0.440742872961568	-0.427343137403594	-0.423249311445447	-0.445380880125816	-0.442828241734151	-0.387470986236569	-0.395789174595791	-0.376706822713218	-0.305154400756271	-0.494958811524179	-0.366141208920933	-0.567032176885986	-0.405873436677625	-0.395188654055055	-0.495633570623024	-0.610606489413993	-0.489101114142262	-0.591018179520561	-0.583787953592074	-0.260605396284082	-0.521889785891654	-0.26280036199389	-0.419780708474227	-0.335524133692625	-0.332534154286323	-0.294672404947837	-0.428718702214803	-0.481136430702694	-0.4234383297196
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	-0.385032366577294	-0.377794060494266	-0.411936619752234	-0.273986739379422	-0.332522402284445	-0.286430674959261	-0.227019442618655	-0.376452652283001	-0.229688213817389	-0.298963015122177	-0.111234824585721	-0.431804763930392	-0.394108318938603	-0.384561128657537	-0.286379405257241	-0.415613713719151	-0.150409858079818	0.00684277772856221	-0.379511244025246	-0.434269128272689	-0.430540820347551	-0.420184189293341	-0.42076332335881	-0.329039213402248	-0.337336473319655	0.873051621172561	-0.343787020228438	-0.279571159016272	-0.337978073337517	-0.243176536872859	2.03866426407979	-0.363948025900669	-0.331184863841138	-0.406599097904873	-0.230931097731305	-0.441659405612301	-0.405781069391007	-0.425435792279652	-0.362829765963145	-0.329530658082619	0.07141371884391	-0.351966628277806	-0.367927932201151	-0.160461457656068	-0.152833372982881	0.929627447602861	2.99406106926931	-0.220411767991803	-0.285831454056977	1.43842790703854	-0.17660656229125	-0.144436685564424	-0.235203010513901	-0.202816685389405	-0.156617085671275	-0.320483574810434	-0.172782664932978	-0.199964911585656	-0.281042968767892	-0.289156702148441	-0.250165100666078	-0.0695541299159045	-0.201754335457623	-0.269036826605644	-0.343667951970292	0.129078761248895	-0.273905670612385	-0.314734125436711	-0.296289146704273	-0.315368754059169	-0.276968507657435	-0.270872056648497	-0.293201770553914	0.344328833425907	-0.166768847423846	-0.278294418907665	1.7926886614434	-0.0927289419658565	0.0768275894710187	-0.365513349320817	-0.196523481807054	-0.145542999965395	-0.260354217803947	-0.270572035043027	-0.254253670127562	-0.337393083515361	-0.241055361296335	-0.0358855605177516	-0.0873768850519219	-0.283253707024218	-0.286860279215762	-0.304128850327004	2.8404642360319	-0.278380436093544	-0.344049123131262	-0.320614507484864	-0.243827200374045	0.310217292874208	-0.322716776898827	0.627249035786228	2.00859349603269	1.48228748892862	0.127361429894713	-0.355865677296245	-0.385714042302817	-0.300976865014095	-0.259830360157376	0.322270311059847	-0.327149320777704	-0.291861554257897	0.11050895547798	0.233533263414863	0.0722846763374522	-0.174638519101433	-0.361015642109419	-0.0438905429176981	-0.0899865895529484	-0.2133459353051	0.439229591837253	3.39527894989108	-0.221733648378225	0.382918192593657	0.230363445927308	1.52837638030345	0.838429982046074	1.40657592722284	-0.285787260343591	-0.34843322515006	-0.212721529554641	0.026027668790649	-0.208112596137019	-0.29025532808826	-0.273270946421754	-0.0319110879566714	0.0563848207870042	0.486901863484085
