Species	HS00P003	HS03P003	HS00P004	HS03P004	HS03P005	HS00P010	HS03P010	HS00P011	HS03P011	HS00P012	HS03P012	HS00P014	HS03P014	DS03P016	DS03P017	HS00P019	HS03P019	HS03P024	HS00P025	HS03P025	HS03P026	HS00P029	HS03P029	DS00P030	DS03P030	HS00P031	HS03P031	HS00P034	HS03P034	HS03P035	HS00P036	DS00P037	DS03P037	HS00P040	HS03P040	HS00P041	HS03P041	HS00P042	HS03P042	HS00P044	HS03P044	HS00P045	HS03P045	HS00P046	HS03P046	HS00P047	HS03P047	HS00P048	HS03P048	DS00P049	DS03P049	HS00P050	HS03P050	HS00P051	HS03P051	DS00P054	DS03P054	HS00P055	HS03P055	HS00P056	HS03P056	HS00P057	HS03P057	HS00P058	HS03P058	HS00P059	HS03P059	DS00P060	DS03P060	HS00P061	HS03P061	HS00P063	HS03P063	HS00P064	HS03P064	DS00P065	DS03P065	HS03P066	HS03P067	HS00P068	HS03P068	HS00P071	HS03P071	HS00P072	HS03P072	HS00P073	HS03P073	HS00P074	HS03P074	HS00P075	HS03P075	DS00P076	DS03P076	HS00P077	HS03P077	HS00P082	HS00P93	HS00P96	HS00P109	HS00P110	HS00P118	HS00P137	HS00P142	HS00P167	HS00P176	HS00P179	HS00P192	HS00P198	HS00P201	DS04P86	DS05P114	DS00P119	DS00P138	DS04P138	DS00P140	DS06P140	DS00P166	DS00P172	DS00P180	DS06P180	DS00P191	DS00P193	DS00P194	DS04P194	DS00P196	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinobaculum|Unassigned	-0.236386392553969	-0.238687342344891	-0.330385801884788	-0.253748328620876	-0.258683767273385	-0.250234690795	-0.266820227971223	-0.292074325975546	-0.224602591913052	-0.22174072057202	-0.179970604526179	-0.372848540931592	-0.303508726140872	-0.289157578578553	-0.33217484528952	-0.306702753314294	-0.270463472137521	-0.267334716775281	-0.382314330126919	-0.321975134598877	-0.364094250170515	-0.289321396368904	-0.319456120244789	-0.22927051489001	-0.270215546972223	-0.243079094248861	-0.284435679580985	-0.31683497983309	-0.267842326054483	-0.258465043039981	-0.221865213590145	-0.297545078548604	-0.298175221282994	-0.312265072428454	-0.317468874455692	-0.281020501628613	-0.318772320647895	-0.308825098804637	-0.316073395984982	-0.238299664044818	-0.277697214058884	-0.246215604714459	-0.257461841740682	-0.224570827748987	-0.20862399539511	-0.170743024471965	0.274407415259277	-0.224134134382615	-0.278463624342877	-0.269538134679527	-0.239941082162888	-0.1674232623779	-0.210208929104337	-0.23305456138294	-0.215554936210026	-0.269036772296979	-0.240018299307794	-0.0951720496902588	-0.198963926239577	0.356883074006712	-0.204118641154846	-0.246574256433936	-0.22530316596432	-0.166854946988644	-0.210441493946109	-0.218956914076906	-0.198075438963829	-0.215158079418422	0.128651675894831	-0.283235858269374	-0.175491205059434	-0.182577260614686	-0.272514040545303	-0.213986177738103	-0.0810053664187567	-0.285054276820966	-0.236638237641558	-0.265682789132257	-0.0604679311027719	-0.276196849612302	-0.26722262070206	-0.200515012361516	-0.103965417258294	-0.202351530507917	-0.171135265014031	1.37116123574702	-0.200346523820522	-0.220684742498686	-0.299169978847165	-0.199248908533046	-0.179297374818612	-0.231735692065704	-0.266346099361596	-0.19234198715256	-0.256339197529636	-0.245892508397396	-0.338864216594251	0.224494869823179	-0.2805622054774	-0.160677637781953	0.383760161600929	0.0416061010787495	0.276956677867557	-0.238966235038807	-0.277866541220209	-0.22016749496669	-0.280916144891723	-0.459174903922165	-0.353392888463959	0.108928300718237	-0.27276222963494	-0.22593692924601	-0.207229012505055	-0.221156493863854	-0.1372629530778	-0.280754706112945	0.595138367852816	-0.296509271475587	2.45887198408824	-0.221105105614794	-0.31545965087999	0.278725455971218	-0.018647762629464	-0.372984681402751	-0.305892003600152	-0.405298865210236	-0.202031939799338	-0.135977803299066	-0.187129203184772	0.195183073907187	-0.265652250924578	-0.302390637256701	-0.149248343297631	-0.29178078450371	-0.19365304402714	-0.16135786617942
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces|Unassigned	-0.145894460332905	-0.226861228823899	-0.284775779071664	-0.245496237028021	-0.251964775829989	-0.209072115881597	-0.261673064639783	0.0497611928584245	-0.19649251032454	-0.182341209202236	-0.17648769307809	-0.28715825584039	-0.250460713510036	-0.243547187704116	-0.310031584069408	0.0421318665679327	-0.23672251559198	-0.258671433302359	0.105579044749412	-0.104831326863882	-0.303062760968052	0.171118649441148	0.424497254918266	-0.191555505664544	-0.215338269386968	-0.243079094248861	-0.283672528258099	-0.191157021426167	-0.235830795074563	-0.24577942338732	-0.22646728115707	-0.268608748676614	-0.272669869571692	-0.287456662488041	-0.297862841637324	-0.129144056140786	-0.272564599734594	-0.213987910329095	-0.243027908791599	-0.191512785771943	-0.258963251790405	-0.21596321177406	-0.225339899241827	-0.224077990353159	-0.208245708787183	-0.0325986769372874	-0.135852597443505	-0.217620867077266	0.637977435261901	-0.229104290899094	0.160370389357455	-0.0319182023364409	-0.184198236944902	-0.235455930549266	-0.0147435097788345	-0.256868944818285	-0.238021970900981	-0.00250003095224923	-0.197413187029633	0.0794820231907837	-0.201810728058986	-0.156158766691327	-0.209824214527784	0.244472835663531	-0.139053430284967	-0.0171060438517452	-0.188892955739786	-0.121346126031081	-0.257422216212299	-0.28270314267198	-0.0793301777388876	-0.180664513241489	-0.198797008405469	-0.173599474652864	-0.0292809988424441	-0.0803078856836517	-0.210332242165179	-0.2342738318409	-0.13225308711875	-0.182127212379623	-0.0165005113649853	-0.176793219922869	0.267340232739553	-0.193625064901916	-0.163708071816196	-0.054481980718467	-0.198832150802894	-0.105005962742997	-0.249168013171104	-0.190393937977523	-0.0413094553306084	-0.225876463066159	-0.237815839149161	-0.187396220408132	-0.2536786087295	-0.222511048147668	-0.268600528267608	3.52182218347032	0.122430312676529	3.76061826453278	-0.0406115057448946	1.36648031861385	2.40616854452777	-0.203052334609979	1.58524410872762	2.32243695761278	0.0426190972614354	-0.453544607375793	0.010312758478079	-0.319097724098901	-0.0992567066273463	-0.351564792485366	-0.149084408253228	-0.260637368218372	1.07779221193843	0.045750937891019	1.12187215691984	-0.286334987264221	0.221255225616755	1.02303408652224	-0.287111090970765	0.432844320973589	2.43315559683527	-0.0271249931685118	1.22549721820043	0.901212739256813	-0.160887535822808	0.393271257673098	-0.179828020012539	-0.0813750101048195	-0.2593235986237	-0.290889873839085	0.231545976424845	-0.262289588863824	1.02326519310491	0.361280844892073
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Fudania|Unassigned	-0.240704733215795	-0.260462931613956	-0.334535928336748	-0.254665407653687	-0.26036381520727	-0.257026537357216	-0.26724920857817	-0.292074325975546	-0.22650971772619	-0.224808172504284	-0.179970604526179	-0.382303036729756	-0.306037504356104	-0.305235626057367	-0.333440699879723	-0.307293828660424	-0.26853413843113	-0.274667602289592	-0.382314330126919	-0.326350386569236	-0.380462739151043	-0.209237406936894	-0.305994362373868	-0.229944597586031	-0.274576245631152	-0.243079094248861	-0.303521686143234	-0.319032281725528	-0.271846788005266	-0.263808436528319	-0.227782328040228	-0.288499048246103	-0.298175221282994	-0.317400731698642	-0.318286106002099	-0.288016293971411	-0.31695875241111	-0.315322161426762	-0.320326437756792	-0.239485444637674	-0.279035910851433	-0.246215604714459	-0.259183929066713	-0.238374727627123	-0.215055940946338	-0.243745751817042	-0.263870213157044	-0.225762765463562	-0.272813270446645	-0.277750431228224	-0.269416145182004	-0.168659902968583	-0.213022908217882	-0.237056993524284	-0.229813064532646	-0.269565950218576	-0.242680354344617	-0.197526752447052	-0.199739342583735	-0.255195783164922	-0.20681154503294	-0.248184993376706	-0.225710662505017	-0.190915471909418	-0.217940258479802	-0.290272297670089	-0.200292529247553	-0.233773027449866	-0.295375880368516	-0.285366837300771	-0.196620502618051	-0.183725006065912	-0.281547353423964	-0.213986177738103	-0.207660066071699	-0.285511131979283	-0.236638237641558	-0.267778208291538	-0.322156285148996	-0.278018168159775	-0.291228997135923	-0.19847329615367	-0.182331346934312	-0.204097290674607	-0.171432417728607	-0.301509542204684	-0.202466844358518	-0.24341661973872	-0.321284132944208	-0.20291422281095	-0.183436446672165	-0.232660981650573	-0.271675465646634	-0.196670570172554	-0.257859661991811	-0.251741602016835	-0.35195595689143	-0.39801976056475	-0.340502829886187	-0.223845057399343	-0.323560342763955	-0.373364974815898	-0.0691211457353344	-0.280861445854798	-0.333558034936867	-0.311755135417971	-0.285439387777395	-0.45847106617135	-0.351844205820922	-0.310354254307247	-0.278699607051158	-0.400714196085521	-0.293150689209067	-0.279735265064736	-0.309279807314669	-0.281208801298553	0.666108936541998	-0.297018094781573	-0.46056463475588	-0.241912392990555	-0.314464450844078	-0.404582568320265	-0.341113016679371	-0.347041457540873	0.180914200966607	-0.3852471502601	-0.200070708678143	-0.435075786108084	-0.184999408505645	-0.27691555016473	-0.268817186935042	-0.302390637256701	-0.205904587364961	-0.330720983219114	-0.295529799399771	-0.292618484802904
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Schaalia|Unassigned	-0.201438707882339	-0.243419452402224	-0.309644576601799	-0.251914278553464	-0.25308447439652	-0.241634452943433	-0.261244184683784	-0.0684891925443988	-0.204111879328497	-0.139085464657745	-0.161789221072386	-0.303842611202319	-0.271919583665682	-0.28658596425461	-0.275901774719071	-0.194043530196656	-0.259371921749354	-0.264002318876328	-0.303649154260274	-0.208465673231467	-0.256282110590403	-0.0797269658120676	0.403315266778409	-0.186173033468189	-0.198812490097311	-0.243079094248861	-0.2646009622101	-0.286823247186707	-0.232632002383513	-0.235102184709643	-0.178519850760766	-0.277647925398527	-0.276311934261902	-0.263525612752466	-0.253802011292231	-0.119874971979665	-0.168662086741245	-0.265011719496448	-0.265939075484773	-0.212228775677389	-0.242248780658559	-0.185751919840261	-0.236806862680204	-0.236895326928889	-0.215055940946338	-0.238596794485379	-0.256739626922669	-0.225355595906124	-0.272813270446645	-0.264846656357295	-0.262044003690988	-0.144149334508871	-0.209153788247073	-0.235856185027313	-0.200416254163082	-0.267978451949972	-0.239352836234003	-0.19332155832813	-0.199739342583735	-0.203413687856187	-0.206426822150486	-0.235704850304702	-0.222450913851218	-0.142825404878149	-0.21620952900107	-0.301971315371005	-0.202193087060547	-0.226423121357844	-0.294247728732378	-0.283768585530482	-0.167688521650701	-0.182577260614686	-0.265839312710627	-0.183473863814961	-0.230533292723572	-0.279572662492676	-0.147404012262701	-0.265682789132257	0.387789294715541	-0.270278495333348	-0.0678950542119365	-0.200004563320027	-0.168985502114603	-0.200605926057252	-0.168164012854811	-0.270069983263281	-0.202769766181857	-0.233913945113497	-0.28499321118325	-0.200470602631327	-0.15420689122216	-0.227109850287968	-0.212357151721593	-0.193269459153713	-0.278775494491162	-0.244430468163125	-0.333411126020021	-0.332321656610288	-0.311842730879482	-0.214686683726476	-0.28777839170191	-0.207725615582918	-0.243806068015014	-0.271545243554456	-0.321005033255843	0.0150419761216624	-0.2726941674899	-0.433142547895012	-0.353909134528914	-0.34971924522803	-0.272366457258558	-0.375282417922303	-0.176610568083056	0.00166408143968661	-0.195881535554696	-0.275760231924762	-0.346996129304364	-0.289895514073214	-0.454948843906794	-0.234244202919268	-0.259785950084279	-0.351995448991241	0.00145009780413408	-0.377402829551889	-0.320857749141228	-0.153323124763489	-0.15632130103974	-0.375776614002604	-0.18256564276655	-0.329695864196727	-0.255256037783299	-0.287210705873131	-0.175667948227919	-0.316165766595143	-0.0747737889491143	0.201785635579676
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Scardovia|Unassigned	-0.240704733215795	-0.258095043511857	-0.335054738262991	-0.254665407653687	-0.26036381520727	-0.2565736875805	-0.26724920857817	-0.292576718698619	-0.22746334533717	-0.226561199781367	-0.180744673027732	-0.377939076423832	-0.305405286912197	-0.310382589734163	-0.333440699879723	-0.307293828660424	-0.270945829809476	-0.274667602289592	-0.37393589016694	-0.326350386569236	-0.369549436839691	-0.298058428837323	-0.325671444280962	-0.229944597586031	-0.275448480079804	-0.243079094248861	-0.306576736987869	-0.319032281725528	-0.272647761019679	-0.264476447421529	-0.250807919853929	-0.305689171974207	-0.30255012232553	-0.322537380827635	-0.319103362641531	-0.290348653203631	-0.317865521200135	-0.31450994111847	-0.319475774703956	-0.239485444637674	-0.279035910851433	-0.246215604714459	-0.259183929066713	-0.238374727627123	-0.214677535081284	-0.243230801973998	-0.259795325131115	-0.222505629021336	-0.274932000519284	-0.274817145279329	-0.26434755600661	-0.164538103910484	-0.213022908217882	-0.23305456138294	-0.206648509958769	-0.26057153440597	-0.244011503523868	-0.188696867422041	-0.199739342583735	-0.248238354709792	-0.20681154503294	-0.248184993376706	-0.225710662505017	-0.170025988425018	-0.218517201028102	-0.313059291774109	-0.202193087060547	-0.233773027449866	-0.293871689286077	-0.283768585530482	-0.190646786244314	-0.183725006065912	0.42806001283926	-0.180897470479585	-0.247491317080444	-0.293735944988684	-0.235089948365907	-0.26288918659774	-0.16275020247954	-0.275286240896854	-0.29380243868772	-0.203322720334684	-0.183116698967464	-0.203515353315686	-0.171432417728607	-0.298014438543602	-0.203678559988863	-0.248169458120313	-0.32420624463527	-0.201081478676665	-0.180401036525335	-0.231735692065704	-0.267868656004652	-0.195124536518217	-0.281819265448341	-0.24918243991331	-0.353047210845329	-0.404781634169501	-0.243494708938228	-0.28542488311817	-0.323560342763955	-0.373364974815898	-0.072476788192036	-0.237274995063442	-0.204786523128688	-0.323163506209773	-0.0419437548035314	-0.459878756155291	-0.357523116256124	-0.406041523868118	-0.278699607051158	-0.401844978883481	-0.301860792333937	-0.242441628275986	-0.308808232419136	-0.280754706112945	0.859697649226844	-0.297526928480427	-0.461266673653162	-0.241912392990555	-0.31545965087999	-0.399977689741382	-0.475019056505596	-0.379059806238587	-0.089170258324244	-0.409181323491311	-0.151104058925126	-0.440022257171749	-0.191085154526368	-0.332419257208803	-0.271078104508419	-0.303771071466693	-0.215903530970338	-0.342713130304663	-0.417066722326967	-0.291100261797638
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia|Unassigned	-0.115812175229203	-0.213150379433591	0.405570686476316	-0.180041337215342	-0.147507916305836	0.319241364961265	-0.0686044217645076	3.51330625532276	0.248238145943452	0.0144405851223352	-0.106579977218972	0.466804027698863	0.0680814319994668	-0.196090106208858	0.0162951607058299	2.47211757808918	0.243006505136176	-0.206091694715011	0.828850023756422	0.72497900548367	2.85753162025825	1.16572395374433	0.359891811407765	-0.0901876065848315	-0.0869101212768802	4.56611133207764	-0.0360625938887049	-0.106729605227746	0.685806317141607	0.36353953525203	7.91089351239648	2.20337277390694	0.282811178155379	0.22657076351776	0.478709506846829	0.679049506774403	-0.140722387050502	0.548382050300723	0.00433167328166984	-0.0652753870333348	0.546701797142272	0.947144831230951	0.285946828672754	-0.224077990353159	-0.20446322838167	-0.131257918527792	-0.189107739742865	-0.217620867077266	0.78043662908623	-0.19224590681227	-0.232117816586231	-0.143943507228558	-0.209153788247073	-0.23305456138294	0.0350509291966226	-0.262687560013329	-0.237356568639498	-0.149639962282351	-0.198188541055647	0.0273065672945458	-0.199887671750056	-0.148139707575417	-0.22000643781614	0.0684058561704021	0.00639884119942908	0.0856813658777901	-0.171173131054772	-0.223973703605463	-0.249537955584587	0.00327172395470066	2.16244330729837	-0.144360668150686	-0.248964020167052	-0.201947644829244	-0.167476078253012	6.96641956790975	0.567415090947173	-0.264635149388805	-0.240282740308347	5.66885034977756	-0.163311026787817	-0.172969818816583	-0.0560661112414919	-0.152372519211835	-0.160738069029306	0.42036737098273	-0.168871846720769	-0.0500806677113627	-0.27290722890378	-0.19375224174104	-0.136030725435063	-0.228034937834783	-0.246561552660481	-0.17812631342604	-0.243039103517573	-0.234564135015939	-0.348682449479265	-0.317604647013545	-0.205947443316072	-0.192459015593433	-0.314484406209303	-0.264149150792993	-0.00712478605689927	-0.274932546149827	-0.0373393299013807	1.59455448180281	-0.292431467524978	-0.457063434114517	0.0724351312005275	-0.402909831504497	-0.269200515720998	-0.369068914726595	-0.303398168541342	-0.285067573943874	-0.300792791878878	-0.267135885667944	-0.3429516047485	-0.295491656040666	-0.370122631780581	-0.193393404251544	-0.315957264917782	-0.108612527198046	-0.169407299695043	-0.302935352135629	1.73808044219141	-0.334205516169534	-0.192881218297328	-0.405412713028181	-0.186520666639431	0.0725542598561351	-0.262939772257903	-0.249988485483868	-0.215903530970338	-0.335431591374282	-0.0185766090701939	-0.270359839672101
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Corynebacteriaceae|Corynebacterium|Unassigned	-0.23509105386448	-0.256674424993447	-0.330385801884788	-0.25420686363708	-0.26036381520727	-0.229418379946097	-0.266820227971223	-0.281526361373712	-0.226986526139279	-0.208599480389942	-0.160242686004865	-0.354674660509092	-0.299083951691469	-0.275659289210427	-0.329010457403791	-0.272442459443469	-0.271910574250286	-0.268001251236956	-0.152755253257973	-0.255703540465524	-0.358640039408806	-0.28058731796923	-0.300818503059913	-0.227248393327655	-0.264983750192516	-0.243079094248861	-0.295122131393411	-0.292676553676871	-0.267041514277079	-0.259800775816689	-0.233700976705659	-0.285785846947412	-0.298904319492946	-0.307986112263453	-0.318286106002099	-0.277134783164697	-0.314238629977643	-0.299082503146915	-0.28207365515648	-0.236521113924456	-0.275020043215883	-0.245051289897969	-0.255739883567322	-0.215208791469807	-0.207489156609992	-0.200531837949494	-0.0705912796935503	-0.224134134382615	-0.035268827276093	-0.055256403784196	-0.256055796500694	-0.164744171048971	-0.170503400895228	-0.23305456138294	-0.216891225383597	-0.26533285812104	-0.240018299307794	-0.181971955811351	-0.198963926239577	-0.126132617335794	-0.201810728058986	-0.122498260897121	-0.224895677412474	-0.164741218689344	-0.206981457791407	0.947030326914811	-0.18003108990141	-0.227402965577315	-0.288983681415501	-0.274181279000302	-0.150717331419748	-0.174162683687489	-0.248964020167052	-0.198509382057382	2.54603754624433	-0.129295001884127	-0.224641866824413	-0.127448246902657	-0.326279256211488	-0.202092599435485	-0.061518239684899	0.271519918014588	-0.0997952898679665	-0.198278695636955	-0.169352453725795	0.0532400277051365	-0.190656575538138	-0.0258617501882761	-0.294999557115559	-0.161109881898755	-0.160269595426058	-0.220018854297546	-0.246941872603602	-0.152194176021926	0.0515280160701654	-0.21593930785645	-0.349773576211374	5.21865892106964	-0.267847854083842	0.0710025855268624	6.12391092784828	5.27339289834649	1.76068545732455	-0.280014372879052	-0.322511090099001	0.100642191060447	-0.292020114467417	-0.164830844454758	-0.139946454868364	-0.00834627561855274	-0.277512012786699	0.88568483305897	0.885375339336948	-0.214951819501694	-0.242873600364752	-0.279846541783247	-0.356820868545963	-0.289895514073214	2.17825020198599	-0.238990854644274	-0.139394925221479	3.10521920114398	-0.0144886252290179	-0.290817765461515	1.98117079647785	0.919822817378143	-0.185041165796079	0.874850963120362	0.0725008927970691	2.16315031425974	0.2568183415634	0.0186269533295178	-0.215903530970338	-0.285794632522615	-0.340976837433505	1.47731267589043
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Arachnia|Unassigned	-0.240272861411387	-0.260936537823246	-0.334535928336748	-0.254665407653687	-0.258123777972817	-0.255215189690477	-0.26724920857817	-0.292576718698619	-0.226986526139279	-0.222617090505448	-0.179583582301142	-0.382303036729756	-0.306037504356104	-0.311026028015426	-0.33217484528952	-0.306111690880342	-0.271428197180279	-0.274667602289592	-0.375611391144094	-0.325621128894116	-0.378279766178256	-0.286939082097819	-0.323599514805034	-0.22927051489001	-0.274576245631152	-0.243079094248861	-0.305812940903536	-0.31683497983309	-0.270244922605627	-0.262472472552742	-0.239621160313561	-0.296640335223665	-0.298904319492946	-0.322537380827635	-0.315834486636455	-0.288793723241562	-0.316052014278935	-0.302329635381396	-0.316073395984982	-0.238299664044818	-0.277697214058884	-0.246215604714459	-0.259183929066713	-0.237388449519744	-0.215055940946338	-0.247350737483758	-0.265398479991225	-0.225762765463562	-0.280582842905485	-0.267192280770643	-0.270798672448923	-0.171545734006935	-0.213022908217882	-0.237056993524284	-0.231150259526579	-0.269565950218576	-0.244011503523868	-0.199629681639288	-0.199739342583735	-0.260067241699791	-0.20681154503294	-0.245768931963795	-0.225710662505017	-0.190915471909418	-0.21620952900107	-0.100109373183932	-0.198392151171057	-0.233773027449866	-0.294623773728126	-0.284834075045716	-0.197539703379897	-0.183725006065912	-0.285083004561192	-0.213556106509594	-0.218246653359537	-0.292821943971234	-0.235864079278665	-0.262540009555478	-0.337735187712998	-0.267547427325284	-0.304098780913584	-0.202556941808159	-0.185472956737516	-0.204097290674607	-0.171432417728607	-0.311997584758318	-0.203678559988863	-0.248169458120313	-0.324623715355896	-0.202608753371249	-0.185092335436992	-0.232352547298301	-0.274340587796219	-0.195742935158719	-0.282199763048696	-0.251375989938074	-0.353047210845329	-0.389415862132429	-0.340502829886187	0.0770361833531268	0.0266805513076689	-0.303578246133611	-0.228180963074747	-0.280861445854798	-0.299427303267622	-0.300847300033931	-0.289552138539531	-0.459878756155291	-0.350811797015765	-0.393516645565105	-0.269596235327364	-0.387147999882628	-0.303910647227765	-0.285067573943874	-0.309279807314669	-0.281208801298553	-0.3631798067167	-0.297526928480427	-0.43389786285096	-0.232418847154152	-0.315957264917782	-0.399319904876296	-0.203540948598226	-0.371328046950664	-0.366377414964045	-0.407240034277284	-0.204647222086892	-0.428275613772206	-0.190172171316683	-0.313905521711892	-0.2692693538486	-0.303771071466693	-0.215362919719516	-0.00160030485035972	-0.337862067081167	-0.292112400900361
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Cutibacterium|Unassigned	-0.239840997994054	-0.260462931613956	-0.334017128215675	-0.254665407653687	-0.248606000064785	-0.257026537357216	-0.266391255108175	-0.290064853916338	-0.22650971772619	-0.226561199781367	-0.180744673027732	-0.379393663782415	-0.304773084728787	-0.30909575838989	-0.333440699879723	-0.300792709939049	-0.271910574250286	-0.271334198004996	-0.287773762586153	-0.283357699769027	-0.377188338296328	-0.293292408447981	-0.325671444280962	-0.228596453282409	-0.275448480079804	6.21569805299425	-0.301994294201875	-0.308779748686666	-0.270244922605627	-0.264476447421529	-0.256732541828992	-0.276743867623914	-0.301091738831638	-0.322537380827635	-0.319103362641531	-0.282574955560136	-0.317865521200135	-0.312073430171335	-0.306719110120448	-0.237706797902975	-0.277697214058884	-0.244469155344852	-0.244263461674175	-0.238374727627123	-0.215055940946338	-0.238596794485379	-0.265398479991225	-0.225762765463562	-0.273519493454884	-0.279510575052122	-0.270798672448923	-0.172370343659769	-0.213022908217882	-0.237056993524284	-0.231596010074851	-0.269565950218576	-0.240018299307794	-0.199629681639288	-0.199739342583735	-0.260415242698841	-0.2037339703696	-0.247379610237592	-0.22530316596432	-0.188799016880263	-0.217940258479802	-0.309978839761759	-0.202193087060547	-0.232302847844941	-0.295375880368516	-0.285366837300771	-0.197539703379897	-0.183725006065912	-0.283511543169474	-0.213986177738103	-0.248339551389676	-0.291907976185228	-0.236638237641558	-0.269175257870876	-0.337276859106927	-0.278473518864246	-0.286511689730712	-0.203322720334684	-0.185211135378602	-0.203515353315686	-0.171432417728607	-0.303839864188972	-0.203678559988863	-0.247490419918053	-0.323788780463356	-0.20291422281095	-0.181780706504498	-0.232660981650573	-0.269391308192964	-0.196979791725245	-0.282199763048696	-0.251375989938074	-0.353047210845329	-0.404781634169501	-0.340502829886187	-0.287174064131417	-0.323560342763955	-0.373364974815898	-0.269165315047201	-0.280861445854798	-0.332553583324118	-0.322667389610807	-0.29531112884458	-0.459174903922165	-0.354425389853009	-0.409173531518191	-0.278699607051158	-0.401844978883481	-0.303910647227765	-0.285067573943874	-0.309279807314669	-0.281208801298553	-0.3631798067167	-0.297526928480427	-0.461266673653162	-0.241912392990555	-0.315957264917782	-0.40984611083856	-0.473614213985027	-0.378507470303623	-0.375028359866453	-0.409828446597595	-0.191901038990748	-0.435075786108084	-0.18682493253398	-0.329151218081764	-0.269721529062439	-0.299169909654962	-0.215903530970338	-0.342713130304663	-0.415193594856578	-0.292112400900361
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Lancefieldella|Unassigned	-0.199283242478889	-0.218822865356753	-0.318976188451045	-0.251455788534342	-0.246926792116591	-0.24480260183835	-0.259957591258331	-0.156289004973543	-0.200301850514513	-0.180591804132811	-0.159469466480661	-0.234261108718044	-0.258663499042829	-0.282728994238995	-0.258221091889177	-0.202285353203519	-0.169863013499224	-0.270667572053711	-0.360535247158991	-0.273893891812811	-0.325935251407239	-0.177589514176105	-0.13055518725597	-0.1700336826981	-0.260624787247002	-0.243079094248861	-0.285962048878192	-0.287554840508472	-0.239030016616016	-0.225763638694387	-0.250149723416061	-0.296640335223665	-0.279225959522727	-0.29002197888905	-0.288065239016102	-0.239862118915982	-0.216497554115644	-0.266633140450423	-0.281224221318734	-0.227037960013287	-0.253613361261689	-0.215381838116555	-0.249427141618617	-0.231964704551056	-0.21278561100682	-0.242715864156734	-0.255721149941085	-0.222912743576414	-0.267164218815043	-0.271884218124829	-0.255595226718774	-0.166186708255004	-0.189116603737784	-0.219851861187015	-0.191071330809377	-0.25845569799081	-0.235360483461564	-0.189537640648603	-0.195862572442091	-0.25276044263457	-0.199503082805547	-0.244561000254646	-0.216340262739113	-0.184037870391734	-0.21332530703908	-0.289656700857793	-0.201242785685022	-0.225933215774416	-0.249537955584587	-0.281637746466487	-0.193863168318347	-0.171103807171332	0.328556972464444	-0.210545864383692	-0.243674655399603	-0.287338635650018	-0.23354176888368	-0.156281688546034	-0.304297194667198	-0.257081141099337	-0.28222397927771	-0.198728499019557	-0.1828549112221	-0.201769645057184	-0.169352453725795	-0.281127850996447	-0.201558107223596	-0.217632950827084	-0.318362342075947	-0.196805752274296	-0.126399112744902	-0.228651685310855	-0.264062443520524	-0.195124536518217	-0.273449792797873	-0.229084673384084	-0.228916712780874	-0.348272938101884	-0.124678575730179	-0.270998851521705	-0.322047476323237	-0.373364974815898	-0.114881469284355	0.358777056233985	-0.166821864142846	-0.210284763820983	0.0661479906590235	-0.457767242902307	-0.348230937001169	-0.381622680416659	-0.217813053085628	-0.387147999882628	-0.273179570727006	0.286368008619979	-0.0470197660590793	-0.172926259637643	-0.155207725166237	-0.292439059124625	-0.441615046719914	-0.236799961853626	-0.313966864845333	-0.161447117367997	-0.435003349180466	-0.353663083819061	-0.357152546239283	-0.381367653584775	-0.182428516695554	-0.436312333507142	-0.171009409587292	-0.325338998446177	-0.268817186935042	-0.290889873839085	-0.124208923871995	-0.339714627741289	-0.409574837824241	-0.286040140245802
