Genus	DGpre	DEmed	DEpost	DSpre	DSmed	DSpost	HGpre	HEmed	HEpost	HSpre	HSmed	HSpost	IGpre	IEmed	IEpost	ISpre	ISmed	ISpost	All
Prevotella	18.8	17.9	21.3	10.2	10.9	17.9	14.5	15	10	7.41	8.47	16.1	17.5	25.4	22.1	11.3	4.62	9.68	22.2
Leptotrichia	1.56	1.49	3.28	3.39	9.09	0	0	0	1.67	0	1.69	1.79	1.59	1.59	2.94	0	3.08	3.23	5.6
Treponema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5
Alloprevotella	0	1.49	0	0	5.45	1.49	1.61	0	0	0	1.69	1.79	4.76	1.59	0	0	0	0	3.9
Porphyromonas	3.13	7.46	4.92	11.9	3.64	5.97	4.84	3.33	8.33	7.41	3.39	1.79	3.17	4.76	4.41	0	4.62	0	3.8
Selenomonas	0	0	0	0	0	1.49	0	0	0	0	0	0	0	0	0	0	0	0	3.3
Unassigned	0	0	0	0	1.82	0	0	0	0	0	0	0	0	0	1.47	1.61	0	0	3.3
Capnocytophaga	0	0	0	1.69	3.64	0	0	1.67	0	0	1.69	0	0	0	0	0	0	1.61	3.2
Neisseria	4.69	5.97	9.84	6.78	7.27	7.46	11.3	15	15	5.56	20.3	12.5	17.5	12.7	8.82	14.5	27.7	19.4	2.8
Fusobacterium	31.3	28.4	23	23.7	18.2	19.4	19.4	18.3	15	25.9	28.8	23.2	14.3	12.7	20.6	19.4	16.9	32.3	2.7
Actinomyces	0	0	0	1.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5
Saccharibacteria_genera_incertae_sedis	1.56	0	0	0	0	0	0	0	1.67	0	0	0	3.17	1.59	0	0	0	0	2.4
Haemophilus	6.25	8.96	11.5	3.39	9.09	4.48	21	18.3	18.3	11.1	13.6	14.3	15.9	11.1	20.6	24.2	15.4	16.1	2.2
Streptococcus	12.5	17.9	19.7	3.39	9.09	13.4	14.5	16.7	18.3	13	13.6	12.5	12.7	11.1	8.82	16.1	10.8	8.06	2.1
Veillonella	4.69	4.48	4.92	10.2	5.45	5.97	3.23	3.33	3.33	9.26	3.39	8.93	3.17	6.35	4.41	4.84	7.69	3.23	2.0
Schaalia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8
Campylobacter	1.56	0	0	0	1.82	0	0	0	5	0	0	1.79	3.17	0	0	0	0	0	1.0
Lachnoanaerobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9
Catonella	0	0	0	0	0	1.49	0	0	0	0	0	0	0	0	0	1.61	0	0	0.9
Oribacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8
Rothia	3.13	0	0	3.39	0	0	3.23	1.67	3.33	3.7	0	1.79	0	1.59	0	3.23	0	1.61	0.8
Cardiobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7
Tannerella	0	0	0	1.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7
Lancefieldella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7
Centipeda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7
Megasphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7
Eubacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7
Fretibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6
Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6
Phocaeicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
Prevotellamassilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47	0	0	0	0.5
Corynebacterium	0	0	0	1.69	0	0	0	0	0	1.85	0	0	0	0	0	0	1.54	0	0.5
Kingella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
Dialister	1.56	1.49	0	5.08	0	4.48	1.61	0	0	5.56	1.69	1.79	1.59	0	1.47	0	1.54	1.61	0.4
Aggregatibacter	4.69	0	0	3.39	3.64	0	0	0	0	1.85	0	1.79	0	0	1.47	0	1.54	0	0.4
Limosilactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4
Klebsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4
Peptoanaerobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4
Peptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4
Gemella	0	0	0	0	1.82	0	0	1.67	0	0	0	0	0	1.59	0	0	0	0	0.4
Bifidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4
Lactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Johnsonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Faecalibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Anaeroglobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Peptostreptococcaceae_incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Pseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Propionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
SR1_genera_incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59	0	0	0	0	0.3
Lautropia	3.13	1.49	0	0	0	0	3.23	1.67	0	0	0	0	0	1.59	0	1.61	0	1.61	0.3
Olsenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Parvimonas	0	2.99	0	1.69	1.82	2.99	0	1.67	0	0	0	0	0	1.59	0	0	1.54	0	0.3
Vallitalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Granulicatella	0	0	1.64	0	0	0	1.61	0	0	0	0	0	0	1.59	0	1.61	0	0	0.3
Schwartzia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Raoultella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Lacrimispora	0	0	0	0	0	1.49	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Metamycoplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Bacteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Arachnia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Eikenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Chryseobacterium	0	0	0	0	0	4.48	0	0	0	0	0	0	1.59	0	0	0	0	0	0.3
Cetobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Acetoanaerobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Filifactor	0	0	0	3.39	1.82	0	0	0	0	1.85	0	0	0	0	0	0	0	0	0.3
Burkholderia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Peptostreptococcus	0	0	0	1.69	3.64	4.48	0	1.67	0	1.85	1.69	0	0	1.59	1.47	0	0	0	0.2
Butyrivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Methylophaga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Clostridium_sensu_stricto	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Abiotrophia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Vibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Phaeodactylibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Solobacterium	0	0	0	0	0	1.49	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Shuttleworthia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Stomatobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Staphylococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Streptobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Blautia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Saccharicrinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Roseburia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Lachnospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Enterococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Enterocloster	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Aliiroseovarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Scardovia	0	0	0	0	0	1.49	0	0	0	0	0	0	0	0	0	0	0	0	0.1
