Order	DGpre	DEmed	DEpost	DSpre	DSmed	DSpost	HGpre	HEmed	HEpost	HSpre	HSmed	HSpost	IGpre	IEmed	IEpost	ISpre	ISmed	ISpost	All
Bacteroidales	21.9	26.9	26.2	23.7	21.8	25.4	21	18.3	18.3	14.8	13.6	19.6	25.4	31.7	27.9	11.3	9.23	9.68	33.2
Clostridiales	0	2.99	0	6.78	7.27	10.4	0	3.33	0	3.7	1.69	0	0	3.17	2.94	1.61	1.54	0	10.6
Fusobacteriales	32.8	29.9	26.2	27.1	27.3	19.4	19.4	18.3	16.7	25.9	30.5	25	15.9	14.3	23.5	19.4	20	35.5	8.9
Spirochaetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5
Actinomycetales	1.56	0	0	3.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4
Selenomonadales	0	0	0	0	0	1.49	0	0	0	0	0	0	0	0	0	0	0	0	4.2
Flavobacteriales	0	0	0	1.69	3.64	4.48	0	1.67	0	0	1.69	0	1.59	0	0	0	0	1.61	3.8
Neisseriales	4.69	5.97	9.84	6.78	7.27	7.46	11.3	15	15	5.56	20.3	12.5	17.5	12.7	8.82	14.5	27.7	19.4	3.7
Lactobacillales	12.5	17.9	21.3	3.39	9.09	13.4	16.1	16.7	18.3	13	13.6	12.5	12.7	12.7	8.82	17.7	10.8	8.06	3.7
Veillonellales	6.25	5.97	4.92	15.3	5.45	10.4	4.84	3.33	3.33	14.8	5.08	10.7	4.76	6.35	5.88	4.84	9.23	4.84	3.4
Unassigned	1.56	0	0	0	0	0	0	0	1.67	0	0	0	3.17	3.17	0	1.61	0	0	3.1
Pasteurellales	10.9	8.96	11.5	6.78	12.7	4.48	21	18.3	18.3	13	13.6	16.1	15.9	11.1	22.1	24.2	16.9	16.1	2.8
Enterobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2
Campylobacterales	1.56	0	0	0	1.82	0	0	0	5	0	0	1.79	3.17	0	0	0	0	0	1.1
Pseudomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1
Coriobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
Burkholderiales	3.13	1.49	0	0	1.82	0	3.23	1.67	0	3.7	0	0	0	1.59	0	1.61	3.08	3.23	0.9
Micrococcales	3.13	0	0	3.39	0	0	3.23	1.67	3.33	3.7	0	1.79	0	1.59	0	3.23	0	1.61	0.9
Bacillales	0	0	0	0	1.82	0	0	1.67	0	0	0	0	0	1.59	0	0	0	0	0.8
Cardiobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7
Propionibacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7
Synergistales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6
Mycobacteriales	0	0	0	1.69	0	0	0	0	0	1.85	0	0	0	0	0	0	1.54	0	0.5
Bifidobacteriales	0	0	0	0	0	1.49	0	0	0	0	0	0	0	0	0	0	0	0	0.5
Erysipelotrichales	0	0	0	0	0	1.49	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Vibrionales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Rhodobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Mycoplasmoidales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Saprospirales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Sphingomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Thiotrichales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Sphingobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Xanthomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Acholeplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Rhodocyclales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Cytophagales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Desulfobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Chitinophagales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Caulobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Cellvibrionales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Oceanospirillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Rhizobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Nitrosomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Hydrogenophilales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Alteromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
